,https://roic.ai/company/FSP,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,84750000,75000000,75000000,209968000,449000000,631308000,949731000,914182000,936223000,1068830000,1058181000,1001285000,989600000,953035000,491477000
59,Other Liabilities,1294000,28821000,19217000,4354000,4771000,7557000,10584000,15590000,33355000,197598000,183968000,184484000,527145000,936294000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5397000,5114000,- -,- -,- -,- -,- -,- -,- -,- -,1890000,1536000,1159000
61,Total Liabilities,1294000,28821000,19217000,4354000,4771000,11674000,70023000,15590000,33355000,112848000,176436000,218492000,317177000,487294000,662430000,993868000,956743000,985712000,1126089000,1119220000,1060468000,1056258000,1025093000,580970000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,2000,5000,5000,6000,7000,7000,7000,8000,8000,8000,8000,10000,10000,10000,11000,11000,11000,11000,11000,10000
64,Retained Earnings,- -,- -,- -,- -,4420000,3647000,-9720000,-1812000,28169000,1592000,-36930000,-64371000,-102864000,-121517000,-176916000,-226677000,-289671000,-330799000,-399902000,-497342000,-533599000,-565727000,-571740000,-550794000
65,Other Comprehensive Income/Loss,- -,- -,-12917000,-17419000,-21999000,-25836000,- -,- -,- -,- -,-3099000,-2076000,-1077000,- -,-1219000,3277000,-4248000,-7111000,5478000,12166000,14765000,-4682000,-17311000,-5239000
66,Other Total Stockholders Equity,94592000,161665000,213623000,- -,214742000,539039000,512803000,663389000,893786000,889019000,889019000,1003713000,1025491000,1042876000,1042876000,1273556000,1273556000,1273556000,1356457000,1356457000,1356457000,1356794000,1357131000,1339226000
67,Total Stockholders Equity,94592000,161665000,200706000,- -,197165000,516855000,503088000,661583000,921962000,890618000,848997000,937274000,921558000,921367000,864749000,1050166000,979647000,935656000,962044000,871292000,837634000,786396000,768091000,783203000
68,Total Liabilities And Stockholders Equity,95886000,190486000,219923000,4354000,201936000,528529000,573111000,677173000,955317000,1003466000,1025433000,1155766000,1238735000,1408661000,1527179000,2044034000,1936390000,1921368000,2088133000,1990512000,1898102000,1842654000,1793184000,1364173000
69,Minority Interest,- -,- -,- -,199763000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,95886000,190486000,219923000,204117000,201936000,528529000,573111000,677173000,955317000,1003466000,1025433000,1155766000,1238735000,1408661000,1527179000,2044034000,1936390000,1921368000,2088133000,1990512000,1898102000,1842654000,1793184000,1364173000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1031316/000117152003000067/0001171520-03-000067-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000117152004000089/0001171520-04-000089-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000117152005000123/0001171520-05-000123-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1031316/000117152009000106/0001171520-09-000106-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000117152010000136/0001171520-10-000136-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000117152011000151/0001171520-11-000151-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000110465912011348/0001104659-12-011348-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000110465913011834/0001104659-13-011834-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000110465914011061/a13-24724_110k.htm,https://www.sec.gov/Archives/edgar/data/1031316/000110465915011300/a14-25721_110k.htm,https://www.sec.gov/Archives/edgar/data/1031316/000155837016003242/0001558370-16-003242-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000155837017000607/0001558370-17-000607-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000155837018000638/0001558370-18-000638-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000155837019000594/0001558370-19-000594-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000155837020000679/0001558370-20-000679-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000155837021001073/0001558370-21-001073-index.htm,https://www.sec.gov/Archives/edgar/data/1031316/000155837022001193/0001558370-22-001193-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,1139000,8914000,25368000,27312000,46380000,47763000,75116000,110929000,61085000,31959000,27872000,22093000,43524000,7633000,19827000,13148000,35014000,8378000,-15944000,13069000,6475000,32615000,92717000
74,Depreciation and Amortization,- -,3231000,4613000,4797000,4947000,9668000,13241000,22247000,32089000,35511000,30444000,36561000,40989000,50214000,57500000,81267000,97916000,93426000,95243000,103743000,97171000,93787000,91581000,81007000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,337000,337000,338000
77,Change in Working Capital,- -,2986000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70135000,-44862000,97639000,10832000,-12357000,25188000,-49543000,-11828000,5794000,-48888000,-7821000,-13267000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4818000,-7885000,-4643000,-418000,-2162000,-1927000,-384000,-8718000,-5477000,5702000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,448000,2760000,- -,- -,- -,- -,- -,- -,- -,- -,-4077000,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70135000,25273000,122912000,133744000,121387000,146575000,97032000,85204000,90998000,42110000,34289000,-5497000
82,Other Non-Cash Items,- -,2279000,1010000,3241000,-1771000,-16671000,725000,-32190000,-68155000,-26482000,1905000,4925000,-80115000,12085000,-92416000,-19898000,4459000,-50738000,40292000,19959000,-35832000,30204000,-48263000,-124433000
83,Cash Provided by Operating Activities,- -,9635000,14537000,33406000,30488000,39377000,61729000,65174000,74863000,70114000,64308000,69358000,53102000,60961000,70356000,92028000,103166000,102890000,94370000,95930000,80202000,81915000,68449000,36362000
84,CAPEX,- -,-77255000,-9952000,-733000,-1174000,-2388000,-1641000,-75988000,- -,- -,-73888000,-104544000,-38781000,-174020000,-183711000,-461621000,14192000,85426000,27262000,37756000,-51057000,-70746000,-77919000,-64833000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,13011000,- -,- -,- -,- -,- -,-1000,4858000,- -,- -,- -,- -,74931000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000,-13218000,-11000,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12236000,8159000,1319000,2230000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-21129000,22498000,-841000,42118000,-61401000,92552000,-6549000,-85299000,-6933000,-62517000,-36912000,-220510000,-172288000,-567506000,20404000,49929000,13637000,49212000,1770000,51130000,88958000,570307000
89,Cash Used for Investing Activites,- -,-77255000,-31081000,21765000,-2015000,39730000,-61401000,92552000,6462000,-85299000,-68595000,-172120000,-74385000,-218290000,-172289000,-562648000,1843000,-38104000,-244972000,-5094000,25644000,-19616000,11039000,505474000
90,Debt Repayment,- -,- -,-23522000,-16500000,- -,- -,-4117000,- -,- -,- -,-17282000,- -,- -,-284818000,-527000000,-70250000,-53500000,-88000000,-185000000,-277000000,-91000000,-70000000,-151500000,-540000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22701000,18001000,- -,241500000,- -,- -,83511000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18244000
93,Dividends Paid,- -,-10976000,-16558000,-27929000,-30514000,-46747000,-61536000,-67208000,-80948000,-87662000,-70481000,-55313000,-60586000,-62177000,-63032000,-69588000,-76142000,-76142000,-77481000,-81496000,-49326000,-38603000,-38628000,-38491000
94,Other Financing Activites,- -,84463000,51823000,-103000,- -,4117000,59284000,-73555000,-119000,79862000,74306000,156235000,99977000,441923000,689419000,367314000,12529000,110000000,320744000,268098000,35838000,44917000,105000000,91500000
95,Cash Used/Provided by Financing Activities,- -,73487000,11743000,-44532000,-30514000,-42630000,-6369000,-140763000,-81067000,-7800000,-13457000,100922000,62092000,112929000,99387000,468976000,-117113000,-54142000,141774000,-90398000,-104488000,-63686000,-85128000,-505235000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,5867000,-4801000,10639000,-2041000,36477000,-6041000,16963000,258000,-22985000,-17744000,-1840000,40809000,-44400000,-2546000,-1644000,-12104000,10644000,-8828000,438000,1358000,-1387000,-5640000,36601000
98,Cash at the End of Period,- -,18519000,13718000,24357000,22316000,58793000,52752000,69715000,69973000,46988000,29244000,27404000,68213000,23813000,21267000,19623000,7519000,18163000,9335000,9773000,11177000,9790000,4150000,40751000
99,Cash at the Beginning of Period,- -,12652000,18519000,13718000,24357000,22316000,58793000,52752000,69715000,69973000,46988000,29244000,27404000,68213000,23813000,21267000,19623000,7519000,18163000,9335000,9819000,11177000,9790000,4150000
100,Free Cash Flow,- -,-67620000,4585000,32673000,29314000,36989000,60088000,-10814000,74863000,70114000,-9580000,-35186000,14321000,-1269000,33054000,-8115000,84605000,4253000,-215748000,41624000,29145000,11169000,-9470000,-28471000
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1031316/000117152003000067/0001171520-03-000067-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000117152004000089/0001171520-04-000089-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000117152005000123/0001171520-05-000123-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1031316/000117152009000106/0001171520-09-000106-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000117152010000136/0001171520-10-000136-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000117152011000151/0001171520-11-000151-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000110465912011348/0001104659-12-011348-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000110465913011834/0001104659-13-011834-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000110465914011061/a13-24724_110k.htm,https://www.sec.gov/Archives/edgar/data/1031316/000110465915011300/a14-25721_110k.htm,https://www.sec.gov/Archives/edgar/data/1031316/000155837016003242/0001558370-16-003242-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000155837017000607/0001558370-17-000607-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000155837018000638/0001558370-18-000638-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000155837019000594/0001558370-19-000594-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000155837020000679/0001558370-20-000679-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000155837021001073/0001558370-21-001073-index.htm,https://www.sec.gov/Archives/edgar/data/1031316/000155837022001193/0001558370-22-001193-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
