,https://roic.ai/company/FKYS,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,14640000,16150000,18530000,21220000,22260000,19700000,19440000,21190000,21950000,24990000,28590000,32740000,32810000,32590000,29010000,28510000,26170000,26093000,28265000,27713000,28336000,31465000,34115000,26153000,- -
11,COGS and Expenses,- -,- -,24020000,26480000,30420000,35220000,36730000,31040000,29640000,31200000,33570000,39960000,46380000,50860000,48380000,45330000,9480000,35020000,31120000,11475000,11012000,10484000,11170000,11770000,12457000,- -,- -
12,Interest Income ,16636684,17785805,19344822,20703228,23200000,25650400,26836480,25861731,25063285,25036000,26382000,28577000,31899000,37638000,37596000,38038000,36968000,34864000,30865000,30698000,31234000,31325000,31932000,35083000,37982000,39307000,41890000
13,Interest Expense (Gain),8270850,8667366,9380000,10330000,11890000,14000000,14470000,11340000,10200000,10010000,11620000,14970000,17790000,-18116000,-15565000,-12742000,9405000,6510000,4950000,4452000,4966000,5282000,6548000,8620000,10243000,6360000,5148000
14,Depreciation and Amortization,311636,299274,304134,345566,600000,506149,709961,446313,491252,1453000,551000,730000,748000,710000,762000,1049000,978000,942000,1257000,1626000,1476000,1179000,1112000,1056000,781000,1131000,1038000
15,EBITDA,12988437,14080264,15654134,16875566,18850000,20826149,22099961,20236313,19591252,19913000,20381000,23080000,26058000,-8466000,-5583000,-373000,22843000,19812000,18867000,18906000,17585000,17778000,17384000,19346000,22365000,20905000,23195000
16,EBITDA ratio,9.6823,8.9739,0.7599,0.7554,0.7573,0.7562,0.7571,0.7189,0.6913,0.6718,0.6758,0.7130,0.7218,-0.2031,-0.1328,-0.0085,0.5510,0.4849,0.4858,0.4858,0.4462,0.4555,0.4522,0.4703,0.4920,0.5456,0.5378
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),7993386,8601855,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,4405951,5113624,5970000,6200000,6360000,6320000,6920000,8440000,8900000,8450000,8210000,7380000,7520000,8950000,9220000,11320000,12460000,12360000,12660000,12828000,11143000,11317000,10103000,9670000,11341000,13414000,17009000
21,Income Before Tax Ratio,3.2844,3.2591,0.2898,0.2775,0.2555,0.2295,0.2371,0.2998,0.3140,0.2851,0.2722,0.2280,0.2083,0.2147,0.2194,0.2578,0.3005,0.3025,0.3260,0.3296,0.2828,0.2900,0.2628,0.2351,0.2495,0.3501,0.3943
22,Income Tax expense (Gain),919758,983339,1310000,1310000,1200000,1110000,1490000,1860000,1950000,1660000,1360000,1190000,1390000,1390000,1280000,2360000,2550000,2190000,2390000,2617000,1971000,1845000,1076000,459000,1114000,1577000,2321000
23,Net Income,3486193,4130285,4660000,4890000,5160000,5210000,5430000,6590000,6950000,6790000,6850000,6190000,6130000,7550000,7940000,8960000,9910000,10170000,10270000,10211000,9172000,9472000,8648000,9211000,10227000,11837000,14688000
24,Net Income ratio,2.5988,2.6324,0.2262,0.2189,0.2073,0.1892,0.1860,0.2341,0.2452,0.2291,0.2271,0.1912,0.1698,0.1811,0.1889,0.2041,0.2390,0.2489,0.2644,0.2624,0.2327,0.2427,0.2250,0.2239,0.2250,0.3090,0.3405
25,EPS,0.79,0.86,0.96,1.01,1.09,1.11,1.16,1.41,1.57,1.48,1.49,1.35,1.31,1.39,1.46,1.65,1.82,1.86,1.87,1.84,1.64,1.68,1.52,1.60,1.77,2.03,2.48
26,EPS Diluted,0.79,0.86,0.96,1.01,1.09,1.11,1.16,1.40,1.57,1.47,1.48,1.35,1.31,1.39,1.46,1.65,1.82,1.86,1.87,1.84,1.64,1.68,1.52,1.60,1.77,2.03,2.48
27,Weighted Average Shares Outstanding,4411900,4797043,4851651,4838368,4734504,4686276,4686276,4673315,4646880,4597645,4608558,4585185,4677099,5440000,5440000,5442000,5445000,5455000,5481000,5538000,5588000,5640000,5689000,5737000,5784000,5841000,5915000
28,Weighted Average Shares Outstanding Diluted,4411900,4797043,4851651,4838368,4734504,4686276,4686276,4694461,4646880,4627500,4638290,4585185,4677099,5442000,5442000,5444000,5456000,5467000,5486000,5538000,5588000,5640000,5689000,5737000,5784000,5841000,5915000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/737875/000073787599000007/0000737875-99-000007-index.html,- -,https://www.sec.gov/Archives/edgar/data/737875/000073787501500014/0000737875-01-500014-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/737875/000114420409013436/0001144204-09-013436-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000114420410013462/0001144204-10-013462-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000114420411015179/0001144204-11-015179-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000114420412015129/0001144204-12-015129-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000114420413015777/0001144204-13-015777-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000114420414015862/0001144204-14-015862-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000114420415016228/0001144204-15-016228-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000114420416087926/0001144204-16-087926-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000114420417015421/0001144204-17-015421-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000114420418015339/0001144204-18-015339-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000114420419014632/0001144204-19-014632-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000110465920033288/0001104659-20-033288-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000073787521000009/0000737875-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000073787522000011/0000737875-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,7033112,7000000,9160956,6550337,7456064,5940832,6186000,7156000,10188000,9975000,9951000,11426000,8905000,10179000,20920000,30623000,9449000,10490000,10610000,10221000,12432000,10971000,24427000,61585000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,303756000,359531000,348722000,385267000,379641000,350218000,316054000,277928000,366711000,437916000
33,Cash and Short-Term Investments,- -,- -,- -,7033112,7000000,9160956,6550337,7456064,5940832,6186000,7156000,10188000,9975000,9951000,11426000,8905000,10179000,324676000,390154000,358171000,395757000,390251000,360439000,328486000,288899000,391138000,499501000
34,Net Receivables,- -,- -,- -,2133030,2200000,2491093,2993904,3068952,2871354,2727000,2604000,2686000,3241000,4228000,4213000,4589000,4375000,4060000,3616000,3313000,4086000,3917000,4237000,4041000,3405000,4544000,4361000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,482109000,496324000,506806000,-11829000,-12792000,-14252000,-9148000,-6151000,-318698000,-385513000,-353941000,-392369000,-385830000,-356763000,-322705000,-282053000,-386849000,336764000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,491022000,506084000,519680000,1387000,1387000,1387000,4346000,8403000,10038000,8257000,7543000,7474000,8338000,7913000,9822000,10251000,8833000,840626000
38,PP&E,- -,- -,- -,3757565,3900000,3570493,3275266,3429507,4157840,5369000,5091000,5016000,8486000,9169000,11465000,11842000,12725000,19363000,21516000,20871000,20113000,19237000,20623000,19946000,20857000,19739000,19183000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19133000,19133000,19133000,19133000,19133000,19133000,19133000,19133000,19133000,19133000,19133000,19133000,19133000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1224000,1224000,1224000,18981000,19133000,- -,1240000,951000,668000,395000,122000,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1224000,1224000,1224000,18981000,19133000,19133000,20373000,20084000,19801000,19528000,19255000,19133000,19133000,19133000,19133000,19133000,19133000,19133000
42,Investments,- -,- -,- -,- -,- -,- -,- -,215754998,231272111,239053000,251536000,243938000,246059000,243165000,274659000,318131000,332913000,305236000,360820000,349852000,386820000,382196000,352844000,319710000,281689000,369823000,441408000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,-239053000,-251536000,-243938000,-253688000,-251629000,-285419000,-329973000,109446000,-324599000,-382336000,166742000,159088000,171035000,234327000,322166000,393490000,-389562000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,6593000,6315000,6240000,19838000,19838000,19838000,20373000,475168000,19801000,19528000,556720000,585154000,591601000,626927000,680955000,715169000,19133000,479724000
46,Other Assets,- -,- -,- -,303028481,333500000,360342306,393471902,439525620,481840354,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1800074000
47,Total Assets,- -,- -,- -,303028481,333500000,360342306,393471902,439525620,481840354,497615000,512399000,525920000,21225000,21225000,21225000,24719000,483571000,29839000,27785000,564263000,592628000,599939000,634840000,690777000,725420000,27966000,1320350000
48,Accounts Payable,- -,- -,- -,- -,1800000,2231272,2082824,1648499,1664471,1877000,2372000,2581000,3454000,3488000,- -,- -,- -,2902000,3012000,399000,382000,427000,490000,785000,606000,405000,251000
49,Short-Term Debt,- -,- -,- -,6633646,31600000,8559655,11566364,9067145,11744392,15512000,28151000,28179000,47349000,55332000,17462000,20977000,30882000,55069000,51972000,56393000,59760000,50800000,3452000,161488000,40621000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2146000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3454000,- -,- -,2742000,30000,-2897000,15380000,749290000,21089000,20823000,23290000,13641000,13874000,19089000,- -
53,Total Current Liabilities,- -,- -,- -,6633646,33400000,10790927,13649188,10715644,13408863,17389000,30523000,30760000,47349000,58820000,17462000,23719000,30912000,55074000,70364000,806082000,81231000,72050000,27232000,175914000,55101000,21640000,- -
54,Long-Term Debt,- -,- -,- -,13000000,26000000,41250000,45250000,45750000,62945000,66910000,65535000,57535000,66175000,82062000,82976000,66400000,64339000,44520000,40429000,65339000,70232000,75116000,65000000,45000000,55000000,70000000,61499000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2350000,4612000,51000,211000,- -,- -,- -,- -,438000,2146000,631000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4700000,-4612000,-51000,-211000,- -,1416000,1520000,828000,- -,-27146000,- -
58,Total Non-Current Liabilities,- -,- -,- -,13000000,26000000,41250000,45250000,45750000,62945000,66910000,65535000,57535000,66175000,82062000,82976000,66400000,61989000,44520000,40429000,65339000,70232000,76532000,66520000,45828000,55438000,45000000,62130000
59,Other Liabilities,- -,- -,- -,275641686,296700000,354143742,385376837,425463935,480025150,493824000,493968000,499308000,629109000,668993000,749677000,760222000,756531000,706082000,775279000,- -,864052000,879080000,912690000,765158000,878811000,1058165000,1233925000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1663000,1513000,1499000
61,Total Liabilities,- -,- -,- -,269275332,304100000,323684669,353776025,390429579,430489013,444303000,458956000,472533000,610283000,645751000,684163000,717541000,725454000,716636000,805214000,806082000,875051000,874598000,873402000,895244000,878474000,1034805000,1171795000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,5867454,5900000,5867454,5867454,6150360,6154414,9079000,9079000,9511000,11375000,11375000,11375000,11375000,11375000,11435000,11513000,11605000,11707000,11809000,11902000,11993000,12097000,12231000,12358000
64,Retained Earnings,- -,- -,- -,17123122,20300000,23311355,26449437,27394962,31828342,32469000,35714000,33793000,35705000,38414000,41346000,45246000,49872000,54532000,59089000,63485000,66622000,70004000,72507000,75798000,79778000,85307000,93378000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,6543981,5488540,3767000,807000,-126000,-166000,-4671000,-2583000,-1633000,7757000,43253000,31572000,37004000,35865000,33628000,38019000,34674000,42586000,52413000,7588000
66,Other Total Stockholders Equity,- -,- -,- -,10762573,3200000,7478828,7378986,9006738,7880045,7997000,7843000,10209000,24010000,24029000,24029000,24072000,24088000,-5890000,-5823000,-5823000,-5756000,-5756000,-5709000,-5709000,-5709000,-5709000,35231000
67,Total Stockholders Equity,- -,- -,- -,33753149,29400000,36657637,39695877,49096041,51351341,53312000,53443000,53387000,70924000,69147000,74167000,79060000,93092000,103330000,96351000,106271000,108438000,109685000,116719000,116756000,128752000,144242000,148555000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,303028481,333500000,360342306,393471902,439525620,481840354,497615000,512399000,525920000,681207000,714898000,758330000,796601000,818546000,819966000,901565000,912353000,983489000,984283000,990121000,1012000000,1007226000,1179047000,1320350000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-659982000,-693673000,-737105000,-771882000,-334975000,-790127000,-873780000,-348090000,-390861000,-384344000,-355281000,-321223000,-281806000,-1151081000,- -
70,Total Liabilities & Equity,- -,- -,- -,303028481,333500000,360342306,393471902,439525620,481840354,497615000,512399000,525920000,21225000,21225000,21225000,24719000,483571000,29839000,27785000,564263000,592628000,599939000,634840000,690777000,725420000,27966000,1320350000
71,SEC Link,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/737875/000073787599000007/0000737875-99-000007-index.html,- -,https://www.sec.gov/Archives/edgar/data/737875/000073787501500014/0000737875-01-500014-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/737875/000114420409013436/0001144204-09-013436-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000114420410013462/0001144204-10-013462-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000114420411015179/0001144204-11-015179-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000114420412015129/0001144204-12-015129-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000114420413015777/0001144204-13-015777-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000114420414015862/0001144204-14-015862-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000114420415016228/0001144204-15-016228-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000114420416087926/0001144204-16-087926-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000114420417015421/0001144204-17-015421-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000114420418015339/0001144204-18-015339-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000114420419014632/0001144204-19-014632-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000110465920033288/0001104659-20-033288-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000073787521000009/0000737875-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000073787522000011/0000737875-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3486193,4130285,4660000,4890000,5160000,5210000,5430000,6590000,6950000,6790000,6850000,6190000,6130000,7550000,7940000,8960000,9910000,10170000,10270000,10211000,9172000,9472000,8648000,9211000,10227000,11837000,14688000
74,Depreciation and Amortization,311636,299274,304134,345566,600000,506149,709961,446313,491252,1453000,551000,730000,748000,710000,762000,1049000,978000,942000,1257000,1626000,1476000,1179000,1112000,1056000,781000,1131000,1038000
75,Deferred Income Tax,-29421,-32241,18645,1586,- -,-12487,-105349,-79854,-116156,-154000,-49000,-263000,-104000,-471000,-166000,244000,218000,-198000,-262000,46000,283000,-290000,146000,566000,100000,-591000,-111000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-204466,- -,- -,-6633646,-26766354,22609073,-2858261,2933544,-2693219,487041863,1928000,13359000,-534882000,-11471000,41358000,-3298000,-3136000,-22527000,-17071000,-736432000,724782000,10045000,44393000,-146773000,121242000,32043000,-1220000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,214000,315000,444000,303000,-773000,169000,-320000,196000,636000,-1139000,183000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-119000,45000,-2836000,7000,-17000,45000,63000,295000,-179000,-201000,-154000
81,Other Working Capital,- -,- -,- -,-6633646,-33400000,-10790927,-13649188,-10715644,-13408863,473633000,475561000,488920000,-45962000,-57433000,-16075000,-19373000,-22509000,-45036000,-62107000,-798539000,-73757000,-63712000,-19319000,-166092000,-44850000,-12807000,- -
82,Other Non-Cash Items,609154,517835,139144,4500243,24006354,-22386479,4490896,-5636988,547660,-480236863,-3082000,-15830000,537423000,6863000,-52615000,9227000,9020000,19566000,18027000,731625000,-725428000,-8653000,-42095000,150681000,-119811000,-46377000,860000
83,Cash Provided by Operating Activities,4173096,4915153,5121923,3103749,3000000,5926256,7667247,4253015,5179537,14894000,6198000,4186000,9315000,3181000,-2721000,16182000,16990000,7953000,12221000,7076000,10285000,11753000,12204000,14741000,12539000,-1957000,15255000
84,CAPEX,-348965,-114846,-860581,-677327,-500000,-95726,-89699,-545291,-1153944,-885000,-177000,-218000,-1134000,-1476000,-3023000,-1357000,-1830000,936000,492000,715000,21000,223000,398000,263000,-557000,-332000,-492000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-414000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-590000,-1178000,-252000,- -,- -,- -,- -
86,Purchases of Investments,-52538705,-47481471,-39959308,-69041232,-93400000,-64194871,-108563617,-97540535,-104588270,-110507000,-170780000,-125731000,-96788000,-124847000,-139799000,-96243000,-105752000,-43781000,-196281000,-217140000,-176017000,-101262000,-72987000,-42216000,-87820000,-145015000,-136573000
87,Sales/Maturities of Investments,37376899,27393951,26263736,34857245,59000000,50285842,81671004,74782216,87148758,101342000,153894000,132630000,108516000,121789000,104626000,63585000,100057000,83955000,125411000,233306000,134588000,98230000,103473000,66180000,133395000,65406000,55324000
88,Other Investing Activites,200845,1200,49001,-5729387,-400000,-6646588,-11304456,-11637840,-17347994,-14243000,-692000,-15985000,-38037000,-30913000,8361000,-9957000,-11225000,-14093000,-13914000,-41827000,-33280000,-1288000,-34437000,-52563000,-33032000,-55323000,-29604000
89,Cash Used for Investing Activites,-15309926,-20201166,-14507152,-40590701,-34800000,-20555617,-38197069,-34396159,-34787506,-23822000,-17578000,-9086000,-26309000,-33971000,-29835000,-43972000,-18750000,18667000,-88140000,-26325000,-75843000,-5881000,-6788000,-29045000,11986000,-135264000,-111345000
90,Debt Repayment,-1500000,-9000000,-13000000,-3000000,20000000,-17250000,-7000000,-7500000,-1500000,-3535000,-9375000,-13000000,-10262000,-9077000,-49921000,-23556000,-7061000,-29819000,-14091000,-5090000,-107000,-5116000,-10116000,-23000000,-20000000,-10004000,-10010000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000,354000,140000,1121000,1289000,1319000,1261000,1153000,1203000,1298000,1511000
92,Common Stock Repurchased,- -,- -,- -,-1191021,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-953946,-1142730,-1392551,-1726192,-2000000,-2181970,-2295319,-2529658,-2883612,-3218000,-3602000,-3874000,-4179000,-4842000,-5005000,-5061000,-5281000,-5086000,-4832000,-5815000,-6035000,-6090000,-6145000,-6194000,-6247000,-6308000,-6617000
94,Other Financing Activites,14914299,23988462,32082194,36975821,13600000,36258154,37214522,41078529,32476349,15926000,25327000,24806000,31222000,44685000,88957000,56886000,12360000,18672000,104405000,6377000,71452000,4135000,9195000,44556000,293000,165691000,148364000
95,Cash Used/Provided by Financing Activities,12460353,13845732,17689643,31058608,31600000,16826184,27919203,31048871,28092737,9173000,12350000,7932000,16781000,30766000,34031000,28269000,34000,-15879000,85622000,-3407000,66599000,-5752000,-5805000,16515000,-24751000,150677000,133248000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1323523,-1440281,8304414,-6428344,-100000,2196823,-2610619,905727,-1515232,245000,970000,3032000,-213000,-24000,1475000,479000,-1726000,10741000,9703000,-22656000,1041000,120000,-389000,2211000,-226000,13456000,37158000
98,Cash at the End of Period,6619812,5179531,13483945,7055601,7000000,9160956,6550337,7456064,5940832,6186000,7156000,10188000,9975000,9951000,11426000,11905000,10179000,20920000,30623000,7967000,9008000,9128000,8739000,10950000,10724000,24180000,61338000
99,Cash at the Beginning of Period,5296289,6619812,5179531,13483945,7100000,6964133,9160956,6550337,7456064,5941000,6186000,7156000,10188000,9975000,9951000,11426000,11905000,10179000,20920000,30623000,7967000,9008000,9128000,8739000,10950000,10724000,24180000
100,Free Cash Flow,3824131,4800307,4261342,2426422,2500000,5830530,7577548,3707724,4025593,14009000,6021000,3968000,8181000,1705000,-5744000,14825000,15160000,539000,8865000,6412000,9741000,11370000,9619000,14295000,11982000,-2289000,14763000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/737875/000073787599000007/0000737875-99-000007-index.html,- -,https://www.sec.gov/Archives/edgar/data/737875/000073787501500014/0000737875-01-500014-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/737875/000114420409013436/0001144204-09-013436-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000114420410013462/0001144204-10-013462-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000114420411015179/0001144204-11-015179-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000114420412015129/0001144204-12-015129-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000114420413015777/0001144204-13-015777-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000114420414015862/0001144204-14-015862-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000114420415016228/0001144204-15-016228-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000114420416087926/0001144204-16-087926-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000114420417015421/0001144204-17-015421-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000114420418015339/0001144204-18-015339-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000114420419014632/0001144204-19-014632-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000110465920033288/0001104659-20-033288-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000073787521000009/0000737875-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/737875/000073787522000011/0000737875-22-000011-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
