,https://roic.ai/company/ELST,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,-0.2807,0.1837,0.0989,0.2411,0.2276,0.2778,0.2083,0.2432,0.0767,0.1317,0.1099,-0.0191,-0.0703,-0.0552,0.1422,0.0579,0.0976,0.0682,0.1204,0.1266,-0.1369,-0.0012,0.0781,-0.1123,0.0204,0.0457,-0.0881,-0.2180,-0.1532,-0.1510,-0.0962,-0.1513,-0.1815,-0.1256
19,Total Other Income Expenses (Gains),-10000,10000,10000,50000,40000,40000,40000,30795,143130,71595,79496,89232,121587,78029,52862,54308,35770,9914,27763,82989,60892,24924,12857,13830,7420,8158,10517,11239,11923,11411,18097,22198,19736,282861
20,Income Before Tax,-170000,190000,100000,320000,320000,440000,290000,404137,234456,247760,242779,65559,29410,6072,327617,173901,260126,174757,343014,463136,-227815,22599,187023,-187453,50522,108197,-153912,-326843,-216396,-203763,-116099,-190957,-202719,92989
21,Income Before Tax Ratio,-0.2982,0.1939,0.1099,0.2857,0.2602,0.3056,0.2417,0.2633,0.1970,0.1853,0.1634,0.0529,0.0224,0.0047,0.1695,0.0842,0.1132,0.0723,0.1310,0.1542,-0.1080,0.0121,0.0839,-0.1046,0.0239,0.0494,-0.0824,-0.2108,-0.1452,-0.1430,-0.0832,-0.1356,-0.1654,0.0615
22,Income Tax expense (Gain),- -,- -,- -,- -,60000,150000,110000,136428,75721,81559,79852,13258,5466,16368,114041,50895,85306,61694,116925,143814,-71628,-1896,57571,-57463,26400,-8000,-52122,-88470,-75700,244092,- -,- -,- -,- -
23,Net Income,-170000,190000,100000,320000,260000,290000,190000,267709,158735,166201,162927,52301,23944,-10296,213576,123006,174820,113063,226089,319322,-156187,24495,129452,-129990,24122,116197,-101790,-238373,-140696,-447855,-116099,-190957,-202719,92989
24,Net Income ratio,-0.2982,0.1939,0.1099,0.2857,0.2114,0.2014,0.1583,0.1744,0.1334,0.1243,0.1097,0.0422,0.0183,-0.0079,0.1105,0.0596,0.0761,0.0468,0.0864,0.1064,-0.0741,0.0131,0.0581,-0.0725,0.0114,0.0531,-0.0545,-0.1537,-0.0944,-0.3143,-0.0832,-0.1356,-0.1654,0.0615
25,EPS,-0.03,0.04,0.02,0.06,0.05,0.05,0.04,0.05,0.03,0.03,0.03,0.01,0.00,-0.00,0.04,0.02,0.03,0.02,0.04,0.06,-0.03,0.00,0.03,-0.03,0.00,0.02,-0.02,-0.05,-0.03,-0.09,-0.02,-0.04,-0.04,0.02
26,EPS Diluted,-0.03,0.04,0.02,0.06,0.05,0.05,0.04,0.05,0.03,0.03,0.03,0.01,0.00,-0.00,0.04,0.02,0.03,0.02,0.04,0.06,-0.03,0.00,0.02,-0.03,0.00,0.02,-0.02,-0.05,-0.03,-0.09,-0.02,-0.04,-0.04,0.02
27,Weighted Average Shares Outstanding,4920000,4960000,4960000,4960000,5290000,5350000,5360000,5354180,5291167,5540033,5430900,5230100,6031000,5369867,5339400,6150300,5827333,5653150,5652225,5322033,5157916,5158667,5158667,5158667,5158667,5158667,5158667,5158667,5090487,5022184,4986005,4948658,4946502,4946502
28,Weighted Average Shares Outstanding Diluted,4920000,4960000,4960000,4960000,5290000,5350000,5360000,5354180,5291167,5540033,5430900,5230100,6031000,5369867,5339400,6150300,5827333,5653150,5652225,5322033,5157916,5172615,5238532,5158667,5158667,5180227,5158667,5158667,5090487,5022184,4986005,4948658,4946502,4946502
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/752294/000075229401000016/0000752294-01-000016-index.htm,https://www.sec.gov/Archives/edgar/data/752294/000075229402000014/0000752294-02-000014-index.htm,https://www.sec.gov/Archives/edgar/data/752294/000075229403000021/0000752294-03-000021-index.htm,- -,https://www.sec.gov/Archives/edgar/data/752294/000075229405000019/0000752294-05-000019-index.htm,- -,https://www.sec.gov/Archives/edgar/data/752294/000075229407000018/0000752294-07-000018-index.htm,- -,https://www.sec.gov/Archives/edgar/data/752294/000105291809000137/0001052918-09-000137-index.htm,https://www.sec.gov/Archives/edgar/data/752294/000105291810000090/0001052918-10-000090-index.htm,https://www.sec.gov/Archives/edgar/data/752294/000105291811000108/0001052918-11-000108-index.htm,https://www.sec.gov/Archives/edgar/data/752294/000105291812000108/0001052918-12-000108-index.htm,https://www.sec.gov/Archives/edgar/data/752294/000105291813000090/0001052918-13-000090-index.htm,https://www.sec.gov/Archives/edgar/data/752294/000105291814000057/0001052918-14-000057-index.htm,https://www.sec.gov/Archives/edgar/data/752294/000105291815000043/0001052918-15-000043-index.htm,https://www.sec.gov/Archives/edgar/data/752294/000105291816000840/0001052918-16-000840-index.htm,https://www.sec.gov/Archives/edgar/data/752294/000105291817000121/0001052918-17-000121-index.htm,https://www.sec.gov/Archives/edgar/data/752294/000105291818000046/0001052918-18-000046-index.htm,https://www.sec.gov/Archives/edgar/data/752294/000105291819000044/0001052918-19-000044-index.htm,https://www.sec.gov/Archives/edgar/data/752294/000105291820000034/0001052918-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/752294/000105291821000070/0001052918-21-000070-index.htm,https://www.sec.gov/Archives/edgar/data/752294/000119983522000120/0001199835-22-000120-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,20000,60000,80000,180000,310000,- -,470000,1264726,1413182,1466760,1426381,1624728,9166,6100,11100,11100,11100,11100,2117848,35004,53201,19705,51867,38168,1484429,1547129,44591,618060,115734,42874,323667,274936,308110,655616
32,Short-Term Investments,70000,30000,50000,200000,130000,- -,200000,121117,- -,- -,- -,- -,1443121,1507492,1649565,1708494,1821999,2010807,- -,2344981,1891599,2271903,2553853,2222322,701068,763451,592495,1202625,1387237,1165227,900000,650000,499999,- -
33,Cash and Short-Term Investments,90000,90000,130000,380000,440000,- -,670000,1385843,1413182,1466760,1426381,1624728,1452287,1513592,1660665,1719594,1833099,2021907,2117848,2379985,1944800,2291608,2605720,2260490,2185497,2310580,637086,1820685,1502971,1208101,1223667,924936,808109,655616
34,Net Receivables,210000,210000,140000,220000,270000,- -,170000,7194,41018,276419,389274,160203,183627,158674,302269,284972,257080,222982,401127,281064,272792,125706,126595,153412,197185,75730,100694,76858,78105,104078,70456,83499,293543,166303
35,Inventory,- -,170000,240000,220000,330000,- -,420000,297037,401305,319127,385365,357490,561946,531599,569424,511972,605159,485257,582915,598201,639779,503326,421267,471314,501956,625692,719137,603291,703147,762517,714995,822819,631707,501833
36,Other Current Assets,- -,- -,- -,- -,30000,- -,220000,167341,36797,3173,5689,10697,27276,15128,11023,41391,12578,34743,33254,36577,64342,46712,27189,28111,39139,35687,1463928,34942,8405,8039,21353,20910,28087,424422
37,Total Current Assets,300000,470000,510000,820000,1070000,- -,1480000,1857415,1892302,2065479,2206709,2153118,2225136,2218993,2543381,2557929,2707916,2764889,3135144,3295827,2921713,2967352,3180771,2913327,2923777,3047689,2920845,2535776,2292628,2082735,2030471,1852164,1761446,1748174
38,PP&E,40000,30000,50000,80000,80000,- -,100000,145243,141210,132924,112314,145123,175722,164989,159182,222674,253456,184025,152655,147441,110722,70580,44255,54358,42272,31372,91907,77673,51383,31444,20368,52039,70675,30280
39,Goodwill,40000,- -,- -,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,1150,- -,933,- -,- -,606,497,12945,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,40000,- -,- -,- -,- -,- -,10000,1150,1042,933,8532,9134,606,497,12945,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,9200,14600,17300,20600,26200,33600,27100,32600,49400,54000,26000,36600,34801,143875,244092,- -,- -,- -,- -,- -
44,Other Non-Current Assets,-10000,30000,10000,20000,10000,- -,- -,6964,8155,6475,26590,340,6407,17193,17462,27486,4624,25067,5852,340,340,340,4304,1675,1675,13083,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,70000,60000,60000,100000,90000,- -,120000,153357,150407,140332,147436,154597,182735,182679,198789,264760,275380,229692,184707,181381,138162,103520,97959,110033,69947,81055,126708,221548,295475,31444,20368,52039,70675,30280
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,370000,530000,570000,920000,1160000,- -,1600000,2010772,2042709,2205811,2354145,2307715,2407871,2401672,2742170,2822689,2983296,2994581,3319851,3477208,3059875,3070872,3278730,3023360,2993724,3128744,3047553,2757324,2588103,2114179,2050839,1904203,1832121,1778454
48,Accounts Payable,70000,60000,10000,40000,30000,- -,20000,56493,15035,29931,52386,36607,78103,53384,38855,44848,96949,41377,93051,134129,50013,33275,31651,16104,7517,8669,14573,8550,15114,18969,71257,101548,21113,71645
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39641,36753,56876
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3700,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25088,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,60000,30000,30000,30000,10000,- -,10000,77099,15740,47282,34754,26356,21622,38138,153371,132575,112086,134760,217300,114731,43535,56725,140477,84010,38184,55242,69292,26959,27220,25819,26411,15720,27050,9116
53,Total Current Liabilities,130000,90000,40000,70000,40000,- -,30000,133592,30775,77213,87140,62963,99725,91522,192226,202511,209035,176137,310351,248860,93548,90000,172128,100114,45701,63911,83865,35509,42334,44788,97668,156909,84916,137637
54,Long-Term Debt,10000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200347,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25017,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30400,59400,75500,59300,50500,49000,34600,21500,13000,7800,6200,5100,3500,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,10000,10000,- -,- -,- -,- -,10000,- -,- -,- -,25017,- -,- -,- -,30400,59400,75500,59300,50500,49000,34600,21500,13000,7800,6200,5100,3500,- -,- -,- -,- -,- -,200347,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39641,65388,- -
61,Total Liabilities,140000,100000,40000,70000,40000,- -,40000,133592,30775,77213,112157,62963,99725,91522,222626,261911,284535,235437,360851,297860,128148,111500,185128,107914,51901,69011,87365,35509,42334,44788,97668,156909,285263,137637
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,10000,10000,10000,10000,10000,- -,10000,5007,4954,4954,4954,4954,5069,5099,5099,5099,5149,5149,5154,5154,5159,5159,5159,5159,5159,5159,5159,5159,5061,4986,4986,4947,4947,4947
64,Retained Earnings,-670000,-480000,-370000,-60000,200000,- -,690000,954116,1112851,1229515,1342905,1345669,1369613,1359317,1572893,1619419,1743252,1804828,1979380,2195629,1936268,1960763,2090215,1908639,1932761,2048958,1947168,1708795,1568099,1120244,1004145,813188,610469,703458
65,Other Comprehensive Income/Loss,-70000,-90000,-100000,-110000,-120000,- -,-130000,-155504,-185384,-214491,-246122,-278821,-316765,-359018,-4182,-9474,-15824,-17017,-471812,-526014,-576082,-612089,-639238,-658470,-673868,-687407,-703416,-694692,-710834,-730773,-741598,-644548,- -,- -
66,Other Total Stockholders Equity,970000,990000,990000,1010000,1020000,- -,990000,1073561,1079513,1108620,1140251,1172950,1250229,1304752,945734,945734,966184,966184,1446278,1504579,1566382,1605539,1637466,1660118,1677771,1693023,1711277,1702553,1683443,1674934,1685638,1573707,931442,932412
67,Total Stockholders Equity,240000,430000,530000,850000,1110000,- -,1560000,1877180,2011934,2128598,2241988,2244752,2308146,2310150,2519544,2560778,2698761,2759144,2959000,3179348,2931727,2959372,3093602,2915446,2941823,3059733,2960188,2721815,2545769,2069391,1953171,1747294,1546858,1640817
68,Total Liabilities And Stockholders Equity,380000,530000,570000,920000,1150000,- -,1600000,2010772,2042709,2205811,2354145,2307715,2407871,2401672,2742170,2822689,2983296,2994581,3319851,3477208,3059875,3070872,3278730,3023360,2993724,3128744,3047553,2757324,2588103,2114179,2050839,1904203,1832121,1778454
69,Minority Interest,-10000,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,370000,530000,570000,920000,1160000,- -,1600000,2010772,2042709,2205811,2354145,2307715,2407871,2401672,2742170,2822689,2983296,2994581,3319851,3477208,3059875,3070872,3278730,3023360,2993724,3128744,3047553,2757324,2588103,2114179,2050839,1904203,1832121,1778454
71,SEC Link,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/752294/000075229401000016/0000752294-01-000016-index.htm,https://www.sec.gov/Archives/edgar/data/752294/000075229402000014/0000752294-02-000014-index.htm,https://www.sec.gov/Archives/edgar/data/752294/000075229403000021/0000752294-03-000021-index.htm,- -,https://www.sec.gov/Archives/edgar/data/752294/000075229405000019/0000752294-05-000019-index.htm,- -,https://www.sec.gov/Archives/edgar/data/752294/000075229407000018/0000752294-07-000018-index.htm,- -,https://www.sec.gov/Archives/edgar/data/752294/000105291809000137/0001052918-09-000137-index.htm,https://www.sec.gov/Archives/edgar/data/752294/000105291810000090/0001052918-10-000090-index.htm,https://www.sec.gov/Archives/edgar/data/752294/000105291811000108/0001052918-11-000108-index.htm,https://www.sec.gov/Archives/edgar/data/752294/000105291812000108/0001052918-12-000108-index.htm,https://www.sec.gov/Archives/edgar/data/752294/000105291813000090/0001052918-13-000090-index.htm,https://www.sec.gov/Archives/edgar/data/752294/000105291814000057/0001052918-14-000057-index.htm,https://www.sec.gov/Archives/edgar/data/752294/000105291815000043/0001052918-15-000043-index.htm,https://www.sec.gov/Archives/edgar/data/752294/000105291816000840/0001052918-16-000840-index.htm,https://www.sec.gov/Archives/edgar/data/752294/000105291817000121/0001052918-17-000121-index.htm,https://www.sec.gov/Archives/edgar/data/752294/000105291818000046/0001052918-18-000046-index.htm,https://www.sec.gov/Archives/edgar/data/752294/000105291819000044/0001052918-19-000044-index.htm,https://www.sec.gov/Archives/edgar/data/752294/000105291820000034/0001052918-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/752294/000105291821000070/0001052918-21-000070-index.htm,https://www.sec.gov/Archives/edgar/data/752294/000119983522000120/0001199835-22-000120-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-170000,190000,100000,320000,260000,290000,190000,267709,158735,166201,162927,52301,23944,-10296,213576,123006,174820,113063,226089,319322,-156187,24495,129452,-129990,24122,116197,-101790,-238373,-140696,-447855,-116099,-190957,-202719,92989
74,Depreciation and Amortization,30000,30000,20000,20000,20000,20000,20000,27216,32139,35178,34209,35822,43065,46012,45273,53611,69627,73882,60834,54433,50068,40142,32365,21956,15484,13540,17824,28714,26290,19939,11076,7970,6953,5169
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,10000,-17035,4876,411,-487,1303,99,16368,3917,23600,13400,-19500,-14400,-8900,-7900,-18600,-25300,-9800,26400,-11700,-49401,-87491,-75700,244092,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7840,3150,4778,3420,2255,1713,2245,- -,1841,- -,- -,- -,2283,970
77,Change in Working Capital,100000,170000,210000,90000,280000,280000,420000,273823,137704,126739,131303,-29414,35256,2060,223684,4263,143463,89871,236041,222174,-218802,49187,131291,-195430,64863,105702,-146798,-336713,-249973,-212347,-105144,-237548,-18725,-65993
78,Accounts Receivable,- -,- -,70000,-60000,-60000,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86284,73991,-49753,- -,-90529,122699,-22081,28588,-4925,-27739,41785,-94838,-211925,122581
79,Inventory,- -,-170000,-70000,20000,-110000,- -,-90000,126895,-104268,82178,-66238,27875,-204456,30347,-37825,57452,-93187,119902,-97658,-15286,-41578,136453,82059,-50047,-30642,-123736,-93445,115846,-99856,-59370,47522,-107824,191112,129873
80,Accounts Payable,- -,10000,50000,-30000,10000,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-143008,-3548,4957,5157,-8587,2393,5905,-6023,6564,3855,52288,30291,-80435,49572
81,Other Working Capital,- -,170000,380000,470000,750000,1030000,1450000,1723823,1861527,1988266,2119569,2090155,2125411,2127471,2351155,2355418,2498881,2588752,2824793,3046967,2828165,2877352,3008643,2813213,2878076,2983778,2836980,2500267,2250294,2037947,1932803,1695255,1676530,1610537
82,Other Non-Cash Items,-10000,-260000,-260000,-140000,-490000,-240000,-470000,26466,-252634,-200127,-277480,230855,-242932,41876,-280838,56709,-170146,33289,-359182,-178112,2419,248434,51530,45630,-204719,-86322,85412,429318,157715,129824,225855,136724,-76331,98837
83,Cash Provided by Operating Activities,-50000,130000,70000,290000,70000,350000,170000,578179,80820,128402,50472,290867,-140568,96020,205612,261189,231164,290605,149382,408917,-322562,346808,324116,-264214,-71595,139130,-192508,-204545,-280523,-266347,15688,-283811,-288539,131972
84,CAPEX,-20000,-20000,-20000,-40000,-20000,-40000,-30000,-68373,-29427,-25287,-15064,-69233,-71323,-33306,-35085,-113943,-96155,-18067,-28125,-49219,-13349,- -,-6040,-32059,-3398,-2639,-78360,-14480,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1344000,-817843,-12750,-990000,-1572000,-1570000,-2052000,-1981000,-1655000,-1802000,-2107000,- -,- -,- -,- -,-1000000,-900000,-1850000,-1049999,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,117595,- -,- -,- -,- -,- -,- -,803666,- -,955028,2319081,1300000,1520000,2041000,1555000,2241000,1773000,- -,- -,- -,- -,1000000,1000000,2100000,1200000,- -
88,Other Investing Activites,- -,-20000,-10000,-150000,80000,-40000,-10000,-118847,271905,-790,-30293,22525,- -,-13709,-17122,-1483,18605,-23294,17782,5512,- -,- -,-3964,2629,- -,-58408,11374,200000,202625,- -,- -,- -,- -,98917
89,Cash Used for Investing Activites,-20000,-40000,-30000,-190000,60000,-80000,-40000,-187220,362992,-25287,-41314,-42983,-71323,-47015,-1396207,-129603,-90300,-76333,736738,-313707,-545349,60000,-110004,409570,-337398,-61047,-66986,185520,202625,- -,100000,250000,150001,98917
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39450,12300,- -,- -,20500,- -,2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,20000,- -,-23981,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37191,-28523,-121,-14920,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-49537,-49537,-49537,- -,- -,- -,-76480,-50987,-51487,-51537,-103073,-103174,- -,- -,-51586,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-30000,-40000,- -,-10000,10000,- -,- -,1800,3449,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3900,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,171712,116617
95,Cash Used/Provided by Financing Activities,-30000,-40000,- -,-10000,10000,- -,20000,1800,-20532,-49537,-49537,-49537,39450,12300,- -,-76480,-30487,-51487,-49537,-103073,-99274,- -,- -,-51586,- -,- -,- -,- -,-37191,-28523,-121,-14920,171712,116617
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
