,https://roic.ai/company/AUTL,2016,2017,2018,2019,2020,2021
91,Common Stock Issued,- -,- -,128703492,- -,- -,245900000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,32222000,127686000,28216508,108863000,74415000,38163000
95,Cash Used/Provided by Financing Activities,32222000,127686000,156920000,108863000,74415000,284063000
96,Effect of Forex Changes on Cash,-2662000,561000,-5833000,5164000,679000,-754000
97,Net Change In Cash,17856000,109011000,110019000,-6125000,-57345000,156591000
98,Cash at the End of Period,28059000,137070000,247089000,211430000,154085000,310676000
99,Cash at the Beginning of Period,10203000,28059000,137070000,217555000,211430000,154085000
100,Free Cash Flow,-11704000,-19236000,-41068000,-120152000,-132439000,-126718000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1730463/000173046318000005/0001730463-18-000005-index.html,- -,https://www.sec.gov/Archives/edgar/data/1730463/000173046321000004/0001730463-21-000004-index.htm,- -
102,false,,,,,,
