,https://roic.ai/company/ESOA,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,- -,- -,548089,5907150,6117125,5893973,5848045,4239374,3384504,3291386,2503471,3235362,4209056,4157849,4395362,4892377
15,EBITDA,-225928,-2998608,5361228,-1261343,18103566,-506381,-41278483,8230415,5532432,7790327,9518353,3600662,8544788,8183552,8457811,14517823
16,EBITDA ratio,-Infinity,-Infinity,0.1880,-0.0118,0.0829,-0.0035,-0.2617,0.0756,0.0593,0.0667,0.0612,0.0256,0.0631,0.0469,0.0710,0.1185
17,Operating Income,-48754,-385773,3337038,-7175415,11638086,-6427935,-47315607,1967965,2155609,4279871,6904680,382147,3921072,3822412,3669653,-892622
18,Operating Income ratio,-Infinity,-Infinity,0.1170,-0.0672,0.0533,-0.0448,-0.3000,0.0181,0.0231,0.0366,0.0444,0.0027,0.0289,0.0219,0.0308,-0.0073
19,Total Other Income Expenses (Gains),177174,2612835,1476101,-1616566,-1493100,-1793738,-1742818,-1219802,-794890,-568349,-765052,-850271,-502015,-860931,-93450,9960748
20,Income Before Tax,128420,2227062,4813139,-8791981,10144986,-8221673,-49058425,748163,1360719,3711522,6139628,-468124,3419057,2961481,3576203,9068126
21,Income Before Tax Ratio,Infinity,Infinity,0.1688,-0.0823,0.0465,-0.0573,-0.3110,0.0069,0.0146,0.0318,0.0395,-0.0033,0.0252,0.0170,0.0300,0.0740
22,Income Tax expense (Gain),41000,846000,2001981,-2870207,4372636,-2945903,-536248,-1318854,-2342244,1597332,2898205,-80368,910034,968571,1143186,-29129
23,Net Income,87420,1381062,2811158,-5921774,5772350,-5275770,-48522177,3570206,3648197,2140530,3241423,-387756,2509023,1992910,2433017,9097255
24,Net Income ratio,Infinity,Infinity,0.0986,-0.0555,0.0264,-0.0368,-0.3076,0.0328,0.0391,0.0183,0.0208,-0.0028,0.0185,0.0114,0.0204,0.0743
25,EPS,0.02,0.13,0.26,-0.49,0.48,-0.44,-3.36,0.25,0.23,0.13,0.21,-0.05,0.15,0.12,0.15,0.65
26,EPS Diluted,0.02,0.11,0.21,-0.49,0.48,-0.44,-3.36,0.24,0.18,0.10,0.17,-0.05,0.13,0.10,0.12,0.52
27,Weighted Average Shares Outstanding,3607609,10750000,10917788,12092307,12092307,12113488,14448336,14461383,14392194,14239836,14239836,14239836,14234571,14064871,13804835,13621406
28,Weighted Average Shares Outstanding Diluted,3607609,12688930,13368960,12092307,12099390,12113488,14448336,14923255,17802443,17673169,17673169,14239836,17667904,17498204,17238168,16988424
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1357971/000118811213003589/0001188112-13-003589-index.htm,https://www.sec.gov/Archives/edgar/data/1357971/000157104914007317/0001571049-14-007317-index.htm,https://www.sec.gov/Archives/edgar/data/1357971/000157104915010029/0001571049-15-010029-index.htm,https://www.sec.gov/Archives/edgar/data/1357971/000157104916020673/0001571049-16-020673-index.htm,https://www.sec.gov/Archives/edgar/data/1357971/000114420417063923/0001144204-17-063923-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1357971/000110465919074753/0001104659-19-074753-index.htm,https://www.sec.gov/Archives/edgar/data/1357971/000110465921000500/0001104659-21-000500-index.htm,https://www.sec.gov/Archives/edgar/data/1357971/000141057821000612/0001410578-21-000612-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1109381,756782,13811661,2829988,2576551,2965296,2661721,6152382,2654154,1493040,3815790,1663222,1053247,4578275,11216820,8226739
32,Short-Term Investments,49149173,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,50258554,756782,13811661,2829988,2576551,2965296,2661721,6152382,2654154,1493040,3815790,1663222,1053247,4578275,11216820,8226739
34,Net Receivables,- -,- -,49973948,19629879,39921578,42290068,32324128,28510821,25338308,31515600,35797061,32253090,32682575,31799588,27215809,31213463
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,50769877,1121101,13181972,23908356,5105031,5716923,6275314,6387602,5238989,3896556,4057034,4129579,2734974,3338943,3541000
37,Total Current Assets,50258554,51526659,64906710,35641839,66406485,50360395,40702772,40938517,34380064,38247629,43509407,37973346,37865401,39112837,41771572,42981202
38,PP&E,- -,- -,33303463,28925649,27060408,23755135,19052977,9758883,7905237,8419667,12749678,19192508,16815989,16815201,16391714,22950019
39,Goodwill,- -,- -,35489643,38469163,36914021,36914021,- -,- -,- -,- -,- -,- -,- -,- -,- -,1814317
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2425923
41,Intangible Assets,- -,- -,35489643,38469163,36914021,36914021,- -,- -,- -,- -,- -,- -,- -,- -,- -,4240240
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1394066,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,137281,137281,137281,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,68793106,67394812,63974429,60669156,19052977,9758883,7905237,8556948,12886959,20723855,16815989,16815201,16391714,27190259
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,50258554,51526659,133699816,103036651,130380914,111029551,59755749,50697400,42285301,46804577,56396366,58697201,54681390,55928038,58163286,70171461
48,Accounts Payable,- -,- -,11845907,5375962,15073323,8600211,9917085,6367120,5443948,3671847,5006427,5522143,6204870,2919618,5222222,7285392
49,Short-Term Debt,150000,150000,24836241,15140203,20298594,18698799,28635183,15413225,3298593,6892812,9100841,13995886,9290515,8429283,4538743,8441824
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,384303,62505,171782,1076440,- -,545237,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,3697887,723161,2672294,3410548,2173965,3261201,3455288,4851900,3153290
52,Other Current Liabilities,1297540,1199564,10825802,5722231,15560275,8126236,4887040,5177153,3934774,4574630,7038682,4331282,4846752,3509373,4237172,5599702
53,Total Current Liabilities,1447540,1349564,47507950,26238396,50932192,35425246,43439308,30655385,13400476,17811583,24556498,26023276,23603338,18313562,18850037,24480208
54,Long-Term Debt,- -,- -,24272186,16097844,12174861,13621186,1623771,1058720,7936533,6802451,7390099,9702483,6468630,11024296,11233705,9020774
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,6364968,7154112,7067403,7027980,3283124,2480016,1903907,1926077,1840623,1328375,1925823,2255515,- -
57,Other Non-Current Liabilities,9988200,10143000,1662463,- -,- -,- -,1223325,756983,13170,- -,- -,- -,- -,- -,- -,2033433
58,Total Non-Current Liabilities,9988200,10143000,25934649,22462812,19328973,20688589,9875076,5098827,10429719,8706358,9316176,11543106,7797005,12950119,13489220,11054207
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,11435740,11492564,73442599,48701208,70261165,56113835,53314384,35754212,23830195,26517941,33872674,37566382,31400343,31263681,32339257,35534415
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,903,903,1209,1209,1209,1445,1446,1451,1484,1484,1484,1484,1484,1484,1484,1484
64,Retained Earnings,87420,1468482,4279640,-1642134,4130216,-1145554,-49667731,-46097525,-42835578,-41004048,-38766992,-40159865,-37959842,-36275932,-34848032,-26035015
65,Other Comprehensive Income/Loss,- -,- -,-548089,-6424355,-12310200,-18186798,-23387158,-19317335,-22381955,-25075178,-26625827,-29243614,-31462438,-34453157,-36933129,- -
66,Other Total Stockholders Equity,38734491,38564710,56524457,62400723,68298524,74246623,79494808,80356597,83671155,86364378,87915027,90532814,92701843,95391962,97603706,60670577
67,Total Stockholders Equity,38822814,40034095,60257217,54335443,60119749,54915716,6441365,14943188,18455106,20286636,22523692,21130819,23281047,24664357,25824029,34637046
68,Total Liabilities And Stockholders Equity,50258554,51526659,133699816,103036651,130380914,111029551,59755749,50697400,42285301,46804577,56396366,58697201,54681390,55928038,58163286,70171461
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,50258554,51526659,133699816,103036651,130380914,111029551,59755749,50697400,42285301,46804577,56396366,58697201,54681390,55928038,58163286,70171461
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1357971/000118811213003589/0001188112-13-003589-index.htm,https://www.sec.gov/Archives/edgar/data/1357971/000157104914007317/0001571049-14-007317-index.htm,https://www.sec.gov/Archives/edgar/data/1357971/000157104915010029/0001571049-15-010029-index.htm,https://www.sec.gov/Archives/edgar/data/1357971/000157104916020673/0001571049-16-020673-index.htm,https://www.sec.gov/Archives/edgar/data/1357971/000114420417063923/0001144204-17-063923-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1357971/000110465919074753/0001104659-19-074753-index.htm,https://www.sec.gov/Archives/edgar/data/1357971/000110465921000500/0001104659-21-000500-index.htm,https://www.sec.gov/Archives/edgar/data/1357971/000141057821000612/0001410578-21-000612-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,87420,1381062,2811158,-5921774,5772350,-5275770,-48522177,3570206,3648197,2140530,3241423,-387756,2509023,1992910,2433017,9097255
74,Depreciation and Amortization,- -,- -,548089,5907150,6117125,5893973,5848045,4239374,3384504,3291386,2503471,3235362,4209056,4157849,4395362,4892377
75,Deferred Income Tax,- -,- -,25520,-1268188,4372636,-3023334,-536248,-3148663,-2242078,1109597,1470498,-80368,-139467,597448,329692,211677
76,Stock Based Compensation,- -,- -,- -,- -,11956,71737,47826,31648,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-89648,1366081,-32778335,-7995317,6070850,-539144,-17671685,13019668,10696456,-543542,-1483137,-7002839,2311993,6537212,2122260,-4420541
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,1196448,3562220,-8840198,-5231878,2930442,-257057,1933148,4469385,-1279245
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,-5960718,9697361,-6473112,1316874,-2192616,-1876562,-2095715,1254235,515716,682727,-3285252,2302604,2063170
81,Other Working Capital,48811014,50177095,17398760,9403443,15474293,14935149,-2736536,10283132,20979588,20436046,18952909,11950070,14262063,20799275,22921535,18500994
82,Other Non-Cash Items,- -,-1874746,31237788,18865034,-18102531,6841264,62468325,-11659095,-12653631,-5992010,1048981,5104338,173082,-8958549,5705239,-8981829
83,Cash Provided by Operating Activities,-2228,872397,1844220,9586905,4242386,3968726,1634086,6053138,2833448,5961,6781236,868737,9063687,4326870,14985570,798939
84,CAPEX,- -,- -,-182440,-1227057,-2151468,-1132560,-1341811,-902172,-1566966,-2437190,-3406019,-2788272,-1883126,-3364985,-3534821,-6047693
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3400000
86,Purchases of Investments,-50004000,-41071000,-21000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,41071000,71743430,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-28901591,38432,451673,27856,241856,8868573,195382,227262,420008,275122,544595,629228,768656,758391
89,Cash Used for Investing Activites,-50004000,- -,21659399,-1188625,-1699795,-1104704,-1099955,7966401,-1371584,-2209928,-2986011,-2513150,-1338531,-2735757,-2766165,-8689302
90,Debt Repayment,- -,- -,- -,-19379953,-7937203,-13775277,-837706,-6857738,-6464879,-3875702,-2500054,-3012063,-4612615,-5425251,-13930748,-2821125
91,Common Stock Issued,53625100,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-9730987,- -,- -,- -,- -,-30,-30,- -,- -,- -,-49795,-300600,-268228,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-695367,-696117,-309000,-309000,-1005117,-309000
94,Other Financing Activites,-3541491,-192996,-717753,- -,5141175,11300000,- -,-3483610,1335431,4918982,1716708,3200025,-3363721,7956463,9623233,8030407
95,Cash Used/Provided by Financing Activities,50083609,-192996,-10448740,-19379953,-2796028,-2475277,-837706,-10341378,-5129478,1043280,-1478713,-508155,-8335131,1921612,-5580860,4900282
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,679401,13054879,-10981673,-253437,388745,-303575,3678161,-3667614,-1160687,2316512,-2152568,-609975,3512725,6638545,-2990081
98,Cash at the End of Period,77381,756782,13811661,2829988,2576551,2965296,2661721,6339882,2672268,1511581,3828093,1675525,1065550,4578275,11216820,8226739
99,Cash at the Beginning of Period,- -,77381,756782,13811661,2829988,2576551,2965296,2661721,6339882,2672268,1511581,3828093,1675525,1065550,4578275,11216820
100,Free Cash Flow,-2228,872397,1661780,8359848,2090918,2836166,292275,5150966,1266482,-2431229,3375217,-1919535,7180561,961885,11450749,-5248754
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1357971/000118811213003589/0001188112-13-003589-index.htm,https://www.sec.gov/Archives/edgar/data/1357971/000157104914007317/0001571049-14-007317-index.htm,https://www.sec.gov/Archives/edgar/data/1357971/000157104915010029/0001571049-15-010029-index.htm,https://www.sec.gov/Archives/edgar/data/1357971/000157104916020673/0001571049-16-020673-index.htm,https://www.sec.gov/Archives/edgar/data/1357971/000114420417063923/0001144204-17-063923-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1357971/000110465919074753/0001104659-19-074753-index.htm,https://www.sec.gov/Archives/edgar/data/1357971/000110465921000500/0001104659-21-000500-index.htm,https://www.sec.gov/Archives/edgar/data/1357971/000141057821000612/0001410578-21-000612-index.htm
102,false,,,,,,,,,,,,,,,,
