,https://roic.ai/company/AR,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
45,Total Non-Current Assets,- -,3455158000,3344187000,6280017000,10321335000,12906988000,13852963000,14428403000,14712851000,14274684000,12576706000,13210409000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3788800000,3618793000,6613581000,11573495000,14155224000,14255550000,15261490000,15519464000,15197569000,13150845000,13896528000
48,Accounts Payable,- -,107027000,181478000,370640000,531564000,364160000,38627000,62982000,66289000,112381000,96588000,101059000
49,Short-Term Debt,- -,- -,25000000,- -,- -,- -,- -,- -,- -,305320000,266024000,456347000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40796000,44298000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45257000,37603000
52,Other Current Liabilities,- -,148031000,169818000,251589000,623541000,343110000,778761000,699114000,787251000,622438000,575185000,1473108000
53,Total Current Liabilities,- -,255058000,376296000,622229000,1155105000,707270000,817388000,762096000,853540000,1040139000,983054000,2068117000
54,Long-Term Debt,- -,1317330000,1444058000,2078999000,4362550000,4708513000,4703973000,4800090000,5461688000,3758868000,5350378000,5089559000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,156024000,118366000
56,Deferred Tax Liabilities,- -,245327000,91692000,278580000,534423000,1370686000,950217000,779645000,650788000,781987000,412252000,318126000
57,Other Non-Current Liabilities,- -,12279000,33010000,35113000,47587000,82077000,55394000,43523000,65971000,2645832000,158866000,236268000
58,Total Non-Current Liabilities,- -,1574936000,1568760000,2392692000,4944560000,6161276000,5709584000,5623258000,6178447000,7186687000,6077520000,5762319000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,2888998000,2614809000,3420462000
61,Total Liabilities,- -,1829994000,1945056000,3014921000,6099665000,6868546000,6526972000,6385354000,7031987000,8226826000,7060574000,7830436000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,2620000,2621000,2770000,3149000,3164000,3086000,2959000,2686000,3139000
64,Retained Earnings,- -,497859000,212790000,193860000,867447000,1808811000,959995000,1575065000,1177548000,837419000,-430478000,-617377000
65,Other Comprehensive Income/Loss,- -,-601702000,-173343000,-407219000,-879643000,-1589372000,-2363778000,-3182171000,-4153725000,-3327629000,-3869116000,- -
66,Other Total Stockholders Equity,- -,2062649000,1634290000,3809399000,4393368000,5712183000,7663259000,9753123000,10638899000,9457994000,10064613000,6371398000
67,Total Stockholders Equity,- -,1958806000,1673737000,3598660000,4383793000,5934392000,6262625000,8149181000,7665808000,6970743000,5767705000,5757160000
68,Total Liabilities And Stockholders Equity,- -,3788800000,3618793000,6613581000,10483458000,12802938000,12789597000,14534535000,14697795000,15197569000,12828279000,13587596000
69,Minority Interest,- -,- -,- -,- -,1090037000,1352286000,1465953000,726955000,821669000,- -,322566000,308932000
70,Total Liabilities & Equity,- -,3788800000,3618793000,6613581000,11573495000,14155224000,14255550000,15261490000,15519464000,15197569000,13150845000,13896528000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1433270/000104746914001424/a2218464z10-k.htm,https://www.sec.gov/Archives/edgar/data/1433270/000155837015000166/ar-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1433270/000155837016003450/0001558370-16-003450-index.html,https://www.sec.gov/Archives/edgar/data/1433270/000155837017001159/0001558370-17-001159-index.html,https://www.sec.gov/Archives/edgar/data/1433270/000155837018000647/0001558370-18-000647-index.html,https://www.sec.gov/Archives/edgar/data/1433270/000155837019000629/0001558370-19-000629-index.html,https://www.sec.gov/Archives/edgar/data/1433270/000155837020000726/0001558370-20-000726-index.html,- -,https://www.sec.gov/Archives/edgar/data/1433270/000155837022001283/0001558370-22-001283-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,229000000,393000000,-285000000,-19000000,674000000,941000000,-849000000,615000000,-398000000,-340000000,-1267897000,-186899000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,865291000,- -
75,Deferred Income Tax,939000,185297000,106229000,190210000,445672000,575890000,-485392000,-295126000,-128857000,-79158000,-397482000,-74293000
76,Stock Based Compensation,- -,- -,- -,365280000,112252000,97877000,102421000,103445000,70414000,23559000,23317000,20437000
77,Change in Working Capital,-698000,78584000,-180274000,-186975000,385720000,443911000,-955767000,485792000,-117918000,-70327000,-291661000,114673000
78,Accounts Receivable,-2306000,3854000,5511000,-9314000,-45593000,-3201000,39857000,-5214000,-15156000,31631000,-9492000,-55567000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,9779000,-1875000,-2117000,1039000,-11710000,5200000,7365000,9462000,9307000,-27996000,-19282000,-1184000
81,Other Working Capital,- -,78584000,-101690000,-288665000,97055000,540966000,-414801000,70991000,-46927000,-117254000,-408915000,- -
82,Other Non-Cash Items,-101450000,-390574000,691300000,185192000,-619523000,-1052297000,3428994000,1097180000,2656348000,1569384000,1804072000,1786198000
83,Cash Provided by Operating Activities,127791000,266307000,332255000,534707000,998121000,1006381000,1241256000,2006291000,2081987000,1103458000,735640000,1660116000
84,CAPEX,-91048000,-375712000,-843398000,-1055608000,-1609418000,-696627000,-1167670000,-934768000,-722013000,-168037000,-48092000,-114761000
85,Acquisitions Net,-96060000,- -,- -,- -,- -,- -,-75516000,-235004000,-136475000,371591000,125000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-43564000,-525537000,379907000,-1617984000,-2480232000,-1601532000,-1151952000,-1291858000,-1492236000,-1245044000,-606969000,-596023000
89,Cash Used for Investing Activites,-230672000,-901249000,-463491000,-2673592000,-4089650000,-2298159000,-2395138000,-2461630000,-2350724000,-1041490000,-530061000,-710784000
90,Debt Repayment,-42080000,- -,-148000000,-690000000,-277383000,-403000000,-1217750000,- -,- -,-191092000,-1219019000,-1640305000
91,Common Stock Issued,- -,- -,- -,1578573000,1087224000,778535000,1255826000,560056000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-129084000,-38772000,-43443000,- -
93,Dividends Paid,- -,-28859000,- -,- -,- -,- -,- -,- -,- -,- -,171022000,- -
94,Other Financing Activites,143280000,658156000,294882000,1248810000,2510180000,693737000,1123943000,-107886000,369380000,787428000,885861000,690973000
95,Cash Used/Provided by Financing Activities,101200000,629297000,146882000,2137383000,3320021000,1069272000,1162019000,452170000,240296000,557564000,-205579000,-949332000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1681000,-5645000,15646000,-1502000,228492000,-222506000,8137000,-3169000,- -,- -,-205579000,-949332000
98,Cash at the End of Period,8988000,3343000,18989000,17487000,245979000,23473000,31610000,28441000,- -,- -,- -,- -
99,Cash at the Beginning of Period,10669000,8988000,3343000,18989000,17487000,245979000,23473000,31610000,28441000,- -,- -,- -
100,Free Cash Flow,36743000,-109405000,-511143000,-520901000,-611297000,309754000,73586000,1071523000,1359974000,935421000,687548000,1545355000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1433270/000104746914001424/a2218464z10-k.htm,https://www.sec.gov/Archives/edgar/data/1433270/000155837015000166/ar-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1433270/000155837016003450/0001558370-16-003450-index.html,https://www.sec.gov/Archives/edgar/data/1433270/000155837017001159/0001558370-17-001159-index.html,https://www.sec.gov/Archives/edgar/data/1433270/000155837018000647/0001558370-18-000647-index.html,https://www.sec.gov/Archives/edgar/data/1433270/000155837019000629/0001558370-19-000629-index.html,https://www.sec.gov/Archives/edgar/data/1433270/000155837020000726/0001558370-20-000726-index.html,- -,https://www.sec.gov/Archives/edgar/data/1433270/000155837022001283/0001558370-22-001283-index.htm
102,false,,,,,,,,,,,,
