,https://roic.ai/company/PACK,2017,2018,2019,2020,2021
65,Other Comprehensive Income/Loss,- -,- -,3400000,10700000,2600000
66,Other Total Stockholders Equity,61375,3620511,- -,- -,- -
67,Total Stockholders Equity,53985,291196127,531800000,522900000,636200000
68,Total Liabilities And Stockholders Equity,870815,309233566,1104400000,1133500000,1213400000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,870815,309233566,1104400000,1133500000,1213400000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1712463/000156459021010742/0001564590-21-010742-index.htm,https://www.sec.gov/Archives/edgar/data/1712463/000095017022002310/0000950170-22-002310-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,27700000,1386748,-36200000,-23400000,-2800000
74,Depreciation and Amortization,61100000,- -,58300000,62700000,73600000
75,Deferred Income Tax,-52200000,- -,-15200000,-5400000,-12800000
76,Stock Based Compensation,- -,- -,- -,- -,- -
77,Change in Working Capital,-7500000,-2807385,43122319,10200000,-23600000
78,Accounts Receivable,- -,- -,- -,- -,- -
79,Inventory,-4800000,- -,3200000,-4600000,-17200000
80,Accounts Payable,2600000,2737439,-16300000,10300000,5700000
81,Other Working Capital,-814934,-3622319,39500000,49700000,-11600000
82,Other Non-Cash Items,17100000,202621,-23722319,19700000,19900000
83,Cash Provided by Operating Activities,46200000,-1218016,26300000,63800000,54300000
84,CAPEX,-27500000,- -,-30400000,-33200000,-55700000
85,Acquisitions Net,-1600000,- -,-945600000,- -,-14100000
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,-27500000,-301000000,277700000,-34500000,-55700000
89,Cash Used for Investing Activites,-29100000,-301000000,-667900000,-34500000,-69800000
90,Debt Repayment,-56900000,-148844,-126100000,-1600000,-23200000
91,Common Stock Issued,- -,300000000,424700000,- -,104000000
92,Common Stock Repurchased,-1600000,- -,-158300000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,44300000,5256327,510700000,- -,-8800000
95,Cash Used/Provided by Financing Activities,-14200000,305107483,651000000,-1600000,72000000
96,Effect of Forex Changes on Cash,400000,- -,1300000,1100000,-1100000
97,Net Change In Cash,3300000,2889467,10700000,28800000,55400000
98,Cash at the End of Period,8600000,2891363,29900000,48500000,103900000
99,Cash at the Beginning of Period,5300000,1896,19200000,19700000,48500000
100,Free Cash Flow,18700000,-1218016,-4100000,30600000,-1400000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1712463/000156459021010742/0001564590-21-010742-index.htm,https://www.sec.gov/Archives/edgar/data/1712463/000095017022002310/0000950170-22-002310-index.htm
102,false,,,,,
