,https://roic.ai/company/PFBX,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,22690000,26910000,29680000,- -,- -,- -,- -,- -,- -,- -,- -,32000000,42000000,50000000,44000000,40000000,39000000,35000000,32000000,37000000,36000000,32000000,25000000,24000000,25000000,26000000,10002000,- -
11,COGS and Expenses,- -,- -,32210000,39280000,44090000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,- -,- -,- -,- -,- -,32235472,33424851,35440301,42250634,37284552,27423892,25065217,24565952,32343295,48893981,55970979,43573432,34289302,29674765,25032575,24628045,24956000,22156000,19311000,18493000,18503000,19750000,20928000,19308000,19462000
13,Interest Expense (Gain),- -,- -,9520000,12370000,14410000,12956362,13989638,14440905,19401284,18353585,9615637,5838639,5090899,7549510,18784628,25452394,14963347,7400904,4600712,3178089,2067208,1447000,1441000,875000,1025000,1423000,2658000,3246000,1581000,- -
14,Depreciation and Amortization,- -,- -,1360000,1300000,1320000,1382474,1574548,1661201,1827000,1864827,1842000,1676000,1447000,1473539,1606000,1712000,2451966,2390912,2351000,2210000,2048000,1750000,1817000,1754000,1823000,1914000,1964000,1914000,1954000,- -
15,EBITDA,- -,- -,19340000,23490000,24870000,23793573,28945252,25310495,27931586,25299364,15335941,14567484,14363237,17509269,39617528,43232523,24426003,13966289,7713675,5386923,6664032,458000,-2020000,-2725000,3093000,5015000,5215000,6839000,784000,8641000
16,EBITDA ratio,- -,- -,0.6211,0.6397,0.6406,3.8123,2.5799,0.9116,0.9150,0.8790,0.5442,0.5030,0.4946,0.5466,0.9340,1.0731,0.6288,0.3771,0.2192,0.1699,0.2214,0.0153,-0.0759,-0.1145,0.1339,0.2166,0.2338,0.2976,0.0314,0.3332
17,Operating Income,- -,- -,8460000,9820000,9140000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2751000,- -
18,Operating Income ratio,- -,- -,0.2717,0.2674,0.2354,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.1101,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,- -,- -,8460000,9820000,9140000,9454737,13381066,9208389,6703302,5080952,3878304,7052845,7825338,7948220,19226900,16068129,7010690,4174473,761963,-1166,2548824,-2739000,-5278000,-5354000,245000,1678000,593000,1679000,-2751000,8641000
21,Income Before Tax Ratio,- -,- -,0.2717,0.2674,0.2354,1.5149,1.1927,0.3316,0.2196,0.1765,0.1376,0.2435,0.2695,0.2481,0.4533,0.3989,0.1805,0.1127,0.0217,-0.0000,0.0847,-0.0917,-0.1984,-0.2250,0.0106,0.0725,0.0266,0.0731,-0.1101,0.3332
22,Income Tax expense (Gain),- -,- -,2840000,3150000,2990000,3087740,4591560,2958370,2065525,1082000,687582,2035000,2031300,2604000,6459000,5042000,1977000,954000,-723000,-1204000,-92000,-2201000,4726000,-762000,78000,-1080000,-36000,- -,- -,62000
23,Net Income,- -,- -,5620000,6670000,6150000,6366997,8789506,6250019,4637777,3998952,3190722,5017845,5794038,5882220,12767900,11026129,5033690,3220473,1484963,1202834,2640824,-538000,-10004000,-4592000,167000,2758000,629000,1679000,-2751000,8579000
24,Net Income ratio,- -,- -,0.1805,0.1816,0.1584,1.0201,0.7834,0.2251,0.1519,0.1389,0.1132,0.1732,0.1995,0.1836,0.3010,0.2737,0.1296,0.0870,0.0422,0.0379,0.0877,-0.0180,-0.3761,-0.1930,0.0072,0.1191,0.0282,0.0731,-0.1101,0.3308
25,EPS,- -,- -,0.95,1.13,1.04,1.08,2.98,2.12,0.79,0.71,0.57,0.90,1.04,1.06,2.30,2.01,0.94,0.62,0.29,0.23,0.51,-0.10,-1.95,-0.90,0.03,0.54,0.13,0.34,-0.56,1.76
26,EPS Diluted,- -,- -,0.95,1.13,1.04,1.08,2.98,2.12,0.79,0.71,0.57,0.90,1.04,1.06,2.30,2.01,0.94,0.62,0.29,0.23,0.51,-0.10,-1.95,-0.90,0.03,0.54,0.13,0.34,-0.56,1.76
27,Weighted Average Shares Outstanding,- -,- -,5910000,5910000,5910000,5909046,5905344,5905344,5870604,5632327,5597758,5575383,5571190,5549264,5551261,5485636,5342470,5170430,5151661,5230435,5136918,5128889,5123186,5123186,5123186,5123076,5031778,4943186,4893151,4878557
28,Weighted Average Shares Outstanding Diluted,- -,- -,5910000,5910000,5910000,5909046,5905344,5905344,5875351,5632327,5613645,5594334,5571190,5586568,5551261,5485636,5342470,5170430,5151661,5230435,5136918,5128889,5123186,5123186,5123186,5123076,5031778,4943186,4893151,4878557
29,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/770460/000095013405005919/0000950134-05-005919-index.htm,https://www.sec.gov/Archives/edgar/data/770460/000095013406005270/0000950134-06-005270-index.htm,https://www.sec.gov/Archives/edgar/data/770460/000095013407005891/0000950134-07-005891-index.htm,https://www.sec.gov/Archives/edgar/data/770460/000095013408004881/0000950134-08-004881-index.htm,https://www.sec.gov/Archives/edgar/data/770460/000095013409005320/0000950134-09-005320-index.htm,https://www.sec.gov/Archives/edgar/data/770460/000095012310023646/0000950123-10-023646-index.htm,https://www.sec.gov/Archives/edgar/data/770460/000095012311025828/0000950123-11-025828-index.htm,https://www.sec.gov/Archives/edgar/data/770460/000119312512124909/0001193125-12-124909-index.htm,https://www.sec.gov/Archives/edgar/data/770460/000119312513111893/0001193125-13-111893-index.htm,https://www.sec.gov/Archives/edgar/data/770460/000119312514103971/0001193125-14-103971-index.htm,https://www.sec.gov/Archives/edgar/data/770460/000119312515096721/0001193125-15-096721-index.htm,https://www.sec.gov/Archives/edgar/data/770460/000119312516504615/0001193125-16-504615-index.htm,https://www.sec.gov/Archives/edgar/data/770460/000119312517083143/0001193125-17-083143-index.htm,https://www.sec.gov/Archives/edgar/data/770460/000119312518081738/0001193125-18-081738-index.htm,https://www.sec.gov/Archives/edgar/data/770460/000119312519072971/0001193125-19-072971-index.htm,https://www.sec.gov/Archives/edgar/data/770460/000143774920005127/0001437749-20-005127-index.htm,https://www.sec.gov/Archives/edgar/data/770460/000143774921007386/0001437749-21-007386-index.htm,https://www.sec.gov/Archives/edgar/data/770460/000143774922007177/0001437749-22-007177-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,20611495,30359600,35540978,35145868,32034976,39654247,33861029,32724625,52277524,37793493,34665370,34015590,29155294,24146939,36928657,54019718,36264000,23556000,31396000,41116000,25281000,17191000,29424000,26975000,28763000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,258875840,275440000,215122000,202807000,233578000,245664000,222110000,196311000,- -,2404000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,20611495,30359600,35540978,35145868,32034976,39654247,33861029,32724625,52277524,37793493,34665370,34015590,29155294,24146939,36928657,312895558,311704000,238678000,234203000,274694000,270945000,239301000,225735000,26975000,31167000
34,Net Receivables,- -,- -,- -,- -,- -,3619917,3128279,3785623,4497713,3728850,2858190,3096002,2745235,4315358,8142230,7371216,5444767,4646752,3292430,2698241,2895420,2607000,2125000,1832000,1855000,1904000,1956000,1687000,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,405300000,436700000,439000000,- -,- -,- -,- -,- -,- -,-2534031,32689155140,52220931118,37747557277,34623333414,33976129643,29121491954,24119499631,36889030102,-284483978,-283040000,-211391000,-203783000,-236969000,-240392000,-218144000,-205851000,- -,- -
37,Total Current Assets,- -,- -,405300000,436700000,439000000,- -,- -,- -,- -,- -,- -,34423000,32724625000,52277524000,37793493000,34665370000,34015590000,29155294000,24146939000,36928657000,31307000,31271000,29412000,32252000,39580000,32457000,23113000,21571000,26975000,31167000
38,PP&E,- -,- -,8600000,8800000,8600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,1100000,800000,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,1100000,800000,500000,189397,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,169071687,211839026,179618183,312440611,482781749,391658917,347745608,318672707,292919713,280347368,269451081,289844000,235868000,224576000,284421000,299562000,279519000,251185000,258411000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,160716000,192224000,180393000,127044000,78013000,96010000,116095000,- -,- -
45,Total Non-Current Assets,- -,- -,9700000,9600000,9100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,450560000,428092000,404969000,411465000,377575000,375529000,367280000,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,441758529,488171143,537972418,587243934,587012222,550139176,541011502,- -,- -,- -,- -,- -,- -,- -,- -,773605455,- -,- -,- -,- -,- -,- -,- -,641051000,787646000
47,Total Assets,- -,- -,415000000,446300000,448100000,441758529,488171143,537972418,587243934,587012222,550139176,575434502,577441149,845325032,964023068,927356573,896407501,869006899,786545484,804152090,804912455,481831000,457504000,437221000,451045000,410032000,398642000,388851000,668026000,818813000
48,Accounts Payable,- -,- -,500000,1100000,1000000,- -,- -,768943,1028564,613762,300042,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,28050780,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,365400000,390200000,386600000,375800000,386349220,459131057,507171436,505986238,467799958,491800000,491600000,757800000,865800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
53,Total Current Liabilities,- -,- -,365900000,391300000,387600000,375800000,414400000,459900000,508200000,506600000,468100000,491800000,491600000,757800000,865800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
54,Long-Term Debt,- -,- -,600000,400000,200000,215094,202946,274129,23450988,5885239,334371,17180083,7204209,7352005,7267349,7100305,36937686,104270452,42957016,53323568,7911931,77684000,38708000,18409000,6257000,11198000,36142000,3526000,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,-15094,-2946,25871,-23150988,-5585239,-34371,-17080083,- -,- -,- -,- -,- -,- -,- -,- -,7962000,5783000,5351000,5545000,5068000,2773000,2784000,2996319,- -,- -
58,Total Non-Current Liabilities,- -,- -,600000,400000,200000,200000,200000,300000,300000,300000,300000,100000,7204209,7352005,7267349,7100305,36937686,104270452,42957016,53323568,15873931,83467000,44059000,23954000,11325000,13971000,38926000,6522319,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,425750,605532,627077,643196,607570,230553,39716,21901,- -,827915254,826345073,869689414,728145638,748023357,710032220,746584000,618003000,573119000,610878000,574896000,568778000,506101319,573160000,727220000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,366500000,391700000,387800000,375986767,414625750,460205532,508527077,506943196,468407570,491930553,491639716,757821901,865790373,820814949,789407387,765418962,685188622,694699789,694158289,663117000,573944000,549165000,599553000,560925000,529852000,499579000,573160000,727220000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,700000,1500000,700000,1476336,2952672,2952672,5795207,5620239,5583472,5557379,5555419,5549128,5548199,5420204,5279268,5151697,5151139,5136918,5136918,5123000,5123000,5123000,5123000,5083000,4943000,4943000,- -,- -
64,Retained Earnings,- -,- -,4900000,5100000,5400000,5924027,6739151,6837628,7093830,7052559,8510341,11574074,15391524,18942855,29253825,34458291,33412596,32853346,33302381,33350861,34964301,34259000,23743000,19151000,19318000,21563000,20324000,21855000,- -,9348000
65,Other Comprehensive Income/Loss,- -,- -,-5400000,-6200000,-6900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000000,5000000,5000000,-6000000,-28302000,2000000,-2000000,-3000000,-4000000,3000000,- -,- -
66,Other Total Stockholders Equity,- -,- -,48200000,54200000,61200000,58371399,63853570,67976586,65827820,67396228,67637793,66372496,64854490,63011148,63430671,66663129,68308250,65582894,65903342,65964522,65652947,65765000,94387000,65565000,66020000,65853000,65667000,65325000,94866000,- -
67,Total Stockholders Equity,- -,- -,48400000,54600000,60400000,65771762,73545393,77766886,78716857,80069026,81731606,83503949,85801433,87503131,98232695,106541624,107000114,103587937,101356862,109452301,110754166,99147000,94951000,91839000,88461000,89499000,86934000,95123000,94866000,91593000
68,Total Liabilities And Stockholders Equity,- -,- -,414900000,446300000,448200000,441758529,488171143,537972418,587243934,587012222,550139176,575434502,577441149,845325032,964023068,927356573,896407501,869006899,786545484,804152090,804912455,762264000,668895000,641004000,688014000,650424000,616786000,594702000,668026000,818813000
69,Minority Interest,- -,- -,100000,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-280433000,-211391000,-203783000,-236969000,-240392000,-218144000,-205851000,- -,- -
70,Total Liabilities & Equity,- -,- -,415000000,446300000,448100000,441758529,488171143,537972418,587243934,587012222,550139176,575434502,577441149,845325032,964023068,927356573,896407501,869006899,786545484,804152090,804912455,481831000,457504000,437221000,451045000,410032000,398642000,388851000,668026000,818813000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/770460/000095013405005919/0000950134-05-005919-index.htm,https://www.sec.gov/Archives/edgar/data/770460/000095013406005270/0000950134-06-005270-index.htm,https://www.sec.gov/Archives/edgar/data/770460/000095013407005891/0000950134-07-005891-index.htm,https://www.sec.gov/Archives/edgar/data/770460/000095013408004881/0000950134-08-004881-index.htm,https://www.sec.gov/Archives/edgar/data/770460/000095013409005320/0000950134-09-005320-index.htm,https://www.sec.gov/Archives/edgar/data/770460/000095012310023646/0000950123-10-023646-index.htm,https://www.sec.gov/Archives/edgar/data/770460/000095012311025828/0000950123-11-025828-index.htm,https://www.sec.gov/Archives/edgar/data/770460/000119312512124909/0001193125-12-124909-index.htm,https://www.sec.gov/Archives/edgar/data/770460/000119312513111893/0001193125-13-111893-index.htm,https://www.sec.gov/Archives/edgar/data/770460/000119312514103971/0001193125-14-103971-index.htm,https://www.sec.gov/Archives/edgar/data/770460/000119312515096721/0001193125-15-096721-index.htm,https://www.sec.gov/Archives/edgar/data/770460/000119312516504615/0001193125-16-504615-index.htm,https://www.sec.gov/Archives/edgar/data/770460/000119312517083143/0001193125-17-083143-index.htm,https://www.sec.gov/Archives/edgar/data/770460/000119312518081738/0001193125-18-081738-index.htm,https://www.sec.gov/Archives/edgar/data/770460/000119312519072971/0001193125-19-072971-index.htm,https://www.sec.gov/Archives/edgar/data/770460/000143774920005127/0001437749-20-005127-index.htm,https://www.sec.gov/Archives/edgar/data/770460/000143774921007386/0001437749-21-007386-index.htm,https://www.sec.gov/Archives/edgar/data/770460/000143774922007177/0001437749-22-007177-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,5620000,6670000,6150000,6366997,8789506,6250019,4637777,3998952,3190722,5017845,5794038,5882220,12767900,11026129,5033690,3220473,1484963,1202834,2640824,-538000,-10004000,-4592000,167000,2758000,629000,1679000,-2751000,8579000
74,Depreciation and Amortization,- -,- -,1360000,1300000,1320000,1382474,1574548,1661201,1827000,1864827,1842000,1676000,1447000,1473539,1606000,1712000,2451966,2390912,2351000,2210000,2048000,1750000,1817000,1754000,1823000,1914000,1964000,1914000,1954000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,-850000,6000000,6000000,-427200000,-38600000,-45500000,-48300000,1600000,38500000,10723000,32690402000,19286699000,-14592031000,-2262323000,-649780000,-4860296000,-5008355000,12781718000,-36897350000,-36000,-1859000,2840000,7328000,-7123000,-9344000,-1542000,5404000,4192000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,594189,-197179,288000,482000,293000,-23000,-49000,-52000,269000,-413000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,-600000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,39400000,45400000,45400000,-375800000,-414400000,-459900000,-508200000,-506600000,-468100000,-457377000,32233025000,51519724000,36927693000,34665370000,34015590000,29155294000,24146939000,36928657000,31307000,31271000,29412000,32252000,39580000,32457000,23113000,21571000,26975000,31167000
82,Other Non-Cash Items,- -,- -,710000,-4980000,-6050000,427117932,35159088,44442318,50658398,1320724,-34426977,-10758269,-32689820514,-19286150266,14594334784,2256874141,656933702,4864694680,5014899493,-12775337314,36900487070,8311000,16610000,4637000,-6174000,7408000,11025000,2098000,1315000,-8547000
83,Cash Provided by Operating Activities,- -,- -,6840000,8990000,7420000,7667403,6923142,6853538,8823175,8784503,9105745,6658576,7822524,7904493,16677684,7289270,14639358,10010065,10380456,9793520,7825894,9487000,6564000,4639000,3144000,4957000,4274000,4149000,5922000,4224000
84,CAPEX,- -,- -,-1530000,-1130000,-710000,-1873890,-8797408,- -,- -,- -,- -,-2883669,-3079803,-1563337,- -,-15828933,-1262479,-209626,-688355,-489069,-235028,-840000,-293000,-416000,-1021000,-423000,-690000,-456000,-441000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-2698737,-3331227,-1649463,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-132096695,-105616444,-223194106,-154362599,-188435410,-146328149,-304255347,-488876414,-201516103,-215467146,-254570122,-380568813,-341857583,-343023351,-178978000,-9394000,-46677000,-213785000,-94646000,-43650000,-37335000,-196453000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,72858400,112885000,129028008,59464184,190074462,166042421,143678036,176434899,168543001,320264594,296330061,259126217,277217490,407117173,359119380,358609844,143380000,73270000,56803000,150225000,79040000,61107000,71363000,193091000,- -
88,Other Investing Activites,- -,- -,-38530000,-27670000,440000,-71954324,-137374286,-40602193,-2595915,28808363,27526607,11365006,-32012923,-115424652,-51830712,-66585451,-19742181,-7711730,42044725,-24832391,-3046708,41360000,7910000,18003000,21000000,36295000,3997000,4639000,-10966000,- -
89,Cash Used for Investing Activites,- -,- -,-40060000,-28800000,-270000,-969814,-33286694,-46369617,-52079402,-5960744,39206429,-33392368,-1906173,-251136998,-220442532,28228507,23916890,14726012,67904730,-8059663,12304757,4922000,71493000,27713000,-43581000,20266000,20764000,38211000,-14769000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-12819,-13646,-14273,-15286835,-175992,-40173077,-255023,-21025629,-48067419,-81675619,-310013979,-837220928,-490608003,-2292128428,-798788000,-2051989000,-1012844000,-111072000,-126559000,-1403756000,-1017472000,-62057000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2366559,-7476,-192560,- -,-181000,- -,- -,- -,-502000,-1907000,- -,-735000,- -
93,Dividends Paid,- -,- -,-670000,-750000,-790000,-871038,-974382,-1151542,-1235428,-1297316,-1346508,-1448587,-1778198,-2109402,-2274948,-2655031,-3003342,-2614119,-1081857,-924646,-1541075,- -,-512000,- -,- -,-51000,-101000,-148000,-98000,-769000
94,Other Financing Activites,- -,- -,39660000,24010000,-3700000,-12088694,37086039,45861818,44110191,-4623062,-24059560,22565153,34898520,265301329,118641394,5946550,45206933,285394284,755016720,502773070,2290629913,766804000,1961736000,988332000,161229000,86054000,1372636000,987493000,133855000,-3381000
95,Cash Used/Provided by Financing Activities,- -,- -,38990000,23260000,-4490000,-12959732,36111657,44697457,42861117,-5934651,-40692903,20940574,-7052755,262936904,95340817,-44775900,-39472028,-29600373,-83293541,11047861,-3039590,-32165000,-90765000,-24512000,50157000,-41058000,-33128000,-30127000,70965000,-4150000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,5760000,3440000,2650000,-6262143,9748105,5181378,-395110,-3110892,7619271,-5793218,-1136404,19704399,-108424031,-9258123,-915780,-4864296,-5008355,12781718,17091061,-17756000,-12708000,7840000,9720000,-15835000,-8090000,12233000,62118000,-91376000
98,Cash at the End of Period,- -,- -,5760000,3440000,2650000,20611495,30359600,35540978,35145868,32034976,39654247,33861029,32724625,52277524,44193493,34935370,34019590,29155294,24146939,36928657,54019718,36264000,23556000,31396000,41116000,25281000,17191000,29424000,91542000,166000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,26873638,20611495,30359600,35540978,35145868,32034976,39654247,33861029,32573125,152617524,44193493,34935370,34019590,29155294,24146939,36928657,54020000,36264000,23556000,31396000,41116000,25281000,17191000,29424000,91542000
100,Free Cash Flow,- -,- -,5310000,7860000,6710000,5793513,-1874266,6853538,8823175,8784503,9105745,3774907,4742721,6341156,16677684,-8539663,13376879,9800439,9692101,9304451,7590866,8647000,6271000,4223000,2123000,4534000,3584000,3693000,5481000,4224000
