,https://roic.ai/company/RBCN,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,75000,4000,- -,-71000,16574000,-7048000,-5160000,78000,-26000,-223000,88000,24000,22000,-13000,271000
23,Net Income,-6052000,-3727000,-5361000,-7722000,-7640000,-2854000,4355000,-9630000,29111000,38059000,-5538000,-30351000,-43993000,-77830000,-62879000,-17851000,963000,-1147000,-1063000,-730000
24,Net Income ratio,-1.5043,-0.4354,-0.3342,-0.4733,-0.3682,-0.0837,0.1151,-0.4862,0.3763,0.2840,-0.0824,-0.7311,-0.9630,-3.2677,-3.2032,-3.5391,0.2483,-0.3253,-0.2380,-0.1798
25,EPS,-349.60,-354.60,-467.90,-475.20,-1465.70,-272.20,2.10,-4.80,13.40,16.70,-2.50,-13.50,-17.00,-29.80,-23.90,-6.60,0.35,-0.42,-0.43,-0.30
26,EPS Diluted,-349.60,-354.60,-467.90,-475.20,-1465.70,-272.20,1.90,-4.80,12.80,16.10,-2.50,-13.50,-17.00,-29.80,-23.90,-6.60,0.35,-0.42,-0.43,-0.30
27,Weighted Average Shares Outstanding,19852,22807,22812,24507,24984,251348,2089204,2011754,2172609,2285220,2252395,2257221,2581540,2615617,2635635,2702926,2729548,2707811,2499690,2430555
28,Weighted Average Shares Outstanding Diluted,19852,22807,22812,24507,24984,251348,2192086,2011754,2279089,2359616,2252395,2257221,2581540,2615617,2635635,2702926,2734721,2707811,2499690,2430555
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1410172/000119312509053747/0001193125-09-053747-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000119312510044875/0001193125-10-044875-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000119312511066922/0001193125-11-066922-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000119312512116342/0001193125-12-116342-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000119312513106618/0001193125-13-106618-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000119312514097229/0001193125-14-097229-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000119312515090644/0001193125-15-090644-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000119312516502855/0001193125-16-502855-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000119312517085369/0001193125-17-085369-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000121390018003197/0001213900-18-003197-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000121390019004650/0001213900-19-004650-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000121390020007034/0001213900-20-007034-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000121390021017083/0001213900-21-017083-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000121390022015233/0001213900-22-015233-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3123000,2208000,- -,1466000,3638000,4380000,7629000,3860000,16073000,4290000,19573000,21071000,24353000,21216000,17672000,11544000,11241000,8709000,11130000,11260000
32,Short-Term Investments,- -,- -,- -,- -,- -,67765000,37328000,40716000,66131000,50528000,24361000,13567000,20562000,8895000,- -,6451000,14356000,15458000,- -,14751000
33,Cash and Short-Term Investments,3123000,2208000,- -,1466000,3638000,72145000,44957000,44576000,82204000,54818000,43934000,34638000,44915000,30111000,17672000,17995000,25597000,24167000,11130000,26011000
34,Net Receivables,- -,- -,- -,2096000,2925000,4673000,2542000,4967000,18676000,32644000,12669000,3571000,8323000,1738000,2585000,718000,733000,1053000,386000,719000
35,Inventory,- -,- -,- -,3033000,1631000,2522000,7882000,8730000,18956000,40436000,47354000,46845000,30947000,27050000,9486000,3867000,2313000,1850000,1073000,658000
36,Other Current Assets,- -,- -,- -,1334000,1506000,2568000,4931000,1319000,2395000,7758000,22764000,1351000,1218000,1358000,16006000,11653000,4423000,4616000,15701000,829000
37,Total Current Assets,- -,- -,- -,7929000,9700000,81908000,60312000,59592000,122231000,135656000,126721000,86405000,85403000,60257000,45749000,34233000,33066000,31686000,28290000,28217000
38,PP&E,- -,- -,- -,20878000,19263000,26303000,39337000,39525000,82511000,120931000,119850000,115220000,107676000,57569000,7110000,815000,2728000,2647000,2482000,2301000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,13000000,2000000,2000000,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,78000,57000,3200000,-304000,69000,- -,1365000,1525000,1070000,1827000,1416000,154000,- -,- -,468000,- -,468000
45,Total Non-Current Assets,- -,- -,- -,20956000,19320000,29503000,52033000,41594000,84511000,124296000,121375000,116290000,109503000,58985000,7264000,815000,2728000,3115000,2482000,2769000
46,Other Assets,14128000,19952000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,14128000,19952000,- -,28885000,29020000,111411000,112345000,101186000,206742000,259952000,248096000,202695000,194906000,119242000,53013000,35048000,35794000,34801000,30772000,30986000
48,Accounts Payable,- -,- -,- -,820000,1481000,2572000,2440000,2056000,9255000,12831000,8954000,4465000,3754000,3256000,948000,582000,400000,733000,497000,545000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,327000
51,Deferred Revenue,- -,- -,- -,- -,- -,583000,- -,- -,- -,9000,- -,- -,10000,9000,23000,59000,39000,16000,- -,- -
52,Other Current Liabilities,- -,- -,- -,3509000,8607000,2574000,1512000,1690000,5393000,3760000,3430000,2172000,1989000,1937000,1593000,1074000,755000,807000,808000,1053000
53,Total Current Liabilities,- -,- -,- -,4329000,10088000,5729000,3952000,3746000,14648000,16600000,12384000,6637000,5753000,6702000,2564000,1715000,1194000,1556000,1305000,1598000
54,Long-Term Debt,1417000,3115000,- -,4741000,2628000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,15121000,10326000,267000,593000,554000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,59388000,93897000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,1417000,3115000,- -,64129000,96525000,- -,- -,- -,- -,15121000,10326000,267000,593000,554000,- -,- -,- -,- -,- -,- -
59,Other Liabilities,26692000,42271000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,25275000,39156000,- -,68458000,106613000,5729000,3952000,3746000,14648000,31721000,22710000,6904000,6346000,7256000,2564000,1715000,1194000,1556000,1305000,1598000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,3000,3000,24000,21000,21000,23000,24000,25000,25000,28000,28000,29000,29000,29000,29000,29000,29000
64,Retained Earnings,- -,- -,- -,-56910000,-77596000,-153609000,-149254000,-158884000,-129773000,-91714000,-97252000,-127603000,-171596000,-249426000,-312305000,-330156000,-329193000,-330340000,- -,-332133000
65,Other Comprehensive Income/Loss,- -,- -,- -,-7276000,-10121000,-12704000,-16489000,-21830000,-24600000,-33830000,-45543000,-57438000,-69572000,-33414000,-17236000,-10741000,-3672000,-3842000,- -,-1000
66,Other Total Stockholders Equity,- -,- -,- -,24610000,10121000,271971000,274115000,278133000,346444000,353751000,368156000,380807000,429700000,394798000,379961000,374201000,367436000,367398000,29906000,361493000
67,Total Stockholders Equity,-11147000,-19204000,- -,-39573000,-77593000,105682000,108393000,97440000,192094000,228231000,225386000,195791000,188560000,111986000,50449000,33333000,34600000,33245000,29935000,29388000
68,Total Liabilities And Stockholders Equity,14128000,19952000,- -,28885000,29020000,111411000,112345000,101186000,206742000,259952000,248096000,202695000,194906000,119242000,53013000,35048000,35794000,34801000,31240000,30986000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-468000,- -
70,Total Liabilities & Equity,14128000,19952000,- -,28885000,29020000,111411000,112345000,101186000,206742000,259952000,248096000,202695000,194906000,119242000,53013000,35048000,35794000,34801000,30772000,30986000
71,SEC Link,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1410172/000119312509053747/0001193125-09-053747-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000119312510044875/0001193125-10-044875-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000119312511066922/0001193125-11-066922-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000119312512116342/0001193125-12-116342-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000119312513106618/0001193125-13-106618-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000119312514097229/0001193125-14-097229-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000119312515090644/0001193125-15-090644-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000119312516502855/0001193125-16-502855-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000119312517085369/0001193125-17-085369-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000121390018003197/0001213900-18-003197-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000121390019004650/0001213900-19-004650-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000121390020007034/0001213900-20-007034-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000121390021017083/0001213900-21-017083-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000121390022015233/0001213900-22-015233-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-7722000,-7640000,-2854000,4355000,-9630000,29111000,38059000,-5538000,-30351000,-43993000,-77830000,-62879000,-17851000,963000,-1147000,-1063000,-730000
74,Depreciation and Amortization,- -,- -,- -,3293000,3108000,3366000,4452000,5342000,6066000,9724000,12027000,12660000,13637000,11404000,6100000,1173000,355000,169000,167000,140000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,13447000,-6324000,-5166000,72000,-39000,-554000,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,937000,2252000,2297000,1801000,1375000,1130000,1250000,1348000,897000,381000,523000,198000,371000
77,Change in Working Capital,- -,- -,- -,-2455000,-3988000,76567000,-19819000,-514000,51737000,11473000,-4719000,-34569000,-118000,-26095000,-10370000,-10667000,-646000,-1742000,-3145000,-366000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-2425000,-13709000,-13968000,19975000,9098000,-4752000,6585000,-847000,1867000,-15000,-320000,666000,-236000
79,Inventory,- -,- -,- -,-1572000,1402000,-891000,-5360000,2721000,-10110000,-21877000,-22310000,15955000,15515000,2239000,17904000,5575000,976000,-6000,637000,356000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-445000,7129000,3683000,-4004000,-4472000,-637000,-247000,-2354000,-369000,-182000,332000,-236000,19000
81,Other Working Capital,- -,- -,- -,3600000,-388000,76179000,56360000,55846000,107583000,119056000,114337000,79768000,79650000,53555000,43185000,32518000,31872000,30130000,26985000,26619000
82,Other Non-Cash Items,- -,- -,- -,-2527000,9179000,-69972000,12515000,573000,-65107000,-50388000,15000,56463000,10050000,74594000,51070000,24414000,-2119000,967000,4140000,524000
83,Cash Provided by Operating Activities,- -,- -,- -,-9411000,659000,7107000,1503000,-3292000,24059000,24612000,-2738000,412000,-19222000,-16716000,-15285000,-2034000,-1066000,-1230000,297000,-61000
84,CAPEX,- -,- -,- -,-4141000,-2373000,-10564000,-18701000,-5530000,-49429000,-48228000,-10975000,-8721000,-6842000,-941000,-704000,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,744000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-70941000,-2048000,-693000,-55416000,-9439000,-5281000,-2040000,-28805000,-2322000,-28000,-6498000,-8106000,-1575000,-2782000,-6000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,25039000,7922000,30000000,25000000,34300000,11390000,22700000,14000000,8928000,57000,201000,304000,1667000,3000
88,Other Investing Activites,- -,- -,- -,- -,45000,30000,- -,- -,143000,- -,10000,141000,15000,- -,5344000,2561000,8736000,701000,4907000,643000
89,Cash Used for Investing Activites,- -,- -,- -,-4141000,-2328000,-81475000,4290000,1699000,-74702000,-32667000,18054000,770000,-12932000,10737000,13540000,-3880000,831000,-570000,4536000,640000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-187000
91,Common Stock Issued,- -,- -,- -,4957000,5567000,81066000,- -,- -,61720000,- -,- -,- -,34957000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-3122000,-2577000,- -,-6487000,- -,- -,- -,- -,- -,- -,-65000,-536000,-2399000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,6113000,-1726000,-5956000,578000,417000,1115000,2490000,250000,32000,183000,1509000,-1501000,-207000,-14000,-194000,-48000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,11070000,3841000,75110000,-2544000,-2160000,62835000,-3997000,250000,32000,35140000,1509000,-1501000,-207000,-79000,-730000,-2447000,-187000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-16000,21000,269000,-283000,284000,296000,1333000,-298000,-7000,-1000,- -,-136000,- -
97,Net Change In Cash,- -,- -,- -,-2482000,2172000,742000,3249000,-3769000,12213000,-11783000,15283000,1498000,3282000,-3137000,-3544000,-6128000,-315000,-2530000,2250000,130000
98,Cash at the End of Period,- -,- -,- -,1466000,3638000,4380000,7629000,3860000,16073000,4290000,19573000,21071000,24353000,21216000,17672000,11544000,11410000,8880000,11130000,11260000
99,Cash at the Beginning of Period,- -,- -,- -,3948000,1466000,3638000,4380000,7629000,3860000,16073000,4290000,19573000,21071000,24353000,21216000,17672000,11725000,11410000,8880000,11130000
100,Free Cash Flow,- -,- -,- -,-13552000,-1714000,-3457000,-17198000,-8822000,-25370000,-23616000,-13713000,-8309000,-26064000,-17657000,-15989000,-2034000,-1066000,-1230000,297000,-61000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1410172/000119312509053747/0001193125-09-053747-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000119312510044875/0001193125-10-044875-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000119312511066922/0001193125-11-066922-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000119312512116342/0001193125-12-116342-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000119312513106618/0001193125-13-106618-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000119312514097229/0001193125-14-097229-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000119312515090644/0001193125-15-090644-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000119312516502855/0001193125-16-502855-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000119312517085369/0001193125-17-085369-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000121390018003197/0001213900-18-003197-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000121390019004650/0001213900-19-004650-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000121390020007034/0001213900-20-007034-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000121390021017083/0001213900-21-017083-index.htm,https://www.sec.gov/Archives/edgar/data/1410172/000121390022015233/0001213900-22-015233-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
