,https://roic.ai/company/ASMB,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,-104.15,-51.00,-123.35,-17.85,-9.70,-5.00,-3.40,-1.81,-2.57,-2.41,-3.98,-3.72,-1.75,-3.67
27,Weighted Average Shares Outstanding,84344,89008,123984,1922780,2545310,3878697,6998875,15702646,17226245,17750380,22801644,26258790,35427120,35427120
28,Weighted Average Shares Outstanding Diluted,84344,89008,123984,1922780,2545310,3878697,6998875,15702646,17226245,17750380,22801644,26258790,35427120,35427120
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1426800/000114420412014863/0001144204-12-014863-index.html,https://www.sec.gov/Archives/edgar/data/1426800/000114420413015576/0001144204-13-015576-index.html,https://www.sec.gov/Archives/edgar/data/1426800/000114420414019383/v371774_10k.htm,https://www.sec.gov/Archives/edgar/data/1426800/000114420415015700/v403581_10k.htm,https://www.sec.gov/Archives/edgar/data/1426800/000114420416087539/0001144204-16-087539-index.html,https://www.sec.gov/Archives/edgar/data/1426800/000114420417012234/0001144204-17-012234-index.html,https://www.sec.gov/Archives/edgar/data/1426800/000114420418013474/0001144204-18-013474-index.html,https://www.sec.gov/Archives/edgar/data/1426800/000114420419011361/0001144204-19-011361-index.html,https://www.sec.gov/Archives/edgar/data/1426800/000156459020008696/0001564590-20-008696-index.html,https://www.sec.gov/Archives/edgar/data/1426800/000156459021008878/0001564590-21-008878-index.htm,https://www.sec.gov/Archives/edgar/data/1426800/000156459022009855/0001564590-22-009855-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,15851,81288,14571055,36975434,20489219,27061268,29091113,27107526,28575085,82033209,41471000,46732000,59444000,45627000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,40556652,24388403,37914482,176609000,227311000,156969000,- -
33,Cash and Short-Term Investments,15851,81288,14571055,36975434,20489219,27061268,29091113,67664178,52963488,119947691,218080000,274043000,216413000,45627000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,2273421,2430000,3374000,1230000,336000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,805167,2519,18915,62129,59584,63672,125284,704287,611176,897400,1992000,5363000,6850000,108241000
37,Total Current Assets,821018,83807,14589970,37037563,20548803,27124940,29216397,68368465,53574664,123118512,222502000,282780000,224493000,154204000
38,PP&E,17463,12525,- -,8218,6841,7102,156441,148609,214687,860026,557000,13805000,10731000,7181000
39,Goodwill,- -,- -,- -,- -,- -,- -,12737350,12638136,12638136,12638136,12638000,12638000,12638000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,29000000,29000000,29000000,29000000,29000000,29000000,29000000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,41737350,41638136,41638136,41638136,41638000,41638000,41638000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,23392129,2435753,3347213,- -,- -,- -,101000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,31910,69922,26631,- -,- -,- -,115005,197158,255366,339558,3348000,1684000,6392000,-71325000
45,Total Non-Current Assets,49373,82447,26631,8218,6841,7102,42008796,65376032,44543942,46184933,45543000,57127000,58761000,36856000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,870391,166254,14616601,37045781,20555644,27132042,71225193,133744497,98118606,169303445,268045000,339907000,283254000,191060000
48,Accounts Payable,4125233,3362460,312896,2342074,1847245,2614619,907601,1363698,2368131,2123939,3693000,1731000,4598000,2659000
49,Short-Term Debt,170000,7840591,1219380,- -,- -,- -,- -,- -,- -,- -,- -,3186000,3404000,3151000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,5229227,5100000,6411000,8987000,2733000
52,Other Current Liabilities,417007,1154397,187536,171000,898213,23435,146420,2039204,4752823,6139000,9679000,13112000,7444000,7530000
53,Total Current Liabilities,4712240,12357448,1719812,2513074,2745458,2638054,1054021,3402902,7120954,13492166,18472000,24440000,24433000,16073000
54,Long-Term Debt,5615201,1171454,1270673,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3325000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,40555708,35560000,30637000,8987000,2733000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,11600000,11600000,11119651,2135802,3252000,2531000,2531000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108000,9082000,6725000,- -
58,Total Non-Current Liabilities,5615201,1171454,1270673,- -,- -,- -,11600000,11600000,11119651,42691510,38920000,42250000,18243000,6058000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12268000,10129000,- -
61,Total Liabilities,10327441,13528902,2990485,2513074,2745458,2638054,12654021,15002902,18240605,56183676,57392000,66690000,42676000,22131000
62,Preferred Stock,- -,- -,- -,- -,- -,220,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,445,447,6746,12406,12934,20734,10672,17226,17247,20138,25000,32000,34000,48000
64,Retained Earnings,-13354324,-17893729,-33184354,-67529084,-92319514,-111723273,-135512072,-163965905,-208227467,-251036015,-341787000,-439421000,-501573000,-631428000
65,Other Comprehensive Income/Loss,-7223,-14734,-27260,-28432,-33050,-39266,- -,-821585,-600769,-392391,-347000,-201000,-270000,-419000
66,Other Total Stockholders Equity,3904052,4545368,44830984,102077817,110149816,136235573,194072572,283511859,288688990,364528037,552762000,712807000,742387000,800728000
67,Total Stockholders Equity,-9457050,-13362648,11626116,34532707,17810186,24493988,58571172,118741595,79878001,113119769,210653000,273217000,240578000,168929000
68,Total Liabilities And Stockholders Equity,870391,166254,14616601,37045781,20555644,27132042,71225193,133744497,98118606,169303445,268045000,339907000,283254000,191060000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,870391,166254,14616601,37045781,20555644,27132042,71225193,133744497,98118606,169303445,268045000,339907000,283254000,191060000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1426800/000114420412014863/0001144204-12-014863-index.html,https://www.sec.gov/Archives/edgar/data/1426800/000114420413015576/0001144204-13-015576-index.html,https://www.sec.gov/Archives/edgar/data/1426800/000114420414019383/v371774_10k.htm,https://www.sec.gov/Archives/edgar/data/1426800/000114420415015700/v403581_10k.htm,https://www.sec.gov/Archives/edgar/data/1426800/000114420416087539/0001144204-16-087539-index.html,https://www.sec.gov/Archives/edgar/data/1426800/000114420417012234/0001144204-17-012234-index.html,https://www.sec.gov/Archives/edgar/data/1426800/000114420418013474/0001144204-18-013474-index.html,https://www.sec.gov/Archives/edgar/data/1426800/000114420419011361/0001144204-19-011361-index.html,https://www.sec.gov/Archives/edgar/data/1426800/000156459020008696/0001564590-20-008696-index.html,https://www.sec.gov/Archives/edgar/data/1426800/000156459021008878/0001564590-21-008878-index.htm,https://www.sec.gov/Archives/edgar/data/1426800/000156459022009855/0001564590-22-009855-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-8786430,-4539405,-15290625,-34344730,-24790430,-19403759,-23788799,-28453833,-44261562,-42808548,-90751000,-97634000,-62152000,-129855000
74,Depreciation and Amortization,4650,7511,12525,3746,4618,6216,10974,64989,80251,219225,643000,494000,691000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-617672,-9050249,1099000,-774000,- -,- -
76,Stock Based Compensation,460822,123758,2356087,2982949,3171093,1712947,11316941,7876584,5024512,8601442,28485000,20558000,21853000,- -
77,Change in Working Capital,2577921,-8382419,25143799,21654331,-16721144,6683541,3675490,36803187,-18511853,63172636,94403654,54310000,-58280000,-61929000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2273421,-156000,-944000,2144000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,-2481917,456097,1004433,-244192,1569000,-1962000,2867000,- -
81,Other Working Capital,-3891222,-12273641,12870158,34524489,17803345,24486886,28162376,64965563,46453710,109626346,204030000,258340000,200060000,138131000
82,Other Non-Cash Items,1595833,9306636,-17436213,-15365128,16956073,-6795033,-6188108,-34988261,23404669,-18274425,-98837654,-61021000,34931000,191784000
83,Cash Provided by Operating Activities,-4147204,-3483919,-5214427,-25068832,-21379790,-17796088,-14973502,-18697334,-34881655,1860081,-64958000,-84067000,-62957000,- -
84,CAPEX,-2876,-2573,- -,-11964,-3241,-6477,-149963,-58261,-146329,-864564,-340000,-1554000,-2220000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,509363,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-69781176,-7951257,-48234454,-183941000,-281334000,-193188000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,4983777,44294160,33456565,48884000,232570000,263478000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-81999,150,- -,- -,- -,- -,-1750000,- -
89,Cash Used for Investing Activites,-2876,-2573,- -,-11964,-3241,-6477,277401,-64855510,36196574,-15642453,-135397000,-50318000,68070000,- -
90,Debt Repayment,-1500000,- -,- -,-2792380,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,1146024,- -,- -,- -,4166494,24374614,16725946,81014989,- -,64847354,155425000,134661000,5452000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2852147,3551929,19704194,50277555,730322,- -,- -,554268,152640,2393142,4368000,4985000,2147000,- -
95,Cash Used/Provided by Financing Activities,2498171,3551929,19704194,47485175,4896816,24374614,16725946,81569257,152640,67240496,159793000,139646000,7599000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1651909,65437,14489767,22404379,-16486215,6572049,2029845,-1983587,1467559,53458124,-40562000,5261000,12712000,- -
98,Cash at the End of Period,15851,81288,14571055,36975434,20489219,27061268,29091113,27107526,28575085,82033209,41471000,46732000,59444000,- -
99,Cash at the Beginning of Period,1667760,15851,81288,14571055,36975434,20489219,27061268,29091113,27107526,28575085,82033000,41471000,46732000,59444000
100,Free Cash Flow,-4150080,-3486492,-5214427,-25080796,-21383031,-17802565,-15123465,-18755595,-35027984,995517,-65298000,-85621000,-65177000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1426800/000114420412014863/0001144204-12-014863-index.html,https://www.sec.gov/Archives/edgar/data/1426800/000114420413015576/0001144204-13-015576-index.html,https://www.sec.gov/Archives/edgar/data/1426800/000114420414019383/v371774_10k.htm,https://www.sec.gov/Archives/edgar/data/1426800/000114420415015700/v403581_10k.htm,https://www.sec.gov/Archives/edgar/data/1426800/000114420416087539/0001144204-16-087539-index.html,https://www.sec.gov/Archives/edgar/data/1426800/000114420417012234/0001144204-17-012234-index.html,https://www.sec.gov/Archives/edgar/data/1426800/000114420418013474/0001144204-18-013474-index.html,https://www.sec.gov/Archives/edgar/data/1426800/000114420419011361/0001144204-19-011361-index.html,https://www.sec.gov/Archives/edgar/data/1426800/000156459020008696/0001564590-20-008696-index.html,https://www.sec.gov/Archives/edgar/data/1426800/000156459021008878/0001564590-21-008878-index.htm,https://www.sec.gov/Archives/edgar/data/1426800/000156459022009855/0001564590-22-009855-index.htm
102,false,,,,,,,,,,,,,,
