,https://roic.ai/company/VREX,2013,2014,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,- -,- -,- -,- -,-255000000,-106000000,-87000000,-483900000,-33100000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-83300000,-89900000,36700000,-36800000,518300000,15600000,86900000,567500000,800000
95,Cash Used/Provided by Financing Activities,-83300000,-89900000,36700000,-36800000,263300000,-90400000,-100000,83600000,-32300000
96,Effect of Forex Changes on Cash,- -,- -,300000,100000,900000,-500000,-700000,900000,-100000
97,Net Change In Cash,-400000,100000,20100000,15900000,46800000,-31400000,-22100000,70800000,44000000
98,Cash at the End of Period,400000,500000,20600000,36500000,83300000,51900000,31300000,102100000,146100000
99,Cash at the Beginning of Period,800000,400000,500000,20600000,36500000,83300000,53400000,31300000,102100000
100,Free Cash Flow,82900000,95400000,50900000,45300000,54400000,64900000,52100000,-10300000,77500000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1681622/000168162217000023/0001681622-17-000023-index.html,https://www.sec.gov/Archives/edgar/data/1681622/000168162218000045/0001681622-18-000045-index.html,https://www.sec.gov/Archives/edgar/data/1681622/000168162219000083/0001681622-19-000083-index.html,https://www.sec.gov/Archives/edgar/data/1681622/000168162220000116/0001681622-20-000116-index.htm,https://www.sec.gov/Archives/edgar/data/1681622/000168162221000103/0001681622-21-000103-index.htm
102,false,,,,,,,,,
