,https://roic.ai/company/MC,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,307581000,- -
51,Deferred Revenue,- -,2649000,6838000,- -,- -,- -,- -,- -,- -,2692000,4539000
52,Other Current Liabilities,- -,117287000,97689000,255658000,244567000,320593000,322300000,508987000,461117000,527639000,811070000
53,Total Current Liabilities,- -,133860000,118789000,275546000,265770000,334919000,340623000,528771000,477224000,555357000,885492000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,196614000,191890000
55,Deferred Revenue,- -,2649000,6838000,5152000,7003000,2971000,4948000,7074000,3023000,2692000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,6051000,8466000,9166000,9270000,9469000,9241000,6777000,197625000,-2692000,- -
58,Total Non-Current Liabilities,- -,8700000,15304000,14318000,16273000,12440000,14189000,13851000,200648000,196614000,191890000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,197625000,196614000,191890000
61,Total Liabilities,- -,142560000,134093000,289864000,282043000,347359000,354812000,542622000,677872000,751971000,1077382000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,439000,514000,517000,521000,541000,575000,632000,679000,732000
64,Retained Earnings,- -,- -,- -,-24118000,-15338000,-68229000,-139918000,-237782000,-324192000,-420682000,-535282000
65,Other Comprehensive Income/Loss,- -,-7061000,-8467000,-10238000,-12484000,-1000000,-13929000,-17132000,1000000,-201000,-560000
66,Other Total Stockholders Equity,- -,267169000,28676000,147219000,195679000,280553000,478256000,658700000,765387000,900152000,- -
67,Total Stockholders Equity,- -,260108000,20648000,113377000,168374000,211845000,324950000,404361000,442827000,479948000,489068000
68,Total Liabilities And Stockholders Equity,- -,402668000,154741000,403241000,450417000,559204000,679762000,946983000,1120699000,1231919000,1566450000
69,Minority Interest,- -,- -,78045000,61008000,89044000,39596000,19306000,-32608000,-49000000,-35475000,-10769000
70,Total Liabilities & Equity,- -,402668000,232786000,464249000,539461000,598800000,699068000,914375000,1071699000,1196444000,1555681000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1596967/000104746915001351/a2223245z10-k.htm,https://www.sec.gov/Archives/edgar/data/1596967/000104746916011116/0001047469-16-011116-index.html,https://www.sec.gov/Archives/edgar/data/1596967/000155837017001153/0001558370-17-001153-index.html,https://www.sec.gov/Archives/edgar/data/1596967/000155837018001283/0001558370-18-001283-index.html,https://www.sec.gov/Archives/edgar/data/1596967/000156459019004907/0001564590-19-004907-index.html,https://www.sec.gov/Archives/edgar/data/1596967/000156459020006910/0001564590-20-006910-index.html,https://www.sec.gov/Archives/edgar/data/1596967/000156459021008170/0001564590-21-008170-index.htm,https://www.sec.gov/Archives/edgar/data/1596967/000095017022001785/0000950170-22-001785-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-8530000,35222000,7220000,-3012000,33104000,38387000,29400000,140680000,105095000,178831000,365213000
74,Depreciation and Amortization,2085000,2507000,2296000,2268000,2635000,3183000,3544000,4625000,4965000,4708000,7242000
75,Deferred Income Tax,1564000,-284000,261000,-753000,796000,-1014000,191697000,6538000,3665000,38997000,22862000
76,Stock Based Compensation,24371000,42044000,48539000,119756000,46131000,77050000,96295000,123037000,124212000,133623000,167938000
77,Change in Working Capital,-37651000,108971000,-94129000,-54745000,71216000,-7224000,-80253000,-133253000,-54467000,1996000,346920000
78,Accounts Receivable,2730000,-25696000,5805000,4604000,-7993000,5536000,-35607000,963000,7057000,-46698000,26941000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,1831000,2135000,238000,11103000,1751000,-6219000,3611000,1691000,-2569000,21461000,52874000
81,Other Working Capital,-8972000,99999000,5870000,-48875000,22341000,15117000,-65136000,-198389000,-252856000,-250860000,2350000
82,Other Non-Cash Items,-1743000,-77725000,153470000,145397000,-11580000,121074000,-7500000,249262000,25837000,71060000,26805000
83,Cash Provided by Operating Activities,-19904000,110735000,117657000,208911000,142302000,231456000,233183000,390889000,209307000,429215000,936980000
84,CAPEX,-2517000,-3682000,-1623000,-3888000,-3996000,-2870000,-5647000,-6920000,-6467000,-40659000,-16426000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29164000
86,Purchases of Investments,-29922000,-177144000,-145230000,-130994000,-157981000,-120906000,-179807000,-183972000,-212415000,-390586000,-486124000
87,Sales/Maturities of Investments,1270000,68060000,218142000,157235000,160255000,126011000,115640000,199810000,120102000,391494000,456302000
88,Other Investing Activites,-55000,-356000,379000,-3814000,-18000,-799000,387000,366000,46907000,-200000,70000
89,Cash Used for Investing Activites,-31224000,-113122000,71668000,18539000,-1740000,1436000,-69427000,9284000,-51873000,-39951000,-17014000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,164182000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-7706000,-3314000,-229000,-33766000,-51175000,-44334000,-104150000
93,Dividends Paid,-30644000,- -,-75519000,-410679000,-80909000,-154703000,-255694000,-313827000,-209178000,-282920000,-479963000
94,Other Financing Activites,-21783000,67284000,2016000,-82658000,-1125000,118000,-16589000,-4148000,7661000,-24536000,-18428000
95,Cash Used/Provided by Financing Activities,-52427000,67284000,-73503000,-329155000,-89740000,-157899000,-272512000,-351741000,-252692000,-351790000,-602541000
96,Effect of Forex Changes on Cash,293000,494000,1579000,-3375000,-744000,-4089000,3021000,-555000,2059000,-2762000,305000
97,Net Change In Cash,-103262000,65391000,117401000,-105080000,50078000,70904000,-105735000,47877000,-93199000,34712000,317730000
98,Cash at the End of Period,120232000,185623000,303024000,197944000,248022000,318926000,213191000,261771000,168572000,203284000,521014000
99,Cash at the Beginning of Period,223494000,120232000,185623000,303024000,197944000,248022000,318926000,213894000,261771000,168572000,203284000
100,Free Cash Flow,-22421000,107053000,116034000,205023000,138306000,228586000,227536000,383969000,202840000,388556000,920554000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1596967/000104746915001351/a2223245z10-k.htm,https://www.sec.gov/Archives/edgar/data/1596967/000104746916011116/0001047469-16-011116-index.html,https://www.sec.gov/Archives/edgar/data/1596967/000155837017001153/0001558370-17-001153-index.html,https://www.sec.gov/Archives/edgar/data/1596967/000155837018001283/0001558370-18-001283-index.html,https://www.sec.gov/Archives/edgar/data/1596967/000156459019004907/0001564590-19-004907-index.html,https://www.sec.gov/Archives/edgar/data/1596967/000156459020006910/0001564590-20-006910-index.html,https://www.sec.gov/Archives/edgar/data/1596967/000156459021008170/0001564590-21-008170-index.htm,https://www.sec.gov/Archives/edgar/data/1596967/000095017022001785/0000950170-22-001785-index.htm
102,false,,,,,,,,,,,
