,https://roic.ai/company/STN,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,71200000,87000000,135500000,153000000,92330000,270068000,328626000,351768000,404491000,227563670,313800093,374085808,502271000,563514000,552935000,701492000,681054000,799762000,909098000,1072304000,1461930000,1598600000,1553300000,1674500000,1581700000,1645400000
11,COGS and Expenses,108000000,122200000,172100000,195000000,136635000,328238000,391934000,420314000,476219000,462116525,726683364,857917370,1224887000,1384077000,1377661000,1316628000,1708413000,2033719000,2300623000,2656954000,4085759000,4910800000,4021900000,4493400000,4381300000,4258900000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1953000,1909000,1585000,2422000,2376000,2880000,3200000,2900000,3700000,3900000,4800000
13,Interest Expense (Gain),200000,- -,500000,- -,2480000,600000,2630000,2637000,2805000,570997,1891892,1594001,7477000,11379000,- -,11676000,10567000,10205000,10937000,13305000,31528000,29000000,31600000,73300000,53100000,42700000
14,Depreciation and Amortization,1700000,2200000,3700000,4800000,5387000,8758000,9502000,10837000,12913000,14930806,21735788,22740093,36084000,44367000,42001000,136328000,47883000,53624000,62950000,83733000,126832000,134800000,115100000,240900000,228800000,221800000
15,EBITDA,9800000,11400000,17400000,21000000,28862000,36827000,46306000,53102000,60378000,78002093,113051025,123448207,108060000,147412000,175517000,197680000,222943000,262741000,297087000,308645000,339176000,427300000,249100000,579700000,510600000,527500000
16,EBITDA ratio,0.0844,0.0867,0.0938,0.0991,0.1087,0.1032,0.1081,0.1155,0.1159,0.1487,0.1385,0.1293,0.0799,0.0970,0.1160,0.1434,0.1184,0.1175,0.1174,0.1073,0.0789,0.0831,0.0581,0.1201,0.1079,0.1153
17,Operating Income,8100000,9300000,13400000,16900000,128933000,28704000,36522000,39628000,44660000,62435167,89450140,96700765,127064000,100788000,135401000,61919000,174487000,202691000,229295000,220291000,214371000,229300000,261900000,333900000,348800000,317900000
18,Operating Income ratio,0.0698,0.0707,0.0722,0.0798,0.4855,0.0804,0.0852,0.0862,0.0857,0.1190,0.1096,0.1013,0.0940,0.0663,0.0895,0.0449,0.0927,0.0906,0.0906,0.0766,0.0499,0.0446,0.0611,0.0692,0.0737,0.0695
19,Total Other Income Expenses (Gains),-200000,-100000,-200000,-700000,-107938000,-1235000,-2348000,- -,- -,65124,-25629,2413348,-62565000,-9122000,-1885000,-12243000,-9994000,-3779000,-6095000,-8684000,-33555000,34200000,-35600000,-68400000,-132100000,-54900000
20,Income Before Tax,7900000,9200000,13200000,16200000,20995000,27469000,34174000,39628000,44660000,62500291,89424511,99114113,64499000,91666000,133516000,49676000,164493000,198912000,223200000,211607000,180816000,263500000,226300000,265500000,216700000,263000000
21,Income Before Tax Ratio,0.0680,0.0700,0.0712,0.0765,0.0791,0.0770,0.0798,0.0862,0.0857,0.1191,0.1096,0.1038,0.0477,0.0603,0.0882,0.0360,0.0874,0.0889,0.0882,0.0735,0.0420,0.0513,0.0528,0.0550,0.0458,0.0575
22,Income Tax expense (Gain),3600000,3900000,6000000,7600000,9769000,12088000,13328000,14558000,14470000,21878125,29241612,29835138,35482000,35726000,39921000,37014000,43591000,52711000,58702000,55229000,50267000,166500000,55000000,71100000,57600000,62300000
23,Net Income,4300000,5300000,7200000,8600000,11226000,15381000,20846000,25070000,30190000,40622165,60181733,69278975,29017000,55940000,93595000,12662000,120902000,146201000,164498000,156378000,130549000,97000000,47400000,194400000,171100000,200700000
24,Net Income ratio,0.0370,0.0403,0.0388,0.0406,0.0423,0.0431,0.0487,0.0545,0.0580,0.0774,0.0737,0.0726,0.0215,0.0368,0.0619,0.0092,0.0642,0.0654,0.0650,0.0543,0.0304,0.0189,0.0111,0.0403,0.0362,0.0439
25,EPS,0.09,0.11,0.12,0.15,0.20,0.23,0.29,0.34,0.41,0.51,0.67,0.76,0.32,0.61,1.02,0.14,0.66,1.58,1.76,1.66,1.22,0.85,0.42,1.74,1.43,1.80
26,EPS Diluted,0.09,0.10,0.12,0.14,0.18,0.22,0.28,0.33,0.40,0.49,0.66,0.75,0.32,0.61,1.02,0.14,0.66,1.57,1.74,1.65,1.22,0.85,0.42,1.74,1.42,1.80
27,Weighted Average Shares Outstanding,47123288,48735632,57500000,150968680,57497056,66970920,71949432,73130880,74085890,79651304,89823482,91156546,90678125,90959350,91381110,90442857,183007312,92510462,93540206,94143455,107006168,113991507,113733118,111550424,111553711,111242658
28,Weighted Average Shares Outstanding Diluted,48450704,51707317,60327869,150968680,57497056,69514584,75197936,73309136,75949686,82064980,91880508,92371967,92117460,91704918,91801990,90442857,183188376,93166492,94328059,94593935,107325791,114352920,113822318,111550424,111949305,111616665
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1131383/000090956707000532/o35435fexv99w6.htm,- -,https://www.sec.gov/Archives/edgar/data/1131383/000119907309000140/0001199073-09-000140-index.html,https://www.sec.gov/Archives/edgar/data/1131383/000119907310000127/0001199073-10-000127-index.html,https://www.sec.gov/Archives/edgar/data/1131383/000119907311000199/0001199073-11-000199-index.html,https://www.sec.gov/Archives/edgar/data/1131383/000119312512074100/0001193125-12-074100-index.html,https://www.sec.gov/Archives/edgar/data/1131383/000119312513068458/0001193125-13-068458-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1131383/000119312516476869/0001193125-16-476869-index.html,https://www.sec.gov/Archives/edgar/data/1131383/000119312517052894/0001193125-17-052894-index.html,https://www.sec.gov/Archives/edgar/data/1131383/000119312518053062/0001193125-18-053062-index.html,https://www.sec.gov/Archives/edgar/data/1131383/000119312519055515/0001193125-19-055515-index.html,https://www.sec.gov/Archives/edgar/data/1131383/000119312520050359/0001193125-20-050359-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1100000,16600000,6100000,3600000,6005000,7526000,29202000,7343000,37890000,28142807,28363234,14175191,111371000,14690000,62731000,36111000,41753000,143030000,153704000,67342000,210903000,239500000,185200000,208100000,285000000,193900000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18701000,21418000,31526000,27108000,20890000,9300000,- -,15400000,34700000,21400000
33,Cash and Short-Term Investments,1100000,16600000,6100000,3600000,6005000,7526000,29202000,7343000,37890000,28142807,28363234,14175191,111371000,14690000,62731000,36111000,60454000,164448000,185230000,94450000,231793000,248800000,185200000,223500000,319700000,215300000
34,Net Receivables,29600000,38000000,42300000,51100000,59791000,73524000,85940000,87101000,112476000,204100477,208398183,276145595,263890000,265349000,302701000,461350000,510289000,537593000,635232000,819274000,1274951000,1292500000,1370300000,1295600000,1194100000,1401200000
35,Inventory,8300000,10400000,24600000,24400000,- -,30021000,35752000,67094000,40861000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,500000,1400000,4100000,3600000,28387000,10196000,12367000,16091000,17528000,48127689,26074091,32926806,105464000,129214000,139081000,31692000,18442000,24190000,23955000,37668000,75776000,66900000,80000000,61000000,51300000,47900000
37,Total Current Assets,39500000,66400000,77100000,82700000,94183000,121267000,163261000,177629000,208755000,280370973,262835508,323247592,480725000,409253000,504513000,529153000,589185000,726231000,844417000,951392000,1582520000,1608200000,1635500000,1580100000,1565100000,1664400000
38,PP&E,7600000,14400000,17500000,19900000,36938000,41371000,51747000,67670000,48262000,58518432,65009320,88155725,114410000,108256000,113996000,107853000,115086000,133534000,152707000,158085000,213931000,212600000,289400000,845000000,687100000,710200000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,242673567,251491146,332921839,446818000,468814000,551446000,509028000,566784000,594826000,760631000,966480000,1828061000,1556600000,1621200000,1651800000,1673800000,2184300000
40,Intangible Assets,2100000,8800000,12800000,23700000,41658000,47365000,76010000,74808000,90972000,27304337,22819199,32288212,45989000,64155000,73370000,72047000,85748000,78857000,97243000,138079000,449530000,262400000,247700000,219600000,182000000,373300000
41,Intangible Assets,2100000,8800000,12800000,23700000,41658000,47365000,76010000,74808000,90972000,269977904,274310345,365210051,492807000,532969000,624816000,581075000,652532000,673683000,857874000,1104559000,2277591000,1819000000,1868900000,1871400000,1855800000,2557600000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2365000,67073000,88159000,95642000,116589000,169276000,195800000,9400000,8800000,178500000,216000000
43,Tax Assets,- -,- -,- -,- -,- -,2660000,4018000,3487000,6357000,6813583,9983691,12073692,20786000,23940000,21396000,43647000,40975000,45383000,58801000,11254000,26195000,23200000,21200000,31900000,42400000,48300000
44,Other Non-Current Assets,3800000,4700000,5000000,5400000,6382000,4558000,2735000,2981000,7754000,13098035,18337604,24874367,36158000,49127000,58787000,63263000,3791000,1188000,1029000,- -,15155000,22100000,185500000,224300000,60000000,29900000
45,Total Non-Current Assets,13500000,27900000,35300000,49000000,84978000,95954000,134510000,148946000,153345000,348407954,367640960,490313835,664161000,714292000,818995000,798203000,879457000,941947000,1166053000,1390487000,2702148000,2272700000,2374400000,2981400000,2823800000,3562000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,53000000,94300000,112400000,131700000,179161000,217221000,297771000,326575000,362100000,628778927,630476468,813561427,1144886000,1123545000,1323508000,1327356000,1468642000,1668178000,2010470000,2341879000,4284668000,3880900000,4009900000,4561500000,4388900000,5226400000
48,Accounts Payable,18500000,20200000,26400000,27400000,37722000,43300000,57413000,70255000,78718000,131008257,118680103,189442844,49774000,167175000,192106000,191859000,66464000,85100000,104086000,123402000,363940000,367100000,222600000,225500000,217600000,213100000
49,Short-Term Debt,800000,10100000,3300000,11900000,9903000,23866000,20526000,30567000,12820000,4813350,4181034,21549310,34096000,35428000,47265000,59593000,42888000,37130000,53172000,133055000,91876000,198200000,48500000,166300000,154900000,182100000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9920000,- -,3397000,- -,159000,9127000,- -,- -,1795000,11000000,2900000,28400000,24200000,26600000
51,Deferred Revenue,- -,- -,- -,- -,- -,12424000,12706000,16882000,18832000,- -,- -,- -,- -,- -,- -,- -,60822000,77803000,96082000,109159000,201766000,187400000,174400000,199200000,197300000,264800000
52,Other Current Liabilities,5600000,5700000,12700000,11800000,21042000,8838000,8308000,10802000,16385000,21992092,32841333,21705234,216139000,81208000,91971000,76064000,174984000,206951000,221729000,266438000,415236000,400600000,413100000,415300000,417400000,519400000
53,Total Current Liabilities,24900000,36000000,42400000,51100000,68667000,88428000,98953000,128506000,126755000,157813699,155702470,232697388,300009000,283811000,331342000,327516000,345158000,406984000,475069000,632054000,1072818000,1153300000,858600000,1006300000,987200000,1179400000
54,Long-Term Debt,1900000,12200000,12300000,15000000,13893000,15652000,41730000,31159000,21155000,81886266,12045666,74538683,215113000,198769000,269294000,236601000,256408000,200943000,256093000,232301000,928586000,541400000,885200000,1403000000,1160400000,1739100000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,2000000,2100000,4368000,5680000,4997000,6382000,8316000,16262356,18273532,20718045,26492000,29536000,30749000,54564000,57842000,58082000,74602000,21256000,79592000,54600000,54300000,73200000,63400000,77500000
57,Other Non-Current Liabilities,-100000,-100000,-100000,-100000,- -,- -,- -,- -,16818000,24763345,33560112,42908929,64297000,63849000,66545000,81524000,82079000,109535000,118461000,133008000,227172000,232300000,303100000,201900000,248600000,228200000
58,Total Non-Current Liabilities,1800000,12100000,14200000,17000000,18261000,21332000,46727000,37541000,46289000,122911967,63879310,138165657,305902000,292154000,366588000,372689000,396329000,368560000,449156000,386565000,1235350000,828300000,1242600000,1678100000,1472400000,2044800000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,688900000,629800000,668900000
61,Total Liabilities,26700000,48100000,56600000,68100000,86928000,109760000,145680000,166047000,173044000,280725666,219581780,370863045,605911000,575965000,697930000,700205000,741487000,775544000,924225000,1018619000,2308168000,1981600000,2101200000,2684400000,2459600000,3224200000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,218757000,221983000,225158000,226744000,240369000,262573000,276698000,289118000,871822000,878200000,867800000,879800000,932200000,972400000
64,Retained Earnings,-3500000,1800000,11700000,19800000,30752000,44701000,64905000,88266000,117874000,158334690,217750466,286780217,308629000,364569000,454301000,397847000,491251000,606056000,735917000,852725000,917883000,947100000,851200000,917700000,958600000,1043400000
65,Other Comprehensive Income/Loss,-11400000,-13300000,-14600000,-16500000,-17580000,-15897000,3213000,-12019000,-16474000,-26407722,-25094362,-69138941,1131000,-51764000,-67324000,-12449000,-18859000,11636000,60140000,165629000,167287000,49500000,163100000,54100000,24800000,-24700000
66,Other Total Stockholders Equity,41200000,57700000,58700000,60300000,79061000,78657000,- -,- -,- -,- -,- -,- -,10458000,12606000,13340000,14906000,14291000,12369000,13490000,15788000,18736000,21500000,24800000,23900000,12900000,10600000
67,Total Stockholders Equity,26300000,46200000,55800000,63600000,92233000,107461000,152091000,160528000,189056000,348053262,410894688,442698381,538975000,547394000,625475000,627048000,727052000,892634000,1086245000,1323260000,1975728000,1896300000,1906900000,1875500000,1928500000,2001700000
68,Total Liabilities And Stockholders Equity,53000000,94300000,112400000,131700000,179161000,217221000,297771000,326575000,362100000,628778928,630476468,813561426,1144886000,1123359000,1323405000,1327253000,1468539000,1668178000,2010470000,2341879000,4283896000,3877900000,4008100000,4559900000,4388100000,5225900000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1,- -,1,- -,186000,103000,103000,103000,- -,- -,- -,772000,3000000,1800000,1600000,800000,500000
70,Total Liabilities & Equity,53000000,94300000,112400000,131700000,179161000,217221000,297771000,326575000,362100000,628778927,630476468,813561427,1144886000,1123545000,1323508000,1327356000,1468642000,1668178000,2010470000,2341879000,4284668000,3880900000,4009900000,4561500000,4388900000,5226400000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1131383/000090956707000532/o35435fexv99w6.htm,- -,https://www.sec.gov/Archives/edgar/data/1131383/000119907309000140/0001199073-09-000140-index.html,https://www.sec.gov/Archives/edgar/data/1131383/000119907310000127/0001199073-10-000127-index.html,https://www.sec.gov/Archives/edgar/data/1131383/000119907311000199/0001199073-11-000199-index.html,https://www.sec.gov/Archives/edgar/data/1131383/000119312512074100/0001193125-12-074100-index.html,https://www.sec.gov/Archives/edgar/data/1131383/000119312513068458/0001193125-13-068458-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1131383/000119312516476869/0001193125-16-476869-index.html,https://www.sec.gov/Archives/edgar/data/1131383/000119312517052894/0001193125-17-052894-index.html,https://www.sec.gov/Archives/edgar/data/1131383/000119312518053062/0001193125-18-053062-index.html,https://www.sec.gov/Archives/edgar/data/1131383/000119312519055515/0001193125-19-055515-index.html,https://www.sec.gov/Archives/edgar/data/1131383/000119312520050359/0001193125-20-050359-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,4300000,5300000,7200000,8600000,11226000,15381000,20846000,25070000,30190000,40622165,60181733,69278975,29017000,55940000,93595000,12662000,120902000,146201000,164498000,156378000,130549000,97000000,47400000,194400000,171100000,200700000
74,Depreciation and Amortization,1700000,2200000,3700000,4800000,5387000,8758000,9502000,10837000,12913000,14930806,21735788,22740093,36084000,44367000,42001000,136328000,47883000,53624000,62950000,83733000,126832000,134800000,115100000,240900000,228800000,221800000
75,Deferred Income Tax,500000,-400000,- -,- -,- -,- -,379000,4508000,-3595000,143040,-2242544,-5159400,-5731000,-5873000,-2508000,4281000,-1070000,-7430000,-1026000,-6298000,12562000,-26400000,- -,- -,- -,-4400000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5118000,3985000,2822000,5575000,7507000,12707000,7659000,11200000,8912000,9500000,- -,- -,- -,46700000
77,Change in Working Capital,-2600000,-9500000,- -,-8900000,22492000,- -,-6951000,-23599000,37538000,-9552274,7227400,-5904261,28678000,-33552000,-21330000,-47073000,-2159000,52939000,-28093000,-39966000,-2528000,84200000,- -,- -,- -,-126400000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23987000,37298000,11586000,11917000,-4375000,-13472000,12509000,-7897000,32766000,70700000,- -,- -,- -,-8400000
79,Inventory,-2000000,-2100000,- -,- -,- -,- -,-5731000,- -,30218000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15936000,-17757000,32727000,2322000,-21103000,1699000,-172800000,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,22492000,- -,- -,- -,- -,-5183162,-2047996,4220876,24033000,- -,- -,-7247000,10622000,13537000,11731000,-16431000,-32556000,-32200000,- -,- -,- -,34900000
82,Other Non-Cash Items,100000,2400000,1100000,2400000,- -,-10706000,12178000,77000,305000,11169904,6486486,6543848,66864000,35110000,204000,2813000,7475000,14088000,1233000,472000,9361000,-35400000,10100000,-435300000,-399900000,58600000
83,Cash Provided by Operating Activities,4000000,- -,12000000,6900000,39105000,13433000,35954000,16893000,77351000,57313641,93388863,87499255,160030000,99977000,114784000,114586000,180538000,272129000,207221000,205519000,285688000,263700000,172600000,- -,- -,397000000
84,CAPEX,- -,-18100000,-11300000,-10300000,-18894000,-10688000,-17444000,-28713000,-17488000,-17005466,-18920084,-27290694,-35637000,-20428000,-28987000,-25790000,-31749000,-57129000,-46071000,-41675000,-65825000,-66800000,-134200000,-60300000,-34200000,-50600000
85,Acquisitions Net,- -,- -,- -,- -,-19645000,-3786000,-17409000,-6046000,-18845000,-91382719,7611836,-105353064,-92087000,-73078000,-66989000,-76434000,-102019000,-43539000,-123713000,-203461000,-1072565000,256900000,-142500000,-77100000,-50600000,-702500000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3785878,- -,-11040000,-7301000,-8393000,-12594000,-25129000,-16066000,-7487000,-12111000,-8000000,- -,- -,-20700000,-61600000
87,Sales/Maturities of Investments,-3400000,- -,- -,- -,279000,1131000,2158000,195000,55000,522154,9320,50651,5829000,- -,11263000,10767000,2176000,4681000,3531000,4922000,14179000,336600000,- -,- -,- -,47800000
88,Other Investing Activites,300000,300000,800000,600000,270000,1920000,3468000,1075000,26124000,-6734504,-4250932,1206674,-5768000,-1731000,-2850000,-3492000,-8220000,-807000,4636000,-8284000,-7818000,-463900000,1200000,-1400000,500000,-2700000
89,Cash Used for Investing Activites,-3100000,-17800000,-10500000,-9700000,-37990000,-11423000,-29227000,-33489000,-10154000,-114600535,-15549860,-135172311,-127663000,-103215000,-91602000,-99384000,-143341000,-117433000,-174318000,-252394000,-1136582000,60300000,-266100000,-135200000,-102000000,-764800000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-166828000,-155257000,-188657000,-238287000,-104629000,-77195000,-141997000,-151200000,-421630000,-478500000,-165100000,-250100000,-623500000,-186400000
91,Common Stock Issued,- -,14600000,- -,- -,17519000,2140000,18484000,651000,3490000,960577,1865098,1919754,1199000,2346000,3044000,2867000,10205000,16504000,10587000,9480000,608933000,7900000,6900000,18900000,- -,- -
92,Common Stock Repurchased,-2600000,- -,-500000,-1000000,-525000,-2293000,-880000,-1392000,-720000,-195372,-1015844,-293972,-8914000,- -,-4887000,-11074000,- -,- -,- -,- -,-18210000,-14400000,-74700000,-41200000,-80300000,-50700000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20601000,-29782000,-33641000,-38334000,-46112000,-55500000,-61300000,-64000000,-68000000,-72300000
94,Other Financing Activites,- -,9800000,-2600000,-1200000,-15753000,-12428000,12076000,-20592000,-38737000,47085708,-78257222,32253451,228337000,68771000,216948000,204621000,83751000,36319000,140320000,135758000,872155000,259400000,312200000,50400000,359200000,585900000
95,Cash Used/Provided by Financing Activities,-2600000,24400000,-3100000,-2200000,1241000,-12581000,29680000,-21333000,-35967000,47850913,-77407968,33879233,53794000,-84140000,26448000,-41873000,-31274000,-54154000,-24731000,-44296000,995136000,-281100000,18000000,-286000000,-412600000,276500000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-60000,-1081000,-683000,-311664,-210857,-394279,3643000,-1911000,-1589000,51000,-281000,1780000,2502000,4809000,-681000,-14300000,21200000,-12500000,-8400000,-6800000
97,Net Change In Cash,-1600000,6500000,-1500000,-5000000,2356000,-10571000,36347000,-39010000,30547000,-9747645,220177,-14188102,89804000,-89289000,48041000,-26620000,5642000,102322000,10674000,-86362000,143561000,28600000,-54300000,18800000,80800000,-98100000
98,Cash at the End of Period,1100000,7600000,6100000,1100000,3426000,-7145000,29202000,-9808000,37890000,28142807,28363234,14175191,103979000,14690000,62731000,36111000,41753000,143030000,153704000,67342000,210903000,239500000,185200000,204000000,284800000,186700000
99,Cash at the Beginning of Period,2700000,1100000,7600000,6100000,1070000,3426000,-7145000,29202000,7343000,37890452,28143057,28363293,14175000,103979000,14690000,62731000,36111000,40708000,143030000,153704000,67342000,210900000,239500000,185200000,204000000,284800000
100,Free Cash Flow,4000000,-18100000,700000,-3400000,20211000,2745000,18510000,-11820000,59863000,40308175,74468779,60208561,124393000,79549000,85797000,88796000,148789000,215000000,161150000,163844000,219863000,196900000,38400000,392200000,569600000,346400000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1131383/000090956707000532/o35435fexv99w6.htm,- -,https://www.sec.gov/Archives/edgar/data/1131383/000119907309000140/0001199073-09-000140-index.html,https://www.sec.gov/Archives/edgar/data/1131383/000119907310000127/0001199073-10-000127-index.html,https://www.sec.gov/Archives/edgar/data/1131383/000119907311000199/0001199073-11-000199-index.html,https://www.sec.gov/Archives/edgar/data/1131383/000119312512074100/0001193125-12-074100-index.html,https://www.sec.gov/Archives/edgar/data/1131383/000119312513068458/0001193125-13-068458-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1131383/000119312516476869/0001193125-16-476869-index.html,https://www.sec.gov/Archives/edgar/data/1131383/000119312517052894/0001193125-17-052894-index.html,https://www.sec.gov/Archives/edgar/data/1131383/000119312518053062/0001193125-18-053062-index.html,https://www.sec.gov/Archives/edgar/data/1131383/000119312519055515/0001193125-19-055515-index.html,https://www.sec.gov/Archives/edgar/data/1131383/000119312520050359/0001193125-20-050359-index.html,- -,- -
102,Forex Rate,0.7294,0.6995,0.6534,0.6915,0.6672,0.6281,0.6358,0.771,0.8312,0.8601,0.8579,1.0035,0.8218,0.9507,1.0027,0.9807,1.0067,0.9413,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851,0.7913
