,https://roic.ai/company/CNFR,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
40,Intangible Assets,- -,1245000,1171000,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,2349000,2275000,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,57149000,105238000,117724000,128530000,157650000,140102000,169732000,183207000,159714000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,-70224000,-65852000,-88136000,-58244000,18475000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,47500000,62678000,69514000,81858000,188207000,- -,- -
46,Other Assets,- -,96856000,163738000,- -,- -,- -,- -,- -,253404000,236281000
47,Total Assets,- -,96856000,163738000,177927000,203701000,239032000,232752000,195671000,261597000,290404000
48,Accounts Payable,- -,3338000,9590000,3827000,4879000,11611000,5751000,- -,8693000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,2000000,5000000,33564000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,84088000,113278000,145568000,151336000,166716000,35997000,- -
53,Total Current Liabilities,- -,- -,- -,87915000,118157000,157179000,157087000,168716000,49690000,33564000
54,Long-Term Debt,- -,13087000,27562000,12750000,17750000,29027000,33502000,33824000,35997000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,5677000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,-5677000,2000000,- -,216337000
58,Total Non-Current Liabilities,- -,13087000,27562000,12750000,17750000,29027000,33502000,35824000,35997000,216337000
59,Other Liabilities,- -,88692000,141022000,- -,- -,- -,- -,- -,203491000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,75605000,113460000,100665000,135907000,186206000,190589000,204540000,217184000,249901000
62,Preferred Stock,- -,- -,6119000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,16883000,46119000,80111000,80342000,86199000,86533000,91816000,92486000,92692000
64,Retained Earnings,- -,3851000,-3095000,-3031000,-11468000,-33010000,-41758000,-49580000,-48985000,-50079000
65,Other Comprehensive Income/Loss,- -,536000,1158000,182000,-1080000,-363000,-2612000,489000,912000,-2110000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,21270000,50301000,77262000,67794000,52826000,42163000,42725000,44413000,40503000
68,Total Liabilities And Stockholders Equity,- -,96875000,163761000,177927000,203701000,239032000,232752000,247265000,261597000,290404000
69,Minority Interest,- -,-19000,-23000,- -,- -,- -,- -,-51594000,- -,- -
70,Total Liabilities & Equity,- -,96856000,163738000,177927000,203701000,239032000,232752000,195671000,261597000,290404000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1502292/000150229216000019/0001502292-16-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1502292/000150229217000007/0001502292-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1502292/000150229218000011/0001502292-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1502292/000150229219000008/0001502292-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1502292/000156459020010435/0001564590-20-010435-index.htm,https://www.sec.gov/Archives/edgar/data/1502292/000156459021012548/0001564590-21-012548-index.htm,https://www.sec.gov/Archives/edgar/data/1502292/000156459022009601/0001564590-22-009601-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,413000,349000,-6935000,64000,-8437000,-21542000,-9227000,-7822000,595000,-1094000
74,Depreciation and Amortization,248000,268000,371000,398000,401000,372000,386000,453000,437000,- -
75,Deferred Income Tax,-31000,4000,-302000,- -,-147000,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,303000,856000,895000,970000,959000,706000,- -
77,Change in Working Capital,1415000,- -,- -,42512000,-19646000,-10527000,-18532000,-155059000,119755000,62056000
78,Accounts Receivable,3435000,-1563000,-2919000,-5670000,-6941000,-14792000,-10995000,11359000,1689000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-1058000,1449000,6252000,-4985000,566000,3601000,3014000,-1462000,-895000,- -
81,Other Working Capital,- -,- -,- -,42512000,22866000,12339000,-6193000,-161252000,-41497000,20559000
82,Other Non-Cash Items,-783000,1921000,13171000,-46413000,33139000,39892000,9395000,176830000,-118511000,-60962000
83,Cash Provided by Operating Activities,1262000,2542000,6305000,-3136000,6166000,9090000,-17008000,15361000,2982000,- -
84,CAPEX,-54000,-283000,-444000,-167000,-195000,-13000,-86000,-61000,-78000,- -
85,Acquisitions Net,- -,8832000,- -,-1323000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-37006000,-67435000,-130393000,-118620000,-166965000,-218492000,-91293000,-157235000,-391588000,- -
87,Sales/Maturities of Investments,36269000,62551000,83137000,104816000,156409000,192551000,103601000,132283000,384329000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-791000,3665000,-47700000,-15294000,-10751000,-25954000,12222000,-25013000,-7337000,- -
90,Debt Repayment,- -,-250000,-4025000,-19212000,-2000000,-19750000,-19500000,-100000,-625000,- -
91,Common Stock Issued,382000,50000,28475000,36066000,- -,5000000,- -,5000000,- -,- -
92,Common Stock Repurchased,-480000,- -,- -,-6275000,-625000,- -,-636000,-676000,-36000,- -
93,Dividends Paid,- -,- -,-191000,-384000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1500000,1350000,24328000,2450000,7000000,30989000,23846000,2100000,5745000,- -
95,Cash Used/Provided by Financing Activities,1402000,1150000,48587000,12645000,4375000,16239000,3710000,6324000,5084000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1873000,7357000,7192000,-5785000,-210000,-625000,-1076000,-3328000,729000,- -
98,Cash at the End of Period,3939000,11296000,18488000,12703000,12493000,11868000,10792000,7464000,8193000,- -
99,Cash at the Beginning of Period,2066000,3939000,11296000,18488000,12703000,12493000,11868000,10792000,7464000,8193000
100,Free Cash Flow,1208000,2259000,5861000,-3303000,5971000,9077000,-17094000,15300000,2904000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1502292/000150229216000019/0001502292-16-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1502292/000150229217000007/0001502292-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1502292/000150229218000011/0001502292-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1502292/000150229219000008/0001502292-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1502292/000156459020010435/0001564590-20-010435-index.htm,https://www.sec.gov/Archives/edgar/data/1502292/000156459021012548/0001564590-21-012548-index.htm,https://www.sec.gov/Archives/edgar/data/1502292/000156459022009601/0001564590-22-009601-index.htm
102,false,,,,,,,,,,
