,https://roic.ai/company/WWW,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,228800000,186500000,176100000,183700000,189200000,189800000,208100000,204000000,205700000,230200000,283600000,361600000,- -,449700000,521500000,494600000,543700000,532000000,- -,578900000,626580000,671100000,638378000,- -,664800000,707900000,851652000,2614400000,2622200000,- -,2504500000,2431700000,2399000000,2183100000,2480000000,- -,2137400000
48,Accounts Payable,- -,- -,- -,- -,13000000,17200000,15800000,14400000,12700000,18300000,15200000,41300000,- -,24300000,14900000,20900000,28400000,29500000,- -,26300000,41107000,47400000,51551000,- -,45300000,42300000,57099000,160900000,135200000,- -,149400000,150800000,162300000,202300000,202100000,- -,185000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,2300000,1000000,- -,3300000,6500000,900000,100000,15030000,- -,16020000,10972000,10730000,10731000,- -,59505000,538000,11515000,30750000,53300000,- -,46700000,40400000,38000000,132500000,406600000,- -,44000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6125000,23408000,10915000,17092000,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4032000,2927000,2992000,- -,6528000,- -,8346000,- -,- -,8127000,12475000,- -,27955000,15000000,- -,12000000,- -,4000000,3000000,2000000,- -,- -
52,Other Current Liabilities,46100000,41700000,30800000,32900000,20900000,27300000,45900000,38000000,25600000,23000000,20100000,27500000,- -,37300000,29900000,28168000,43073000,32678000,- -,36952000,51958000,54424000,60350000,- -,78368000,77587000,80064000,99695000,125800000,- -,132600000,142500000,158000000,135300000,176700000,- -,177000000
53,Total Current Liabilities,46100000,41700000,30800000,32900000,33900000,44500000,61700000,52400000,38300000,43000000,37600000,69800000,- -,64900000,51300000,54000000,74500000,80200000,- -,85800000,104037000,120900000,122632000,- -,191300000,132900000,148678000,319300000,329300000,- -,340700000,333700000,362300000,473100000,787400000,- -,406000000
54,Long-Term Debt,63100000,40800000,34300000,38200000,36300000,34300000,31600000,42700000,44900000,43500000,30600000,41200000,- -,89800000,157100000,87900000,75800000,57900000,- -,43900000,21439000,10700000,- -,- -,- -,1100000,- -,1219300000,1096700000,- -,854100000,780300000,744600000,438000000,425900000,- -,712500000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,2300000,- -,- -,- -,- -,- -,- -,1300000,1500000,1900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9658000,- -,- -,- -,- -,- -,- -,240523000,253900000,- -,217000000,161000000,84200000,107900000,99000000,- -,35500000
57,Other Non-Current Liabilities,2400000,2000000,3200000,3000000,3000000,3400000,4400000,7500000,8200000,9300000,11100000,11300000,- -,12500000,12800000,15400000,19200000,24800000,- -,19100000,29125000,34900000,36967000,- -,43600000,91900000,124324000,192877000,104700000,- -,159200000,182600000,258300000,178100000,401000000,- -,410400000
58,Total Non-Current Liabilities,67800000,42800000,37500000,41200000,39300000,37700000,36000000,51500000,54600000,54700000,41700000,52500000,- -,102300000,169900000,103300000,95000000,82700000,- -,63000000,60222000,45600000,36967000,- -,43600000,93000000,124324000,1652700000,1455300000,- -,1230300000,1123900000,1087100000,724000000,925900000,- -,1158400000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,181300000,- -,164300000
61,Total Liabilities,113900000,84500000,68300000,74100000,73200000,82200000,97700000,103900000,92900000,97700000,79300000,122300000,- -,167200000,221200000,157300000,169500000,162900000,- -,148800000,164259000,166500000,159599000,- -,234900000,225900000,273002000,1972000000,1784600000,- -,1571000000,1457600000,1449400000,1197100000,1713300000,- -,1564400000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18800000,28400000,- -,43300000,43800000,44800000,45400000,45800000,- -,46700000,59212000,60500000,61085000,- -,61700000,62800000,65019000,66500000,100800000,- -,102300000,105600000,106400000,107600000,108300000,- -,110400000
64,Retained Earnings,86600000,73600000,80100000,87000000,93200000,86400000,88600000,76600000,87000000,101900000,123600000,153500000,- -,190800000,227800000,260200000,298800000,339500000,- -,382600000,452672000,519800000,591706000,- -,666000000,706400000,889765000,946800000,743100000,- -,852200000,1015100000,992200000,1169700000,1263300000,- -,1093300000
65,Other Comprehensive Income/Loss,-38400000,-41500000,-43500000,-46600000,-49400000,-51600000,-55900000,-55800000,-59000000,-61700000,-4400000,-5600000,- -,-8800000,-14000000,-17000000,-17600000,-27355000,- -,4402000,3525000,3923000,22268000,- -,-42834000,-42806000,-71029000,-87542000,-9200000,- -,-49500000,-81100000,-75200000,-88300000,-102100000,- -,-130600000
66,Other Total Stockholders Equity,66700000,69900000,71200000,69200000,72200000,72800000,77700000,79300000,84800000,92300000,66200000,63000000,- -,57100000,42700000,49200000,47600000,11152000,- -,-3608000,-53088000,-79664000,- -,- -,-254944000,-244361000,-305105000,-283366000,2900000,- -,28500000,-73100000,-73800000,-203000000,-502800000,- -,-511700000
67,Total Stockholders Equity,114900000,102000000,107800000,109600000,116000000,107600000,110400000,100100000,112800000,132500000,204200000,239300000,- -,282400000,300300000,337200000,374200000,369097000,- -,430094000,462321000,504559000,478779000,- -,429922000,482033000,578650000,642392000,837600000,- -,933500000,966500000,949600000,986000000,766700000,- -,561400000
68,Total Liabilities And Stockholders Equity,228800000,186500000,176100000,183700000,189200000,189800000,208100000,204000000,205700000,230200000,283500000,361600000,- -,449600000,521500000,494500000,543700000,531997000,- -,578894000,626580000,671059000,638378000,- -,664822000,707933000,851652000,2614392000,2622200000,- -,2504500000,2424100000,2399000000,2183100000,2480000000,- -,2125800000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,100000,- -,100000,- -,3000,- -,6000,- -,41000,- -,- -,-22000,-33000,- -,8000,- -,- -,- -,7600000,- -,- -,- -,- -,11600000
70,Total Liabilities & Equity,228800000,186500000,176100000,183700000,189200000,189800000,208100000,204000000,205700000,230200000,283600000,361600000,- -,449700000,521500000,494600000,543700000,532000000,- -,578900000,626580000,671100000,638378000,- -,664800000,707900000,851652000,2614400000,2622200000,- -,2504500000,2431700000,2399000000,2183100000,2480000000,- -,2137400000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/110471/000090572995000017/0000905729-95-000017-index.html,https://www.sec.gov/Archives/edgar/data/110471/000090572996000049/0000905729-96-000049-index.html,https://www.sec.gov/Archives/edgar/data/110471/000090572997000052/0000905729-97-000052-index.html,undefined,- -,https://www.sec.gov/Archives/edgar/data/110471/000090572999000076/0000905729-99-000076-index.html,https://www.sec.gov/Archives/edgar/data/110471/000090572901500086/0000905729-01-500086-index.html,https://www.sec.gov/Archives/edgar/data/110471/000090572902000051/0000905729-02-000051-index.html,https://www.sec.gov/Archives/edgar/data/110471/000090572903000154/0000905729-03-000154-index.html,undefined,https://www.sec.gov/Archives/edgar/data/110471/000090572904000147/0000905729-04-000147-index.html,https://www.sec.gov/Archives/edgar/data/110471/000090572906000156/www10k_031506.htm,https://www.sec.gov/Archives/edgar/data/110471/000090572907000103/www10k_022807.htm,- -,undefined,https://www.sec.gov/Archives/edgar/data/110471/000136231009003153/0001362310-09-003153-index.html,https://www.sec.gov/Archives/edgar/data/110471/000095012310020483/0000950123-10-020483-index.html,https://www.sec.gov/Archives/edgar/data/110471/000119312512089426/0001193125-12-089426-index.html,https://www.sec.gov/Archives/edgar/data/110471/000119312513079739/0001193125-13-079739-index.html,https://www.sec.gov/Archives/edgar/data/110471/000011047114000003/wolverineform10-k2013.htm,undefined,https://www.sec.gov/Archives/edgar/data/110471/000011047115000012/wolverineform10-k2014.htm,https://www.sec.gov/Archives/edgar/data/110471/000011047117000010/0000110471-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/110471/000011047118000010/0000110471-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/110471/000011047119000009/0000110471-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/110471/000011047120000008/0000110471-20-000008-index.html,undefined,https://www.sec.gov/Archives/edgar/data/110471/000011047121000008/0000110471-21-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,7300000,-5700000,3300000,-11000000,11500000,16600000,24100000,32900000,- -,41500000,41700000,10700000,45200000,47900000,- -,51700000,74467000,83600000,92886000,- -,95800000,61900000,123287000,80700000,100400000,- -,133100000,87700000,300000,200100000,128500000,- -,-136900000
74,Depreciation and Amortization,- -,- -,- -,- -,4900000,5100000,5000000,5200000,5200000,5700000,5800000,7100000,- -,9200000,13000000,17700000,17600000,16800000,- -,18000000,20040000,20600000,22791000,- -,20700000,17600000,15907000,27700000,56200000,- -,53300000,43500000,37200000,31500000,32700000,- -,32800000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-3600000,-1900000,1800000,3300000,200000,1900000,-200000,- -,4600000,500000,-4100000,5200000,200000,- -,-900000,-4908000,-8500000,-5660000,- -,- -,-7800000,7676000,-4200000,-27800000,- -,-19100000,-5800000,-75800000,22100000,-9000000,- -,-56900000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7155000,- -,- -,8164000,8935000,14074000,14988000,28200000,- -,25100000,22800000,25400000,31200000,24500000,- -,28900000
77,Change in Working Capital,- -,- -,- -,- -,1700000,-10500000,-3400000,1500000,15900000,14300000,51800000,17500000,- -,44200000,50700000,-29700000,29200000,-17200000,- -,17700000,-3889000,47689000,-41391000,- -,-40509000,88100000,46918000,269782000,33100000,- -,-87200000,37200000,14300000,-317400000,-214900000,- -,318500000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12700000,-42600000,- -,-12100000,-14000000,2175000,9178000,-5879000,- -,15534000,- -,6409000,- -,- -,3419000,9817000,-24802000,15136000,-41300000,- -,76500000,32300000,-2700000,-95000000,30700000,- -,64800000
79,Inventory,- -,- -,- -,- -,-1100000,1800000,-1500000,-2300000,-6300000,-11500000,-9400000,-29000000,- -,-26400000,-23200000,11678000,-31655000,24884000,- -,17069000,19375000,-18764000,22450000,- -,-39201000,44500000,-28120000,-29334000,35100000,- -,2900000,110000000,45400000,-44500000,-23800000,- -,107200000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5064000,-7326000,-7054000,5907000,-26500000,- -,16200000,-50400000,11200000,40600000,- -,- -,-18900000
81,Other Working Capital,- -,- -,- -,- -,107700000,97200000,93800000,95300000,111200000,125500000,177300000,194800000,- -,239000000,289700000,271100000,300300000,283100000,- -,300800000,316711000,364400000,323009000,- -,282500000,370600000,485818000,755600000,788700000,- -,701500000,697700000,712000000,394600000,179700000,- -,498200000
