,https://roic.ai/company/M&MFIN.NS,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1489145000,2830971000,2162709000,2791977000,2443449000,3235873000,2717387000,4375588000,3348021000,2706593000,2675515000,4891510000,4866511000,11497798000,10339269000,34892300000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,2893755000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1489145000,2830971000,2162709000,2791977000,2443449000,3235873000,5611142000,4375588000,3348021000,2706593000,2675515000,4891510000,4866511000,11497798000,10339269000,34892300000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,2649573000,4512209000,4740501000,6459485000,6402459000,8248067000,6404592000,6546544000,9753300000
35,Inventory,5246000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,45015748000,58684267000,66527428000,68746593000,84916568000,126892351000,87669353000,257970624000,324209112000,371150870000,427653602000,507523052000,608863969000,691935468000,741803488000,686360900000
37,Total Current Assets,46510139000,61515238000,68690137000,71538570000,87360017000,130128224000,93280495000,264995785000,332069342000,378597964000,436788602000,518817021000,621978547000,709837858000,758689301000,731006500000
38,PP&E,229737000,272611000,314247000,363078000,486349000,840253000,1017973000,1121341000,1237320000,1144748000,1234779000,1298704000,1373960000,1771479000,4497660000,3911400000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,405000,405000,405000,405000,405000,52746000,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,15032000,49410000,46604000,55530000,46197000,97154000,340585000,281594000,211900000
41,Intangible Assets,11798000,7283000,13919000,17994000,- -,- -,9987000,15437000,49815000,47009000,55935000,46602000,149900000,340585000,281594000,211900000
42,Investments,- -,- -,- -,- -,- -,- -,-1421190000,4575347000,7218469000,6541681000,11989120000,13903388000,11882273000,33809769000,54457226000,120880100000
43,Tax Assets,467463000,744607000,1254362000,1787685000,2071682000,2175597000,2033114000,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,2982011000,269121000,95355000,971634000,2033718000,6251742000,99287772000,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,3691009000,1293622000,1677883000,3140391000,4591749000,9267592000,100927656000,5712125000,8505604000,7733438000,13279834000,15248694000,13406133000,35921833000,59236480000,125003400000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,276420035000,349080550000,394064840000,463348270000,549314409000,648790813000,781681524000,877162261000,981013300000
47,Total Assets,50201148000,62808860000,70368020000,74678961000,91951766000,139395816000,194208151000,270707910000,340574946000,386331402000,450068436000,534065715000,635384680000,745759691000,817925781000,856009900000
48,Accounts Payable,- -,- -,1992981000,2551933000,2321350000,2899199000,3813275000,7984654000,9124266000,10931534000,13990092000,19933722000,26525921000,11143030000,6932283000,7319700000
49,Short-Term Debt,- -,- -,1695075000,- -,- -,- -,14389509000,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,162195000,246516000,314233000,335208000,350652000,407547000,139209000,173793000,139200000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,4043869000,5914053000,1188161000,2936474000,3679271000,4976536000,41946737000,- -,- -,- -,- -,- -,- -,- -,- -,- -
53,Total Current Liabilities,4043869000,5914053000,4876217000,5488407000,6000621000,7875735000,60149521000,- -,- -,- -,- -,- -,- -,- -,- -,- -
54,Long-Term Debt,38829432000,49112463000,50734059000,52202454000,65249820000,97846257000,99110074000,178245618000,223177300000,246491143000,293933304000,365474892000,441956053000,531706871000,571019931000,559745500000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,1535777000,2149179000,3135781000,8177210000,4560751000,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,38829432000,49112463000,52269836000,54351633000,68385601000,106023467000,103670825000,178245618000,223177300000,246491143000,293933304000,365474892000,441956053000,531706871000,571019931000,559745500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,402921256000,510450511000,572902416000,678632487000,828941041000,976750208000,1163991291000,1268358845000,1257000200000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,42873301000,55026516000,57146053000,59840040000,74386222000,113899202000,163820346000,224675638000,287273211000,326411273000,384699183000,463466149000,534794155000,632284420000,697338914000,697254700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1333140000,840188000,952883000,957109000,959815000,1024529000,1026875000,1137530000,1137530000,1137530000,1137530000,1137530000,1235530000,1229754000,1230695000,2464000000
64,Retained Earnings,1427761000,1951215000,2747673000,3671718000,5332764000,7600743000,10432611000,14574640000,18834399000,22456435000,25224647000,28504550000,33468746000,39573201000,- -,52850600000
65,Other Comprehensive Income/Loss,-121165000,-179652000,-238614000,-287399000,-287399000,-464673000,-637467000,-850225000,-887627000,-1341162000,-1652451000,-1988055000,-2354449000,-2808646000,-3876372000,- -
66,Other Total Stockholders Equity,4688111000,5170593000,9760025000,10482091000,11542436000,17289181000,19488712000,30933610000,33852650000,37174366000,39984252000,41947530000,66802266000,74695874000,122335724000,102449100000
67,Total Stockholders Equity,7327847000,7782344000,13221967000,14823519000,17547616000,25449780000,30310731000,45795555000,52936952000,59427169000,64693978000,69601555000,99152093000,112690183000,119690047000,157763700000
68,Total Liabilities And Stockholders Equity,50201148000,62808860000,70368020000,74663559000,91933838000,139348982000,194131077000,270471193000,340210163000,385838442000,449393161000,533067704000,633946248000,744974603000,817028961000,855018400000
69,Minority Interest,- -,- -,- -,15402000,17928000,46834000,77074000,236717000,364783000,492960000,675275000,998011000,1438432000,785088000,896820000,991500000
70,Total Liabilities & Equity,50201148000,62808860000,70368020000,74678961000,91951766000,139395816000,194208151000,270707910000,340574946000,386331402000,450068436000,534065715000,635384680000,745759691000,817925781000,856009900000
71,SEC Link,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,1082724000,1328834000,1811353000,2197005000,3558214000,4927713000,6434971000,9270354000,9544214000,9129054000,7722936000,5116367000,10239113000,18272983000,10751453000,7732100000
74,Depreciation and Amortization,51733000,74256000,90038000,88299000,100772000,161469000,202852000,236590000,260805000,455076000,456978000,537232000,552115000,755334000,1468738000,1505200000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,44302000,30733000,106533000,143106000,87982000,75503000,243056000,317541000,183500000
77,Change in Working Capital,-19262998000,-17401963000,-14662391000,-10679379000,-23179545000,-44824047000,-68848413000,-81619891000,-75106790000,-49013083000,-64342196000,-80920145000,-116402784000,-146853929000,-64136829000,21228400000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,17276000,6686000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-378563000,-288257000,-515927000,-571928000,-1468106000,-1411626000,-1147916000,-1808320000,-57796000,1015946000,6452454000,9899062000,10185033000,6803157000,20446797000,28917000000
83,Cash Provided by Operating Activities,-18507104000,-16287130000,-13276927000,-8966003000,-20988665000,-41146491000,-63358506000,-73876965000,-65328834000,-38306474000,-49566722000,-65279502000,-95351020000,-120779399000,-31152300000,59566200000
84,CAPEX,-127076000,-118169000,-136960000,-148507000,-218860000,-521590000,-412732000,-349387000,-411588000,-446993000,-553804000,-628346000,-705039000,-1355099000,-1182683000,-455200000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-2666498000,-13427000,-115355000,-1071634000,-1994511000,-5320239000,-3967203000,-3479051000,-21493138000,-26753324000,-23459919000,-53370969000,- -,-352307851000,-795395330000,-775687900000
87,Sales/Maturities of Investments,133275000,2781115000,284182000,142928000,980929000,1592875000,5389221000,3278618000,19095588000,27887516000,18499523000,51732844000,70063481000,343013978000,773578467000,707056200000
88,Other Investing Activites,6579000,3664000,5611000,6721000,14837000,7163000,7785000,-1288586000,-1891146000,-346331000,1115618000,1257008000,-65309863000,-1481517000,-3891476000,-16160100000
89,Cash Used for Investing Activites,-2653720000,2653183000,37478000,-1070492000,-1217605000,-4241791000,1017071000,-1838406000,-4700284000,340868000,-4398582000,-1009463000,4048579000,-12130489000,-26891022000,-84791800000
90,Debt Repayment,- -,- -,- -,- -,-949005000,-1686000000,-1514315000,- -,- -,-24504273000,-12240247000,- -,-533263858000,-554690148000,-414846775000,-255426900000
91,Common Stock Issued,2527284000,35949000,4112132000,136504000,13802000,4342659000,192070000,9019191000,39931000,55276000,79664000,13706000,20978987000,- -,- -,30699600000
92,Common Stock Repurchased,- -,-500000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1093000,- -,- -
93,Dividends Paid,-283865000,-386369000,-207176000,-510170000,-624389000,-857732000,-1237675000,-1878614000,-2442232000,-2617651000,-2859094000,-2886821000,-1835766000,-3215390000,-5168123000,- -
94,Other Financing Activites,19397691000,15456389000,9281869000,10223879000,23335834000,44989529000,64012869000,69280965000,72235046000,64743464000,69324984000,71177981000,604512042000,692801885000,480512011000,250212200000
95,Cash Used/Provided by Financing Activities,21641110000,14605969000,13186825000,9850213000,21776242000,46788456000,61452949000,76421542000,69832745000,37676816000,54305307000,68304866000,90391405000,134895254000,60497113000,25484900000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,480286000,972022000,-52623000,-186282000,-430028000,1400174000,-888486000,706171000,-196373000,-288790000,340003000,2015901000,-911036000,1985366000,2453791000,259300000
98,Cash at the End of Period,1141249000,2113271000,2069809000,1883527000,1452599000,2852773000,1965287000,2671458000,2343703000,2054913000,2394914000,4372644000,3461608000,5372232000,7826023000,8085300000
99,Cash at the Beginning of Period,660963000,1141249000,2122432000,2069809000,1882627000,1452599000,2853773000,1965287000,2540076000,2343703000,2054911000,2356743000,4372644000,3386866000,5372232000,7826000000
100,Free Cash Flow,-18634180000,-16405299000,-13413887000,-9114510000,-21207525000,-41668081000,-63771238000,-74226352000,-65740422000,-38753467000,-50120526000,-65907848000,-96056059000,-122134498000,-32334983000,59111000000
101,SEC Link,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports
102,Forex Rate,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.016,0.0151,0.01535,0.01537,0.0144,0.01327,0.01367
