,https://roic.ai/company/SFL,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.4741,0.2358,0.5018,0.7055,0.6872,0.6916,0.7645,0.7092,0.5657,0.6302,0.5513,0.6532,0.4366,0.4493,0.4102,0.4096,0.4078,0.2822,0.3021,-0.2933,0.4730
19,Total Other Income Expenses (Gains),- -,-20310000,15247000,8868000,17476000,6250000,27192000,-54876000,73413000,-46133000,-31530000,-21784000,-28160000,-22331000,34786000,-21683000,-53417000,-43993000,-48600000,-86251000,-78495000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,165712000,131175000,185836000,89206000,122815000,200832000,146406000,101209000,73622000,89177000,-224425000,164343000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.4929,0.4445,0.5847,0.3319,0.3802,0.4961,0.3568,0.2669,0.1766,0.1955,-0.4764,0.3201
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,212010000,18024000,334812000,262659000,209546000,180798000,167707000,181611000,192598000,165712000,131175000,185836000,89206000,122815000,200832000,146406000,101209000,73622000,89177000,-224425000,164343000
24,Net Income ratio,0.4356,0.0494,0.4817,0.5338,0.4790,0.4257,0.4205,0.3818,0.5206,0.4929,0.4445,0.5847,0.3319,0.3802,0.4961,0.3568,0.2669,0.1766,0.1955,-0.4764,0.3201
25,EPS,2.87,0.24,4.53,3.52,2.84,2.48,2.31,2.50,2.59,2.10,1.66,2.31,1.00,1.32,2.15,1.57,1.06,0.70,0.83,-2.04,1.35
26,EPS Diluted,2.87,0.24,4.53,3.52,2.84,2.48,2.30,2.50,2.59,2.10,1.66,2.31,0.99,1.32,2.15,1.57,1.06,0.70,0.83,-2.04,1.35
27,Weighted Average Shares Outstanding,73871080,73925837,73925837,74619034,73783803,72902419,72600433,72743737,74399000,79056183,79125000,80594399,89508000,93330622,93449904,93496744,95596644,105897798,107613610,108971605,122140675
28,Weighted Average Shares Outstanding Diluted,73871080,73925837,73925837,75282359,74781057,72902419,72916087,72743737,74404000,79056183,79125000,80594399,95424000,93330622,93449904,93496744,95596644,105897798,107613610,108971605,122140675
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1289877/000091957409007653/0000919574-09-007653-index.html,https://www.sec.gov/Archives/edgar/data/1289877/000091957410002808/0000919574-10-002808-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1289877/000162828016013980/0001628280-16-013980-index.html,- -,https://www.sec.gov/Archives/edgar/data/1289877/000128987718000005/0001289877-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1289877/000128987719000009/0001289877-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1289877/000162828020004243/0001628280-20-004243-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,26041000,20634000,26519000,29193000,32857000,64569000,78255000,46075000,84186000,86967000,94915000,60542000,58641000,50818000,70175000,62382000,153052000,211394000,199521000,215445000,145622000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,174448000,139889000,103976000,83484000,55661000,76925000,73656000,199594000,118489000,93802000,87174000,74079000,28805000,21210000
33,Cash and Short-Term Investments,26041000,20634000,26519000,29193000,32857000,64569000,78255000,220523000,224075000,190943000,178399000,116203000,135566000,124474000,269769000,180871000,246854000,298568000,273600000,244250000,166832000
34,Net Receivables,- -,29960000,31147000,5361000,81207000,67421000,42158000,47026000,36810000,37946000,12591000,122743000,146060000,203749000,95302000,64658000,63316000,97592000,103303000,91828000,32041000
35,Inventory,- -,19949000,16248000,- -,185000,331000,267000,252000,94000,484000,1228000,2951000,6607000,6927000,5056000,5083000,5126000,8547000,7934000,8808000,- -
36,Other Current Assets,- -,32347000,37150000,197303000,108691000,174832000,212915000,63741000,4278000,5928000,545000,735000,3971000,5075000,5790000,27815000,2399000,8872000,5650000,11550000,51443000
37,Total Current Assets,- -,102890000,111064000,231857000,222940000,307153000,333595000,331542000,265257000,235301000,192763000,242632000,292204000,340225000,375917000,278427000,317695000,413579000,390487000,356436000,250316000
38,PP&E,1696528000,1904146000,1863504000,236305000,315220000,246549000,583244000,656216000,627654000,786112000,1020580000,2197290000,2073884000,2173714000,2155764000,2294431000,2348571000,3071956000,3057379000,1938078000,2943748000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,93673000,160082000,1641644000,1818344000,1962389000,6538000,2346032000,2100590000,1520508000,1332878000,1321121000,900482000,762471000,558913000,523945000,596653000,787462000,980359000,649420000,16635000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,22898000,21698000,43131000,37409000,37586000,2026651000,14696000,7927000,340440000,349907000,-787954000,-220587000,-234856000,-25769000,-159426000,-250837000,-395152000,-542855000,149277000,248598000
45,Total Non-Current Assets,- -,2020717000,2045284000,1921080000,2170973000,2246524000,2616433000,3016944000,2736171000,2647060000,2703365000,2730457000,2753779000,2701329000,2688908000,2658950000,2694387000,3464266000,3494883000,2736775000,3208981000
46,Other Assets,1951353000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1951353000,2123607000,2156348000,2152937000,2393913000,2553677000,2950028000,3348486000,3001428000,2882361000,2896128000,2973089000,3045983000,3041554000,3064825000,2937377000,3012082000,3877845000,3885370000,3093211000,3459297000
48,Accounts Payable,- -,5215000,4664000,180000,978000,533000,97000,19000,8000,449000,681000,1455000,3502000,2432000,835000,1229000,487000,1945000,3445000,1247000,- -
49,Short-Term Debt,- -,607309000,440688000,91308000,122519000,144451000,179428000,385577000,292541000,162785000,150342000,157689000,389888000,182415000,208031000,174900000,313823000,267149000,253059000,484956000,353973000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3855000,4566000,7982000,5549000,4326000,3936000,7562000,10000000,15156000,- -
52,Other Current Liabilities,- -,49924000,38882000,8778000,11223000,28671000,48400000,107646000,27334000,45467000,23125000,34519000,34484000,20926000,24550000,58515000,25499000,127469000,99332000,75172000,46343000
53,Total Current Liabilities,- -,662448000,484234000,100266000,134720000,173655000,227925000,493242000,319883000,208701000,174148000,197518000,432440000,213755000,238965000,238970000,343745000,404125000,365836000,576531000,400316000
54,Long-Term Debt,- -,975554000,850088000,1387586000,1671138000,1770749000,2090566000,2209939000,1843409000,1760069000,1760122000,1673511000,1346991000,1550044000,1458445000,1377974000,1190184000,1169931000,1355029000,1164113000,2059441000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21207000,18125000,15042000,11960000,6124000,3958000,3282000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,4103000,26533000,8743000,17060000,127955000,88808000,84671000,104767000,86085000,56494000,109221000,113645000,180214000,279198000,1120475000,1058136000,556916000,17213000
58,Total Non-Current Liabilities,- -,975554000,850088000,1391689000,1697671000,1779492000,2107626000,2337894000,1932217000,1844740000,1864889000,1780803000,1421610000,1674307000,1584050000,1564312000,1473340000,2293688000,2413165000,1721029000,2076654000
59,Other Liabilities,1484611000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122403000,239607000,1172051000,1106427000,573087000,524200000
61,Total Liabilities,1484611000,1638002000,1334322000,1491955000,1832391000,1953147000,2335551000,2831136000,2252100000,2053441000,2039037000,1978321000,1854050000,1888062000,1823015000,1803282000,1817085000,2697813000,2779001000,2297560000,2476970000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,74901000,73144000,72744000,72744000,72744000,79125000,79125000,79125000,85225000,93260000,93404000,93468000,1015000,1109000,1194000,1194000,1278000,- -
64,Retained Earnings,- -,- -,- -,122820000,47273000,63379000,69771000,84798000,186468000,246152000,254683000,288510000,268602000,239275000,277513000,255630000,203932000,29511000,- -,-257063000,- -
65,Other Comprehensive Income/Loss,- -,- -,-744189000,-149131000,-166512000,-69422000,-24734000,-51849000,-82000000,-89000000,-87000000,-85000000,-37000000,-51000000,-3000000,-86000000,-94000000,-396168000,-13000000,-533032000,- -
66,Other Total Stockholders Equity,466742000,485605000,1566215000,612392000,607617000,533829000,496696000,411657000,565735000,592643000,610283000,706033000,867071000,871813000,873829000,963450000,1083956000,1545495000,1118175000,1584468000,- -
67,Total Stockholders Equity,466742000,485605000,822026000,660982000,561522000,600530000,614477000,517350000,749328000,828920000,857091000,994768000,1191933000,1153492000,1241810000,1134095000,1194997000,1180032000,1106369000,795651000,982327000
68,Total Liabilities And Stockholders Equity,1951353000,2123607000,2156348000,2152937000,2393913000,2553677000,2950028000,3348486000,3001428000,2882361000,2896128000,2973089000,3045983000,3041554000,3064825000,2937377000,3012082000,3877845000,3885370000,3093211000,3459297000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1951353000,2123607000,2156348000,2152937000,2393913000,2553677000,2950028000,3348486000,3001428000,2882361000,2896128000,2973089000,3045983000,3041554000,3064825000,2937377000,3012082000,3877845000,3885370000,3093211000,3459297000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1289877/000091957409007653/0000919574-09-007653-index.html,https://www.sec.gov/Archives/edgar/data/1289877/000091957410002808/0000919574-10-002808-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1289877/000162828016013980/0001628280-16-013980-index.html,- -,https://www.sec.gov/Archives/edgar/data/1289877/000128987718000005/0001289877-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1289877/000128987719000009/0001289877-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1289877/000162828020004243/0001628280-20-004243-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,212010000,18024000,334812000,262659000,209546000,180798000,167707000,181611000,192598000,165712000,131175000,185836000,89206000,122815000,200832000,146406000,101209000,73622000,89177000,-224425000,164343000
74,Depreciation and Amortization,- -,96773000,106015000,34617000,19907000,14490000,23994000,31815000,35743000,34201000,49929000,55602000,58436000,67393000,78080000,94293000,88150000,104079000,116381000,117920000,151706000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,953000,1408000,569000,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,-1765000,-5211000,-117634000,53643000,24530000,39156000,-14125000,-1093000,14913000,36953000,-61287000,40280000,-19557000,12288000,-2125000,3732000,5126000,5124000,15300000,-6271000
78,Accounts Receivable,- -,- -,-472000,-256000,7181000,3980000,1253000,-407000,-1438000,799000,864000,-7787000,-4313000,5109000,1196000,-1492000,-9034000,9607000,-1608000,- -,- -
79,Inventory,- -,-10718000,4540000,- -,3191000,352000,64000,15000,158000,-390000,-744000,-97000,-3656000,-320000,-2529000,-27000,-42000,-3423000,613000,- -,- -
80,Accounts Payable,- -,- -,-539000,180000,-1291000,-445000,-436000,-78000,-11000,441000,232000,774000,2047000,-1095000,-1572000,394000,-742000,2370000,1500000,- -,- -
81,Other Working Capital,- -,- -,- -,-4966000,40374000,30803000,19950000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,95157000,2626000,-20093000,-1114000,-2262000,-26321000,-28441000,12085000,-101726000,-62008000,-55804000,-94150000,-47798000,-38250000,-32799000,-8501000,-15295000,18148000,39025000,91205000,-16183000
83,Cash Provided by Operating Activities,307167000,115658000,415523000,178528000,280834000,193497000,202416000,211386000,125522000,153771000,163661000,86570000,140124000,132401000,258401000,230073000,177796000,200975000,249707000,- -,293595000
84,CAPEX,- -,-249291000,- -,-8370000,-309572000,-342356000,-586942000,-82595000,-71468000,-191311000,-307785000,-167548000,-109337000,-395197000,-496661000,-188142000,-81664000,-1137703000,-39326000,-55016000,-581622000
85,Acquisitions Net,- -,- -,- -,- -,-518000000,-35000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9998000
86,Purchases of Investments,- -,- -,- -,- -,- -,-3000000,-210000000,-553428000,-920000,- -,-73763000,-13890000,-18140000,-7877000,-20722000,-25488000,-4016000,- -,-18198000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,137268000,174185000,210348000,209368000,174946000,204874000,- -,- -,- -,71681000,- -,- -,- -,82783000,- -,- -
88,Other Investing Activites,-271850000,-12488000,-51632000,85318000,557999000,132382000,243980000,-8270000,287088000,93342000,170812000,215747000,53495000,381134000,239920000,253029000,134042000,271139000,-195140000,159368000,182574000
89,Cash Used for Investing Activites,-271850000,-261779000,-51632000,76948000,-269573000,-110706000,-378777000,-433945000,424068000,76977000,-5862000,34309000,-73982000,-21940000,-205782000,39399000,48362000,-866564000,-169881000,39322000,-389050000
90,Debt Repayment,- -,-126713000,-178236000,-1099707000,-1253503000,-190716000,-265430000,-251451000,-446061000,-1067957000,-417977000,-346470000,-784318000,-692045000,-459493000,-626200000,-253033000,-887632000,-352950000,-362526000,-565436000
91,Common Stock Issued,- -,- -,- -,24696000,- -,- -,- -,- -,- -,- -,- -,89596000,128880000,927000,675000,323000,88000,- -,- -,- -,89280000
92,Common Stock Repurchased,- -,- -,- -,-14713000,-33083000,-7212000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-78905000,-148863000,-149123000,-159335000,-122937000,-75567000,-117235000,-122644000,-152009000,-109114000,-152142000,-162594000,-168289000,-152907000,-149261000,-150659000,- -,-77552000
94,Other Financing Activites,-24549000,267427000,-179770000,942346000,1427852000,295972000,614812000,564767000,10149000,957225000,390770000,253631000,696509000,724976000,588150000,516901000,270364000,1761824000,414405000,-68906000,578725000
95,Cash Used/Provided by Financing Activities,-24549000,140714000,-358006000,-226283000,-7597000,-51079000,190047000,190379000,-511479000,-227967000,-149851000,-155252000,-68043000,-118284000,-33262000,-277265000,-135488000,724931000,-89204000,-431432000,25017000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-5407000,5885000,- -,3664000,31712000,13686000,-32180000,38111000,2781000,7948000,-34373000,-1901000,-7823000,19357000,-7793000,90670000,59342000,-9378000,21382000,-70438000
98,Cash at the End of Period,- -,20634000,26519000,29193000,32857000,64569000,78255000,46075000,84186000,86967000,94915000,60542000,58641000,50818000,70175000,62382000,153052000,212394000,203016000,- -,153960000
99,Cash at the Beginning of Period,- -,26041000,20634000,- -,29193000,32857000,64569000,78255000,46075000,84186000,86967000,94915000,60542000,58641000,50818000,70175000,62382000,153052000,212394000,- -,224398000
100,Free Cash Flow,307167000,-133633000,415523000,170158000,-28738000,-148859000,-384526000,128791000,54054000,-37540000,-144124000,-80978000,30787000,-262796000,-238260000,41931000,96132000,-936728000,210381000,- -,-288027000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1289877/000091957409007653/0000919574-09-007653-index.html,https://www.sec.gov/Archives/edgar/data/1289877/000091957410002808/0000919574-10-002808-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1289877/000162828016013980/0001628280-16-013980-index.html,- -,https://www.sec.gov/Archives/edgar/data/1289877/000128987718000005/0001289877-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1289877/000128987719000009/0001289877-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1289877/000162828020004243/0001628280-20-004243-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,
