,https://roic.ai/company/AREC,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,233331,737916,836628,792391,3513513,24094420,29359993,29359993
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1590715/000159071514000021/0001590715-14-000021-index.html,https://www.sec.gov/Archives/edgar/data/1590715/000159071515000073/0001590715-15-000073-index.html,https://www.sec.gov/Archives/edgar/data/1590715/000159071517000006/0001590715-17-000006-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1590715/000147793219003252/0001477932-19-003252-index.htm,https://www.sec.gov/Archives/edgar/data/1590715/000147793220003160/0001477932-20-003160-index.htm,https://www.sec.gov/Archives/edgar/data/1590715/000147793221001372/0001477932-21-001372-index.htm,https://www.sec.gov/Archives/edgar/data/1590715/000147793222001737/0001477932-22-001737-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,34358,444775,48787,186722,2293107,3324,10617495,11492702
32,Short-Term Investments,27561,195461,35020,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,61919,640236,83807,186722,2293107,3324,10617495,11492702
34,Net Receivables,- -,- -,2210,1900583,1658228,2659145,272890,3175636
35,Inventory,- -,4156,4959,615096,163800,515630,150504,- -
36,Other Current Assets,48461,- -,- -,- -,147826,- -,175000,629605
37,Total Current Assets,110380,644392,90976,2702401,4262961,3178099,11215889,15297943
38,PP&E,- -,3995,5995,11117184,32571920,27668925,22498659,23629348
39,Goodwill,- -,361049,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,120833,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,481882,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,4443800,4528831,4382626,4700847,3945411
45,Total Non-Current Assets,- -,485877,5995,15560984,37100751,32051551,27199506,27574759
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,110380,1130269,96971,18263385,41363712,35229650,38415395,42872702
48,Accounts Payable,3000,14387,10171,5360537,8614316,11762635,4288794,3135566
49,Short-Term Debt,- -,18554,50000,9645154,14169139,28046840,11071692,10719100
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,33953,35335,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,1200,72992,20417875,3649567,5196932,7900615,2570540
53,Total Current Liabilities,3000,68094,168498,35423566,26433022,45006407,23261101,16425206
54,Long-Term Debt,- -,- -,- -,5081688,7918872,5415271,19631659,-4712029
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,17851195,16211640,17512613,15528178,33394933
58,Total Non-Current Liabilities,- -,- -,- -,22932883,24130512,22927884,35159837,28682904
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,3000,68094,168498,58356449,50563534,67934291,58420938,45108110
62,Preferred Stock,- -,- -,- -,1332,53,- -,- -,- -
63,Common Stock,1960,2504,2521,89,1776,2740,4256,6508
64,Retained Earnings,-88930,-513489,-1231162,-42019595,-52115183,-123033485,-133289247,-165683571
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-6691259,-11162622,- -,- -
66,Other Total Stockholders Equity,194350,1032692,1085825,1527254,49604791,101488726,113279448,163441655
67,Total Stockholders Equity,107380,521707,-142816,-40490920,-9199822,-32704641,-20005543,-2235408
68,Total Liabilities And Stockholders Equity,110380,589801,25682,17865529,41363712,35229650,38415395,42872702
69,Minority Interest,- -,540468,71289,397856,- -,- -,- -,- -
70,Total Liabilities & Equity,110380,1130269,96971,18263385,41363712,35229650,38415395,42872702
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1590715/000159071514000021/0001590715-14-000021-index.html,https://www.sec.gov/Archives/edgar/data/1590715/000159071515000073/0001590715-15-000073-index.html,https://www.sec.gov/Archives/edgar/data/1590715/000159071517000006/0001590715-17-000006-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1590715/000147793219003252/0001477932-19-003252-index.htm,https://www.sec.gov/Archives/edgar/data/1590715/000147793220003160/0001477932-20-003160-index.htm,https://www.sec.gov/Archives/edgar/data/1590715/000147793221001372/0001477932-21-001372-index.htm,https://www.sec.gov/Archives/edgar/data/1590715/000147793222001737/0001477932-22-001737-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-88930,-424559,-717673,-14368565,-12908576,-70918302,-10255762,-32269839
74,Depreciation and Amortization,- -,30167,38500,2557714,2940358,6245809,2794908,1980026
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,242700,53150,50000,782220,377255,230050,- -
77,Change in Working Capital,3000,468918,-653820,-32643643,10551104,-19658247,29783096,10917949
78,Accounts Receivable,- -,- -,- -,882637,531882,-1000917,2386255,-3032230
79,Inventory,- -,-4156,-803,-615096,451296,-351830,365126,150504
80,Accounts Payable,- -,14387,- -,3096351,2968403,1407582,-4399625,-3053442
81,Other Working Capital,107380,576298,-77522,-32721165,-22170061,-41828308,-12045212,-1127263
82,Other Non-Cash Items,3978,-404861,1179400,38759920,-4730650,64746379,-36399547,19371864
83,Cash Provided by Operating Activities,-81952,-87635,-100443,-5644574,-3365544,-19207106,-13847255,- -
84,CAPEX,- -,-4995,-3000,-173432,-133363,-327250,- -,- -
85,Acquisitions Net,- -,33335,- -,- -,- -,650000,- -,- -
86,Purchases of Investments,-80000,-207469,-39947,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,79894,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-4995,-3000,555190,122722,- -,417857,-5918943
89,Cash Used for Investing Activites,-80000,-179129,36947,381758,-10641,322750,417857,-5918943
90,Debt Repayment,- -,-5051,-18554,-392002,-2309571,-2059484,-1103191,-672424
91,Common Stock Issued,196310,146201,- -,600000,- -,7767698,12832475,- -
92,Common Stock Repurchased,- -,-15,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,487585,-313938,4457015,8004890,10740154,12632506,37070470
95,Cash Used/Provided by Financing Activities,196310,628720,-332492,4665013,5695319,16448368,24361790,36398046
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,361956,-395988,-597803,2319134,-2435988,10932392,1386910
98,Cash at the End of Period,34358,444775,48787,186722,2704799,268811,11201203,12588113
99,Cash at the Beginning of Period,- -,82819,444775,784525,385665,2704799,268811,11201203
100,Free Cash Flow,-81952,-92630,-103443,-5818006,-3498907,-19534356,-13847255,- -
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1590715/000159071514000021/0001590715-14-000021-index.html,https://www.sec.gov/Archives/edgar/data/1590715/000159071515000073/0001590715-15-000073-index.html,https://www.sec.gov/Archives/edgar/data/1590715/000159071517000006/0001590715-17-000006-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1590715/000147793219003252/0001477932-19-003252-index.htm,https://www.sec.gov/Archives/edgar/data/1590715/000147793220003160/0001477932-20-003160-index.htm,https://www.sec.gov/Archives/edgar/data/1590715/000147793221001372/0001477932-21-001372-index.htm,https://www.sec.gov/Archives/edgar/data/1590715/000147793222001737/0001477932-22-001737-index.htm
102,false,,,,,,,,
