,https://roic.ai/company/MMMB,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,- -,- -,- -,-300000,-350000,-350000,-40000,-707737,-620291,-1496388,-3224045,-2147713,-4567810
91,Common Stock Issued,- -,- -,- -,5054000,5800000,5800000,1280003,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,60000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,18550,-650842,-722106,-722106,3397547,1908649,693524,1566219,2842448,385314,4118087
95,Cash Used/Provided by Financing Activities,- -,60000,18550,4103158,4727894,4727894,4637550,1200912,73233,69831,-381597,-1762399,-449723
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-704,1991656,-266226,-266226,-686645,-267573,79158,-89485,28087,-215726,2796877
98,Cash at the End of Period,- -,- -,13,2008161,1741935,1741935,854995,587422,666580,581322,609409,393683,3190560
99,Cash at the Beginning of Period,- -,- -,717,16505,2008161,2008161,1541640,854995,587422,670807,581322,609409,393683
100,Free Cash Flow,- -,-60000,-19254,-2103214,-4699120,-4699120,-5007364,-1468485,5925,-159316,409684,1546583,3246600
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1520358/000149315214000789/form10k.htm,https://www.sec.gov/Archives/edgar/data/1520358/000149315214003020/form10kt.htm,https://www.sec.gov/Archives/edgar/data/1520358/000149315215001673/0001493152-15-001673-index.html,https://www.sec.gov/Archives/edgar/data/1520358/000149315216009105/0001493152-16-009105-index.html,https://www.sec.gov/Archives/edgar/data/1520358/000149315217002786/0001493152-17-002786-index.html,https://www.sec.gov/Archives/edgar/data/1520358/000149315218007220/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1520358/000149315219005779/0001493152-19-005779-index.html,https://www.sec.gov/Archives/edgar/data/1520358/000149315220006975/0001493152-20-006975-index.html,https://www.sec.gov/Archives/edgar/data/1520358/000149315221009285/0001493152-21-009285-index.htm
102,false,,,,,,,,,,,,,
