,https://roic.ai/company/BBCP,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1703956/000114420418018016/0001144204-18-018016-index.html,https://www.sec.gov/Archives/edgar/data/1703956/000114420418054545/0001144204-18-054545-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1703956/000143774921014624/0001437749-21-014624-index.htm,https://www.sec.gov/Archives/edgar/data/1703956/000143774922000815/0001437749-22-000815-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,- -,-317666000,28382000,- -,-60990000,-15073000
74,Depreciation and Amortization,- -,- -,25623000,- -,61656000,55906000
75,Deferred Income Tax,- -,- -,-11106000,- -,-1029000,2547000
76,Stock Based Compensation,- -,- -,281000,- -,11454000,6591000
77,Change in Working Capital,- -,450770,-19309376,- -,27020000,-697000
78,Accounts Receivable,- -,- -,-7469000,- -,1597000,-4172000
79,Inventory,- -,- -,-707000,- -,624000,-200000
80,Accounts Payable,- -,205249000,-1832000,- -,-796000,3972000
81,Other Working Capital,- -,-10017624,-29327000,- -,-2307000,- -
82,Other Non-Cash Items,- -,316413290,15748376,- -,40859000,26561000
83,Cash Provided by Operating Activities,- -,-801940,39619000,- -,78970000,75835000
84,CAPEX,- -,- -,-31738000,- -,-39339000,-63542000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-234260000,-17761000,- -,3486000,6227000
89,Cash Used for Investing Activites,- -,-234260000,-49499000,- -,-35853000,-56565000
90,Debt Repayment,- -,- -,-239782000,- -,-328497000,-662194000
91,Common Stock Issued,- -,25000000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,235890490,- -,- -,-131000,-330000
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-25000000,252795000,- -,284700000,646570000
95,Cash Used/Provided by Financing Activities,- -,235890490,13013000,- -,-43928000,-15954000
96,Effect of Forex Changes on Cash,- -,- -,-1437000,- -,74000,-754000
97,Net Change In Cash,- -,828560,1696000,- -,-737000,2562000
98,Cash at the End of Period,- -,828560,8621000,- -,6736000,9298000
99,Cash at the Beginning of Period,- -,- -,6925000,- -,7473000,6736000
100,Free Cash Flow,- -,-801940,7881000,- -,39631000,12293000
101,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1703956/000114420418018016/0001144204-18-018016-index.html,https://www.sec.gov/Archives/edgar/data/1703956/000114420418054545/0001144204-18-054545-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1703956/000143774921014624/0001437749-21-014624-index.htm,https://www.sec.gov/Archives/edgar/data/1703956/000143774922000815/0001437749-22-000815-index.htm
102,false,,,,,,
