,https://roic.ai/company/HWC,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,214771000,274974000,- -,2048442000,1421772000,1660165000,2093404000,2516908000,2910869000,2691037000,4675304000,5999327000,6986698000
33,Cash and Short-Term Investments,56900000,76200000,80900000,104400000,92400000,116300000,125900000,122400000,115200000,161400000,156838459,134256781,173241011,192054665,183636000,163923000,278362000,200311000,191175000,211130000,1001566000,778727000,1622169000,3995918000,2037448000,2818196000,2961949000,2966832000,3389974000,3184988000,5217369000,7858985000,11218076000
34,Net Receivables,11400000,14500000,16800000,15300000,13800000,17100000,19400000,20200000,21000000,23800000,23805308,25585151,27860479,25480241,23125000,80539000,84498000,71026000,69944000,33067000,361074000,359293000,266858000,223460000,156811000,107773000,83936000,82106000,82191000,86681000,92037000,205569000,225030000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2556300000,2711710093,2761195301,3358567229,2144203700,2534985000,2967855000,3476481000,3576384000,3846098000,4603653000,5224754000,4951402000,12020545000,10232497000,11564074000,12842456000,14224036000,14838674000,16805715000,18052863000,17595546000,16704060000,15074626000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2741500000,2892353860,2921037233,3559668719,2361738606,2741746000,3212317000,3839341000,3847721000,4107217000,4847850000,6587394000,6089422000,13909572000,14451875000,13758333000,15768425000,17269921000,17887612000,20277880000,21324532000,22904952000,24768614000,26517732000
38,PP&E,25700000,34200000,36100000,35100000,35000000,34800000,38700000,40400000,42800000,46800000,55007662,51636196,66266101,71354515,73332000,79848000,79386000,140554000,200566000,205912000,203133000,209919000,505387000,477864000,432346000,398384000,377015000,361612000,333663000,353668000,490232000,491207000,452548000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62277000,61631000,651162000,628877000,625675000,621193000,621193000,621193000,745523000,790972000,855453000,855453000,855453000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16546000,13496000,211075000,189409000,159773000,132810000,107538000,87757000,90640000,96151000,106807000,86892000,70226000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,26400000,44512562,40756892,53910064,53243998,57231000,70192000,72199000,72632000,70575000,68640000,78823000,75127000,862237000,818286000,785448000,754003000,728731000,708950000,836163000,887123000,962260000,942345000,925679000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1486809903,1278049000,1302369000,1959261000,1903658000,1677621000,2044852000,1827733000,1763859000,4496900000,3716460000,4033124000,3826454000,4463792000,5017128000,5888380000,5670584000,6243313000,7436436000,8635246000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,73200000,99520224,92393088,120176165,1611408416,1408612000,1452409000,2110846000,2116844000,1948762000,2319404000,2109689000,2048905000,5864524000,5012610000,5250918000,4978841000,5569538000,6087690000,7058206000,6911375000,7695805000,8869988000,10013473000
46,Other Assets,980600000,1405000000,1554500000,1735200000,1821100000,1940800000,2234300000,2289600000,2538000000,- -,- -,- -,- -,5584555438,5558970000,6117135000,8061033000,8081409000,8004741000,9486658000,10806772000,10187232000,25638620000,24477095000,24260169000,25726107000,28408997000,30062992000,34394292000,35147282000,38296562000,42508590000,46544678000
47,Total Assets,980600000,1405000000,1554500000,1735200000,1821100000,1940800000,2234300000,2289600000,2538000000,2814700000,2991874084,3013430321,3679844884,3973147022,4150358000,4664726000,5950187000,5964565000,6055979000,7167254000,8697083000,8138327000,19774096000,19464485000,19009251000,20747266000,22839459000,23975302000,27336086000,28235907000,30600757000,33638602000,36531205000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8284000,4814000,4353000,4204000,6609000,9574000,8680000,12267000,10200000,4315000,3103000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000000,- -,- -,- -,9400000,- -,- -,- -,- -,- -,- -,- -,1044454000,639133000,657960000,1151573000,1423644000,1225406000,1703890000,1589128000,2714872000,1667513000,1665061000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,1842000000,2008000000,2027000000,2248000000,2528000000,2628000000,2670000000,3223000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,1842000000,2008000000,2027000000,2248000000,2528000000,2678000000,2670000000,3223000000,- -,9400000,- -,- -,- -,- -,- -,- -,- -,1052738000,643947000,662313000,1155777000,1430253000,1234980000,1712570000,1601395000,2725072000,1671828000,1668164000
54,Long-Term Debt,6800000,24900000,6400000,4600000,3800000,3000000,2000000,1100000,1300000,- -,2714220,2177189,51605584,51019813,50428000,50273000,50266000,258000,793000,638000,671000,10548000,353890000,396589000,385826000,374371000,495999000,436280000,305513000,224993000,361165000,508949000,366299000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7116000,- -,- -,- -,- -,- -,- -,- -,- -,- -,37721000,49406000,19434000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,-100000,-300000,- -,285780,-177189,394416,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,6800000,24900000,6400000,4600000,3800000,3000000,2000000,1000000,1000000,- -,3000000,2000000,52000000,51019813,50428000,50273000,50266000,258000,793000,638000,7787000,10548000,353890000,396589000,385826000,374371000,495999000,436280000,305513000,224993000,398886000,558355000,385733000
59,Other Liabilities,911900000,1349600000,1447100000,1611600000,1681100000,- -,4100000,- -,2400000,- -,6446656,4040129,104228177,3599585201,3756505000,4250417000,5523038000,5406413000,5502585000,6558393000,7867207000,7292327000,16708085000,16763849000,16307695000,17493458000,19492062000,20456834000,23044080000,23778165000,24806886000,29086104000,31578422000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127703000,130627000,122079000
61,Total Liabilities,905100000,1324700000,1440700000,1607000000,1677300000,1770900000,2010100000,2027700000,2249400000,2527900000,2681446656,2672040129,3275228177,3548565388,3715477000,4200144000,5472772000,5406155000,5501792000,6557755000,7859420000,7281779000,17406933000,17011207000,16584182000,18274864000,20426316000,21255534000,24451137000,25154567000,27133072000,30199577000,32860853000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37068905,37067000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36872324,36872324,36872324,55305040,55305000,108024000,107563000,108778000,104211000,105793000,122679000,122855000,282069000,282543000,273850000,267820000,258063000,291358000,292716000,292716000,309513000,309513000,309513000
64,Retained Earnings,10100000,14900000,21800000,23100000,24800000,- -,63800000,31800000,51400000,71500000,92153278,115365765,141099009,176767793,247001000,234423000,265039000,334546000,377481000,411579000,454343000,470828000,476970000,546022000,628166000,723496000,777944000,850689000,1008518000,1243592000,1476232000,1291506000,1659073000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9497635,-7261000,-12770000,-24409000,-24013000,-14627000,-9083000,2998000,-619000,-26510000,-22925000,-35379000,-50074000,-80595000,-120532000,-134402000,-180709000,-54724000,80069000,-53935000
66,Other Total Stockholders Equity,65400000,65400000,92000000,105100000,119000000,169900000,160400000,230100000,237200000,215300000,181401826,189152103,226645374,145942261,102769000,134905000,129222000,139099000,87122000,101210000,257643000,263484000,1634634000,1647638000,1558432000,1531160000,1457731000,1698253000,1718117000,1725741000,1736664000,1757937000,- -
67,Total Stockholders Equity,75500000,80300000,113800000,128200000,143800000,169900000,224200000,261900000,288600000,286800000,310427428,341390192,404616707,424581634,434881000,464582000,477415000,558410000,554187000,609499000,837663000,856548000,2367163000,2453278000,2425069000,2472402000,2413143000,2719768000,2884949000,3081340000,3467685000,3439025000,3670352000
68,Total Liabilities And Stockholders Equity,980600000,1405000000,1554500000,1735200000,1821100000,1940800000,2234300000,2289600000,2538000000,2814700000,2991874084,3013430321,3679844884,3973147022,4150358000,4664726000,5950187000,5964565000,6055979000,7167254000,8697083000,8138327000,19774096000,19464485000,19009251000,20747266000,22839459000,23975302000,27336086000,28235907000,30600757000,33638602000,36531205000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,980600000,1405000000,1554500000,1735200000,1821100000,1940800000,2234300000,2289600000,2538000000,2814700000,2991874084,3013430321,3679844884,3973147022,4150358000,4664726000,5950187000,5964565000,6055979000,7167254000,8697083000,8138327000,19774096000,19464485000,19009251000,20747266000,22839459000,23975302000,27336086000,28235907000,30600757000,33638602000,36531205000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/750577/0000950134-96-001158-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/750577/000103079801000065/0001030798-01-000065-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/750577/000103079805000026/0001030798-05-000026-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/750577/000116923208001039/d73726_10k.htm,https://www.sec.gov/Archives/edgar/data/750577/000116923209001195/0001169232-09-001195-index.html,https://www.sec.gov/Archives/edgar/data/750577/000119312510033208/0001193125-10-033208-index.html,https://www.sec.gov/Archives/edgar/data/750577/000119312511050016/d10k.htm,https://www.sec.gov/Archives/edgar/data/750577/000119312512085826/0001193125-12-085826-index.html,https://www.sec.gov/Archives/edgar/data/750577/000119312513083995/0001193125-13-083995-index.html,https://www.sec.gov/Archives/edgar/data/750577/000119312514076371/d643369d10k.htm,https://www.sec.gov/Archives/edgar/data/750577/000119312515070213/d837451d10k.htm,https://www.sec.gov/Archives/edgar/data/750577/000119312516482143/0001193125-16-482143-index.html,https://www.sec.gov/Archives/edgar/data/750577/000075057717000009/0000750577-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/750577/000075057718000009/0000750577-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/750577/000075057719000004/0000750577-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/750577/000156459020006172/0001564590-20-006172-index.html,https://www.sec.gov/Archives/edgar/data/750577/000156459021009576/0001564590-21-009576-index.htm,https://www.sec.gov/Archives/edgar/data/750577/000156459022007023/0001564590-22-007023-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,6600000,8000000,12400000,19200000,22100000,21800000,27000000,31600000,30600000,31000000,31710070,36823580,39255140,51043463,54955000,61704000,54032000,101802000,73892000,65366000,74775000,52206000,76759000,151742000,163356000,175722000,131461000,149296000,215632000,323770000,327380000,-45174000,463215000
74,Depreciation and Amortization,2900000,3400000,3700000,3900000,3800000,6000000,6800000,7000000,7000000,7600000,7693612,12028544,12791068,9541416,22396000,16652000,11642000,1817000,16037000,17403000,16966000,16410000,41156000,64923000,61698000,57108000,52947000,48144000,50559000,48582000,51746000,50044000,45778000
75,Deferred Income Tax,-600000,-500000,400000,-400000,100000,-500000,-800000,-800000,-400000,-400000,-2039000,-284000,1463000,1626000,150000,-3529000,-18401000,24599000,7560000,-5012000,-6953000,-11612000,26577000,32465000,40920000,23537000,16685000,-7839000,49831000,45214000,47100000,-20716000,10376000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3254000,4077000,7196000,11019000,13079000,13958000,12944000,14266000,17633000,19793000,20902000,21107000,22442000
77,Change in Working Capital,2100000,-3400000,-3400000,-100000,2600000,-1700000,800000,-300000,-300000,-2000000,5095925,1252111,-1891829,-1291681,1052000,70843000,-2923000,-34078000,-48675000,-16586000,-83772000,50028000,62347000,-42648000,37592000,8030000,-105728000,2622000,-10558000,-19072000,-68240000,-283485000,80141000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3276000,-816000,-99986000,-53703000,29553000,-15235000,-8107000,7137000,2307000,-9397000,-1753000,4687000,20869000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-85820000,-3530000,- -,-12807000,-11223000,-11774000,-9789000,-11112000,-14959000,-7850000,-16158000,-19244000,-23505000
82,Other Non-Cash Items,3400000,4800000,8400000,14400000,-2600000,1200000,5300000,5500000,7300000,-2800000,3787439,10264593,2133110,23373570,7484000,7513000,26146000,-19219000,5409000,33197000,13872000,83689000,59011000,225531000,156887000,74073000,124036000,134248000,87988000,30897000,-26939000,633415000,-36262000
83,Cash Provided by Operating Activities,14400000,12300000,21500000,37000000,26000000,26800000,39100000,43000000,44200000,33400000,46248046,60084828,53750489,84292768,86037000,153183000,70496000,74921000,54223000,94368000,18142000,194798000,273046000,443032000,473532000,352428000,232345000,340737000,411085000,449184000,351949000,355191000,585690000
84,CAPEX,-1500000,-2300000,-3600000,-2900000,-3700000,-3900000,-3500000,-5000000,-5200000,-12700000,-8688754,-5133121,-12450927,-10860802,-9167000,-9250000,-14895000,-71097000,-69770000,-21468000,-12305000,-21899000,-72975000,-42979000,-32029000,-20449000,-23804000,-19272000,-20297000,-50664000,-42716000,-37869000,-23541000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-52490,- -,- -,-29377000,-3922000,- -,- -,- -,- -,- -,-74736000,- -,- -,- -,- -,- -,476609000,219417000,26947000,- -,- -
86,Purchases of Investments,-206200000,-385900000,-483100000,-522600000,-256300000,-344700000,-460300000,-419700000,-475200000,-475100000,-410206660,-175513417,-805038168,-804445854,-1246435000,-891869000,-1623433000,-1169592000,-1038175000,-1561241000,-2007985000,-1819694000,-1732757000,-846149000,-1556257000,-513119000,-2072955000,-1635530000,-1605736000,-1005746000,-1194431000,-3616395000,-5362210000
87,Sales/Maturities of Investments,162700000,362500000,389100000,385300000,245200000,334200000,402800000,544600000,292900000,344100000,562016635,293070712,588313432,757517052,1458757000,734127000,707504000,1434096000,1375885000,1152753000,2249266000,1873102000,1341590000,1561860000,1095979000,727996000,1627573000,1494357000,1276895000,1165763000,1261865000,1431844000,1388350000
88,Other Investing Activites,-34900000,52400000,-16600000,-39400000,-101100000,-12200000,-34400000,-113300000,-14600000,-100900000,-119659743,-171823068,1340725,-239023880,-385120000,-324720000,-251918000,-362121000,-443167000,-702607000,24719000,302866000,237855000,-733444000,455781000,-2125336000,-1831049000,-1160586000,-1022792000,-1175672000,-510687000,-955052000,772817000
89,Cash Used for Investing Activites,-78400000,29000000,-110600000,-176700000,-112200000,-22700000,-91900000,11600000,-196900000,-231900000,32150232,-54265773,-215436501,-285952682,-172798000,-511839000,-1171769000,-97617000,-105457000,-1111095000,253695000,334375000,-301023000,-17733000,-4497000,-1910459000,-2276431000,-1321031000,-895321000,-846902000,-459022000,-3177472000,-3224584000
90,Debt Repayment,-7900000,-700000,-18500000,- -,- -,-1300000,-900000,-1000000,-1100000,-1300000,-464864,-537031,-20571581,-585772,-592000,-155000,-7000,-50008000,- -,-155000,-1695064000,-20295000,-26813000,-192087000,-35278000,-35360000,-157933000,-21271000,-204111000,-90216000,-14222000,-308000,-153444000
