,https://roic.ai/company/INPX,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,-0.00,-0.00,-567008.51,-314000.00,-390600.00,-695230.77,-66983.15,-2602.38,-47.52,-1.01,-0.72
27,Weighted Average Shares Outstanding,159426003,159426000,8,24,30,39,534,17148,741530,28800493,107981441
28,Weighted Average Shares Outstanding Diluted,159426003,159426000,8,24,30,39,534,17148,741530,28800493,107981441
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1529113/000121390015002111/f10k2014_sysorexglobal.htm,https://www.sec.gov/Archives/edgar/data/1529113/000121390016012053/0001213900-16-012053-index.html,https://www.sec.gov/Archives/edgar/data/1529113/000121390017003902/f10k2016_inpixon.htm,https://www.sec.gov/Archives/edgar/data/1529113/000121390018003538/0001213900-18-003538-index.html,https://www.sec.gov/Archives/edgar/data/1529113/000121390019005135/0001213900-19-005135-index.html,https://www.sec.gov/Archives/edgar/data/1529113/000121390020005326/0001213900-20-005326-index.html,https://www.sec.gov/Archives/edgar/data/1529113/000162828021006279/0001628280-21-006279-index.htm,https://www.sec.gov/Archives/edgar/data/1529113/000162828022006421/0001628280-22-006421-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,225134,8301,2103955,3228000,4060000,1821000,141000,1008000,4777000,17996000,52480000
32,Short-Term Investments,- -,- -,124753,- -,- -,- -,- -,- -,- -,7998000,43125000
33,Cash and Short-Term Investments,225134,8301,2228708,3228000,4060000,1821000,141000,1008000,4777000,25994000,95605000
34,Net Receivables,414519,386720,10711041,9609000,13549000,12150000,2493000,1284000,1182000,1891000,3539000
35,Inventory,- -,- -,74929,610000,755000,1061000,790000,568000,400000,1243000,1976000
36,Other Current Assets,43318,31762,6573273,8614000,10248000,15112000,5784000,496000,406000,1197000,4842000
37,Total Current Assets,682971,426783,19587951,22061000,28612000,30144000,9208000,3356000,6765000,30325000,105962000
38,PP&E,144921,49238,290665,1308000,1392000,1385000,520000,202000,1730000,3523000,3178000
39,Goodwill,- -,- -,5707580,13166000,13166000,9028000,636000,- -,2070000,6588000,7672000
40,Intangible Assets,- -,- -,7385171,17954000,18443000,19749000,14695000,6199000,9944000,15923000,35270000
41,Intangible Assets,- -,- -,13092751,31120000,31609000,28777000,15331000,6199000,12014000,22511000,42942000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,4338000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,784824,1139091,5902560,7571000,7103000,6167000,2632000,2421000,710000,152000,253000
45,Total Non-Current Assets,929745,1188329,19285976,39999000,40104000,36329000,18483000,8822000,14454000,28686000,50711000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1612716,1615112,38873927,62060000,68715000,66473000,27691000,12178000,21219000,59011000,156673000
48,Accounts Payable,896262,1075311,8435100,7468000,9320000,23027000,25834000,1129000,2383000,908000,2414000
49,Short-Term Debt,496591,514564,6878969,4620000,9417000,6887000,3058000,4127000,8080000,6048000,4133000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,322000
51,Deferred Revenue,378557,236291,8124306,8689000,9095000,15043000,5611000,234000,912000,1922000,4805000
52,Other Current Liabilities,3827209,4356787,4001883,4097000,5018000,6210000,7528000,1792000,2365000,3239000,15779000
53,Total Current Liabilities,5598619,6182953,27440258,24874000,32850000,51167000,42031000,7282000,13740000,12117000,27131000
54,Long-Term Debt,- -,- -,291663,100000,1226000,4047000,767000,74000,837000,1457000,1108000
55,Deferred Revenue,- -,- -,4845138,7181000,7666000,5960000,2636000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,87000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,684000,4017000,2586000,1110000,19000,507000,757000,44943000
58,Total Non-Current Liabilities,- -,- -,5136801,7965000,12909000,12593000,4513000,93000,1431000,2214000,46051000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,1613000,2104000,1751000
61,Total Liabilities,5598619,6182953,32577059,32839000,45759000,63760000,46544000,7375000,15171000,14331000,73182000
62,Preferred Stock,- -,- -,- -,- -,- -,1340000,- -,- -,- -,- -,- -
63,Common Stock,17963,17988,14095,20000,25000,33000,1000,2000,4000,53000,124000
64,Retained Earnings,-8148712,-8842558,-13105962,-20641000,-32359000,-59473000,-94486000,-117772000,-151763000,-180992000,-250309000
65,Other Comprehensive Income/Loss,-416132,-515336,3048,-18000,31000,52000,31000,26000,94000,660000,44000
66,Other Total Stockholders Equity,5678356,5980222,20865902,51456000,56865000,62756000,77607000,122529000,157687000,224918000,- -
67,Total Stockholders Equity,-2868525,-3359684,7777083,30817000,24562000,4708000,-16847000,4785000,6022000,44639000,81803000
68,Total Liabilities And Stockholders Equity,2730094,2823269,40354142,63656000,70321000,68468000,29697000,12160000,21193000,58970000,154985000
69,Minority Interest,-1117378,-1208157,-1480215,-1596000,-1606000,-1995000,-2006000,18000,26000,41000,1688000
70,Total Liabilities & Equity,1612716,1615112,38873927,62060000,68715000,66473000,27691000,12178000,21219000,59011000,156673000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1529113/000121390015002111/f10k2014_sysorexglobal.htm,https://www.sec.gov/Archives/edgar/data/1529113/000121390016012053/0001213900-16-012053-index.html,https://www.sec.gov/Archives/edgar/data/1529113/000121390017003902/f10k2016_inpixon.htm,https://www.sec.gov/Archives/edgar/data/1529113/000121390018003538/0001213900-18-003538-index.html,https://www.sec.gov/Archives/edgar/data/1529113/000121390019005135/0001213900-19-005135-index.html,https://www.sec.gov/Archives/edgar/data/1529113/000121390020005326/0001213900-20-005326-index.html,https://www.sec.gov/Archives/edgar/data/1529113/000162828021006279/0001628280-21-006279-index.htm,https://www.sec.gov/Archives/edgar/data/1529113/000162828022006421/0001628280-22-006421-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-35529,-693846,-4263404,-7536000,-11718000,-27114000,-35013000,-24572000,-33991000,-29229000,-69155000
74,Depreciation and Amortization,83198,99204,943536,3206000,4647000,5794000,6960000,6252000,5220000,3861000,7128000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-584000,-87000,-2593000
76,Stock Based Compensation,395300,223600,1202035,1723000,1424000,1377000,1533000,1494000,3489000,1194000,10879000
77,Change in Working Capital,-909701,-175520,-1131520,-1481000,-2886000,9278000,14965000,-9245000,1715000,-3233000,-2848000
78,Accounts Receivable,-60739,-320217,-4597250,1391000,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,-19502,-269000,-145000,-305000,270000,222000,171000,-117000,-112000
80,Accounts Payable,-337841,179048,2376445,-1204000,1944000,6907000,5414000,-8445000,1189000,-1815000,391000
81,Other Working Capital,111883,-148517,1494328,4378000,1127000,-10000,-12756000,246000,-507000,242000,817000
82,Other Non-Cash Items,25067,74551,521179,-448000,332000,7880000,13874000,-694000,13486000,6893000,19458000
83,Cash Provided by Operating Activities,-441665,-472011,-2728174,-4536000,-8201000,-2785000,2319000,-26765000,-10665000,-20601000,-37131000
84,CAPEX,-5875,-3521,-136044,-1288000,-1531000,-2101000,-1355000,-892000,-1016000,-11820000,-2269000
85,Acquisitions Net,- -,- -,1781033,-9443000,-19000,-564000,37000,-175000,-4092000,-1189000,-15877000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10498000,-65362000
87,Sales/Maturities of Investments,- -,- -,486361,125000,- -,- -,- -,- -,- -,- -,30000000
88,Other Investing Activites,- -,- -,-1056840,-25000,-1176000,-1576000,-1254000,-1166000,-927000,-10848000,-1923000
89,Cash Used for Investing Activites,-5875,-3521,1131350,-10396000,-1550000,-2665000,-1318000,-1429000,-5108000,-23507000,-53508000
90,Debt Repayment,-93344,-183560,-2308189,-2474000,-835000,-3544000,-12986000,-1300000,-211000,-2793000,-117000
91,Common Stock Issued,- -,- -,- -,2080000,4685000,1734000,6581000,28960000,20725000,55352000,128437000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,740561,442259,6000667,16468000,6684000,5000000,3745000,1336000,-1108000,4700000,-3283000
95,Cash Used/Provided by Financing Activities,647217,258699,3692478,16074000,10534000,3190000,-2660000,28996000,19406000,57259000,125037000
96,Effect of Forex Changes on Cash,- -,- -,- -,-18000,49000,21000,-21000,-5000,68000,-4000,86000
97,Net Change In Cash,199677,-216833,2095654,1124000,832000,-2239000,-1680000,797000,3701000,13147000,34484000
98,Cash at the End of Period,225134,8301,2103955,3228000,4060000,1821000,141000,1148000,4849000,17996000,52480000
99,Cash at the Beginning of Period,25457,225134,8301,2104000,3228000,4060000,1821000,351000,1148000,4849000,17996000
100,Free Cash Flow,-447540,-475532,-2864218,-5824000,-9732000,-4886000,964000,-27657000,-11681000,-32421000,-39400000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1529113/000121390015002111/f10k2014_sysorexglobal.htm,https://www.sec.gov/Archives/edgar/data/1529113/000121390016012053/0001213900-16-012053-index.html,https://www.sec.gov/Archives/edgar/data/1529113/000121390017003902/f10k2016_inpixon.htm,https://www.sec.gov/Archives/edgar/data/1529113/000121390018003538/0001213900-18-003538-index.html,https://www.sec.gov/Archives/edgar/data/1529113/000121390019005135/0001213900-19-005135-index.html,https://www.sec.gov/Archives/edgar/data/1529113/000121390020005326/0001213900-20-005326-index.html,https://www.sec.gov/Archives/edgar/data/1529113/000162828021006279/0001628280-21-006279-index.htm,https://www.sec.gov/Archives/edgar/data/1529113/000162828022006421/0001628280-22-006421-index.htm
102,false,,,,,,,,,,,
