,https://roic.ai/company/VERX,2018,2019,2020,2021
53,Total Current Liabilities,238752000,334529000,291968000,369132000
54,Long-Term Debt,49973000,682000,225000,24388000
55,Deferred Revenue,14764000,14046000,14702000,11666000
56,Deferred Tax Liabilities,- -,- -,- -,- -
57,Other Non-Current Liabilities,23279000,27798000,22547000,34937000
58,Total Non-Current Liabilities,88016000,42526000,37474000,70991000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,1107000,28605000
61,Total Liabilities,326768000,377055000,329442000,440123000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,54000,54000,146000,149000
64,Retained Earnings,-88038000,-90701000,21926000,24811000
65,Other Comprehensive Income/Loss,-496000,-491000,-3127000,-17497000
66,Other Total Stockholders Equity,-23216000,-21294000,206541000,- -
67,Total Stockholders Equity,-111696000,-112432000,225486000,230084000
68,Total Liabilities And Stockholders Equity,215072000,264623000,554928000,670207000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,215072000,264623000,554928000,670207000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1806837/000155837021003017/0001558370-21-003017-index.htm,https://www.sec.gov/Archives/edgar/data/1806837/000155837022003777/0001558370-22-003777-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-6106000,23077000,-78937000,-1479000
74,Depreciation and Amortization,24901000,25190000,32215000,44782000
75,Deferred Income Tax,- -,- -,-29643000,-3116000
76,Stock Based Compensation,5108000,9460000,147904000,26160000
77,Change in Working Capital,22452000,-62541000,279695000,20610000
78,Accounts Receivable,-16958000,-10116000,-6762000,2962000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,3397000,3868000,-1842000,3847000
81,Other Working Capital,-106431000,-168972000,110723000,20480000
82,Other Non-Cash Items,34094000,97312000,-291691000,5012000
83,Cash Provided by Operating Activities,80449000,92498000,59543000,91969000
84,CAPEX,-33314000,-37560000,-32805000,-45046000
85,Acquisitions Net,- -,- -,-11570000,-251412000
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,-12261000,-17221000,-11850000,-11660000
89,Cash Used for Investing Activites,-33314000,-37560000,-44375000,-296458000
90,Debt Repayment,-3284000,-5566000,-238751000,-964000
91,Common Stock Issued,- -,- -,423024000,- -
92,Common Stock Repurchased,-1277000,-841000,- -,- -
93,Dividends Paid,-28024000,-28566000,-146116000,-2700000
94,Other Financing Activites,1888000,4344000,175475000,-5435000
95,Cash Used/Provided by Financing Activities,-30697000,-30629000,213632000,-9099000
96,Effect of Forex Changes on Cash,-402000,12000,-22000,-479000
97,Net Change In Cash,16036000,24321000,228778000,-214067000
98,Cash at the End of Period,59174000,83495000,312273000,98206000
99,Cash at the Beginning of Period,43138000,59174000,83495000,312273000
100,Free Cash Flow,47135000,54938000,26738000,46923000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1806837/000155837021003017/0001558370-21-003017-index.htm,https://www.sec.gov/Archives/edgar/data/1806837/000155837022003777/0001558370-22-003777-index.htm
102,false,,,,
