,https://roic.ai/company/CLPT,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
67,Total Stockholders Equity,- -,-21843143,-5737101,-6833969,-100330,-1981139,-756069,5828740,1511002,4586717,2377000,48787000
68,Total Liabilities And Stockholders Equity,- -,3030429,5551746,7873070,13385682,10102802,7400885,13897365,7856833,11926437,29518000,65581000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,3030429,5551746,7873070,13385682,10102802,7400885,13897365,7856833,11926437,29518000,65581000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1285550/000143774913002608/0001437749-13-002608-index.html,https://www.sec.gov/Archives/edgar/data/1285550/000143774914005398/0001437749-14-005398-index.htm,https://www.sec.gov/Archives/edgar/data/1285550/000143774915005283/0001437749-15-005283-index.htm,https://www.sec.gov/Archives/edgar/data/1285550/000153442416000661/0001534424-16-000661-index.html,https://www.sec.gov/Archives/edgar/data/1285550/000153442417000093/0001534424-17-000093-index.html,https://www.sec.gov/Archives/edgar/data/1285550/000153442418000090/0001534424-18-000090-index.html,https://www.sec.gov/Archives/edgar/data/1285550/000153442419000092/0001534424-19-000092-index.html,https://www.sec.gov/Archives/edgar/data/1285550/000117152020000159/0001171520-20-000159-index.html,https://www.sec.gov/Archives/edgar/data/1285550/000117152021000138/0001171520-21-000138-index.htm,https://www.sec.gov/Archives/edgar/data/1285550/000128555022000003/0001285550-22-000003-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-9454235,-8311411,-5877718,-7086274,-4524732,-8449250,-8069900,-7167350,-6163470,-5539790,-6782000,-14410000
74,Depreciation and Amortization,266223,354885,416970,426183,377261,211946,155707,116454,109439,250560,550000,692000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,245462,989902,2031291,1458271,880765,1682063,959585,1245601,1231379,799111,1090000,2078000
77,Change in Working Capital,-245185,-10472826,11949343,-3048031,10939890,-5909388,2188887,5280749,-3701145,1903138,15711863,34877000
78,Accounts Receivable,-31540,-370040,-43852,-324920,301403,-749094,352100,-83472,-284481,143979,-1250000,-658000
79,Inventory,-1214962,91519,-270686,-309551,-345988,68626,72342,-469922,122220,-1024612,-25000,-1714000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1285000
81,Other Working Capital,-2580480,-13053306,-1103963,-4151994,6787896,878508,3067395,8348144,4646999,6550137,22262000,57139000
82,Other Non-Cash Items,1480482,11199855,-15953702,471920,-14923487,3826895,-1054322,-5467965,3893205,-262534,-18376863,-35934000
83,Cash Provided by Operating Activities,-7707253,-6239595,-7433816,-7777931,-7250303,-8637734,-5820043,-5992511,-4630592,-2849515,-7807000,-12697000
84,CAPEX,-61704,-26101,-127453,-174469,-48129,-76883,-101002,-26752,-63490,-160190,-482000,-168000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-100000,- -,- -,- -,- -,- -,-150000,-441000,- -
89,Cash Used for Investing Activites,-61704,-26101,-127453,-174469,-48129,-76883,-101002,-26752,-63490,-160190,-482000,-168000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,-2137344,-2838000,- -
91,Common Stock Issued,3000000,2831610,3424950,- -,- -,- -,3833052,11993320,- -,7427847,- -,46785000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-4756,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,3777142,2002250,5610846,9848639,13026194,4879134,- -,- -,505384,313791,25530000,90000
95,Cash Used/Provided by Financing Activities,6777142,4833860,9035796,9848639,13026194,4879134,3828296,11993320,-1494616,5604294,22692000,46875000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-991815,-1431836,1474527,1896239,5727762,-3835483,-2092749,5974057,-6188698,2594589,14403000,34010000
98,Cash at the End of Period,1577314,145478,1620005,3516244,9244006,5408523,3315774,9289831,3101133,5695722,20099000,54109000
99,Cash at the Beginning of Period,2569129,1577314,145478,1620005,3516244,9244006,5408523,3315774,9289831,3101133,5696000,20099000
100,Free Cash Flow,-7768957,-6265696,-7561269,-7952400,-7298432,-8714617,-5921045,-6019263,-4694082,-3009705,-8289000,-12865000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1285550/000143774913002608/0001437749-13-002608-index.html,https://www.sec.gov/Archives/edgar/data/1285550/000143774914005398/0001437749-14-005398-index.htm,https://www.sec.gov/Archives/edgar/data/1285550/000143774915005283/0001437749-15-005283-index.htm,https://www.sec.gov/Archives/edgar/data/1285550/000153442416000661/0001534424-16-000661-index.html,https://www.sec.gov/Archives/edgar/data/1285550/000153442417000093/0001534424-17-000093-index.html,https://www.sec.gov/Archives/edgar/data/1285550/000153442418000090/0001534424-18-000090-index.html,https://www.sec.gov/Archives/edgar/data/1285550/000153442419000092/0001534424-19-000092-index.html,https://www.sec.gov/Archives/edgar/data/1285550/000117152020000159/0001171520-20-000159-index.html,https://www.sec.gov/Archives/edgar/data/1285550/000117152021000138/0001171520-21-000138-index.htm,https://www.sec.gov/Archives/edgar/data/1285550/000128555022000003/0001285550-22-000003-index.htm
102,false,,,,,,,,,,,,
