,https://roic.ai/company/CSTM,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
39,Goodwill,- -,- -,- -,- -,443000000,457000000,403000000,422000000,455000000,417000000,451000000
40,Intangible Assets,12000000,11000000,- -,28000000,78000000,79000000,68000000,70000000,70000000,61000000,58000000
41,Intangible Assets,12000000,11000000,21000000,28000000,521000000,536000000,471000000,492000000,525000000,478000000,509000000
42,Investments,4000000,12000000,8000000,54000000,67000000,65000000,111000000,75000000,8000000,19000000,12000000
43,Tax Assets,205000000,205000000,177000000,190000000,270000000,252000000,164000000,163000000,185000000,193000000,162000000
44,Other Non-Current Assets,91000000,64000000,60000000,48000000,53000000,47000000,48000000,64000000,60000000,67000000,55000000
45,Total Non-Current Assets,510000000,594000000,674000000,952000000,2166000000,2377000000,2311000000,2460000000,2834000000,2663000000,2686000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1612000000,1631000000,1764000000,3012000000,3628000000,3787000000,3711000000,3901000000,4184000000,4129000000,4624000000
48,Accounts Payable,464000000,482000000,469000000,659000000,657000000,627000000,717000000,685000000,711000000,626000000,1377000000
49,Short-Term Debt,73000000,18000000,22000000,47000000,169000000,107000000,106000000,57000000,201000000,92000000,258000000
50,Tax Payable,18000000,16000000,32000000,30000000,22000000,30000000,23000000,24000000,28000000,35000000,34000000
51,Deferred Revenue,29000000,10000000,13000000,32000000,13000000,14000000,10000000,68000000,54000000,81000000,- -
52,Other Current Liabilities,275000000,235000000,254000000,320000000,367000000,287000000,277000000,329000000,306000000,287000000,79000000
53,Total Current Liabilities,841000000,745000000,758000000,1058000000,1206000000,1035000000,1110000000,1139000000,1272000000,1086000000,1714000000
54,Long-Term Debt,141000000,140000000,326000000,1205000000,2064000000,2361000000,2021000000,2094000000,2160000000,2299000000,1871000000
55,Deferred Revenue,- -,20000000,18000000,10000000,38000000,40000000,34000000,9000000,6000000,3000000,- -
56,Deferred Tax Liabilities,29000000,11000000,1000000,- -,10000000,30000000,25000000,22000000,24000000,10000000,14000000
57,Other Non-Current Liabilities,714000000,762000000,625000000,776000000,850000000,891000000,840000000,751000000,807000000,832000000,734000000
58,Total Non-Current Liabilities,884000000,933000000,970000000,1991000000,2962000000,3322000000,2920000000,2876000000,2997000000,3144000000,2619000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,1725000000,1678000000,1728000000,3049000000,4168000000,4357000000,4030000000,4015000000,4269000000,4230000000,4333000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,2000000,2000000,2000000,2000000,3000000,3000000,3000000,3000000,3000000
64,Retained Earnings,-213000000,-149000000,-132000000,-207000000,-715000000,-743000000,-750000000,-545000000,-519000000,-538000000,-149000000
65,Other Comprehensive Income/Loss,-1000000,-15000000,-45000000,-90000000,-569000000,-710000000,-774000000,-951000000,-1172000000,-128000000,- -
66,Other Total Stockholders Equity,- -,- -,207000000,252000000,731000000,872000000,1194000000,1371000000,1592000000,548000000,420000000
67,Total Stockholders Equity,-115000000,-51000000,32000000,-43000000,-551000000,-579000000,-327000000,-122000000,-96000000,-115000000,274000000
68,Total Liabilities And Stockholders Equity,1610000000,1627000000,1760000000,3006000000,3617000000,3778000000,3703000000,3893000000,4173000000,4115000000,4607000000
69,Minority Interest,2000000,4000000,4000000,6000000,11000000,9000000,8000000,8000000,11000000,14000000,17000000
70,Total Liabilities & Equity,1612000000,1631000000,1764000000,3012000000,3628000000,3787000000,3711000000,3901000000,4184000000,4129000000,4624000000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1563411/000119312514152916/0001193125-14-152916-index.htm,https://www.sec.gov/Archives/edgar/data/1563411/000119312515146764/d908770d20f.htm,https://www.sec.gov/Archives/edgar/data/1563411/000119312516545056/d159480d20f.htm,https://www.sec.gov/Archives/edgar/data/1563411/000119312517090611/0001193125-17-090611-index.html,https://www.sec.gov/Archives/edgar/data/1563411/000119312518079483/0001193125-18-079483-index.html,https://www.sec.gov/Archives/edgar/data/1563411/000119312519070927/0001193125-19-070927-index.html,https://www.sec.gov/Archives/edgar/data/1563411/000156341120000006/0001563411-20-000006-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-179000000,132000000,98000000,51000000,-554000000,-4000000,-31000000,188000000,59000000,-21000000,257000000
74,Depreciation and Amortization,2000000,14000000,32000000,49000000,140000000,155000000,171000000,197000000,256000000,259000000,267000000
75,Deferred Income Tax,-34000000,47000000,39000000,37000000,-32000000,69000000,80000000,32000000,18000000,-17000000,55000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-23000000,46000000,-14000000,-56000000,266000000,-47000000,-85000000,-297000000,114000000,52000000,-268000000
78,Accounts Receivable,- -,- -,- -,-48000000,343000000,28000000,-91000000,-145000000,104000000,36000000,-227000000
79,Inventory,23000000,35000000,41000000,-95000000,149000000,-42000000,-99000000,-9000000,57000000,63000000,-435000000
80,Accounts Payable,- -,- -,- -,170000000,-161000000,-18000000,124000000,-27000000,-31000000,-38000000,396000000
81,Other Working Capital,-55000000,-71000000,-60000000,-83000000,-65000000,-15000000,-19000000,-116000000,-16000000,-9000000,-2000000
82,Other Non-Cash Items,205000000,7000000,29000000,131000000,691000000,-85000000,25000000,-54000000,- -,61000000,46000000
83,Cash Provided by Operating Activities,-29000000,246000000,184000000,212000000,511000000,88000000,160000000,66000000,447000000,334000000,357000000
84,CAPEX,-97000000,-126000000,-144000000,-199000000,-350000000,-355000000,-276000000,-277000000,-271000000,-182000000,-232000000
85,Acquisitions Net,13000000,- -,4000000,-19000000,-348000000,21000000,- -,- -,-83000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,15000000,-5000000,8000000,2000000,-24000000,-31000000,-16000000,186000000,1000000,6000000,11000000
89,Cash Used for Investing Activites,-69000000,-131000000,-132000000,-216000000,-722000000,-365000000,-292000000,-91000000,-353000000,-176000000,-221000000
90,Debt Repayment,- -,-148000000,-156000000,-331000000,-211000000,-217000000,-1559000000,-68000000,-186000000,-374000000,-1089000000
91,Common Stock Issued,98000000,- -,162000000,- -,- -,- -,259000000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-250000000,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,103000000,62000000,287000000,1084000000,-97000000,362000000,1361000000,-14000000,110000000,475000000,654000000
95,Cash Used/Provided by Financing Activities,201000000,-86000000,43000000,753000000,-308000000,145000000,61000000,-82000000,-76000000,101000000,-435000000
96,Effect of Forex Changes on Cash,10000000,- -,-1000000,6000000,4000000,3000000,-7000000,2000000,2000000,-4000000,7000000
97,Net Change In Cash,- -,29000000,94000000,755000000,-515000000,-129000000,-78000000,-105000000,20000000,255000000,-292000000
98,Cash at the End of Period,113000000,142000000,236000000,991000000,476000000,347000000,269000000,164000000,184000000,439000000,147000000
99,Cash at the Beginning of Period,- -,113000000,142000000,236000000,991000000,476000000,347000000,269000000,164000000,184000000,439000000
100,Free Cash Flow,-126000000,120000000,40000000,13000000,161000000,-267000000,-116000000,-211000000,176000000,152000000,125000000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1563411/000119312514152916/0001193125-14-152916-index.htm,https://www.sec.gov/Archives/edgar/data/1563411/000119312515146764/d908770d20f.htm,https://www.sec.gov/Archives/edgar/data/1563411/000119312516545056/d159480d20f.htm,https://www.sec.gov/Archives/edgar/data/1563411/000119312517090611/0001193125-17-090611-index.html,https://www.sec.gov/Archives/edgar/data/1563411/000119312518079483/0001193125-18-079483-index.html,https://www.sec.gov/Archives/edgar/data/1563411/000119312519070927/0001193125-19-070927-index.html,https://www.sec.gov/Archives/edgar/data/1563411/000156341120000006/0001563411-20-000006-index.html,- -,- -
102,Forex Rate,1.2945,1.3194,1.3745,1.2097,1.086,1.0513,1.1996,1.1469,1.121,1.2213,1.1368
