,https://roic.ai/company/WCRS,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1363958/000114420412018253/0001144204-12-018253-index.html,https://www.sec.gov/Archives/edgar/data/1363958/000114420413018793/0001144204-13-018793-index.html,https://www.sec.gov/Archives/edgar/data/1363958/000114420414017791/0001144204-14-017791-index.htm,https://www.sec.gov/Archives/edgar/data/1363958/000161577415002274/0001615774-15-002274-index.htm,https://www.sec.gov/Archives/edgar/data/1363958/000161577416004733/0001615774-16-004733-index.html,https://www.sec.gov/Archives/edgar/data/1363958/000161577417001396/0001615774-17-001396-index.html,https://www.sec.gov/Archives/edgar/data/1363958/000161577418002185/0001615774-18-002185-index.html,https://www.sec.gov/Archives/edgar/data/1363958/000161577419005100/0001615774-19-005100-index.html,https://www.sec.gov/Archives/edgar/data/1363958/000175392620000060/0001753926-20-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1363958/000175392621000082/0001753926-21-000082-index.htm,https://www.sec.gov/Archives/edgar/data/1363958/000175392622000362/0001753926-22-000362-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,14962,4957,1523,984625,3358547,1526562,2092386,1909442,2246619,1983835,4273350,7847669,14159975,21295819,16724983,27132540,32054935,43015095
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32292902,22394748,14756665,17088073,14376274
33,Cash and Short-Term Investments,14962,4957,1523,984625,3358547,1526562,2092386,1909442,2246619,1983835,4273350,7847669,14159975,53588721,39119731,41889205,49143008,57391369
34,Net Receivables,83621,103625,1551,8539797,4889940,4875870,4743906,- -,- -,- -,1135127,1963192,1716867,764071,493208,4377887,2573845,1980322
35,Inventory,- -,- -,- -,- -,198430,373858,502415,756528,1084510,1557886,2340824,7617850,9095460,9130842,8467512,8330691,8729368,13915857
36,Other Current Assets,- -,- -,67958,618333,805318,774145,619736,5752564,6054749,6825792,7411184,8037187,8165560,11555747,10891719,2679859,3171259,4038908
37,Total Current Assets,98583,108582,71032,10142755,9252235,7550435,7958443,8418534,9385878,10367513,15160485,25465898,33137862,75039381,58972170,57277642,63617480,77326456
38,PP&E,892,178,- -,631736,815980,1075715,824102,757747,855719,928074,1197710,8561321,9696620,11347234,9945826,22069937,19174855,24795226
39,Goodwill,- -,- -,- -,9883659,10253744,11458744,11458744,12393869,12774069,12894069,12956868,13355591,5796528,5796528,5796528,5796528,5796528,5796528
40,Intangible Assets,301965,- -,- -,90926,756849,902069,434413,309552,230891,117096,7248793,8018616,7536945,4987769,4167110,4041650,3573802,7156401
41,Intangible Assets,301965,- -,- -,9974585,11010593,12360813,11893157,12703421,13004960,13011165,20205661,21374207,13333473,10784297,9963638,9838178,9370330,12952929
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,1000000,1500000,250000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,413000,484000,498000,644000,563000,- -,- -,512099,- -,- -,357000
44,Other Non-Current Assets,- -,- -,- -,167000,133831,107715,95180,-270926,-357009,-365667,-445592,220907,4042697,4073244,46110,1220871,840062,766061
45,Total Non-Current Assets,302857,178,- -,10773321,11960404,13544243,12812439,13603242,13987670,14071572,21601779,30719435,27072790,29204775,21467673,34628986,29635247,38871216
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,401440,108760,71032,20916076,21212639,21094678,20770882,22021776,23373548,24439085,36762264,56185333,60210652,104244156,80439843,91906628,93252727,116197672
48,Accounts Payable,27941,11247,10401,2859779,998653,1352989,1477607,2323730,3119786,2910560,6025920,4577118,13002381,11897968,11816050,7710222,7073640,10896353
49,Short-Term Debt,- -,- -,14000,- -,2100000,1959803,2769330,1695123,615228,2750000,3542240,4923868,1889839,99166,51211,5146320,4714975,7147662
50,Tax Payable,- -,- -,- -,- -,- -,145773,435670,- -,- -,- -,755615,1135031,265813,18730647,- -,243149,- -,189632
51,Deferred Revenue,14793,4591,2167,262357,319543,345826,320021,314561,293294,296503,- -,- -,- -,- -,- -,794830,685454,- -
52,Other Current Liabilities,252700,- -,5081,- -,- -,1145773,1885670,3550000,- -,- -,1393683,9163636,3935543,21158805,2304485,4092093,4654167,6928491
53,Total Current Liabilities,295434,15838,31649,3122136,3418196,4804391,6452628,7883414,4028308,5957063,10961843,18664622,18827763,33155939,14171746,17743465,17128236,24972506
54,Long-Term Debt,- -,- -,- -,- -,2500000,2138162,905188,1210065,2750000,- -,1625000,3096452,8681545,789216,789216,8464626,6696418,11067515
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,545000,64000,250000,350000,530000,871000,1156000,3939000,4452000,1775000,1456000,795000,385000,370000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,145995,113750,237842,149431,- -,- -,- -,2000000
58,Total Non-Current Liabilities,- -,- -,- -,545000,2564000,2388162,1255188,1740065,3621000,1156000,5709995,7662202,10694387,2394647,1584216,8849626,7066418,13067515
59,Other Liabilities,- -,- -,39383,- -,- -,- -,- -,- -,- -,- -,11428363,15350483,21435243,6546980,5045340,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73721,57207,148782,98346,51211,12525695,11411393,- -
61,Total Liabilities,295434,15838,71032,3667136,5982196,7192553,7707816,9623479,7649308,7113063,16680211,26352903,29568619,37308272,17632870,26593091,24194654,13067515
62,Preferred Stock,- -,- -,- -,100000,100000,100000,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,234800,- -,- -,- -,- -,- -,- -,- -,- -,- -,950,939,939,927,884,911
64,Retained Earnings,-129794,-142878,- -,-490378,-3347894,-4676212,-5258711,-5923480,-6647122,-5027578,-2621692,898038,1643996,37903204,33774293,33706035,38470323,46862154
65,Other Comprehensive Income/Loss,-3678,-4392,- -,-385069,-514503,-656949,-892325,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,239478,240192,-195417,18124387,19092840,19235286,19214102,18321777,22371362,22353600,22712118,28960471,28997087,29031741,29031741,29031741,29031741,29562271
67,Total Stockholders Equity,106006,92922,39383,17248940,15230443,13902125,13063066,12398297,15724240,17326022,20082053,29832430,30642033,66935884,62806973,62738703,67502948,76425336
68,Total Liabilities And Stockholders Equity,401440,108760,110415,20916076,21212639,21094678,20770882,22021776,23373548,24439085,36762264,56185333,60210652,104244156,80439843,89331794,91697602,89492851
69,Minority Interest,- -,- -,-39383,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2574834,1555125,26704821
70,Total Liabilities & Equity,401440,108760,71032,20916076,21212639,21094678,20770882,22021776,23373548,24439085,36762264,56185333,60210652,104244156,80439843,91906628,93252727,116197672
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1363958/000114420412018253/0001144204-12-018253-index.html,https://www.sec.gov/Archives/edgar/data/1363958/000114420413018793/0001144204-13-018793-index.html,https://www.sec.gov/Archives/edgar/data/1363958/000114420414017791/0001144204-14-017791-index.htm,https://www.sec.gov/Archives/edgar/data/1363958/000161577415002274/0001615774-15-002274-index.htm,https://www.sec.gov/Archives/edgar/data/1363958/000161577416004733/0001615774-16-004733-index.html,https://www.sec.gov/Archives/edgar/data/1363958/000161577417001396/0001615774-17-001396-index.html,https://www.sec.gov/Archives/edgar/data/1363958/000161577418002185/0001615774-18-002185-index.html,https://www.sec.gov/Archives/edgar/data/1363958/000161577419005100/0001615774-19-005100-index.html,https://www.sec.gov/Archives/edgar/data/1363958/000175392620000060/0001753926-20-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1363958/000175392621000082/0001753926-21-000082-index.htm,https://www.sec.gov/Archives/edgar/data/1363958/000175392622000362/0001753926-22-000362-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-129794,-13084,-52539,27244,604685,771682,1348941,1348941,1435231,1619544,2405886,3519730,1458318,37679225,-2241131,3455550,10248117,13237925
74,Depreciation and Amortization,305643,79979,- -,277045,795924,975456,815583,815583,734991,520730,556496,1197653,1759629,2344423,2815800,8222487,8045728,7540618
75,Deferred Income Tax,- -,- -,- -,-262000,277000,258000,119000,-119000,-234000,-271000,-349000,-611000,2120000,-570000,661000,-410000,-15000,-103000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,-88000,- -,- -,- -,- -,107249,63645,27924,- -,- -,- -,- -
77,Change in Working Capital,-180849,289595,-53361,6981236,-1186580,-3087995,-1240229,-970695,4822450,-947120,-211808,2602634,7508823,27573343,2916982,-6356912,-5279546,5864706
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-780,-115189,205100
79,Inventory,- -,- -,- -,- -,-171952,-189498,-128557,-128557,-254113,-473376,-761957,-1679584,-1477610,-35382,582282,366704,-317257,-2016994
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3281498
81,Other Working Capital,-196851,92744,39383,7020619,5834039,2746044,1505815,535120,5357570,4410450,4198642,6801276,14310099,41883442,44800424,-233042,-14059,52353950
82,Other Non-Cash Items,5000,-356490,94423,-5113930,-1698488,3469257,1787940,1668406,-4609557,45692,2013719,-1400132,-3054407,-62039566,-20543762,-86467,683810,-9159433
83,Cash Provided by Operating Activities,- -,- -,-11477,1909595,-1207459,2386400,2743235,2743235,2149115,967846,4415293,5416134,9856008,5015349,-16391111,4824658,13683109,17380816
84,CAPEX,- -,- -,- -,-140747,-291404,-492928,-103964,-103964,-145947,-454640,-237161,-766625,-1960809,-2616616,-960883,-712469,-480510,-1013343
85,Acquisitions Net,- -,- -,- -,-8968,-989266,-2178000,- -,-1416782,-615200,-143000,1454,-227570,-588241,- -,-76707,-602200,-566586,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17762,-388,- -,- -,-35773830,-29722700,-20907047,-38279813,-34042063
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28045130,37167921,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,17762,-249612,- -,-2810762,52604871,45168672,3925497,625002,35043005
89,Cash Used for Investing Activites,- -,- -,- -,-149715,-1280670,-2670928,-103964,-1562729,-982068,-597640,-485707,-994195,-5359812,14214425,14408382,9748911,-1533986,-12401
90,Debt Repayment,- -,- -,- -,- -,- -,-447457,-629075,- -,- -,-405163,-1625000,- -,- -,-5128896,-51992,-1122672,-1086412,3533776
91,Common Stock Issued,- -,- -,- -,75700,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-1000,- -,- -,- -,- -,-1909442,- -,-17762,-388,-7847669,-14159975,-480928,-9697,-513431,-2305106,- -
93,Dividends Paid,- -,- -,- -,-1586415,-1575000,-1100000,-1650000,-1650000,- -,- -,-4032,- -,-712360,-939100,-1878083,-1875215,-1143873,-921984
94,Other Financing Activites,- -,- -,14000,-530000,6437051,- -,205628,2790112,-1545538,-210065,-10651,7000049,16688445,-5545006,-648335,-654694,-2691337,-6693630
95,Cash Used/Provided by Financing Activities,- -,- -,13000,-2040715,4862051,-1547457,-2073447,-769330,-1545538,-632990,-1640071,-847620,1816110,-12093930,-2588107,-4166012,-7226728,-4081838
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-280835,2373922,-1831985,565824,565824,-182944,-262784,2289515,3574319,6312306,7135844,-4570836,10407557,4922395,10510292
98,Cash at the End of Period,- -,- -,1523,984625,3358547,1526562,2092386,1909442,2246619,1983835,4273350,7847669,14159975,21295819,16724983,27132540,32054935,- -
99,Cash at the Beginning of Period,- -,- -,- -,1265460,984625,3358547,1526562,1343618,2429563,2246619,1983835,4273350,7847669,14159975,21295819,16724983,27132540,- -
100,Free Cash Flow,- -,- -,-11477,1768848,-1498863,1893472,2639271,2639271,2003168,513206,3928132,4649509,7895199,2398733,-17351994,4112189,13202599,16367473
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1363958/000114420412018253/0001144204-12-018253-index.html,https://www.sec.gov/Archives/edgar/data/1363958/000114420413018793/0001144204-13-018793-index.html,https://www.sec.gov/Archives/edgar/data/1363958/000114420414017791/0001144204-14-017791-index.htm,https://www.sec.gov/Archives/edgar/data/1363958/000161577415002274/0001615774-15-002274-index.htm,https://www.sec.gov/Archives/edgar/data/1363958/000161577416004733/0001615774-16-004733-index.html,https://www.sec.gov/Archives/edgar/data/1363958/000161577417001396/0001615774-17-001396-index.html,https://www.sec.gov/Archives/edgar/data/1363958/000161577418002185/0001615774-18-002185-index.html,https://www.sec.gov/Archives/edgar/data/1363958/000161577419005100/0001615774-19-005100-index.html,https://www.sec.gov/Archives/edgar/data/1363958/000175392620000060/0001753926-20-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1363958/000175392621000082/0001753926-21-000082-index.htm,https://www.sec.gov/Archives/edgar/data/1363958/000175392622000362/0001753926-22-000362-index.htm
102,false,,,,,,,,,,,,,,,,,,
