,https://roic.ai/company/FIVE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
21,Income Before Tax Ratio,0.0544,0.0597,0.0883,0.0814,0.0971,0.1127,0.1114,0.1142,0.1243,0.1230,0.1200,0.0780,0.1287
22,Income Tax expense (Gain),-4853000,4753000,10159000,14069000,19816000,28635000,34976000,42421000,56398000,42162000,46513000,29706000,87900
23,Net Income,11658000,7023000,16078000,20000000,32100000,48024000,57680000,71840000,102451000,149645000,175056000,123361000,278800
24,Net Income ratio,0.0932,0.0356,0.0541,0.0478,0.0600,0.0706,0.0693,0.0718,0.0802,0.0960,0.0948,0.0629,0.0979
25,EPS,0.08,-0.02,0.28,-1.28,0.59,0.89,1.06,1.31,1.86,2.68,3.14,2.21,0.01
26,EPS Diluted,0.08,-0.02,0.28,-1.28,0.59,0.88,1.05,1.30,1.84,2.66,3.12,2.20,0.01
27,Weighted Average Shares Outstanding,50256845,50256845,49739728,35444200,53294805,54219801,54513622,54845708,55208246,55763034,55823535,55816508,55816508
28,Weighted Average Shares Outstanding Diluted,50256845,50256845,49740237,35444200,53741860,54573855,54793301,55128870,55561472,56220864,56166167,56060039,56060039
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1177609/000144530513000741/0001445305-13-000741-index.html,https://www.sec.gov/Archives/edgar/data/1177609/000117760914000011/a2013fivebelowform10k.htm,https://www.sec.gov/Archives/edgar/data/1177609/000162828015002001/form10k2014_fivebelowform1.htm,https://www.sec.gov/Archives/edgar/data/1177609/000162828016012961/0001628280-16-012961-index.html,https://www.sec.gov/Archives/edgar/data/1177609/000162828017002866/0001628280-17-002866-index.html,https://www.sec.gov/Archives/edgar/data/1177609/000117760918000008/0001177609-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1177609/000117760919000010/0001177609-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1177609/000117760920000009/0001177609-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1177609/000117760921000011/0001177609-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1177609/000117760922000010/0001177609-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,12153000,41293000,56100000,50200000,63186000,53081000,76088000,112669000,251748000,202490000,268783000,64973000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,46335000,77791000,131958000,85412000,59229000,140928000,277141000
33,Cash and Short-Term Investments,- -,12153000,41293000,56100000,50200000,63186000,99416000,153879000,244627000,337160000,261719000,409711000,342114000
34,Net Receivables,- -,20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,26754000,38790000,60800000,89400000,115652000,148370000,154448000,187037000,243636000,324028000,281267000,455104000
36,Other Current Assets,- -,7015000,12166000,12800000,21300000,28742000,16959000,31462000,47698000,61461000,79966000,64435000,107521000
37,Total Current Assets,- -,45942000,92249000,129700000,160900000,207580000,264745000,339789000,479362000,642257000,665713000,755413000,904739000
38,PP&E,- -,29743000,42040000,59000000,70400000,86998000,119784000,138376000,180349000,301297000,1282074000,1541213000,1928892000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,10514000,27702000,- -,- -,- -,37717000
43,Tax Assets,- -,714000,- -,1600000,- -,- -,- -,- -,- -,- -,8716000,- -,36156000
44,Other Non-Current Assets,- -,183000,238000,-600000,800000,284000,8765000,11857000,8295000,8710000,2158000,18144000,- -
45,Total Non-Current Assets,- -,30640000,42278000,60000000,71200000,87282000,128549000,160747000,216346000,310007000,1292948000,1559357000,2002765000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,76582000,134527000,189700000,232100000,294862000,393294000,500536000,695708000,952264000,1958661000,2314770000,2907504000
48,Accounts Payable,- -,10023000,23588000,28000000,34000000,39222000,58225000,51178000,73033000,103692000,130242000,138622000,196461000
49,Short-Term Debt,- -,- -,- -,15000000,19500000,- -,- -,- -,- -,- -,110470000,143074000,163537000
50,Tax Payable,- -,141000,9139000,7083000,6007000,14442000,11942000,23939000,25275000,20626000,9505000,2025000,11325000
51,Deferred Revenue,- -,- -,- -,1295000,4586000,- -,8507000,11039000,6676000,6126000,8716000,- -,- -
52,Other Current Liabilities,- -,8192000,26354000,24505000,21614000,40179000,35464000,54346000,84751000,143287000,101917000,153974000,226903000
53,Total Current Liabilities,- -,18215000,49942000,68800000,79700000,79401000,102196000,116563000,164460000,253105000,351345000,435670000,586901000
54,Long-Term Debt,- -,250000,250000,19500000,- -,- -,- -,- -,- -,- -,- -,967255000,1135456000
55,Deferred Revenue,- -,- -,- -,28901000,35198000,- -,46384000,52372000,72547000,84065000,- -,- -,36156000
56,Deferred Tax Liabilities,- -,- -,1306000,1550000,- -,742000,8507000,11039000,6676000,6126000,8716000,28911000,36156000
57,Other Non-Current Liabilities,- -,206914000,212788000,149000,302000,40450000,-8274000,-10843000,-6533000,-6126000,838822000,1048000,- -
58,Total Non-Current Liabilities,- -,207164000,214344000,50100000,35500000,41192000,46617000,52568000,72690000,84065000,847538000,997214000,1207768000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,948093000,1110329000,- -
61,Total Liabilities,- -,225379000,264286000,118900000,115200000,120593000,148813000,169131000,237150000,337170000,1198883000,1432884000,1760176000
62,Preferred Stock,- -,191855000,191855000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,161000,162000,500000,500000,544000,546000,549000,554000,557000,557000,559000,556000
64,Retained Earnings,- -,-149690000,-133612000,-200400000,-168300000,-120267000,-62587000,9253000,111704000,261835000,436891000,560252000,839062000
65,Other Comprehensive Income/Loss,- -,-16461000,-22704000,-31500000,-44000000,-59385000,-74395000,-100200000,-127679000,-168588000,-215071000,- -,- -
66,Other Total Stockholders Equity,- -,-174662000,-165460000,302144000,328673000,353377000,380917000,421803000,473979000,521290000,537401000,321075000,280666000
67,Total Stockholders Equity,- -,-148797000,-129759000,70744000,116873000,174269000,244481000,331405000,458558000,615094000,759778000,881886000,1120284000
68,Total Liabilities And Stockholders Equity,- -,76582000,134527000,189644000,232073000,294862000,393294000,500536000,695708000,952264000,1958661000,2314770000,2880460000
69,Minority Interest,- -,- -,- -,56000,27000,- -,- -,- -,- -,- -,- -,- -,27044000
70,Total Liabilities & Equity,- -,76582000,134527000,189700000,232100000,294862000,393294000,500536000,695708000,952264000,1958661000,2314770000,2907504000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1177609/000144530513000741/0001445305-13-000741-index.html,https://www.sec.gov/Archives/edgar/data/1177609/000117760914000011/a2013fivebelowform10k.htm,https://www.sec.gov/Archives/edgar/data/1177609/000162828015002001/form10k2014_fivebelowform1.htm,https://www.sec.gov/Archives/edgar/data/1177609/000162828016012961/0001628280-16-012961-index.html,https://www.sec.gov/Archives/edgar/data/1177609/000162828017002866/0001628280-17-002866-index.html,https://www.sec.gov/Archives/edgar/data/1177609/000117760918000008/0001177609-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1177609/000117760919000010/0001177609-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1177609/000117760920000009/0001177609-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1177609/000117760921000011/0001177609-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1177609/000117760922000010/0001177609-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,11658000,7023000,16078000,20000000,32100000,48024000,57680000,71840000,102451000,149645000,175056000,123361000,278810000
74,Depreciation and Amortization,3660000,4805000,7071000,9599000,13469000,17202000,22227000,26631000,33241000,41451000,54979000,69345000,84831000
75,Deferred Income Tax,-5027000,-716000,56000,3812000,-5074000,-3063000,-626000,-2532000,4363000,550000,14842000,20195000,7245000
76,Stock Based Compensation,271000,2104000,1197000,12324000,10092000,5931000,11172000,11953000,16373000,12018000,12383000,9551000,25787000
77,Change in Working Capital,-1394000,25523000,14580000,18593000,20300000,46979000,34370000,60677000,91676000,74250000,-74784000,5375000,-1905000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-2606000,-10711000,-12036000,-22041000,-28546000,-26275000,-32718000,-6079000,-32589000,-56599000,-80392000,42761000,-173837000
80,Accounts Payable,-1326000,3684000,12481000,3369000,4083000,3060000,17578000,-5451000,19809000,32866000,20742000,11146000,61559000
81,Other Working Capital,2204000,27727000,42307000,60900000,81200000,128179000,162549000,223226000,314902000,389152000,314368000,319743000,317838000
82,Other Non-Cash Items,59000,-23694000,7713000,-33965000,-39700000,-53643000,-36910000,-61947000,-80723000,-93781000,4553000,138139000,-66856000
83,Cash Provided by Operating Activities,9227000,15045000,46695000,30363000,31187000,61430000,87913000,106622000,167381000,184133000,187029000,365966000,327912000
84,CAPEX,-7285000,-14883000,-18558000,-22890000,-25931000,-32322000,-53059000,-44794000,-67795000,-113720000,-212297000,-200189000,-288167000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-46335000,-119746000,-234856000,-117371000,-136148000,-192612000,-477082000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,77776000,163501000,191619000,154865000,105912000,299652000
88,Other Investing Activites,-7285000,-14883000,-18558000,-22890000,-25931000,-32322000,-53059000,-44794000,-67795000,-113720000,-212297000,-200189000,-296977000
89,Cash Used for Investing Activites,-7285000,-14883000,-18558000,-22890000,-25931000,-32322000,-99394000,-86764000,-139150000,-39472000,-193580000,-286889000,-465597000
90,Debt Repayment,-222000,- -,- -,-65550000,-15000000,-26500000,- -,- -,- -,- -,- -,-50000000,-4975000
91,Common Stock Issued,- -,- -,1110000,73198000,148000,179000,178000,208000,251000,365000,435000,477000,828000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-314000,- -,- -,- -,-1987000,-36885000,-12663000,-60011000
93,Dividends Paid,- -,-192417000,- -,-99451000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,77000,191972000,-107000,99118000,3699000,10529000,1198000,2941000,8099000,-3960000,-6257000,49402000,-1967000
95,Cash Used/Provided by Financing Activities,-145000,-445000,1003000,7315000,-11153000,-16106000,1376000,3149000,8350000,-5582000,-42707000,-12784000,-66125000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1797000,-283000,29140000,14788000,-5897000,13002000,-10105000,23007000,36581000,139079000,-49258000,66293000,-203810000
98,Cash at the End of Period,12436000,12153000,41293000,56081000,50184000,63186000,53081000,76088000,112669000,251748000,202490000,268783000,64973000
99,Cash at the Beginning of Period,10639000,12436000,12153000,41293000,56081000,50184000,63186000,53081000,76088000,112669000,251748000,202490000,268783000
100,Free Cash Flow,1942000,162000,28137000,7473000,5256000,29108000,34854000,61828000,99586000,70413000,-25268000,165777000,39745000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1177609/000144530513000741/0001445305-13-000741-index.html,https://www.sec.gov/Archives/edgar/data/1177609/000117760914000011/a2013fivebelowform10k.htm,https://www.sec.gov/Archives/edgar/data/1177609/000162828015002001/form10k2014_fivebelowform1.htm,https://www.sec.gov/Archives/edgar/data/1177609/000162828016012961/0001628280-16-012961-index.html,https://www.sec.gov/Archives/edgar/data/1177609/000162828017002866/0001628280-17-002866-index.html,https://www.sec.gov/Archives/edgar/data/1177609/000117760918000008/0001177609-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1177609/000117760919000010/0001177609-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1177609/000117760920000009/0001177609-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1177609/000117760921000011/0001177609-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1177609/000117760922000010/0001177609-22-000010-index.htm
102,false,,,,,,,,,,,,,
