,https://roic.ai/company/FOCS,2015,2016,2017,2018,2019,2020,2021
57,Other Non-Current Liabilities,- -,491650000,957732000,-678085000,-860696000,277739000,687826000
58,Total Non-Current Liabilities,- -,953001000,1944328000,203868000,468541000,2064888000,997123000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,196425000,253295000,277324000
61,Total Liabilities,- -,1014824000,2013498000,1125258000,1849659000,2204002000,3591598000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,690000,695000,719000,767000
64,Retained Earnings,- -,- -,- -,-590000,-13462000,14583000,24995000
65,Other Comprehensive Income/Loss,- -,-25656000,-32056000,-1824000,-1299000,-2167000,3029000
66,Other Total Stockholders Equity,- -,- -,- -,471386000,498186000,526664000,- -
67,Total Stockholders Equity,- -,-261883000,-778661000,469662000,484120000,539799000,870544000
68,Total Liabilities And Stockholders Equity,- -,752941000,1234837000,1594920000,2333779000,2743801000,4462142000
69,Minority Interest,- -,- -,- -,342858000,319850000,319080000,246864000
70,Total Liabilities & Equity,- -,752941000,1234837000,1937778000,2653629000,3062881000,4709006000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1651052/000104746919001705/0001047469-19-001705-index.htm,https://www.sec.gov/Archives/edgar/data/1651052/000155837020001271/0001558370-20-001271-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1651052/000155837022001311/0001558370-22-001311-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,9321000,15722000,-48359000,-590000,-12872000,28045000,10412000
74,Depreciation and Amortization,40748000,56622000,71053000,98751000,141393000,160234000,202473000
75,Deferred Income Tax,- -,- -,- -,- -,3555000,2618000,-8568000
76,Stock Based Compensation,13537000,8520000,34879000,44468000,18329000,22285000,31602000
77,Change in Working Capital,-4363000,40881000,52472000,-806652000,-414591000,1289567000,-53022000
78,Accounts Receivable,-10799000,-5472000,-30209000,-23747000,-29562000,-37913000,-32006000
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,709000,2741000,-1210000,2341000,-1172000,606000,486000
81,Other Working Capital,-132000,40749000,93221000,-713431000,-1128022000,161545000,543000
82,Other Non-Cash Items,1883000,-44595000,-40955000,769942000,458960000,-1291388000,131021000
83,Cash Provided by Operating Activities,61126000,77150000,69090000,105919000,194774000,211361000,313918000
84,CAPEX,-6448000,-3408000,-10518000,-9106000,-25472000,-19349000,-11018000
85,Acquisitions Net,-105422000,-171202000,-365698000,-413044000,-532513000,-348674000,-979062000
86,Purchases of Investments,-3066000,-12854000,-500000,-24300000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,1530000,- -,- -
88,Other Investing Activites,- -,665000,- -,- -,- -,-4950000,-17232000
89,Cash Used for Investing Activites,-114936000,-186799000,-376716000,-446450000,-556455000,-372973000,-1007312000
90,Debt Repayment,-88022000,-107422000,-642258000,-461224000,-529972000,-326713000,-425378000
91,Common Stock Issued,- -,- -,- -,565160000,- -,- -,219636000
92,Common Stock Repurchased,-1968000,-42000,- -,- -,- -,- -,-57735000
93,Dividends Paid,-6339000,-7879000,-5817000,-2744000,-20641000,-22457000,-32311000
94,Other Financing Activites,156615000,226207000,990478000,221295000,944180000,511001000,1234585000
95,Cash Used/Provided by Financing Activities,60286000,110864000,342403000,322487000,393567000,161831000,938797000
96,Effect of Forex Changes on Cash,-63000,-206000,170000,-198000,79000,461000,-577000
97,Net Change In Cash,6413000,1009000,34947000,-18242000,31965000,680000,244826000
98,Cash at the End of Period,15499000,16508000,51455000,33213000,65178000,65858000,310684000
99,Cash at the Beginning of Period,9086000,15499000,16508000,51455000,33213000,65178000,65858000
100,Free Cash Flow,54678000,73742000,58572000,96813000,169302000,192012000,302900000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1651052/000104746919001705/0001047469-19-001705-index.htm,https://www.sec.gov/Archives/edgar/data/1651052/000155837020001271/0001558370-20-001271-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1651052/000155837022001311/0001558370-22-001311-index.htm
102,false,,,,,,,
