,https://roic.ai/company/CEPU,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
28,Weighted Average Shares Outstanding Diluted,70998038,33632273,33632273,33632273,70804786,70804786,70804786,70804786,33632000,159793726,159793726,150569513,151402225,150517041,150517041,150478624
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,34434951,16654988,11147983,24485280,7072970,14893217,3854006,42030000,45693000,179318000,282443000,30008000,88633000,229948000,1493868000,278698000
32,Short-Term Investments,355467194,- -,240922820,116268304,8545085,24632316,122760664,71459000,21830000,1028450000,1893798000,1796756000,1110728000,1964630000,7698732000,14076309000
33,Cash and Short-Term Investments,389902145,16654988,252070803,140753584,15618055,39525533,126614670,113489000,67523000,1207768000,2176241000,1826764000,1199361000,2194578000,9192600000,14355007000
34,Net Receivables,89859705,152288022,185283762,290751266,228308890,424783266,560130476,90291000,183897000,763152000,1276928000,2233375000,4222552000,10813637000,15930230000,19364329000
35,Inventory,25049874,9384116,7124173,5593723,11274495,13494152,37132286,18117000,19051000,48792000,82672000,137965000,110290000,220896000,657594000,804226000
36,Other Current Assets,- -,- -,3000000,- -,- -,- -,- -,22616000,26558000,73091000,104403000,119270000,278422000,260521000,716964000,2630572000
37,Total Current Assets,504811724,178327126,447478738,437098573,255201440,477802951,723877432,244513000,297029000,2092803000,3640244000,4317374000,5810625000,13489632000,26497388000,37154134000
38,PP&E,1065983556,786597579,653641867,479054808,493287844,588381474,567763648,733326000,687515000,1503894000,1968148000,2811539000,7431728000,22567418000,56696733000,79186695000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,39819000,- -,- -,- -,236530000,187833000,2235230000,7068787000,6744106000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,39819000,33137000,311555000,275543000,236530000,187833000,2235230000,7068787000,6744106000
42,Investments,- -,61786,61786,61786,16878286,23708118,102720133,228375000,457527000,103035000,389103000,307012000,985646000,1998336000,3450569000,4664005000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98380000
44,Other Non-Current Assets,108070266,166813960,133097879,101733385,62205912,146354204,182843583,220734000,213853000,2289416000,3284944000,5050506000,2663137000,16969250000,25082498000,30542288000
45,Total Non-Current Assets,1174053822,953473325,786801532,580849979,572372042,758443796,853327364,1222254000,1392032000,4207900000,5917738000,8405587000,11268344000,43770234000,92298587000,121235474000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1678865546,1131800451,1234280270,1017948552,827573482,1236246747,1577204796,1466767000,1689061000,6300703000,9557982000,12722961000,17078969000,57259866000,118795975000,158389608000
48,Accounts Payable,101633165,118586662,115464766,208166994,153699033,91342626,220509632,38516000,18622000,168395000,314734000,652349000,1006191000,1702295000,5562582000,2398457000
49,Short-Term Debt,1078380327,30671986,13887797,21229579,24895453,123383248,38822717,92521000,69524000,289354000,1164740000,2340900000,2258642000,2485578000,8025892000,19835486000
50,Tax Payable,8207367,27601206,24486579,98845399,53456911,89572973,137350296,2874000,27063000,212061000,422761000,734512000,1738026000,5856824000,3295945000,4630220000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,15434444,38726206,39845747,121956187,77580464,125450307,182880344,75576000,150585000,526203000,937378000,1306364000,2633313000,7034068000,4465962000,6185232000
53,Total Current Liabilities,1195447936,187984854,169198310,351352760,256174950,340176181,442212693,206613000,238731000,983952000,2416852000,4299613000,5898146000,11221941000,18054436000,28419175000
54,Long-Term Debt,166152355,542789983,444591577,111775979,- -,- -,70000000,18132000,- -,707740000,861268000,1284783000,2534287000,6191274000,30389083000,29902651000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,140790441,84281976,94032120,148852557,146246206,171182000,196193000,553514000,833318000,1136481000,703744000,4793384000,6310170000,8999900000
57,Other Non-Current Liabilities,13058253,- -,- -,- -,- -,- -,- -,51627000,61459000,601168000,785594000,848068000,581792000,2124413000,4891489000,6556533000
58,Total Non-Current Liabilities,179210608,542789983,585382018,196057955,94032120,148852557,216246206,240941000,257652000,1862422000,2480180000,3269332000,3819823000,13109071000,41590742000,45459084000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,1374658544,730774837,754580328,547410715,350207070,489028738,658458899,447554000,496383000,2846374000,4897032000,7568945000,9717969000,24331012000,59645178000,73878259000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,88505982,88505982,88505982,88506000,88506000,199742000,199742000,1514022000,1514022000,1514022000,1514022000,1514022000
64,Retained Earnings,- -,- -,- -,- -,7789774,248545794,429061006,177181000,160812000,682417000,1354359000,1757051000,3503046000,14715337000,9539556000,6897425000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,234380095,263475672,254488348,606835000,796669000,1541100000,2075779000,834667000,1013338000,4789674000,28889738000,52317867000
66,Other Total Stockholders Equity,- -,- -,- -,- -,146690561,146690561,146690561,146691000,146691000,1031070000,1031070000,1041559000,1041559000,11442144000,18416762000,23653716000
67,Total Stockholders Equity,304207002,401025614,479699942,470537837,477366412,747218009,918745897,1019213000,1192678000,3454329000,4660950000,5147299000,7071965000,32461177000,58360078000,84383030000
68,Total Liabilities And Stockholders Equity,1678865546,1131800451,1234280270,1017948552,827573482,1236246747,1577204796,1466767000,1689061000,6300703000,9557982000,12716244000,16789934000,56792189000,118005256000,158261289000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6717000,289035000,467677000,790719000,128319000
70,Total Liabilities & Equity,1678865546,1131800451,1234280270,1017948552,827573482,1236246747,1577204796,1466767000,1689061000,6300703000,9557982000,12722961000,17078969000,57259866000,118795975000,158389608000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-86085121,179989157,206799398,9666015,131651768,248433686,231848682,-30045000,90285000,317731000,1330734000,1768843000,3507795000,17519598000,8808815000,6891921000
74,Depreciation and Amortization,78991694,50170105,48878227,57868448,23048606,32468967,51086431,104657000,100493000,105477000,194199000,242026000,327376000,1492229000,3390893000,5954973000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-77833000,- -,- -,- -,- -,373124000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2942000,13369000,48557000,1673000
77,Change in Working Capital,64100562,-37156312,-56026023,29524238,-81135382,-351827912,-123191330,153759000,-35797000,-165556000,-357019000,211210000,-956485000,6964618000,13293289000,6675026000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-73456000,-194364000,-650183000,-967354000,-1057029000,- -,- -,- -
79,Inventory,-11364349,15665758,2307063,1344991,-5680772,-2219657,-23638134,-3968000,-934000,-1618000,-26184000,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,38593000,30426000,319348000,615773000,477218000,1808271000,1717860000,-8171729000
81,Other Working Capital,66497865,11688398,-29242734,74289651,- -,- -,- -,- -,- -,- -,- -,562791000,-376674000,- -,- -,- -
82,Other Non-Cash Items,121128898,-196272245,-199651602,119566038,63740485,8395466,127108739,-90543000,-199550000,-38135000,65167000,-133472000,-492645000,-22283788000,-13567729000,-603100000
83,Cash Provided by Operating Activities,178136033,-3269295,- -,216624739,137305477,-62529793,286852522,137828000,-44569000,219517000,1155248000,2088607000,2388983000,3706026000,11973825000,19293617000
84,CAPEX,-4722306,-3280291,-2276681,-26217913,-33628363,-4220782,-114372228,-197630000,-49282000,-45367000,-1143843000,-2188359000,-3483521000,-6958953000,-17504542000,-11970431000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-10331000,-44914000,- -,25053000,-6000,- -,-8466454000,- -
86,Purchases of Investments,- -,-61786,- -,- -,- -,- -,- -,- -,- -,-58023000,-183230000,- -,- -,- -,-2670381000,-5458711000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,186189827,152767,- -,- -,5313993,1510000,80097000,-123355000,118962000,237556000,1166232000,1888628000,737068000,140984000
89,Cash Used for Investing Activites,-4722306,-3342077,183913146,-26065146,-33628363,-4220782,-109058235,-190806000,20484000,-271659000,-1208111000,-1925750000,-2317295000,-5070325000,-27904309000,-17288158000
90,Debt Repayment,- -,-368048315,-120326299,-300926812,-21338028,- -,- -,- -,- -,- -,-67214000,-743087000,-1307176000,-2095109000,-1157931000,-3229307000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-123907908,-7257463,-51333470,- -,- -,- -,-365000000,-1392282000,-1279393000,-1417639000,-1132143000,-63958000
94,Other Financing Activites,-39356,1412530,-1809212,- -,-83566707,97915516,-39371680,-13717000,27050000,128888000,582505000,1702360000,2527975000,4200160000,19422367000,-390097000
95,Cash Used/Provided by Financing Activities,-39356,-366635785,-122135511,-300926812,-228812643,90658053,-90705150,-13717000,27050000,128888000,150291000,-433009000,-58594000,687412000,17132293000,-3683362000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,698000,5499000,5697000,7671000,45531000,1331368000,634961000,276696000
97,Net Change In Cash,173374371,-373247157,235415815,-110367219,-125135529,23907478,87089137,-66222000,3663000,133625000,103125000,-262481000,58625000,99085000,1140133000,-1755063000
98,Cash at the End of Period,389902145,16654988,252070803,140753584,15618055,39525533,126614670,42030000,45693000,179318000,282443000,30008000,88633000,229948000,1493868000,278698000
99,Cash at the Beginning of Period,216527774,389902145,16654988,251120803,140753584,15618055,39525533,108252000,42030000,45693000,179318000,292489000,30008000,130863000,353735000,2033761000
100,Free Cash Flow,173413727,-6549586,- -,190406826,103677114,-66750575,172480294,-59802000,-93851000,174150000,11405000,-99752000,-1094538000,-3252927000,-5530717000,7323186000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.3298,0.3269,0.3175,0.2895,0.2631,0.2519,0.23234,0.20338,0.1534,0.11681,0.07726,0.06296,0.05366,0.02653,0.0167,0.01189
