,https://roic.ai/company/BAH,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,692755000,262628000,124335000,-304865000,478345000,155342000,15768000,-70581000,90237000,-297021000,-109323000,-601389000,-610988000
83,Cash Provided by Operating Activities,-6207000,270484000,296339000,360046000,464654000,332718000,309958000,249234000,382277000,369143000,499610000,551428000,718684000
84,CAPEX,-46149000,-49271000,-88784000,-76925000,-33113000,-20905000,-36041000,-66635000,-53919000,-78437000,-94681000,-128079000,-87210000
85,Acquisitions Net,-1623683000,- -,- -,- -,-157339000,3563000,-24534000,-51118000,-247627000,-19113000,5469000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-74168000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-153662000,38280000,1384000,23332000,- -,3786000,- -,- -,650000,1097000,- -,- -,3094000
89,Cash Used for Investing Activites,-1823494000,-10991000,-87400000,-53593000,-190452000,-13556000,-60575000,-117753000,-300896000,-96453000,-89212000,-128079000,-158284000
90,Debt Repayment,-251050000,-16100000,-1637850000,-30000000,-993250000,-355563000,-279563000,-295063000,-968325000,-317149000,-170512000,-76922000,-527865000
91,Common Stock Issued,956500000,- -,251135000,8757000,6373000,5078000,5020000,5977000,6314000,8907000,11266000,14987000,19408000
92,Common Stock Repurchased,-16422000,- -,- -,-5377000,-1067000,-3709000,-62140000,-63152000,-46548000,-270318000,-252824000,-182224000,-313397000
93,Dividends Paid,- -,-612401000,- -,-11906000,-1172222000,-401940000,-262204000,-111817000,-95179000,-104362000,-114514000,-146602000,-181066000
94,Other Financing Activites,1551507000,255941000,1062572000,23810000,1751980000,346582000,296727000,312886000,1052245000,479773000,113218000,425323000,691574000
95,Cash Used/Provided by Financing Activities,2240535000,-372560000,-324143000,-14716000,-408186000,-409552000,-302160000,-151169000,-51493000,-203149000,-413366000,34562000,-311346000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,442490000,-113067000,-115204000,291737000,-133984000,-90390000,-52777000,-19688000,29888000,69541000,-2968000,457911000,249054000
98,Cash at the End of Period,449613000,307835000,192631000,484368000,350384000,259994000,207217000,187529000,217417000,286958000,283990000,741901000,990955000
99,Cash at the Beginning of Period,7123000,420902000,307835000,192631000,484368000,350384000,259994000,207217000,187529000,217417000,286958000,283990000,741901000
100,Free Cash Flow,-52356000,221213000,207555000,283121000,431541000,311813000,273917000,182599000,328358000,290706000,404929000,423349000,631474000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1443646/000095012311057569/0000950123-11-057569-index.html,https://www.sec.gov/Archives/edgar/data/1443646/000119312512253723/d288735d10k.htm,https://www.sec.gov/Archives/edgar/data/1443646/000144364613000010/0001443646-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/1443646/000144364614000015/0001443646-14-000015-index.html,https://www.sec.gov/Archives/edgar/data/1443646/000144364615000018/0001443646-15-000018-index.html,https://www.sec.gov/Archives/edgar/data/1443646/000144364616000138/0001443646-16-000138-index.html,https://www.sec.gov/Archives/edgar/data/1443646/000144364617000050/0001443646-17-000050-index.html,https://www.sec.gov/Archives/edgar/data/1443646/000144364618000100/0001443646-18-000100-index.html,https://www.sec.gov/Archives/edgar/data/1443646/000144364619000093/0001443646-19-000093-index.html,https://www.sec.gov/Archives/edgar/data/1443646/000144364620000086/bah-20200331x10k.htm,https://www.sec.gov/Archives/edgar/data/1443646/000144364621000079/0001443646-21-000079-index.htm
102,false,,,,,,,,,,,,,
