,https://roic.ai/company/PECO,2013,2014,2015,2016,2017,2018,2019,2020,2021
51,Deferred Revenue,- -,- -,- -,- -,- -,14025000,15955000,14581000,19145000
52,Other Current Liabilities,- -,975000,5278000,4571000,- -,- -,124054000,176943000,97229000
53,Total Current Liabilities,- -,49713000,49159000,56213000,149778000,213458000,140009000,191524000,116374000
54,Long-Term Debt,- -,650462000,854079000,1056156000,1806998000,2365467000,2354099000,2292605000,1891722000
55,Deferred Revenue,- -,- -,- -,- -,- -,14025000,15955000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,72332000,39782000,43032000,90624000,157630000,149338000,178505000,184346000
58,Total Non-Current Liabilities,- -,722794000,893861000,1099188000,1897622000,2537122000,2519392000,2471110000,2076068000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,131559000,443000,164000,766000
61,Total Liabilities,- -,772507000,943020000,1155401000,2047400000,2750580000,2659401000,2662634000,2192442000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1820000,1813000,1851000,1852000,2798000,2890000,2798000,1132000
64,Retained Earnings,- -,-213975000,-323761000,-438155000,-601238000,-692045000,-947252000,-999491000,-1090837000
65,Other Comprehensive Income/Loss,- -,- -,22000,10587000,16496000,12362000,-20762000,-52306000,-24819000
66,Other Total Stockholders Equity,- -,- -,- -,1627098000,1629130000,2674871000,2779130000,2739358000,3264038000
67,Total Stockholders Equity,- -,1355498000,1266615000,1201381000,1046240000,1997986000,1814006000,1690359000,2149514000
68,Total Liabilities And Stockholders Equity,- -,2128005000,2209635000,2356782000,3093640000,4748566000,4473407000,4352993000,4341956000
69,Minority Interest,- -,22764000,25177000,23406000,432442000,414911000,354788000,325570000,326812000
70,Total Liabilities & Equity,- -,2150769000,2234812000,2380188000,3526082000,5163477000,4828195000,4678563000,4668768000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1476204/000147620421000023/0001476204-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1476204/000147620422000029/0001476204-22-000029-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-12404000,-22635000,13360000,8932000,-38391000,39138000,-63532000,4772000,15121000
74,Depreciation and Amortization,29242000,76554000,98367000,103282000,128943000,191283000,236870000,224679000,221433000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,5098000,7716000,5861000,16394000
77,Change in Working Capital,126000,-14266000,25615000,-4621000,-46320000,23287000,66581000,-8440000,4010000
78,Accounts Receivable,- -,- -,- -,- -,3592000,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,13015000,11409000,1829000,6840000,5426000,-12548000,-13550000,-8943000,8508000
81,Other Working Capital,-12995000,-27261000,-1646000,-6267000,-52587000,-29300000,37281000,28841000,- -
82,Other Non-Cash Items,1576000,36018000,-31269000,-4517000,64629000,-105515000,-20760000,-16296000,5944000
83,Cash Provided by Operating Activities,18540000,75671000,106073000,103076000,108861000,153291000,226875000,210576000,262902000
84,CAPEX,-767413000,-726604000,-113012000,-227228000,-201844000,-48980000,-75492000,-63965000,-75035000
85,Acquisitions Net,- -,- -,- -,- -,-456704000,-201673000,-11686000,3453000,5039000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-8514000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-15219000,-4973000,-19632000,-25106000,-4347000,-57194000,75869000,-47545000,-177016000
89,Cash Used for Investing Activites,-776219000,-715772000,-110774000,-226217000,-620749000,-258867000,64183000,-44092000,-180491000
90,Debt Repayment,-78089000,-28636000,-77324000,-110875000,-83387000,-289879000,-349069000,-319848000,-1238715000
91,Common Stock Issued,1586589000,2534000,- -,- -,- -,- -,- -,- -,547401000
92,Common Stock Repurchased,-849000,-3323000,-74469000,-20301000,-46539000,-53153000,-34675000,-5267000,-77765000
93,Dividends Paid,-19301000,-56612000,-59387000,-64269000,-74198000,-80728000,-123135000,-49331000,-106699000
94,Other Financing Activites,-278075000,281537000,240912000,286130000,713504000,586195000,226625000,244791000,776959000
95,Cash Used/Provided by Financing Activities,1210275000,195500000,29732000,90685000,509380000,162435000,-280254000,-129655000,-98819000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,452596000,-444601000,25031000,-32456000,-2508000,56859000,10804000,36829000,-16408000
98,Cash at the End of Period,460250000,15649000,40680000,8224000,5716000,84304000,95108000,131937000,115529000
99,Cash at the Beginning of Period,7654000,460250000,15649000,40680000,8224000,27445000,84304000,95108000,131937000
100,Free Cash Flow,-748873000,-650933000,-6939000,-124152000,-92983000,104311000,151383000,146611000,187867000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1476204/000147620421000023/0001476204-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1476204/000147620422000029/0001476204-22-000029-index.htm
102,false,,,,,,,,,
