,https://roic.ai/company/DOOR,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,-1510000,-19179000,-31982000,-35507000,-40938000,- -,-59173000,-29062000,-41889000,-62965000,- -,-41590000
20,Income Before Tax,- -,-5484000,-25712000,-35167000,-29700000,-28955000,- -,-27569000,130004000,120357000,66348000,- -,102300000
21,Income Before Tax Ratio,- -,-0.0040,-0.0173,-0.0210,-0.0172,-0.0158,- -,-0.0147,0.0639,0.0555,0.0305,- -,0.0453
22,Income Tax expense (Gain),- -,-11396000,-21560000,-13365000,-21377000,4533000,- -,14172000,-27560000,23813000,17309000,- -,28611000
23,Net Income,- -,3038000,-6534000,-23245000,-11000000,-37340000,- -,-47111000,151739000,92710000,44602000,- -,69037000
24,Net Income ratio,- -,0.0022,-0.0044,-0.0139,-0.0064,-0.0203,- -,-0.0252,0.0746,0.0427,0.0205,- -,0.0306
25,EPS,- -,0.11,-0.24,-0.84,-0.39,-1.26,- -,-1.56,5.18,3.38,1.77,- -,2.81
26,EPS Diluted,- -,0.11,-0.24,-0.84,-0.39,-1.26,- -,-1.56,5.09,3.33,1.75,- -,2.77
27,Weighted Average Shares Outstanding,- -,27618182,27225000,27693541,28230769,29588001,- -,30266747,29298236,27412268,25130027,- -,24569727
28,Weighted Average Shares Outstanding Diluted,- -,27618182,27225000,27693541,28230769,29588001,- -,30266747,29814659,27865228,25452722,- -,24943178
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/893691/000089369114000022/a2013form10-k.htm,https://www.sec.gov/Archives/edgar/data/893691/000089369115000009/a2014form10-k.htm,undefined,https://www.sec.gov/Archives/edgar/data/893691/000089369116000072/0000893691-16-000072-index.html,https://www.sec.gov/Archives/edgar/data/893691/000089369118000007/0000893691-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/893691/000089369119000016/0000893691-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/893691/000089369120000008/0000893691-20-000008-index.html,undefined,https://www.sec.gov/Archives/edgar/data/893691/000089369121000012/0000893691-21-000012-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,152236000,121050000,109205000,122314000,100900000,192037000,- -,89187000,176669000,115656000,166964000,- -,364674000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,152236000,121050000,109205000,122314000,100900000,192037000,- -,89187000,176669000,115656000,166964000,- -,364674000
34,Net Receivables,211448000,209801000,236406000,263168000,247100000,243517000,- -,226738000,271599000,287075000,281027000,- -,291632000
35,Inventory,178028000,186401000,209041000,208783000,218300000,222732000,- -,208393000,234042000,250407000,242230000,- -,260962000
36,Other Current Assets,42820000,39400000,54351000,58207000,57400000,34290000,- -,34628000,39560000,43455000,43834000,- -,53098000
37,Total Current Assets,584532000,556652000,609003000,652472000,623700000,692576000,- -,558946000,721870000,696593000,734055000,- -,970366000
38,PP&E,634322000,645615000,632655000,648360000,630300000,576234000,- -,534234000,573559000,609753000,746952000,- -,771932000
39,Goodwill,- -,2176000,56563000,78122000,78400000,99199000,- -,128170000,138449000,180297000,184192000,- -,138692000
40,Intangible Assets,148986000,166620000,198502000,219624000,203700000,203372000,- -,225932000,182484000,212045000,184532000,- -,169392000
41,Intangible Assets,148986000,168796000,255065000,297746000,282100000,302571000,- -,354102000,320933000,392342000,368724000,- -,308084000
42,Investments,9324000,9559000,8261000,7633000,7483000,8827000,- -,18811000,11310000,13474000,16100000,- -,14636000
43,Tax Assets,17583000,14408000,10860000,14502000,108900000,85507000,- -,98682000,29899000,82122000,83465000,- -,25331000
44,Other Non-Current Assets,4230000,3480000,12212000,25235000,-61383000,-49569000,- -,-65626000,22687000,-15819000,-12712000,- -,47411000
45,Total Non-Current Assets,814445000,841858000,919053000,993476000,967400000,923570000,- -,940203000,958388000,1081872000,1202529000,- -,1167394000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1398977000,1398510000,1528056000,1645948000,1591100000,1616146000,- -,1499149000,1680258000,1778465000,1936584000,- -,2137760000
48,Accounts Payable,69676000,88335000,91971000,93311000,98900000,98199000,- -,96480000,94497000,96362000,84912000,- -,97211000
49,Short-Term Debt,48000,8000,- -,- -,- -,- -,- -,- -,- -,- -,20980000,- -,22667000
50,Tax Payable,17812000,13065000,12773000,2194000,732000,1361000,- -,9000,869000,1599000,2350000,- -,11086000
51,Deferred Revenue,- -,- -,- -,- -,17840000,20767000,- -,16899000,- -,28509000,25945000,- -,- -
52,Other Current Liabilities,130464000,119061000,132385000,141577000,111860000,118275000,- -,119139000,127628000,120435000,135830000,- -,266135000
53,Total Current Liabilities,200188000,207404000,224356000,234888000,228600000,237241000,- -,232518000,222125000,245306000,267667000,- -,386013000
54,Long-Term Debt,95000,- -,- -,378194000,377900000,511920000,- -,468856000,625279000,796398000,817845000,- -,792242000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,143553000,133675000,113355000,119139000,108924000,107777000,- -,98682000,60820000,82122000,- -,- -,73073000
57,Other Non-Current Liabilities,41649000,44884000,341862000,75912000,78976000,49774000,- -,56706000,36132000,44199000,226190000,- -,191315000
58,Total Non-Current Liabilities,185297000,178559000,455217000,573245000,565800000,669471000,- -,624244000,722231000,922719000,1044035000,- -,1056630000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,275000000,654000,52000,- -,- -,88000,378000,13000,131477000,- -,158902000
61,Total Liabilities,385485000,385963000,679573000,808133000,794400000,906712000,- -,856762000,944356000,1168025000,1311702000,- -,1442643000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,633910000,646200000,657292000,- -,663600000,624403000,575207000,558514000,- -,552969000
64,Retained Earnings,-22427000,-19388000,-25922000,-49167000,-60200000,-97517000,- -,-144628000,-18150000,-30836000,-20047000,- -,20385000
65,Other Comprehensive Income/Loss,16887000,5490000,-27728000,-18984000,-19601000,-76259000,- -,-107948000,-110152000,-152919000,-130169000,- -,-112063000
66,Other Total Stockholders Equity,1068739000,1123054000,1011734000,240784000,230325000,225918000,- -,231363000,226528000,218988000,216584000,- -,223666000
67,Total Stockholders Equity,975379000,976646000,814633000,806543000,796724000,709434000,- -,642387000,722629000,610440000,624882000,- -,684957000
68,Total Liabilities And Stockholders Equity,1360864000,1362609000,1494206000,1614676000,1591124000,1616146000,- -,1499149000,1666985000,1778465000,1936584000,- -,2127600000
69,Minority Interest,38113000,35901000,33850000,31272000,-24000,- -,- -,- -,13273000,- -,- -,- -,10160000
70,Total Liabilities & Equity,1398977000,1398510000,1528056000,1645948000,1591100000,1616146000,- -,1499149000,1680258000,1778465000,1936584000,- -,2137760000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/893691/000089369114000022/a2013form10-k.htm,https://www.sec.gov/Archives/edgar/data/893691/000089369115000009/a2014form10-k.htm,undefined,https://www.sec.gov/Archives/edgar/data/893691/000089369116000072/0000893691-16-000072-index.html,https://www.sec.gov/Archives/edgar/data/893691/000089369118000007/0000893691-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/893691/000089369119000016/0000893691-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/893691/000089369120000008/0000893691-20-000008-index.html,undefined,https://www.sec.gov/Archives/edgar/data/893691/000089369121000012/0000893691-21-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,- -,3038000,-6534000,-23245000,-11000000,-37340000,- -,-47111000,151739000,92710000,44602000,- -,69037000
74,Depreciation and Amortization,- -,66725000,71353000,78424000,79138000,82344000,- -,82885000,81903000,87672000,99849000,- -,91773000
75,Deferred Income Tax,- -,-12218000,-21968000,-15617000,-23177000,-1970000,- -,9097000,-34230000,10563000,3292000,- -,-10085000
76,Stock Based Compensation,- -,9626000,5888000,6517000,7752000,9605000,- -,13236000,11644000,7681000,10023000,- -,19423000
77,Change in Working Capital,- -,-35096000,35399000,32937000,-22484000,60235000,- -,-128907000,152186000,-48458000,15101000,- -,117965000
78,Accounts Receivable,- -,7238000,-8625000,-9642000,9168000,-14047000,- -,27150000,-15926000,-4543000,6723000,- -,-13006000
79,Inventory,- -,-366000,-8969000,-3090000,-8720000,-12843000,- -,-2071000,692000,-1192000,5735000,- -,-15568000
80,Accounts Payable,- -,- -,- -,16274000,-5095000,23592000,- -,-8246000,-15809000,11909000,- -,- -,- -
81,Other Working Capital,- -,349248000,384647000,417584000,395100000,455335000,- -,326428000,499745000,451287000,466388000,- -,584353000
82,Other Non-Cash Items,- -,43078000,-51450000,-23794000,17224000,-35488000,- -,231811000,-189761000,53064000,48789000,- -,33067000
83,Cash Provided by Operating Activities,- -,75153000,32688000,55222000,47453000,77386000,- -,161011000,173481000,203232000,221656000,- -,321180000
84,CAPEX,- -,-57823000,-42413000,-48419000,-45971000,-50147000,- -,-51065000,-73782000,-82380000,-82720000,- -,-72908000
85,Acquisitions Net,- -,-43869000,-145537000,-88354000,-15376000,-55343000,- -,-129249000,-13813000,-157363000,-1028000,- -,-5814000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,3719000,1233000,670000,6874000,4582000,- -,90000,-2238000,-14734000,1622000,- -,4832000
89,Cash Used for Investing Activites,- -,-97973000,-186717000,-136103000,-54473000,-100908000,- -,-180224000,-89833000,-254477000,-82126000,- -,-73890000
90,Debt Repayment,- -,-140000,- -,- -,- -,- -,- -,-517038000,-422000,-125363000,-500177000,- -,-57000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-119888000,-166916000,-59947000,- -,-43724000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-4657000,136605000,94230000,-11138000,128849000,- -,445005000,141526000,282231000,470717000,- -,-10280000
95,Cash Used/Provided by Financing Activities,- -,-4797000,136605000,94230000,-11138000,128849000,- -,-72033000,21216000,-10048000,-89407000,- -,-54061000
96,Effect of Forex Changes on Cash,- -,-3569000,5579000,-240000,-3283000,-14163000,- -,-11604000,91000,-1130000,1344000,- -,4397000
97,Net Change In Cash,- -,-31186000,-11845000,13109000,-21441000,91164000,- -,-102850000,104955000,-62423000,51467000,- -,197626000
98,Cash at the End of Period,- -,121050000,109205000,122314000,100873000,192037000,- -,89187000,176669000,126141000,177608000,- -,375234000
99,Cash at the Beginning of Period,- -,152236000,121050000,109205000,122314000,100873000,- -,192037000,71714000,188564000,126141000,- -,177608000
100,Free Cash Flow,- -,17330000,-9725000,6803000,1482000,27239000,- -,109946000,99699000,120852000,138936000,- -,248272000
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/893691/000089369114000022/a2013form10-k.htm,https://www.sec.gov/Archives/edgar/data/893691/000089369115000009/a2014form10-k.htm,undefined,https://www.sec.gov/Archives/edgar/data/893691/000089369116000072/0000893691-16-000072-index.html,https://www.sec.gov/Archives/edgar/data/893691/000089369118000007/0000893691-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/893691/000089369119000016/0000893691-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/893691/000089369120000008/0000893691-20-000008-index.html,undefined,https://www.sec.gov/Archives/edgar/data/893691/000089369121000012/0000893691-21-000012-index.htm
102,false,,,,,,,,,,,,,
