,https://roic.ai/company/KINS,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,51229,-5099,-143992,-111581,-450042,-3718297,-929551,1046007,1289803,1374364,495760,508385,-47445,-977206,4820842,983137,2503121,766706,2012318,5328419,6959620,8899766,9986485,3093246,-5966353,4691167,-7378000
24,Net Income ratio,0.0500,-0.0046,-0.1445,-0.1082,-0.0492,-0.4758,-0.2640,0.2764,0.1485,0.0911,0.0356,0.0459,-0.0083,-1.0724,0.6288,0.0455,0.0904,0.0264,0.0550,0.1065,0.1084,0.1149,0.1076,0.0272,-0.0410,0.0357,-0.0458
25,EPS,0.10,-0.01,-0.13,-0.10,-0.20,-1.25,-0.40,0.45,0.50,0.55,0.18,0.18,-0.02,-0.33,1.62,0.29,0.65,0.20,0.51,0.73,0.95,1.15,0.96,0.29,-0.55,0.09,-0.69
26,EPS Diluted,0.10,-0.01,-0.13,-0.10,-0.20,-1.25,-0.40,0.45,0.45,0.44,0.17,0.17,-0.02,-0.33,1.62,0.29,0.64,0.20,0.50,0.72,0.94,1.14,0.94,0.29,-0.55,0.09,-0.69
27,Weighted Average Shares Outstanding,478273,847235,1118273,1118273,2345994,2950366,2447644,2339173,2470680,2501462,2726526,2888805,2963036,2972597,2975668,3429828,3837190,3806697,3975115,7287657,7331114,7736594,10388440,10686813,10773623,10721342,10721342
28,Weighted Average Shares Outstanding Diluted,478273,847235,1118273,1118273,2345994,2950366,2447644,2407438,2949261,3225303,3199620,3250937,2963036,2972597,2975668,3429828,3920784,3871760,4059724,7356962,7377880,7807263,10581577,10716886,10773623,10730737,10730737
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/33992/000102177107000029/0001021771-07-000029-index.htm,https://www.sec.gov/Archives/edgar/data/33992/000102177108000012/0001021771-08-000012-index.htm,- -,https://www.sec.gov/Archives/edgar/data/33992/000102177110000021/0001021771-10-000021-index.htm,https://www.sec.gov/Archives/edgar/data/33992/000102177111000010/0001021771-11-000010-index.htm,https://www.sec.gov/Archives/edgar/data/33992/000135448812001575/0001354488-12-001575-index.htm,https://www.sec.gov/Archives/edgar/data/33992/000135448813001657/0001354488-13-001657-index.htm,https://www.sec.gov/Archives/edgar/data/33992/000135448814001549/0001354488-14-001549-index.htm,- -,https://www.sec.gov/Archives/edgar/data/33992/000135448816006655/0001354488-16-006655-index.htm,https://www.sec.gov/Archives/edgar/data/33992/000165495417002100/0001654954-17-002100-index.htm,https://www.sec.gov/Archives/edgar/data/33992/000165495418002619/0001654954-18-002619-index.htm,https://www.sec.gov/Archives/edgar/data/33992/000165495419002863/0001654954-19-002863-index.htm,https://www.sec.gov/Archives/edgar/data/33992/000165495420002719/0001654954-20-002719-index.htm,https://www.sec.gov/Archives/edgar/data/33992/000165495421003658/0001654954-21-003658-index.htm,https://www.sec.gov/Archives/edgar/data/33992/000165495422004509/0001654954-22-004509-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,644956,1318121,1040389,353431,943176,759309,220774,607403,1349304,515899,1961489,1196412,1030822,142949,625320,326620,173126,2240012,19922506,9906878,13551372,12044520,48381633,21138403,32391485,19463742,24290598
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15203342,19322136,26634142,31472180,35232695,59138588,71706334,90416514,134274454,168350133,168236181,- -,158080110
33,Cash and Short-Term Investments,644956,1318121,1040389,353431,943176,759309,220774,607403,1349304,515899,1961489,1196412,1030822,142949,15828662,19648756,26807268,33712192,55155201,69045466,85257706,102461034,182656087,189488536,200627666,19463742,182370708
34,Net Receivables,91601,132447,391816,923478,529986,388341,265034,1203149,20880521,24343274,18214526,16224836,801718,201787,27148008,27601828,31787945,46992748,46125888,45823724,41891890,43847163,43736828,40328714,53456949,11819639,12318336
35,Inventory,7190,6400,6122,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,6887,122479,15958,142593,189326,1200860,36755,177235,123402,306774,225528,434358,12946827,3043604,-14978006,-20027155,-58422087,-31472180,-35232695,-59138588,-71706334,-90416514,-134274454,-168350133,32137400385,-11819639,- -
37,Total Current Assets,750634,1579447,1454285,1419502,1662488,2348510,522563,1987787,22353227,25165947,20401543,17855606,14779367,3388340,27998664,27223429,173126,49232760,66048394,55730602,55443262,55891683,92118461,61467117,32391485000,19463742,194689044
38,PP&E,214493,163124,128047,102608,1427479,937194,354236,232277,397948,369313,293870,356106,464824,90493,1659015,1585029,1646341,1868422,2038755,2448042,3152266,3011373,4772577,6056929,7620636,8083123,9291597
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,1238551,- -,2601257,2601257,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,40000,4353171,1071974,311574,904579,1515011,266444,1494980,348786,150910,- -,4612100,4136386,3660672,3184958,2709244,2233530,1757816,1350000,1010000,670000,500000,500000,500000
41,Intangible Assets,- -,- -,40000,40000,4353171,1071974,311574,904579,1515011,1504995,1494980,2950043,2752167,- -,4612100,4136386,3660672,3184958,2709244,2233530,1757816,1350000,1010000,670000,500000,500000,500000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6096,15203342,19927560,27240376,32078461,37632177,64267323,76845206,95511416,139144262,172572988,196723515,199331400,55514751
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3600,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,354233,- -,- -,192253
44,Other Non-Current Assets,- -,- -,- -,- -,772624,72945,43589,24750,353628,457340,319694,4241132,5248968,5935704,3170632,5810269,36984390,7133797,8355252,- -,-33643771,-49631661,-91122369,-122430287,-32275126339,-199331400,-55514751
45,Total Non-Current Assets,214493,163124,168047,142608,6553274,2082113,709399,1161606,2266587,2335248,2108544,7547281,8465959,6032293,24645089,31459244,69531779,44265638,50735428,68948895,48111517,50241128,53804470,57223863,-32070282188,8583123,9983850
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,148214715,- -,- -,- -,- -,- -,- -,146607081
47,Total Assets,965127,1742571,1622332,1562110,8215762,4430623,1231962,3149393,24619814,27501195,22510087,25402887,23245326,9420633,52643753,58682673,69704905,93498398,116783822,134996422,103554779,106132811,145922931,118690980,321202812,28046865,331312275
48,Accounts Payable,3556,1974,1487,- -,1369363,1850727,733060,797231,1327529,1708158,665578,455958,630412,314249,4364727,3659928,7181451,4888113,5782216,6024500,6515525,7594465,10051620,8752607,21701041,8433233,- -
49,Short-Term Debt,- -,- -,- -,- -,350702,194872,110476,215703,9093082,12720659,10011524,11582910,2098989,1593210,24466,1460997,300000,450000,- -,- -,- -,- -,- -,- -,- -,- -,29823791
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85393,- -,- -,- -,263622,- -,- -,15035,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,89757,70621,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93519,9748508
52,Other Current Liabilities,293701,277826,302066,354912,154200,464067,187533,- -,6763922,5058430,4402604,3785618,13451505,1655986,316258,891660,46218549,- -,- -,- -,263622,- -,- -,15035,181808759,- -,- -
53,Total Current Liabilities,297257,279800,303553,354912,1874265,2509666,1120826,1083555,17184533,19487247,15079706,15824486,16180906,3563445,4705451,6012585,53700000,5338113,5782216,6024500,6779147,7594465,10051620,8767642,203509800,8526752,39572299
54,Long-Term Debt,- -,- -,- -,- -,598041,236355,182146,693301,3742400,2676200,1364623,2408139,499065,415618,1050000,- -,747000,747000,- -,- -,- -,- -,29126965,29295251,29471431,29647611,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3709921,3630087,4527190,12846293,7760265,5956540,7634444,8273401,5744105,4794306,10926910,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37000,396000,408000,184000,1173256,1998557,1789439,1787281,693087,1137180,672190,166949,600342,15035,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,39787,269654,157749,64212,947753,942920,806160,780000,- -,- -,31621649,34097579,-6363629,56497895,66838843,81377306,88766741,96731094,114447285,135214203,-10926911,- -,216067782
58,Total Non-Current Liabilities,- -,- -,- -,- -,637828,506009,339895,757513,4690153,3619120,2207783,3584139,907065,599618,37554826,39726223,700000,71878469,75292195,88471026,97073375,105171444,149918697,169318795,29471430,29647611,216067782
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58942861,245902724,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,42957,- -,- -,- -,- -,- -,- -,35637,10997,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,297257,279800,303553,354912,2512093,3015675,1460721,1841068,21874686,23106367,17287489,19408625,17087971,4163063,42260277,45738808,54394350,77216582,81074411,94495526,103852522,112765909,159970317,178086437,232981231,224781865,255640081
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,23914,55914,55914,55914,142992,150680,150680,160680,160680,34494,35455,36730,37505,37888,38046,46432,46432,47304,81860,82351,82896,88963,116186,117751,118248,- -,119557
64,Retained Earnings,-3853554,-3858653,-4002645,-4114226,-4564268,-8282565,-9212116,-8166109,-6876306,-5501942,-5006182,-4497797,-4545242,-5522448,-701606,281531,2554349,2787292,4187209,8203003,13605225,20563720,27152822,26380816,16913097,15928345,6855896
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-2401687,-1910575,-1045399,-1556711,-1432741,-1545542,- -,-1848157,-1961644,- -,216086,145247,370399,1023729,305219,946332,484220,72931,1100647,-2884313,4768870,9880062,1796739
66,Other Total Stockholders Equity,4497510,5265510,5265510,5265510,12526632,11457408,9878076,10870465,10893495,11407818,- -,12303486,12626736,10742130,10830950,12470655,12339375,12423491,31135123,31269210,31104887,35954939,66208091,65051388,66421366,66991995,66900002
67,Total Stockholders Equity,667870,1462771,1318779,1207198,5703669,1414948,-228759,1308325,2745128,4394828,5222598,5994262,6157355,5257570,10383476,12943865,15310555,16281816,35709411,40500896,45277228,56680553,94577746,88665642,88221581,92800402,75672194
68,Total Liabilities And Stockholders Equity,965127,1742571,1622332,1562110,8215762,4430623,1231962,3149393,24619814,27501195,22510087,25402887,23245326,9420633,52643753,58682673,69704905,93498398,116783822,134996422,149129750,169446462,254548063,266752079,321202812,317582267,331312275
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45574971,-63313651,-108625132,-148061099,- -,-289535402,- -
70,Total Liabilities & Equity,965127,1742571,1622332,1562110,8215762,4430623,1231962,3149393,24619814,27501195,22510087,25402887,23245326,9420633,52643753,58682673,69704905,93498398,116783822,134996422,103554779,106132811,145922931,118690980,321202812,28046865,331312275
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/33992/000102177107000029/0001021771-07-000029-index.htm,https://www.sec.gov/Archives/edgar/data/33992/000102177108000012/0001021771-08-000012-index.htm,- -,https://www.sec.gov/Archives/edgar/data/33992/000102177110000021/0001021771-10-000021-index.htm,https://www.sec.gov/Archives/edgar/data/33992/000102177111000010/0001021771-11-000010-index.htm,https://www.sec.gov/Archives/edgar/data/33992/000135448812001575/0001354488-12-001575-index.htm,https://www.sec.gov/Archives/edgar/data/33992/000135448813001657/0001354488-13-001657-index.htm,https://www.sec.gov/Archives/edgar/data/33992/000135448814001549/0001354488-14-001549-index.htm,- -,https://www.sec.gov/Archives/edgar/data/33992/000135448816006655/0001354488-16-006655-index.htm,https://www.sec.gov/Archives/edgar/data/33992/000165495417002100/0001654954-17-002100-index.htm,https://www.sec.gov/Archives/edgar/data/33992/000165495418002619/0001654954-18-002619-index.htm,https://www.sec.gov/Archives/edgar/data/33992/000165495419002863/0001654954-19-002863-index.htm,https://www.sec.gov/Archives/edgar/data/33992/000165495420002719/0001654954-20-002719-index.htm,https://www.sec.gov/Archives/edgar/data/33992/000165495421003658/0001654954-21-003658-index.htm,https://www.sec.gov/Archives/edgar/data/33992/000165495422004509/0001654954-22-004509-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,51229,-5099,-143992,-111581,-450042,-3718297,-929551,1046007,1289803,1374364,495760,508385,-47445,-977206,4820842,983137,2503121,766706,2012318,5328419,6959620,8899766,9986485,3093246,-5966353,4691167,-7378000
74,Depreciation and Amortization,51901,51544,52185,40492,721998,788259,293605,153175,312186,484184,476206,577060,328663,69624,269092,615277,602704,596347,646483,874907,1032009,1124921,1402928,1787150,2545946,2864583,3290445
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-54800,14800,360000,6000,-487000,-294114,724794,-325106,-338723,-724053,113823,-226932,-293364,-1809,-5398,-1991208,3109295,-2200433
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112023,88978,348860,105879,48277,59959,171876,134185,106882,270231,702650,1501377,1769649,1904935
77,Change in Working Capital,41862,846270,-148915,-86142,-1276367,50621,-437107,1502495,4264462,510006,-356863,-3290717,-3432659,1226434,23468318,-2082369,-74737718,97421521,16371531,-10560076,-1041987,-366897,33769623,-29367366,32135275725,-32177038210,144179755
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-104221,-50213,-1003417,-4497625,-15275173,543719,302164,3931834,-1955273,2110335,1408114,-13015474,-3952004,- -
79,Inventory,4514,790,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,229573,-704799,3606916,-2378731,894103,242284,978368,815318,2457155,-1283978,12933399,-6288073,- -
81,Other Working Capital,453377,1299647,1150732,1064590,-211777,-161156,-598263,904232,5168694,5678700,5321837,2031120,-1401539,-175105,23293213,21210844,-53526874,43894647,60266178,49706102,48664115,48297218,82066841,52699475,32187975200,10936990,155116745
82,Other Non-Cash Items,5195,-997647,304762,-23628,997851,3109926,-129178,-2365779,1211313,-3035258,-152721,1529665,2771065,-696515,-27153728,3131629,79104609,-92118806,-10982701,21404023,13545012,5729717,-17381318,46085084,-32101506438,32154368890,-115450465
83,Cash Provided by Operating Activities,150187,-104932,64040,-180859,-6560,230509,-1202231,335898,7077764,-721504,477182,-315607,-374376,-752640,1199388,3721328,7253489,6375322,7383537,17332972,20401907,15201025,28046140,22295366,29859049,-10234626,24346237
84,CAPEX,-4425,-175,-56091,-15053,-124528,-165414,-25577,-28797,-133217,-110123,-32885,-187435,-213309,-4438,- -,- -,- -,- -,- -,- -,-1260519,-576212,-2824132,-2731502,-3939653,-3327070,-4498919
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-211051,-106039,-67000,-67000,-950686,- -,- -,1255265,414346,311508,70370,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4912323,-10419347,-13085817,-9737505,-16989789,-40062658,-22919429,-44015982,-58043825,-71923283,-33460283,-43533599,-5175686
87,Sales/Maturities of Investments,16835,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1533552,5675190,6303876,6048465,10718963,14793339,9267056,24825903,15241627,31253471,22426237,47441962,-91210388
88,Other Investing Activites,- -,-21728,-325681,-491046,-1429108,132481,1133528,-35850,-18294908,-2331026,4965438,-1295621,2347132,1038339,1810449,-65577,-55091,-342714,-307045,-729358,10840,250448,-2000000,- -,- -,- -,84937131
89,Cash Used for Investing Activites,12410,-21903,-341772,-506099,-1553636,-32933,1107951,-275698,-18534164,-2508149,4865553,-2433742,2133823,1033901,-313057,-4395388,-6525524,-3961384,-6577871,-25998677,-14902052,-19515843,-47626330,-43401314,-14973699,581293,-15947862
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-606957,-1453960,-24640,-713997,-490000,-1507000,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,800000,- -,- -,2478618,- -,- -,500000,- -,445676,59750,191249,112200,- -,- -,- -,- -,- -,18804379,- -,- -,4807631,30136699,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-249900,- -,- -,- -,- -,- -,- -,-237159,-27128,-129900,-46728,-278022,-113267,-176837,-540253,- -,-1183331,-1671598
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-230303,-533763,-612401,-1312625,-1557398,-1941271,-3214471,-4279494,-3501366,-1957142,-1694148
94,Other Financing Activites,- -,- -,- -,- -,-328677,-381443,-202371,-173571,12198301,2200472,-3956895,1793023,-2037237,-562177,1050000,400000,300000,703839,321750,9430,-19941,54873,29171912,-1317535,-130902,-133937,-205773
95,Cash Used/Provided by Financing Activities,- -,800000,- -,- -,2149941,-381443,-202371,326429,12198301,2396248,-3897145,1984272,-1925037,-1169134,-403960,375360,-881459,-347052,16876828,-1349923,-1855361,2807966,55917303,-6137282,-3632268,-3274410,-3571519
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,162597,673165,-277732,-686958,589745,-183867,-296651,386629,741901,-833405,1445590,-765077,-165590,-887873,482371,-298700,-153494,2066886,17682494,-10015628,3644494,-1506852,36337113,-27243230,11253082,-12927743,4826856
98,Cash at the End of Period,644956,1318121,1040389,353431,943176,759309,220774,607403,1349304,515899,1961489,1196412,1030822,142949,625320,326620,173126,2240012,19922506,9906878,13551372,12044520,48381633,21138403,32391485,19463742,24290598
99,Cash at the Beginning of Period,482359,644956,1318121,1040389,353431,943176,517425,220774,607403,1349304,515899,1961489,1196412,1030822,142949,625320,326620,173126,2240012,19922506,9906878,13551372,12044520,48381633,21138403,32391485,19463742
100,Free Cash Flow,145762,-105107,7949,-195912,-131088,65095,-1227808,307101,6944547,-831627,444297,-503042,-587685,-757078,1199388,3721328,7253489,6375322,7383537,17332972,19141388,14624813,25222008,19563864,25919396,-13561696,19847318
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/33992/000102177107000029/0001021771-07-000029-index.htm,https://www.sec.gov/Archives/edgar/data/33992/000102177108000012/0001021771-08-000012-index.htm,- -,https://www.sec.gov/Archives/edgar/data/33992/000102177110000021/0001021771-10-000021-index.htm,https://www.sec.gov/Archives/edgar/data/33992/000102177111000010/0001021771-11-000010-index.htm,https://www.sec.gov/Archives/edgar/data/33992/000135448812001575/0001354488-12-001575-index.htm,https://www.sec.gov/Archives/edgar/data/33992/000135448813001657/0001354488-13-001657-index.htm,https://www.sec.gov/Archives/edgar/data/33992/000135448814001549/0001354488-14-001549-index.htm,- -,https://www.sec.gov/Archives/edgar/data/33992/000135448816006655/0001354488-16-006655-index.htm,https://www.sec.gov/Archives/edgar/data/33992/000165495417002100/0001654954-17-002100-index.htm,https://www.sec.gov/Archives/edgar/data/33992/000165495418002619/0001654954-18-002619-index.htm,https://www.sec.gov/Archives/edgar/data/33992/000165495419002863/0001654954-19-002863-index.htm,https://www.sec.gov/Archives/edgar/data/33992/000165495420002719/0001654954-20-002719-index.htm,https://www.sec.gov/Archives/edgar/data/33992/000165495421003658/0001654954-21-003658-index.htm,https://www.sec.gov/Archives/edgar/data/33992/000165495422004509/0001654954-22-004509-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
