,https://roic.ai/company/BEKE,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,-2783562000,2609149000,-3873722000,-14977618000,-24884074000
90,Debt Repayment,-577044000,-2787970000,-5405556000,-9531426000,- -
91,Common Stock Issued,- -,- -,232885000,31630105000,- -
92,Common Stock Repurchased,- -,-306175000,-2761826000,- -,- -
93,Dividends Paid,-127188000,- -,- -,- -,- -
94,Other Financing Activites,10280516000,1811737000,30960893000,3307571000,-1074173000
95,Cash Used/Provided by Financing Activities,9576284000,-1282408000,23026396000,25406250000,-1074173000
96,Effect of Forex Changes on Cash,-330000,416000,-94922000,-2183682000,-442141000
97,Net Change In Cash,336166000,4543954000,19170378000,17606899000,-22805266000
98,Cash at the End of Period,8216244000,12760198000,31930576000,49537475000,26732209000
99,Cash at the Beginning of Period,7880078000,8216244000,12760198000,31930576000,49537475000
100,Free Cash Flow,-7031411000,2673944000,-590382000,8474947000,3595122000
101,SEC Link,- -,- -,- -,- -,- -
102,Forex Rate,0.1537,0.1453,0.1436,0.1532,0.1572
