,https://roic.ai/company/ATNX,2015,2016,2017,2018,2019,2020,2021
41,Intangible Assets,45154000,46016000,46367000,48343000,47035000,49109000,71896000
42,Investments,2355000,340000,328000,- -,- -,- -,10207000
43,Tax Assets,- -,- -,121000,486000,- -,- -,- -
44,Other Non-Current Assets,1439000,1801000,188000,- -,- -,950000,17728000
45,Total Non-Current Assets,55237000,53967000,56655000,60276000,79006000,92368000,134052000
46,Other Assets,- -,- -,- -,- -,- -,- -,339591000
47,Total Assets,120431000,105890000,140413000,231095000,309932000,384329000,267448000
48,Accounts Payable,6271000,7174000,16659000,12997000,23331000,18673000,16742000
49,Short-Term Debt,1294000,1889000,1506000,961000,3890000,5195000,49790000
50,Tax Payable,- -,- -,357000,- -,187000,1948000,- -
51,Deferred Revenue,88000,237000,1202000,190000,218000,1147000,- -
52,Other Current Liabilities,9963000,18719000,25776000,37528000,44089000,37126000,29515000
53,Total Current Liabilities,17616000,28019000,45143000,51676000,71528000,62141000,96047000
54,Long-Term Debt,2356000,31123000,- -,45381000,52366000,152932000,150337000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,697000,206000,- -,- -,- -,56000,1751000
57,Other Non-Current Liabilities,1718000,11873000,4548000,5269000,10183000,3852000,-1751000
58,Total Non-Current Liabilities,4771000,43202000,4548000,50650000,62549000,156840000,150337000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,655000,604000,10630000,9540000,- -
61,Total Liabilities,22387000,71221000,49691000,102326000,134077000,218981000,232996000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,40000,42000,60000,69000,83000,95000,111000
64,Retained Earnings,-107391000,-195106000,-326276000,-443716000,-567465000,-713644000,-913412000
65,Other Comprehensive Income/Loss,-223000,-1304000,-146000,-656000,-635000,-1134000,-487000
66,Other Total Stockholders Equity,205134000,230175000,416399000,583658000,756242000,894458000,34452000
67,Total Stockholders Equity,97560000,33807000,90037000,139355000,188225000,179775000,34452000
68,Total Liabilities And Stockholders Equity,119947000,105028000,139728000,241681000,322302000,398756000,267448000
69,Minority Interest,484000,862000,685000,-10586000,-12370000,-14427000,- -
70,Total Liabilities & Equity,120431000,105890000,140413000,231095000,309932000,384329000,267448000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1300699/000156459018006715/0001564590-18-006715-index.html,https://www.sec.gov/Archives/edgar/data/1300699/000156459019007092/0001564590-19-007092-index.html,https://www.sec.gov/Archives/edgar/data/1300699/000156459020008138/0001564590-20-008138-index.html,https://www.sec.gov/Archives/edgar/data/1300699/000156459021009879/0001564590-21-009879-index.htm,https://www.sec.gov/Archives/edgar/data/1300699/000095017022003973/0000950170-22-003973-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-50600000,-87715000,-131170000,-117440000,-123749000,-146179000,-202036000
74,Depreciation and Amortization,888000,2026000,3673000,3269000,3817000,4492000,- -
75,Deferred Income Tax,-270000,-491000,-327000,-365000,486000,56000,- -
76,Stock Based Compensation,15527000,19511000,14591000,11011000,9885000,10850000,- -
77,Change in Working Capital,232000,-23674000,14711000,80528000,40255000,70422000,-263958000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -
79,Inventory,786000,-984000,-12321000,-12226000,-3844000,3784000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,47578000,23904000,38615000,119143000,159398000,229820000,-34138000
82,Other Non-Cash Items,467000,42473000,17010000,-86390000,-28154000,-70884000,465994000
83,Cash Provided by Operating Activities,-33756000,-47870000,-81512000,-109387000,-97460000,-131243000,- -
84,CAPEX,-3360000,-4187000,-6990000,-3431000,-17747000,-13470000,- -
85,Acquisitions Net,-9377000,- -,- -,- -,853000,- -,- -
86,Purchases of Investments,-15787000,-9750000,-55282000,-113259000,-74697000,-161847000,- -
87,Sales/Maturities of Investments,12615000,15261000,52144000,67727000,99090000,56345000,- -
88,Other Investing Activites,-1050000,-1365000,-1440000,-110000,-4175000,-214000,- -
89,Cash Used for Investing Activites,-16909000,2659000,-10018000,-48963000,7499000,-118972000,- -
90,Debt Repayment,-724000,-1265000,-1163000,-544000,-972000,-54407000,- -
91,Common Stock Issued,78768000,8500000,75900000,123134000,161080000,126980000,- -
92,Common Stock Repurchased,-1250000,-5861000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-492000,33898000,22159000,46445000,7344000,136854000,- -
95,Cash Used/Provided by Financing Activities,76302000,35272000,96896000,169035000,167452000,209427000,- -
96,Effect of Forex Changes on Cash,337000,-431000,793000,-175000,389000,-799000,- -
97,Net Change In Cash,25974000,-10370000,6159000,10510000,77880000,-41587000,- -
98,Cash at the End of Period,43495000,33125000,39284000,49794000,127674000,86087000,- -
99,Cash at the Beginning of Period,17521000,43495000,33125000,39284000,49794000,127674000,86087000
100,Free Cash Flow,-37116000,-52057000,-88502000,-112818000,-115207000,-144713000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1300699/000156459018006715/0001564590-18-006715-index.html,https://www.sec.gov/Archives/edgar/data/1300699/000156459019007092/0001564590-19-007092-index.html,https://www.sec.gov/Archives/edgar/data/1300699/000156459020008138/0001564590-20-008138-index.html,https://www.sec.gov/Archives/edgar/data/1300699/000156459021009879/0001564590-21-009879-index.htm,https://www.sec.gov/Archives/edgar/data/1300699/000095017022003973/0000950170-22-003973-index.htm
102,false,,,,,,,
