,https://roic.ai/company/ORGS,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1302365/000113705010000033/0001137050-10-000033-index.html,- -,https://www.sec.gov/Archives/edgar/data/1460602/000116552712000174/0001165527-12-000174-index.html,https://www.sec.gov/Archives/edgar/data/1460602/000106299313000817/0001062993-13-000817-index.html,- -,https://www.sec.gov/Archives/edgar/data/1460602/000106299315000971/0001062993-15-000971-index.htm,https://www.sec.gov/Archives/edgar/data/1460602/000106299316008107/0001062993-16-008107-index.html,https://www.sec.gov/Archives/edgar/data/1460602/000106299317001138/0001062993-17-001138-index.html,https://www.sec.gov/Archives/edgar/data/1460602/000106299318001019/0001062993-18-001019-index.html,https://www.sec.gov/Archives/edgar/data/1460602/000106299319000780/0001062993-19-000780-index.html,https://www.sec.gov/Archives/edgar/data/1460602/000106299320001299/0001062993-20-001299-index.html,https://www.sec.gov/Archives/edgar/data/1460602/000149315221005653/0001493152-21-005653-index.htm,https://www.sec.gov/Archives/edgar/data/1460602/000149315222008157/0001493152-22-008157-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,55000,16424,1464,1275,347,50827,1314052,4168000,891000,3519000,16064000,11388000,44923000,5473000
32,Short-Term Investments,- -,- -,- -,- -,- -,10002,- -,- -,- -,- -,- -,- -,- -,152000
33,Cash and Short-Term Investments,55000,16424,1464,1275,347,60829,1314052,4168000,891000,3519000,16064000,11388000,44923000,5625000
34,Net Receivables,- -,- -,- -,- -,15441,- -,810516,2619000,2135000,2210000,11192000,10668000,3254000,15245000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,301000,400000,725000,1736000,2043000,185000,118000
36,Other Current Assets,- -,428,153,1065,22810,36908,104958,1118000,779000,841000,1305000,1880000,1715000,4770000
37,Total Current Assets,55000,16852,1617,2340,38598,97737,2229526,8206000,4205000,7295000,30297000,25979000,50077000,25758000
38,PP&E,- -,- -,- -,- -,8273,12854,13049,4296000,4573000,5104000,11901000,34039000,4547000,11286000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,9535000,9584000,10684000,15165000,14941000,8745000,8403000
40,Intangible Assets,- -,15000,- -,- -,- -,- -,- -,16653000,15050000,15051000,16700000,14206000,13023000,11821000
41,Intangible Assets,- -,15000,- -,- -,- -,- -,- -,26188000,24634000,25735000,31865000,29147000,21768000,20224000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1321000,- -,- -,175000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,1296,3630,6377,58000,75000,417000,1384000,3330000,1117000,2573000
45,Total Non-Current Assets,- -,15000,- -,- -,9569,16484,19426,30542000,29282000,32577000,45150000,66516000,27607000,34083000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,55000,31852,1617,2340,48167,114221,2248952,38748000,33487000,39872000,75447000,92495000,77684000,59841000
48,Accounts Payable,500,1500,7338,44513,135791,138775,1083910,3475000,4554000,3914000,3804000,11305000,8649000,5238000
49,Short-Term Debt,- -,- -,- -,- -,- -,264050,2451452,7739000,5491000,3158000,1025000,1179000,4623000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000,54000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,84911,1523000,1516000,5330000,7041000,11376000,751000,- -
52,Other Current Liabilities,3000,4500,4600,40500,191379,583584,1043047,3739000,3015000,4512000,5275000,7719000,2262000,10127000
53,Total Current Liabilities,3500,6000,11938,85013,327170,986409,4663320,16476000,14576000,16914000,17145000,31579000,16285000,15365000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,2540000,4350000,4533000,2700000,13373000,8284000,41000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,3327000,1862000,690000,1702000,1926000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,1553,1162226,564928,22845000,2121000,3612000,25251000,39539000,387000,5804000
58,Total Non-Current Liabilities,- -,- -,- -,- -,1553,1162226,564928,28712000,8333000,8835000,29653000,54838000,8671000,5845000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10225000,1588000,- -
61,Total Liabilities,3500,6000,11938,85013,328723,2148635,5228248,45188000,22909000,25749000,46798000,86417000,24956000,5845000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2300,2300,2300,8050,4912,5114,65597,1257000,12000,1484000,2254000,2000,3000,3000
64,Retained Earnings,-3500,-29148,-65321,-137673,-5135816,-10674975,-16179076,-20640000,-29834000,-44120000,-62411000,-89429000,-88319000,-106372000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-4663,-9214,-1000000,-1000000,1000000,1000000,-6614000,748000,207000
66,Other Total Stockholders Equity,52700,52700,52700,46950,4850348,8640110,13143397,13943000,41400000,55759000,87507000,101518000,140147000,144793000
67,Total Stockholders Equity,51500,25852,-10321,-82673,-280556,-2034414,-2979296,-6440000,10578000,14123000,28350000,5477000,52579000,38631000
68,Total Liabilities And Stockholders Equity,55000,31852,1617,2340,48167,114221,2248952,38748000,33487000,39872000,75148000,91894000,77535000,44476000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,299000,601000,149000,15365000
70,Total Liabilities & Equity,55000,31852,1617,2340,48167,114221,2248952,38748000,33487000,39872000,75447000,92495000,77684000,59841000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1302365/000113705010000033/0001137050-10-000033-index.html,- -,https://www.sec.gov/Archives/edgar/data/1460602/000116552712000174/0001165527-12-000174-index.html,https://www.sec.gov/Archives/edgar/data/1460602/000106299313000817/0001062993-13-000817-index.html,- -,https://www.sec.gov/Archives/edgar/data/1460602/000106299315000971/0001062993-15-000971-index.htm,https://www.sec.gov/Archives/edgar/data/1460602/000106299316008107/0001062993-16-008107-index.html,https://www.sec.gov/Archives/edgar/data/1460602/000106299317001138/0001062993-17-001138-index.html,https://www.sec.gov/Archives/edgar/data/1460602/000106299318001019/0001062993-18-001019-index.html,https://www.sec.gov/Archives/edgar/data/1460602/000106299319000780/0001062993-19-000780-index.html,https://www.sec.gov/Archives/edgar/data/1460602/000106299320001299/0001062993-20-001299-index.html,https://www.sec.gov/Archives/edgar/data/1460602/000149315221005653/0001493152-21-005653-index.htm,https://www.sec.gov/Archives/edgar/data/1460602/000149315222008157/0001493152-22-008157-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-3500,-25648,-36173,-72352,-4998143,-5539159,-5504101,-4461000,-9194000,-12367000,-18291000,-24121000,1110000,-18059000
74,Depreciation and Amortization,- -,- -,- -,- -,1406,3257,4551,1991000,2923000,2598000,2624000,3806000,1435000,1864000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,3728599,3111967,2487053,803000,2869000,3364000,4364000,5698000,19895000,1745000
77,Change in Working Capital,3500,-40648,-21173,-72352,-205899,-600100,-1545122,-5836206,-2101000,752000,22771000,-18752000,39392000,-23399000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-731000,-54000,33000,-2901000,-5308000,-1350000,-12178000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-87000,-101000,-265000,-931000,-414000,-84000,55000
80,Accounts Payable,- -,1500,5338,37675,91278,2984,1016291,1497000,1079000,-933000,-796000,4626000,1985000,-3755000
81,Other Working Capital,51500,10852,-10321,-82673,-288572,-888672,-2433794,-8270000,-10371000,-9619000,13152000,-5600000,33792000,10393000
82,Other Non-Cash Items,- -,42720,42386,144515,422425,1034687,3128372,4797206,1720000,1820000,-27150000,20149000,-139878000,10983000
83,Cash Provided by Operating Activities,- -,-23576,-14960,-189,-1051612,-1989348,-1429247,-2706000,-3783000,-3833000,-15682000,-13220000,-78046000,-26866000
84,CAPEX,- -,-15000,- -,- -,-9679,-7838,-4746,-982000,-1425000,-975000,-5556000,-12129000,-1525000,-7866000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104610000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-250000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-15000,- -,- -,-11298,-2334,7255,300000,-111000,-2429000,-712000,-1649000,2525000,-4518000
89,Cash Used for Investing Activites,- -,-15000,- -,- -,-20977,-10172,2509,-932000,-1536000,-3404000,-6268000,-13778000,105610000,-12384000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-2433000,-2106000,-5180000,-554000,-772000,-2857000,-16000
91,Common Stock Issued,55000,- -,- -,- -,1071661,1800000,922000,4203000,1488000,5297000,17392000,- -,8738000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-250000,-1016000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,250000,1814708,4896000,2741000,8248000,18222000,24870000,250000,926000
95,Cash Used/Provided by Financing Activities,55000,- -,- -,- -,1071661,2050000,2736708,6666000,2123000,8365000,35060000,24098000,5881000,-106000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-46745,-174000,-81000,1497000,-173000,-58000,82000,341000
97,Net Change In Cash,- -,-38576,-14960,-189,-928,50480,1263225,2854000,-3277000,2628000,12937000,-2958000,33527000,-39594000
98,Cash at the End of Period,55000,16424,1464,1275,347,50827,1314052,4168000,891000,3519000,16456000,12041000,45568000,5974000
99,Cash at the Beginning of Period,- -,55000,16424,1464,1275,347,50827,1314000,4168000,891000,3519000,14999000,12041000,45568000
100,Free Cash Flow,- -,-38576,-14960,-189,-1061291,-1997186,-1433993,-3688000,-5208000,-4808000,-21238000,-25349000,-79571000,-34732000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1302365/000113705010000033/0001137050-10-000033-index.html,- -,https://www.sec.gov/Archives/edgar/data/1460602/000116552712000174/0001165527-12-000174-index.html,https://www.sec.gov/Archives/edgar/data/1460602/000106299313000817/0001062993-13-000817-index.html,- -,https://www.sec.gov/Archives/edgar/data/1460602/000106299315000971/0001062993-15-000971-index.htm,https://www.sec.gov/Archives/edgar/data/1460602/000106299316008107/0001062993-16-008107-index.html,https://www.sec.gov/Archives/edgar/data/1460602/000106299317001138/0001062993-17-001138-index.html,https://www.sec.gov/Archives/edgar/data/1460602/000106299318001019/0001062993-18-001019-index.html,https://www.sec.gov/Archives/edgar/data/1460602/000106299319000780/0001062993-19-000780-index.html,https://www.sec.gov/Archives/edgar/data/1460602/000106299320001299/0001062993-20-001299-index.html,https://www.sec.gov/Archives/edgar/data/1460602/000149315221005653/0001493152-21-005653-index.htm,https://www.sec.gov/Archives/edgar/data/1460602/000149315222008157/0001493152-22-008157-index.htm
102,false,,,,,,,,,,,,,,
