,https://roic.ai/company/PAYS,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
40,Intangible Assets,14497,171775,326625,495252,765719,1264151,1550044,1639557,2115933,3816232,3699033,- -
41,Intangible Assets,14497,171775,326625,495252,765719,1264151,1550044,1639557,2115933,3816232,3699033,4086962
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,917480,- -,- -
44,Other Non-Current Assets,-6090069280,6328,3551,4896,4451,3551,5551,5551,- -,- -,- -,- -
45,Total Non-Current Assets,-6089964587,266823,439114,621226,977099,1539669,1856356,2499510,2999423,5670897,9872879,9723598
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6204413,7096823,7460275,9164706,12957482,10264075,13871707,20402579,36177708,53548346,67833506,84050793
48,Accounts Payable,- -,- -,- -,- -,680159,465318,765596,- -,- -,- -,- -,- -
49,Short-Term Debt,2496900,2491900,707400,720780,1025886,174098,124168,- -,- -,- -,320636,340412
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,5050867,6905680,7792255,7063945,10002505,14416444,25960974,32723227,48100951,61283914
52,Other Current Liabilities,9328822100,7518100,2212312,1431317,680000,1041462,326486,1145083,1327497,1523604,2162256,5765478
53,Total Current Liabilities,9331319000,10010000,7970579,9057777,10178300,8744823,11218755,15561527,27288471,34246831,50583843,67389804
54,Long-Term Debt,- -,- -,169400,- -,100000,- -,27892,- -,- -,- -,4013598,3673186
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,50000,- -,- -,- -,339183,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,50000,169400,- -,100000,339183,27892,- -,- -,- -,4013598,3673186
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4334234,4013598
61,Total Liabilities,9331319,10007608,7970579,9057777,10178300,9084006,11246647,15561527,27288471,34246831,54597441,71062990
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,35245,35250,38912,38936,36669,42511,43186,43671,46441,48578,50252,52095
64,Retained Earnings,- -,- -,-6012243,-5400559,-2790075,-5200412,-3799613,-2008472,579582,8088485,-1053077,-3774411
65,Other Comprehensive Income/Loss,-681463,-721869,-456601,-496792,-551794,-625088,-706159,-859740,-1087308,-1507136,- -,- -
66,Other Total Stockholders Equity,-2538176,-2281549,5870532,5917198,6036680,7054596,7282332,7865710,9557452,12934675,14238890,- -
67,Total Stockholders Equity,-3184394,-2968168,-559400,58783,2731480,1271607,2819746,5041169,9096167,19564602,13236065,12987803
68,Total Liabilities And Stockholders Equity,6146925,7039440,7411179,9116560,12909780,10355613,14066393,20602696,36384638,53811433,67833506,84050793
69,Minority Interest,57488,57383,49096,48146,47702,-91538,-194686,-200117,-206930,-263087,- -,- -
70,Total Liabilities & Equity,6204413,7096823,7460275,9164706,12957482,10264075,13871707,20402579,36177708,53548346,67833506,84050793
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1496443/000101968712001195/0001019687-12-001195-index.htm,https://www.sec.gov/Archives/edgar/data/1496443/000101968713001141/0001019687-13-001141-index.htm,https://www.sec.gov/Archives/edgar/data/1496443/000101968714001068/0001019687-14-001068-index.htm,https://www.sec.gov/Archives/edgar/data/1496443/000101968715001085/0001019687-15-001085-index.htm,https://www.sec.gov/Archives/edgar/data/1496443/000101968716005668/0001019687-16-005668-index.htm,https://www.sec.gov/Archives/edgar/data/1496443/000168316817000670/0001683168-17-000670-index.htm,https://www.sec.gov/Archives/edgar/data/1496443/000168316818000758/0001683168-18-000758-index.htm,https://www.sec.gov/Archives/edgar/data/1496443/000168316819000607/0001683168-19-000607-index.htm,https://www.sec.gov/Archives/edgar/data/1496443/000168316820001096/0001683168-20-001096-index.htm,https://www.sec.gov/Archives/edgar/data/1496443/000168316821001067/0001683168-21-001067-index.htm,https://www.sec.gov/Archives/edgar/data/1496443/000168316822001854/0001683168-22-001854-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-8292,215291,1816861,611684,2610484,-2410337,1400799,1791141,2588054,7454319,-9141562,- -
74,Depreciation and Amortization,109115,43508,59249,58012,171594,362712,572320,876191,1089521,1483140,2543006,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-909976,917480,- -
76,Stock Based Compensation,- -,935,85376,180249,600641,202550,92939,308696,1366944,2528613,2971777,2280931
77,Change in Working Capital,-63154,3231970000,2230582,435121,2316380,-1822500,817013,1544946,3548272,6158256,16059806,- -
78,Accounts Receivable,-1644887,394567,1165437,-310278,291055,69916,-93527,-55254,-171780,-554633,237077,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,-130590,415507,379487,182414,- -,- -,- -
81,Other Working Capital,-3235150000,-3180000,-949418,-514297,1802083,-20417,796596,2341542,5889814,6762253,15101740,13182963
82,Other Non-Cash Items,26656,-3232003812,-2136916,-1905339,-2616564,2948071,-1616348,2630740,7403178,-1573,425312,-2280931
83,Cash Provided by Operating Activities,64325,225922,2055152,-620273,3082535,-719504,1266723,7151714,15995969,16712779,13775819,- -
84,CAPEX,-2988,-199310,-234317,-238779,-527912,-926182,-887009,-1519345,-1594985,-3237134,-3344855,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2773420,-1961544,-2679664
89,Cash Used for Investing Activites,-2988,-199310,-234317,-238779,-527912,-926182,-887009,-1519345,-1594985,-3237134,-3344855,-2679664
90,Debt Repayment,-22276,-5000,-11750,-5000,-512784,-851788,-182018,-152060,- -,- -,- -,- -
91,Common Stock Issued,250,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-245425,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,18380,817890,- -,44753,50000,100000,430919,172560,- -
95,Cash Used/Provided by Financing Activities,-22026,-5000,-11750,13380,305106,-851788,-137265,-102060,100000,430919,-72865,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,39311,21612,1809085,-845672,2859729,-2497474,242449,5530309,14500984,13906564,10358099,- -
98,Cash at the End of Period,42214,63826,1872911,1027239,3886968,1389494,1631943,17164757,31665741,45572305,55930404,- -
99,Cash at the Beginning of Period,2903,42214,63826,1872911,1027239,3886968,1389494,11634448,17164757,31665741,45572305,55930404
100,Free Cash Flow,61337,26612,1820835,-859052,2554623,-1645686,379714,5632369,14400984,13475645,10430964,- -
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1496443/000101968712001195/0001019687-12-001195-index.htm,https://www.sec.gov/Archives/edgar/data/1496443/000101968713001141/0001019687-13-001141-index.htm,https://www.sec.gov/Archives/edgar/data/1496443/000101968714001068/0001019687-14-001068-index.htm,https://www.sec.gov/Archives/edgar/data/1496443/000101968715001085/0001019687-15-001085-index.htm,https://www.sec.gov/Archives/edgar/data/1496443/000101968716005668/0001019687-16-005668-index.htm,https://www.sec.gov/Archives/edgar/data/1496443/000168316817000670/0001683168-17-000670-index.htm,https://www.sec.gov/Archives/edgar/data/1496443/000168316818000758/0001683168-18-000758-index.htm,https://www.sec.gov/Archives/edgar/data/1496443/000168316819000607/0001683168-19-000607-index.htm,https://www.sec.gov/Archives/edgar/data/1496443/000168316820001096/0001683168-20-001096-index.htm,https://www.sec.gov/Archives/edgar/data/1496443/000168316821001067/0001683168-21-001067-index.htm,https://www.sec.gov/Archives/edgar/data/1496443/000168316822001854/0001683168-22-001854-index.htm
102,false,,,,,,,,,,,,
