,https://roic.ai/company/LDI,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1831631/000183163121000007/0001831631-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1831631/000183163122000073/0001831631-22-000073-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,- -,- -,- -,- -,- -,623146000
74,Depreciation and Amortization,- -,- -,36279000,61335000,60697000,35541000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,2068000,191000,8501000,67304000
77,Change in Working Capital,- -,- -,98469296,409088031,-2218564000,-126511000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,363961969,773050000,-1445514000,-1572025000
82,Other Non-Cash Items,- -,- -,-565604296,-1967994031,118653000,-599480000
83,Cash Provided by Operating Activities,- -,- -,-428788000,-1497380000,-2030713000,- -
84,CAPEX,- -,- -,-40772000,-12551000,-33905000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-750000,- -
87,Sales/Maturities of Investments,- -,- -,- -,150000,213000,- -
88,Other Investing Activites,- -,- -,543907000,153491000,6773000,- -
89,Cash Used for Investing Activites,- -,- -,503135000,141090000,-27669000,- -
90,Debt Repayment,- -,- -,-31989568000,-43014544000,-101092548000,-153514940000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-463313000
94,Other Financing Activites,- -,- -,31932625000,44374338000,103522123000,155279067000
95,Cash Used/Provided by Financing Activities,- -,- -,-56943000,1359794000,2429575000,1300814000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,17404000,3504000,371193000,131907000
98,Cash at the End of Period,- -,- -,113992000,117496000,488689000,620596000
99,Cash at the Beginning of Period,- -,- -,96588000,113992000,117496000,488689000
100,Free Cash Flow,- -,- -,-469560000,-1509931000,-2064618000,- -
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1831631/000183163121000007/0001831631-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1831631/000183163122000073/0001831631-22-000073-index.htm
102,false,,,,,,
