,https://roic.ai/company/APVO,2013,2014,2015,2016,2017,2018,2019,2020,2021
44,Other Non-Current Assets,- -,- -,- -,- -,10000000,8353000,11300000,- -,68000
45,Total Non-Current Assets,- -,78420000,77322000,20444000,21923000,18805000,23413000,2815000,4031000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,119971000,112456000,91858000,117007000,67494000,53408000,50079000,56601000
48,Accounts Payable,- -,11472000,10084000,- -,- -,11671000,13043000,5583000,- -
49,Short-Term Debt,- -,- -,- -,- -,3333000,- -,19863000,5000000,11667000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,880000,3843000,811000,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,7483000,6016000,18733000,15177000,5939000,5333000,3956000,23090000
53,Total Current Liabilities,- -,19835000,19943000,19544000,18510000,17610000,38239000,14539000,34757000
54,Long-Term Debt,- -,- -,- -,18383000,15728000,19278000,- -,5000000,1341000
55,Deferred Revenue,- -,3661000,3318000,2896000,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,1867000,506000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,71000,469000,734000,200000,3327000,- -,19287000
58,Total Non-Current Liabilities,- -,5528000,3895000,21748000,16462000,19478000,3327000,5000000,20628000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,27414000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,3327000,2360000,- -
61,Total Liabilities,- -,25363000,23838000,41292000,34972000,37088000,41566000,36953000,55385000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,20000,22000,23000,45000,46000,47000
64,Retained Earnings,- -,-172671000,-231988000,-80692000,-73719000,-127408000,-167856000,- -,-214063000
65,Other Comprehensive Income/Loss,- -,-5326000,-5857000,-33000,-105000,- -,-9924000,- -,- -
66,Other Total Stockholders Equity,- -,272605000,326463000,131271000,155837000,157791000,189577000,16548000,215232000
67,Total Stockholders Equity,- -,94608000,88618000,50566000,82035000,30406000,11842000,16594000,1216000
68,Total Liabilities And Stockholders Equity,- -,119971000,112456000,91858000,117007000,67494000,53408000,53547000,56601000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,-3468000,- -
70,Total Liabilities & Equity,- -,119971000,112456000,91858000,117007000,67494000,53408000,50079000,56601000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1671584/000156459017005738/0001564590-17-005738-index.html,https://www.sec.gov/Archives/edgar/data/1671584/000156459018005384/0001564590-18-005384-index.html,https://www.sec.gov/Archives/edgar/data/1671584/000156459019008184/0001564590-19-008184-index.html,https://www.sec.gov/Archives/edgar/data/1671584/000156459020012791/0001564590-20-012791-index.html,https://www.sec.gov/Archives/edgar/data/1671584/000156459021016875/0001564590-21-016875-index.htm,https://www.sec.gov/Archives/edgar/data/1671584/000156459022011575/0001564590-22-011575-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-53337000,-51115000,-59317000,-112415000,6973000,-53689000,-40448000,-17750000,-28457000
74,Depreciation and Amortization,666000,2021000,2907000,3362000,3127000,2390000,2235000,1406000,1144000
75,Deferred Income Tax,- -,117000,-1361000,- -,-2000,- -,- -,- -,- -
76,Stock Based Compensation,955000,1074000,1107000,3809000,4884000,2140000,1598000,1255000,1643000
77,Change in Working Capital,342000,21716000,-6525000,36679000,24704000,-45495000,-39323000,40969000,-14912000
78,Accounts Receivable,-8000,-6134000,3884000,1972000,-1834000,-3079000,-1802000,-2369000,- -
79,Inventory,- -,4954000,-2697000,13683000,-567000,-757000,-4354000,- -,- -
80,Accounts Payable,121000,820000,-1669000,- -,- -,1279000,938000,-702000,-1915000
81,Other Working Capital,- -,21716000,15191000,51870000,76574000,31079000,-8244000,32725000,17813000
82,Other Non-Cash Items,-18000,-20820000,14429000,31703000,-81259000,43232000,33555000,-55198000,18903000
83,Cash Provided by Operating Activities,-51392000,-47007000,-48760000,-36862000,-41573000,-51422000,-42383000,-29318000,-21679000
84,CAPEX,-1021000,-989000,-1527000,-2512000,-1402000,-976000,-153000,-88000,-713000
85,Acquisitions Net,- -,-47811000,- -,- -,59763000,65000,4250000,28120000,- -
86,Purchases of Investments,- -,- -,- -,-44882000,-99633000,-16535000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,70730000,90243000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-1021000,-48800000,-1527000,-47394000,29458000,72797000,4097000,28032000,-713000
90,Debt Repayment,- -,- -,- -,- -,- -,-602000,- -,-22104000,-10550000
91,Common Stock Issued,- -,- -,- -,18000,- -,- -,20344000,- -,10233000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,52413000,99400000,51331000,89277000,9534000,-185000,-195000,45978000,26478000
95,Cash Used/Provided by Financing Activities,52413000,99400000,51331000,89295000,9534000,-787000,20149000,23874000,26161000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,1044000,5039000,-2581000,20588000,-18137000,22588000,3769000
98,Cash at the End of Period,- -,3593000,4637000,9676000,7095000,38083000,19946000,42534000,46303000
99,Cash at the Beginning of Period,- -,- -,3593000,4637000,9676000,17495000,38083000,19946000,42534000
100,Free Cash Flow,-52413000,-47996000,-50287000,-39374000,-42975000,-52398000,-42536000,-29406000,-22392000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1671584/000156459017005738/0001564590-17-005738-index.html,https://www.sec.gov/Archives/edgar/data/1671584/000156459018005384/0001564590-18-005384-index.html,https://www.sec.gov/Archives/edgar/data/1671584/000156459019008184/0001564590-19-008184-index.html,https://www.sec.gov/Archives/edgar/data/1671584/000156459020012791/0001564590-20-012791-index.html,https://www.sec.gov/Archives/edgar/data/1671584/000156459021016875/0001564590-21-016875-index.htm,https://www.sec.gov/Archives/edgar/data/1671584/000156459022011575/0001564590-22-011575-index.htm
102,false,,,,,,,,,
