,https://roic.ai/company/UPLD,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1505155/000162828015002099/0001628280-15-002099-index.htm,https://www.sec.gov/Archives/edgar/data/1505155/000162828016013941/0001628280-16-013941-index.htm,https://www.sec.gov/Archives/edgar/data/1505155/000162828017003190/0001628280-17-003190-index.htm,https://www.sec.gov/Archives/edgar/data/1505155/000162828018002967/0001628280-18-002967-index.htm,https://www.sec.gov/Archives/edgar/data/1505155/000150515519000017/0001505155-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1505155/000150515520000015/0001505155-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1505155/000150515521000011/0001505155-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1505155/000150515522000017/0001505155-22-000017-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,3892000,4703000,30988000,18473000,28758000,22326000,16738000,175024000,250029000,189158000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3892000,4703000,30988000,18473000,28758000,22326000,16738000,175024000,250029000,189158000
34,Net Receivables,9489000,11026000,14559000,13972000,15254000,26504000,44535000,56049000,44472000,55300000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,901000,2562000,2069000,2603000,3287000,2856000,6015000,7807000,23039000,18533000
37,Total Current Assets,14282000,18291000,47616000,35048000,47299000,51686000,67288000,238880000,317540000,262991000
38,PP&E,1407000,3942000,3930000,6001000,4356000,2927000,2827000,11973000,2778000,9121000
39,Goodwill,21093000,33630000,45146000,47422000,69097000,154607000,225322000,346134000,383598000,457472000
40,Intangible Assets,26388000,34747000,34751000,31526000,28512000,70043000,179572000,282727000,279975000,279920000
41,Intangible Assets,47481000,68377000,79897000,78948000,97609000,224650000,404894000,628861000,663573000,737392000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,4638000,4237000,4323000,2417000,1324000,1996000,8189000,17114000,- -,19503000
45,Total Non-Current Assets,53526000,76556000,88150000,87366000,103289000,229573000,415910000,657948000,666351000,766016000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,67808000,94847000,135766000,122414000,150588000,281259000,483198000,896828000,983891000,1029007000
48,Accounts Payable,1843000,1280000,2258000,2548000,1268000,3887000,3494000,5904000,5395000,20362000
49,Short-Term Debt,3800000,5245000,10964000,1500000,2190000,2301000,6015000,5726000,6481000,6713000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,15688000,16620000,21182000,19931000,23552000,43807000,57626000,76558000,87552000,102847000
52,Other Current Liabilities,3897000,6412000,11041000,10023000,12688000,25144000,40514000,41179000,21992000,26522000
53,Total Current Liabilities,25228000,29557000,45445000,34002000,39698000,75139000,107649000,129367000,121420000,156444000
54,Long-Term Debt,10920000,23438000,12407000,22366000,45739000,108843000,273713000,521881000,8387000,521936000
55,Deferred Revenue,814000,416000,194000,8000,247000,1570000,578000,496000,1587000,2058000
56,Deferred Tax Liabilities,4292000,3084000,3006000,2818000,3404000,3262000,13311000,25685000,24092000,22793000
57,Other Non-Current Liabilities,3241000,3696000,3317000,2950000,2487000,1030000,640000,6538000,650000,9488000
58,Total Non-Current Liabilities,19267000,30634000,18924000,28142000,51877000,114705000,288242000,554600000,34716000,556275000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,617901000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,8395000,11702000,10319000
61,Total Liabilities,44495000,60191000,64369000,62144000,91575000,189844000,395891000,683967000,704605000,712719000
62,Preferred Stock,27492000,50538000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,2000,2000,2000,2000,2000,3000,3000,3000
64,Retained Earnings,-4075000,-15109000,-35226000,-48890000,-62403000,-81128000,-85675000,-131046000,- -,-240585000
65,Other Comprehensive Income/Loss,-104000,-773000,-1716000,-3289000,-3152000,-2403000,-7501000,-1223000,-26234000,-11514000
66,Other Total Stockholders Equity,27793000,52225000,108337000,112447000,124566000,174944000,180481000,345127000,332846000,- -
67,Total Stockholders Equity,23313000,34656000,71397000,60270000,59013000,91415000,87307000,212861000,306615000,316288000
68,Total Liabilities And Stockholders Equity,67808000,94847000,135766000,122414000,150588000,281259000,483198000,896828000,1011220000,1029007000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,-27329000,- -
70,Total Liabilities & Equity,67808000,94847000,135766000,122414000,150588000,281259000,483198000,896828000,983891000,1029007000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1505155/000162828015002099/0001628280-15-002099-index.htm,https://www.sec.gov/Archives/edgar/data/1505155/000162828016013941/0001628280-16-013941-index.htm,https://www.sec.gov/Archives/edgar/data/1505155/000162828017003190/0001628280-17-003190-index.htm,https://www.sec.gov/Archives/edgar/data/1505155/000162828018002967/0001628280-18-002967-index.htm,https://www.sec.gov/Archives/edgar/data/1505155/000150515519000017/0001505155-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1505155/000150515520000015/0001505155-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1505155/000150515521000011/0001505155-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1505155/000150515522000017/0001505155-22-000017-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-2507000,-9197000,-20117000,-13664000,-13513000,-18725000,-10839000,-45371000,-51219000,-58212000
74,Depreciation and Amortization,2817000,5595000,7457000,8451000,9794000,11914000,21347000,34621000,47164000,52928000
75,Deferred Income Tax,-85000,-104000,-295000,207000,529000,-262000,268000,-9432000,-7533000,-11179000
76,Stock Based Compensation,92000,498000,12297000,2741000,4333000,9977000,14130000,25754000,41692000,53873000
77,Change in Working Capital,2058000,-320000,13437000,-1125000,6555000,-31054000,-16908000,149874000,86607000,-2384000
78,Accounts Receivable,-3547000,2941000,-1579000,741000,-361000,-4710000,-5212000,3160000,10355000,-1665000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,875000,-1113000,639000,157000,-1453000,1254000,-3399000,-73000,-3081000,10865000
81,Other Working Capital,-10946000,-11266000,2171000,1046000,7601000,-23453000,-40361000,109513000,196120000,5575000
82,Other Non-Cash Items,-771000,3289000,-11602000,1887000,-3823000,35866000,-651000,-143370000,-81091000,6712000
83,Cash Provided by Operating Activities,1604000,-239000,1177000,-1503000,3875000,7716000,7347000,12076000,35620000,41738000
84,CAPEX,-274000,-263000,-861000,-1747000,-1078000,-451000,-935000,-1736000,-1114000,-1115000
85,Acquisitions Net,-33038000,-28175000,-6217000,-7664000,-12151000,-110324000,-160751000,-216025000,-67655000,-92417000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-127000,- -,-791000,-408000,-55000,- -,-696000,-201000,- -
89,Cash Used for Investing Activites,-33312000,-28565000,-7078000,-9411000,-13229000,-110775000,-161686000,-217761000,-68970000,-93532000
90,Debt Repayment,-4132000,-17867000,-11451000,-24927000,-8873000,-13409000,-5825000,-384097000,-88000,-5534000
91,Common Stock Issued,- -,- -,38846000,-18000,-515000,43797000,807000,151551000,130539000,274000
92,Common Stock Repurchased,- -,- -,-97000,-18000,-515000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,28387000,47431000,5086000,23742000,29428000,65790000,154941000,596314000,-22552000,-2920000
95,Cash Used/Provided by Financing Activities,24255000,29564000,32384000,-1221000,19525000,96178000,149923000,363768000,107899000,-8180000
96,Effect of Forex Changes on Cash,- -,51000,-198000,-380000,114000,449000,-1172000,203000,456000,-897000
97,Net Change In Cash,-7453000,811000,26285000,-12515000,10285000,-6432000,-5588000,158286000,75005000,-60871000
98,Cash at the End of Period,3892000,4703000,30988000,18473000,28758000,22326000,16738000,175024000,250029000,189158000
99,Cash at the Beginning of Period,11345000,3892000,4703000,30988000,18473000,28758000,22326000,16738000,175024000,250029000
100,Free Cash Flow,1330000,-502000,316000,-3250000,2797000,7265000,6412000,10340000,34506000,40623000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1505155/000162828015002099/0001628280-15-002099-index.htm,https://www.sec.gov/Archives/edgar/data/1505155/000162828016013941/0001628280-16-013941-index.htm,https://www.sec.gov/Archives/edgar/data/1505155/000162828017003190/0001628280-17-003190-index.htm,https://www.sec.gov/Archives/edgar/data/1505155/000162828018002967/0001628280-18-002967-index.htm,https://www.sec.gov/Archives/edgar/data/1505155/000150515519000017/0001505155-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1505155/000150515520000015/0001505155-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1505155/000150515521000011/0001505155-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1505155/000150515522000017/0001505155-22-000017-index.htm
102,false,,,,,,,,,,
