,https://roic.ai/company/SIGI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,82900000,44900000,59800000,46000000,52100000,75300000,116200000,-483848000,-112714000,-32182000,71365000,-43150000,-31778000,-32317000,127435000,2093000,39755000,171292000,254015000,378309000,-15635000,855157000,243320000,984464000,-788543000,-41408000,22798000,-2906000,-99461000,104721000,-1517661000,2891651000,-84512000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,103300000,81000000,92000000,105900000,81300000,119400000,174700000,90855000,50931000,56626000,63807000,64268000,52683000,180057000,281918000,367067000,406838000,393055000,386288000,241173000,227559000,159185000,122957000,226699000,336124000,232763000,381580000,301783000,370733000,454944000,477495000,554045000,771422000
84,CAPEX,- -,- -,- -,- -,-5700000,-2900000,-5200000,-2600000,-3600000,-4300000,-3000000,-4588000,-4055000,-11160000,-10908000,-12003000,-6824000,-11775000,-9751000,-11756000,-9558000,-18670000,-14511000,-8083000,-8207000,-6522000,-11824000,-12879000,-14023000,-15510000,-16229000,-18147000,-14071000,-16110000,-30986000,-22064000,-22163000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29283000,-5996000,-97000,12210000,-804000,-407000,14785000,376000,- -,- -,-12538000,978000,-50576000,1006000,1225000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-119700000,-130300000,-280800000,-207200000,-284800000,-401500000,-293900000,-269714000,-240857000,-258056000,-329342000,-187475000,-390180000,-677452000,-678342000,-787099000,-787849000,-3407742000,-3007942000,-2915277000,-3252021000,-2841282000,-2103179000,-2717425000,-3253367000,-2450375000,-2855449000,-5587292000,-6528676000,-7348009000,-8055339000,-7796954000,-6700629000
87,Sales/Maturities of Investments,- -,- -,- -,- -,52600000,101400000,192200000,141900000,198600000,248500000,150400000,194060000,190793000,268085000,358370000,207863000,282649000,400326000,431557000,495543000,291530000,2701831000,2858350000,2776288000,3052569000,2723299000,2022072000,2501785000,2863101000,2267643000,2447678000,5260501000,6188246000,6900052000,7522721000,7152265000,6136005000
88,Other Investing Activites,- -,- -,- -,- -,-9700000,-14100000,- -,-29000000,3200000,-17400000,-700000,-1377000,4553000,8655000,-13414000,-2304000,4800000,-3781000,2474000,- -,116820000,382486000,- -,- -,- -,- -,- -,24801000,12039000,28774000,32457000,26837000,23426000,28379000,19981000,-21421000,-31993000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-82500000,-45900000,-93800000,-96900000,-86600000,-174700000,-147200000,-81619000,-49566000,7524000,-24577000,85000,-109652000,-280472000,-254866000,-303719000,-374272000,-341719000,-164103000,-147072000,-220197000,-123527000,-143507000,-202712000,-391025000,-169468000,-391543000,-318101000,-331075000,-435688000,-543623000,-688174000,-618780000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7143000,-14243000,-21972000,-14286000,-105788000,-7143000,-7143000,-48000000,-48000000,-48000000,-18300000,-61756000,-21054000,-12300000,-12300000,- -,- -,-101083000,-15841000,-4689000,-120002000,-88121000,-135646000,-250977000,-587550000,-51768000
91,Common Stock Issued,- -,- -,- -,- -,1000000,900000,1000000,1300000,2300000,2300000,5900000,6800000,13407000,16479000,9066000,8962000,26336000,129000,55000,12435000,11919000,- -,8609000,8222000,4612000,4962000,5011000,4840000,7119000,7283000,10089000,7811000,7599000,7252000,8243000,8411000,7976000
92,Common Stock Repurchased,- -,- -,- -,- -,-23300000,- -,- -,-300000,-800000,-100000,-300000,-11051000,-9105000,-38205000,-45885000,-37677000,-10732000,-3011000,-2497000,-21165000,-34804000,-116354000,-152118000,-46833000,-3010000,-1686000,-2741000,-3495000,-3716000,-3563000,-4182000,-4992000,-6015000,-6556000,-8164000,-7053000,-9529000
93,Dividends Paid,- -,- -,- -,- -,-12300000,-13300000,-13700000,-14700000,-15300000,-15500000,-16000000,-16268000,-16398000,-16263000,-16358000,-15343000,-15174000,-15604000,-16689000,-17331000,-19908000,-22831000,-24464000,-25804000,-26296000,-26056000,-26513000,-26944000,-27416000,-28428000,-31052000,-33758000,-37045000,-42097000,-47675000,-54486000,-69489000
94,Other Financing Activites,- -,- -,- -,- -,19600000,-15200000,-400000,51200000,-1800000,54100000,-500000,5044000,18750000,20849000,26792000,132765000,-14535000,126522000,36206000,86315000,139078000,109609000,9484000,1628000,11800000,-744000,44910000,1060000,179980000,1020000,16736000,166819000,84000000,130000000,355757000,782063000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-15000000,-27600000,-13100000,37500000,-15600000,40800000,-10900000,-22618000,-7589000,-39112000,-40671000,-17081000,-21248000,100893000,-30925000,12254000,48285000,-47876000,-220245000,-83841000,-25194000,-35824000,20667000,-24539000,54884000,-39529000,-13098000,15878000,-39582000,-47047000,57184000,141385000,-122810000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-15000000,-27600000,-13100000,37500000,-15600000,40800000,-10900000,-13382000,-6224000,25038000,-1441000,47272000,-78217000,478000,-3873000,75602000,80851000,3460000,1940000,10260000,-2795000,-166000,117000,-552000,-17000,23766000,-23061000,-440000,76000,-27791000,-8944000,7256000,29832000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33924000,33798000,58836000,57395000,104667000,26450000,26928000,23055000,98657000,179508000,6443000,8383000,18643000,811000,645000,762000,210000,193000,23959000,898000,458000,534000,16919000,7975000,15231000,45063000
99,Cash at the Beginning of Period,- -,- -,- -,- -,21300000,27000000,34500000,19600000,66100000,45200000,30600000,47306000,40022000,33798000,58836000,57395000,104667000,26450000,26928000,23055000,98657000,2983000,6443000,8383000,3606000,811000,645000,762000,210000,193000,23959000,898000,458000,44710000,16919000,7975000,15231000
100,Free Cash Flow,- -,- -,- -,- -,97600000,78100000,86800000,103300000,77700000,115100000,171700000,86267000,46876000,45466000,52899000,52265000,45859000,168282000,272167000,355311000,397280000,374385000,371777000,233090000,219352000,152663000,111133000,213820000,322101000,217253000,365351000,283636000,356662000,438834000,446509000,531981000,749259000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/230557/000023055798000003/0000230557-98-000003-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/230557/000095012301500488/0000950123-01-500488-index.html,https://www.sec.gov/Archives/edgar/data/230557/000095012302003106/0000950123-02-003106-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/230557/000023055705000063/selective10k2004.htm,https://www.sec.gov/Archives/edgar/data/230557/000023055706000036/annualreport200510k.htm,https://www.sec.gov/Archives/edgar/data/230557/000095012307002992/y30980e10vk.htm,https://www.sec.gov/Archives/edgar/data/230557/000136231008001168/c72552e10vk.htm,https://www.sec.gov/Archives/edgar/data/230557/000136231009002965/0001362310-09-002965-index.html,https://www.sec.gov/Archives/edgar/data/230557/000114420410009710/0001144204-10-009710-index.html,https://www.sec.gov/Archives/edgar/data/230557/000114420411010997/v212317_10k.htm,https://www.sec.gov/Archives/edgar/data/230557/000114420412010820/0001144204-12-010820-index.html,https://www.sec.gov/Archives/edgar/data/230557/000023055713000003/0000230557-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/230557/000023055714000003/sigi-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/230557/000023055715000003/sigi-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/230557/000023055716000025/0000230557-16-000025-index.html,https://www.sec.gov/Archives/edgar/data/230557/000023055717000003/0000230557-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/230557/000023055718000009/0000230557-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/230557/000023055719000012/0000230557-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/230557/000023055720000005/0000230557-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/230557/000023055721000009/0000230557-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/230557/000023055722000006/0000230557-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
