,https://roic.ai/company/UEC,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,15605000,-44330,- -,- -,-44433,-166626,228000,30523,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-2063630,899847,900381,-700679,1316959,-23317,2960,- -,- -,- -,-28960818
80,Accounts Payable,- -,- -,- -,72693000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,679522,-1243838,699617
81,Other Working Capital,371469,-215828,13460648,9593650,12749800,23734674,16243838,30020926,22472302,10869978,9268700,6246920,6178194,21143775,-3974842,16638565,4552477,61776152
82,Other Non-Cash Items,- -,1633219,-4938479,-2699864002,-2556809,-9748371,9902007,-16437680,10576166,10370756,1019671,4979203,390343,-11646712,27282752,-19315196,10028004,-89740057
83,Cash Provided by Operating Activities,-100896,-952883,-6060585,-5300000,-14259956,-10001218,-5038108,-23675948,-19208463,-19311001,-21268103,-12275237,-13080607,-10419444,-12511328,-12573468,-12870711,-41469449
84,CAPEX,- -,- -,-224740,-398088000,-3555268,-139563,-508548,-2172938,-5505947,-454145,-325076,-101667,-18934,-56407,-3601063,-292287,-163838,-227699
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-1080000,- -,- -,- -,- -,- -,- -,-151676,- -,- -,- -,-3396852
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16000671,-21771253,-29858126,- -,-10000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,282588,- -,- -,29035,- -,- -,- -,- -,- -,6000671,31771253,18026455,11831671,10000000
88,Other Investing Activites,- -,- -,-136458,395178000,-174876,122089,10511041,-1338341,-1185890,-492869,362880,3975464,-45268,-829835,-141307,16587,3127,- -
89,Cash Used for Investing Activites,- -,- -,-361198,-2910000,-3432556,44226,9192088,-3482244,-6691837,-947014,37804,3873797,-64202,-11037918,6257630,-12107371,11670960,-3624551
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-300000,-1370486,- -,- -,- -,- -,- -,- -,- -,- -,-10144621
91,Common Stock Issued,498196,452500,20225700,- -,21637396,21035379,1144760,37106294,21522863,46464,6559523,9650530,10209632,26889996,604209,23843995,- -,95435522
92,Common Stock Repurchased,- -,- -,- -,3940000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-833363
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,8624,201273,-329700,-230000,108981,49938,37360,8287,39156,9368074,9338861,3426,-14660,768,39,- -,307092,- -
95,Cash Used/Provided by Financing Activities,506820,653773,19896000,3710000,21746377,21085317,1182120,36814581,20191533,9414538,15898384,9653956,10194972,26890764,604248,23843995,307092,84457538
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,405924,-299110,13474217,-4500000,4053865,11128325,-3197981,9656389,-5708767,-10843477,-5331915,1252516,-2949837,5433402,-5649450,-836844,-892659,39363538
98,Cash at the End of Period,406270,107160,13581377,9100000,13137318,24265643,21067662,30724051,25015284,14171807,8839892,10092408,7142571,12575973,6926523,7879578,6986919,46350457
99,Cash at the Beginning of Period,346,406270,107160,13600000,9083453,13137318,24265643,21067662,30724051,25015284,14171807,8839892,10092408,7142571,12575973,8716422,7879578,6986919
100,Free Cash Flow,-100896,-952883,-6285325,-8350000,-17815224,-10140781,-5546656,-25848886,-24714410,-19765146,-21593179,-12376904,-13099541,-10475851,-16112391,-12865755,-13034549,-41697148
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1334933/000118374008000328/f10ksba3.htm,https://www.sec.gov/Archives/edgar/data/1334933/000118374008000559/0001183740-08-000559-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000118374009000466/0001183740-09-000466-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000118374010000609/0001183740-10-000609-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000118374011000743/0001183740-11-000743-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000106299312004089/0001062993-12-004089-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000106299313005003/0001062993-13-005003-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000106299314005923/0001062993-14-005923-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000106299315005394/0001062993-15-005394-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000127956916004485/0001279569-16-004485-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000127956917001961/0001279569-17-001961-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000127956918002013/0001279569-18-002013-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000143774919020004/0001437749-19-020004-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000143774920021877/0001437749-20-021877-index.htm,https://www.sec.gov/Archives/edgar/data/1334933/000143774921024433/0001437749-21-024433-index.htm
102,false,,,,,,,,,,,,,,,,,,
