,https://roic.ai/company/FMX,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,7114000000,8363000000,7622000000,10490000000,12862000000,15681000000,17116865280,17163635720,24436000000,30249000000,33800000000,41097000000,48186000000,54939000000,63826000000,48441000000,58131000000,71635000000,79655000000,79316000000,88292000000,110521000000,129611000000,132022000000,141797000000,146373000000,161720000000
11,COGS and Expenses,19903000000,24006000000,21067000000,28860000000,32631000000,38394000000,41418812160,43532465900,63807000000,80218000000,89995000000,109037000000,127987000000,145338000000,170021000000,147173000000,176140000000,208644000000,228098000000,232594000000,276702000000,361824000000,419799000000,426596000000,457027000000,449686000000,504268000000
12,Interest Income ,589000000,410000000,262000000,349000000,399000000,409000000,- -,- -,695000000,541000000,638000000,707000000,769000000,598000000,565000000,1104000000,999000000,783000000,1225000000,862000000,1024000000,1299000000,1566000000,2832000000,3168000000,2100000000,1464000000
13,Interest Expense (Gain),1076000000,1518000000,997000000,1102000000,1002000000,1028000000,891313920,903896070,2540000000,3764000000,4520000000,4040000000,4554000000,4930000000,5197000000,3265000000,2934000000,2178000000,3838000000,6294000000,7422000000,9181000000,10738000000,9404000000,13508000000,17291000000,16938000000
14,Depreciation and Amortization,1532000000,2018000000,1855000000,2329000000,2936000000,3479000000,3492495360,4633766060,5108000000,6252000000,6702000000,7620000000,8112000000,8068000000,9089000000,5502000000,6541000000,7890000000,9696000000,10014000000,10825000000,13709000000,17665000000,17237000000,25810000000,28049000000,- -
15,EBITDA,3320000000,5438000000,5364000000,5661000000,8720000000,9356000000,10450200960,11999999550,14119000000,18242000000,21355000000,23088000000,26127000000,23913000000,28102000000,54689000000,32295000000,38724000000,37212000000,39262000000,43862000000,51918000000,81395000000,60801000000,70493000000,58229000000,59711000000
16,EBITDA ratio,0.1528,0.2049,0.2182,0.1688,0.2257,0.2058,0.2109,0.2266,0.1860,0.1942,0.2023,0.1826,0.1771,0.1423,0.1426,0.3223,0.1591,0.1625,0.1442,0.1490,0.1408,0.1300,0.1768,0.1294,0.1391,0.1181,0.1073
17,Operating Income,1822000000,2538000000,- -,4670000000,- -,7060000000,8121870720,9412986660,12084000000,13738000000,15587000000,17390000000,19569000000,22684000000,27012000000,22529000000,26904000000,29227000000,29857000000,20743000000,- -,37427000000,41439000000,44193000000,47152000000,41503000000,51993000000
18,Operating Income ratio,0.0839,0.0956,- -,0.1393,- -,0.1553,0.1639,0.1778,0.1592,0.1462,0.1476,0.1375,0.1326,0.1350,0.1371,0.1328,0.1325,0.1226,0.1157,0.0787,- -,0.0937,0.0900,0.0941,0.0931,0.0842,0.0935
19,Total Other Income Expenses (Gains),-768000000,926000000,-456000000,-1762000000,-236000000,-1191000000,-454752000,-1174025930,-4049000000,-2094000000,-2891000000,-3389000000,-2683000000,-9199000000,-8022000000,1103000000,1467000000,-1697000000,-4777000000,3001000000,-9724000000,-8871000000,-1572000000,-10562000000,-14856000000,-22192000000,-10717000000
20,Income Before Tax,1054000000,3464000000,3056000000,2908000000,5760000000,5869000000,7667118720,8238960730,8035000000,11644000000,12696000000,14001000000,16886000000,13485000000,18990000000,23632000000,28371000000,27530000000,25080000000,23744000000,25163000000,28556000000,39867000000,33631000000,32296000000,19311000000,41276000000
21,Income Before Tax Ratio,0.0485,0.1305,0.1243,0.0867,0.1491,0.1291,0.1548,0.1556,0.1059,0.1239,0.1202,0.1107,0.1144,0.0803,0.0964,0.1393,0.1397,0.1155,0.0972,0.0901,0.0808,0.0715,0.0866,0.0716,0.0637,0.0392,0.0742
22,Income Tax expense (Gain),406000000,468000000,837000000,870000000,1852000000,2314000000,2801272320,3625973890,3378000000,2395000000,4584000000,4806000000,4950000000,4207000000,3908000000,5671000000,7687000000,7949000000,7756000000,6253000000,7932000000,7888000000,10583000000,10169000000,10476000000,14819000000,14278000000
23,Net Income,306000000,1434000000,1675000000,1360000000,2930000000,2535000000,3265119360,2836363530,3093000000,5831000000,5549000000,6622000000,8511000000,6708000000,9908000000,40251000000,15133000000,20707000000,15922000000,16701000000,17683000000,21140000000,42409000000,23991000000,20699000000,-1930000000,28495000000
24,Net Income ratio,0.0141,0.0540,0.0681,0.0406,0.0759,0.0558,0.0659,0.0536,0.0408,0.0621,0.0526,0.0524,0.0577,0.0399,0.0503,0.2372,0.0745,0.0869,0.0617,0.0634,0.0568,0.0529,0.0921,0.0511,0.0408,-0.0039,0.0512
25,EPS,1.99,9.00,10.88,4.70,8.15,7.05,2.05,73.88,8.68,16.33,14.50,3.30,4.20,18.75,5.54,112.49,42.29,57.87,7.90,8.30,8.80,59.08,118.52,63.97,57.85,-5.39,79.63
26,EPS Diluted,1.99,9.00,10.88,4.70,8.15,7.05,2.05,73.88,8.68,16.33,14.50,3.30,4.20,18.75,5.54,112.49,42.29,57.87,7.90,8.30,8.80,59.08,118.52,63.97,57.85,-5.39,79.63
27,Weighted Average Shares Outstanding,153890013,153890013,153890013,262449877,320480427,320256000,1593871005,38393555,317838000,317838000,341899800,1789113000,1789113000,1789113000,1222293735,357822627,357822627,357822627,1785249000,1786172000,1786860000,357822627,357822627,357822627,357822627,357822627,357822627
28,Weighted Average Shares Outstanding Diluted,153890013,153890013,153890013,262449877,421407323,320256000,1593871005,38393555,317838000,317838000,341899800,1789113000,1789113000,1789113000,1222293735,357822627,357822627,357822627,1789113000,1789113000,1789113000,357822627,357822627,357822627,357822627,357822627,357822627
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1061736/000119312505072413/0001193125-05-072413-index.htm,https://www.sec.gov/Archives/edgar/data/1061736/000119312506139222/0001193125-06-139222-index.htm,https://www.sec.gov/Archives/edgar/data/1061736/000119312507145533/0001193125-07-145533-index.htm,https://www.sec.gov/Archives/edgar/data/1061736/000119312508143966/0001193125-08-143966-index.htm,https://www.sec.gov/Archives/edgar/data/1061736/000119312509141851/0001193125-09-141851-index.htm,https://www.sec.gov/Archives/edgar/data/1061736/000119312510147430/0001193125-10-147430-index.htm,https://www.sec.gov/Archives/edgar/data/1061736/000119312511175989/0001193125-11-175989-index.htm,https://www.sec.gov/Archives/edgar/data/1061736/000119312512191729/0001193125-12-191729-index.htm,https://www.sec.gov/Archives/edgar/data/1061736/000119312513146138/0001193125-13-146138-index.htm,https://www.sec.gov/Archives/edgar/data/1061736/000119312514145967/0001193125-14-145967-index.htm,https://www.sec.gov/Archives/edgar/data/1061736/000119312515140330/0001193125-15-140330-index.htm,https://www.sec.gov/Archives/edgar/data/1061736/000119312516548524/0001193125-16-548524-index.htm,https://www.sec.gov/Archives/edgar/data/1061736/000119312517132722/0001193125-17-132722-index.htm,https://www.sec.gov/Archives/edgar/data/1061736/000119312518129003/0001193125-18-129003-index.htm,https://www.sec.gov/Archives/edgar/data/1061736/000119312519117240/0001193125-19-117240-index.htm,https://www.sec.gov/Archives/edgar/data/1061736/000119312520123260/0001193125-20-123260-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1423000000,1198000000,2211000000,2598000000,4242000000,7175986560,14555843610,7733000000,6822000000,8140000000,7936000000,10456000000,9110000000,15523000000,27097000000,26329000000,36521000000,27259000000,35497000000,29396000000,43637000000,96944000000,62047000000,65562000000,107624000000,97407000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,684000000,- -,2113000000,66000000,1329000000,1595000000,126000000,144000000,19000000,120000000,2160000000,30924000000,12366000000,662000000,24415000000
33,Cash and Short-Term Investments,- -,1423000000,1198000000,2211000000,2598000000,4242000000,7175986560,14555843610,7733000000,6822000000,8140000000,7936000000,11140000000,9110000000,17636000000,27163000000,27658000000,38116000000,27385000000,35641000000,29415000000,43757000000,99104000000,92971000000,77928000000,108286000000,121822000000
34,Net Receivables,- -,1785000000,2107000000,2528000000,2949000000,3623000000,3219644160,3137662220,4926000000,5487000000,6051000000,8178000000,11028000000,13710000000,15120000000,11945000000,14810000000,18043000000,22718000000,22872000000,27747000000,35462000000,43619000000,45010000000,48708000000,45385000000,33898000000
35,Inventory,- -,2711000000,2680000000,3134000000,3836000000,4216000000,4165528320,4872727090,6872000000,7853000000,7696000000,8129000000,9803000000,12765000000,14858000000,11447000000,14385000000,16345000000,18289000000,17214000000,24680000000,31932000000,34840000000,35686000000,41023000000,44034000000,50896000000
36,Other Current Assets,- -,267000000,344000000,302000000,337000000,521000000,536607360,935064900,629000000,717000000,853000000,1166000000,1514000000,3432000000,1766000000,905000000,2114000000,2951000000,5177000000,3385000000,4881000000,6800000000,3625000000,3940000000,4920000000,3564000000,24102000000
37,Total Current Assets,- -,6186000000,6329000000,8175000000,9720000000,12602000000,15097766400,23501297820,20160000000,20879000000,22740000000,25409000000,33485000000,39017000000,49380000000,51460000000,58967000000,75455000000,73569000000,79112000000,86723000000,117951000000,181188000000,177607000000,172579000000,201269000000,230718000000
38,PP&E,- -,19210000000,19612000000,24236000000,26201000000,27575000000,26994078720,29755843040,43792000000,46422000000,44730000000,52898000000,54707000000,66355000000,70501000000,45117000000,59537000000,61649000000,73955000000,75629000000,80296000000,102223000000,116712000000,108602000000,167197000000,167853000000,172141000000
39,Goodwill,- -,1342000000,1605000000,2099000000,1923000000,1841000000,- -,- -,191000000,- -,- -,3182000000,4044000000,3821000000,4937000000,- -,- -,6972000000,21308000000,25174000000,33850000000,51857000000,43449000000,40530000000,47906000000,52820000000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,592207770,34693000000,46845000000,48937000000,52651000000,56190000000,61478000000,68539000000,52340000000,71608000000,60921000000,81985000000,76353000000,74491000000,101411000000,110644000000,105080000000,98656000000,102681000000,- -
41,Intangible Assets,- -,1342000000,1605000000,2099000000,1923000000,1841000000,- -,592207770,34884000000,46845000000,48937000000,55833000000,60234000000,65299000000,73476000000,52340000000,71608000000,67893000000,103293000000,101527000000,108341000000,153268000000,154093000000,145610000000,146562000000,155501000000,158138000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,939000000,759000000,758000000,768000000,1863000000,1965000000,2344000000,68793000000,78972000000,83840000000,98491000000,102256000000,111831000000,128706000000,97300000000,106226000000,110952000000,115390000000,107299000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1353000000,1230000000,1727000000,1264000000,1247000000,1254000000,346000000,461000000,2028000000,3792000000,6278000000,8293000000,12053000000,15853000000,16543000000,20521000000,22043000000,- -
44,Other Non-Current Assets,- -,1084000000,1448000000,2085000000,2632000000,3159000000,5839015680,6161038730,4559000000,4419000000,7603000000,8755000000,14242000000,11157000000,14136000000,5522000000,5159000000,5077000000,6092000000,11371000000,13848000000,31422000000,23395000000,21793000000,19730000000,22792000000,69204000000
45,Total Non-Current Assets,- -,21636000000,22665000000,28420000000,30756000000,32575000000,32833094400,36509089540,84174000000,99798000000,103258000000,119981000000,132310000000,146023000000,161711000000,172118000000,215737000000,220487000000,285623000000,297061000000,322609000000,427672000000,407353000000,398774000000,464962000000,483579000000,506782000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,27822000000,28994000000,36595000000,40476000000,45177000000,47930860800,60010387360,104334000000,120677000000,125998000000,145390000000,165795000000,185040000000,211091000000,223578000000,274704000000,295942000000,359192000000,376173000000,409332000000,545623000000,588541000000,576381000000,637541000000,684848000000,737500000000
48,Accounts Payable,- -,589000000,605000000,721000000,939000000,1397000000,1309685760,1797402530,9880000000,11014000000,12546000000,3510000000,18315000000,5804000000,7607000000,5375000000,5761000000,31151000000,33543000000,34245000000,45009000000,59089000000,66163000000,65669000000,76676000000,75168000000,- -
49,Short-Term Debt,- -,3794000000,1681000000,2666000000,2290000000,1636000000,345611520,3999999850,5016000000,9526000000,4883000000,5930000000,9364000000,11648000000,8853000000,3303000000,5573000000,8702000000,3827000000,1553000000,5895000000,7281000000,13590000000,13674000000,23591000000,15573000000,11946000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,773000000,1416000000,2561000000,2009000000,2495000000,3658000000,4044000000,5793000000,2180000000,3208000000,5048000000,6745000000,8177000000,9136000000,11360000000,11214000000,12264000000,11717000000,12578000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,2296000000,2415000000,3209000000,4223000000,4955000000,6457478400,5994804970,1820000000,2955000000,2410000000,15897000000,5725000000,26642000000,29307000000,21838000000,27296000000,8663000000,11499000000,13521000000,14442000000,19919000000,25269000000,22121000000,36267000000,27672000000,124777000000
53,Total Current Liabilities,- -,6679000000,4701000000,6596000000,7452000000,7988000000,8112775680,11792207350,16716000000,23495000000,19839000000,25337000000,33404000000,44094000000,45767000000,30516000000,38630000000,48516000000,48869000000,49319000000,65346000000,86289000000,105022000000,101464000000,136534000000,118413000000,136723000000
54,Long-Term Debt,- -,5305000000,7820000000,7463000000,6711000000,6998000000,6693949440,9807791840,33345000000,36285000000,29732000000,34251000000,30665000000,32210000000,34810000000,22203000000,24031000000,28640000000,72921000000,82935000000,85969000000,131967000000,117758000000,114990000000,149039000000,231400000000,234905000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,3995000000,3728966400,3989610240,3841000000,4157000000,3275000000,3834000000,3584000000,2400000000,972000000,10567000000,13911000000,700000000,2993000000,3643000000,6230000000,11037000000,6133000000,5886000000,6946000000,6033000000,- -
57,Other Non-Current Liabilities,- -,829000000,770000000,908000000,790000000,1015000000,991359360,1599999940,4334000000,4695000000,5960000000,7740000000,8489000000,9441000000,13713000000,7279000000,7018000000,7925000000,11859000000,10154000000,9931000000,30160000000,22716000000,18499000000,19271000000,21815000000,31055000000
58,Total Non-Current Liabilities,- -,6134000000,8590000000,8371000000,7501000000,12008000000,11414275200,15397402020,41520000000,45137000000,38967000000,45825000000,42738000000,44051000000,49495000000,40049000000,44960000000,37265000000,87773000000,96732000000,102130000000,173164000000,146607000000,139375000000,175256000000,259248000000,265960000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44633000000,47284000000,- -,78032000000,90456000000,52916000000,54679000000,58308000000,62354000000
61,Total Liabilities,- -,12813000000,13291000000,14967000000,14953000000,19996000000,19527050880,27189609370,58236000000,68632000000,58806000000,71162000000,76142000000,88145000000,95262000000,70565000000,83590000000,85781000000,136642000000,146051000000,167476000000,259453000000,251629000000,240839000000,311790000000,377661000000,402683000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,3838106880,4083116730,- -,- -,- -,- -,- -,- -,- -,- -,- -,3346000000,3346000000,3347000000,3348000000,3348000000,3348000000,3348000000,3348000000,3348000000,- -
64,Retained Earnings,- -,7838000000,9563000000,5049000000,6767000000,6686000000,12141878400,15272726700,15450000000,18995000000,24983000000,30988000000,38108000000,38929000000,43835000000,51045000000,86756000000,128508000000,130840000000,147122000000,156532000000,168796000000,201868000000,217802000000,229794000000,217430000000,- -
65,Other Comprehensive Income/Loss,- -,-9765000000,-10242000000,-12879000000,-14608000000,-16108000000,-16180076160,-6285714050,-6446000000,-6652000000,-8240000000,-8356000000,-8001000000,-2715000000,1998000000,146000000,5830000000,665000000,-227000000,-5645000000,-4163000000,14027000000,18267000000,9053000000,685000000,-843000000,- -
66,Other Total Stockholders Equity,- -,16936000000,16382000000,29458000000,33364000000,34603000000,28603900800,9953246380,- -,- -,- -,- -,- -,- -,- -,- -,- -,22740000000,25433000000,25649000000,25807000000,25733000000,26808000000,26850000000,18162000000,17808000000,- -
67,Total Stockholders Equity,- -,15009000000,15703000000,21628000000,25523000000,25181000000,28403809920,23023375760,28400000000,35324000000,47851000000,54220000000,64578000000,68821000000,81637000000,117348000000,133580000000,155259000000,159392000000,170473000000,181524000000,211904000000,250291000000,257053000000,251989000000,237743000000,334817000000
68,Total Liabilities And Stockholders Equity,- -,27822000000,28994000000,36595000000,40476000000,45177000000,47930860800,50212985130,86636000000,103956000000,106657000000,125382000000,140720000000,156966000000,176899000000,187913000000,217170000000,241040000000,296034000000,316524000000,349000000000,471357000000,501920000000,497892000000,563779000000,615404000000,737500000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,9797402230,17698000000,16721000000,19341000000,20008000000,25075000000,28074000000,34192000000,35665000000,57534000000,54902000000,63158000000,59649000000,60332000000,74266000000,86621000000,78489000000,73762000000,69444000000,- -
70,Total Liabilities & Equity,- -,27822000000,28994000000,36595000000,40476000000,45177000000,47930860800,60010387360,104334000000,120677000000,125998000000,145390000000,165795000000,185040000000,211091000000,223578000000,274704000000,295942000000,359192000000,376173000000,409332000000,545623000000,588541000000,576381000000,637541000000,684848000000,737500000000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1061736/000119312505072413/0001193125-05-072413-index.htm,https://www.sec.gov/Archives/edgar/data/1061736/000119312506139222/0001193125-06-139222-index.htm,https://www.sec.gov/Archives/edgar/data/1061736/000119312507145533/0001193125-07-145533-index.htm,https://www.sec.gov/Archives/edgar/data/1061736/000119312508143966/0001193125-08-143966-index.htm,https://www.sec.gov/Archives/edgar/data/1061736/000119312509141851/0001193125-09-141851-index.htm,https://www.sec.gov/Archives/edgar/data/1061736/000119312510147430/0001193125-10-147430-index.htm,https://www.sec.gov/Archives/edgar/data/1061736/000119312511175989/0001193125-11-175989-index.htm,https://www.sec.gov/Archives/edgar/data/1061736/000119312512191729/0001193125-12-191729-index.htm,https://www.sec.gov/Archives/edgar/data/1061736/000119312513146138/0001193125-13-146138-index.htm,https://www.sec.gov/Archives/edgar/data/1061736/000119312514145967/0001193125-14-145967-index.htm,https://www.sec.gov/Archives/edgar/data/1061736/000119312515140330/0001193125-15-140330-index.htm,https://www.sec.gov/Archives/edgar/data/1061736/000119312516548524/0001193125-16-548524-index.htm,https://www.sec.gov/Archives/edgar/data/1061736/000119312517132722/0001193125-17-132722-index.htm,https://www.sec.gov/Archives/edgar/data/1061736/000119312518129003/0001193125-18-129003-index.htm,https://www.sec.gov/Archives/edgar/data/1061736/000119312519117240/0001193125-19-117240-index.htm,https://www.sec.gov/Archives/edgar/data/1061736/000119312520123260/0001193125-20-123260-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,306000000,1434000000,1675000000,1360000000,2930000000,2535000000,3265119360,2836363530,3093000000,5831000000,5549000000,6622000000,8511000000,6708000000,9908000000,40251000000,15133000000,20707000000,15922000000,16701000000,17683000000,21140000000,42409000000,23991000000,20699000000,-1930000000,- -
74,Depreciation and Amortization,1532000000,2018000000,1855000000,2329000000,2936000000,3479000000,3492495360,4633766060,5108000000,6252000000,6702000000,7620000000,8112000000,8068000000,9089000000,5502000000,6541000000,7890000000,9696000000,10014000000,10825000000,13709000000,17665000000,17237000000,25810000000,28049000000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,474000000,-1004000000,-288000000,18000000,-239000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-364000000,-275000000,-347000000,321000000,230000000,2000000,773078400,-62337660,-2171000000,298000000,-899000000,-894000000,-1880000000,-1567000000,-1556000000,-2727000000,-4616000000,-94000000,-4087000000,876000000,-2524000000,10857000000,-2313000000,-765000000,2053000000,2528000000,- -
78,Accounts Receivable,-2000000,219000000,-243000000,243000000,74000000,148000000,- -,418000000,361000000,-108000000,-378000000,-442000000,-1536000000,-367000000,-953000000,-1431000000,-2819000000,-746000000,-1948000000,-4962000000,-4379000000,-1889000000,-11349000000,-2426000000,-2818000000,2551000000,- -
79,Inventory,-414000000,-627000000,-302000000,-321000000,-641000000,-396000000,-18190080,-685714260,-911000000,-1243000000,-344000000,-1047000000,-1812000000,-2900000000,-2496000000,-1340000000,-2227000000,-2289000000,-1541000000,-1122000000,-4330000000,-4936000000,-2602000000,-3809000000,-5635000000,-247000000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3115000000,823000000,- -,3833000000,517000000,6910000000,5556000000,15337000000,7394000000,4906000000,10230000000,-1847000000,- -
81,Other Working Capital,149000000,118000000,223000000,457000000,534000000,862000000,- -,- -,-1108000000,852000000,739000000,- -,- -,101000000,-1222000000,-779000000,-1062000000,-226000000,85000000,-171000000,59000000,130000000,18000000,-23000000,41000000,124000000,- -
82,Other Non-Cash Items,342000000,1562000000,544000000,678000000,978000000,1020000000,1582536960,1776623310,2354000000,3905000000,2664000000,2773000000,3518000000,9855000000,13466000000,-24097000000,5186000000,2282000000,7227000000,9773000000,10758000000,4425000000,-17626000000,6951000000,13076000000,24526000000,- -
83,Cash Provided by Operating Activities,1816000000,4739000000,3727000000,4688000000,7074000000,7036000000,9113230080,9184415240,8858000000,15282000000,13728000000,16139000000,18022000000,23064000000,30907000000,18929000000,22244000000,30785000000,28758000000,37364000000,36742000000,50131000000,40135000000,47414000000,61638000000,53173000000,- -
84,CAPEX,- -,- -,- -,-3095883000,- -,-2665000000,-2728512000,-3085714170,-6789000000,-6902000000,-4036000000,-5225000000,-6351000000,-10883000000,-10201000000,-9278000000,-11153000000,-441000000,-1077000000,-706000000,-18456000000,-21392000000,-24184000000,-23377000000,-25123000000,-20142000000,- -
85,Acquisitions Net,392000000,147000000,911000000,375000000,- -,- -,-154615680,- -,-29648000000,-14751000000,20000000,-6602000000,-128000000,-3866000000,-717000000,- -,-4326000000,-59000000,-41010000000,-58000000,-13002000000,-20419000000,53744000000,1538000000,-24071000000,-31160000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46000000,-1040000000,- -,-2001000000,-66000000,-1351000000,-2808000000,-170000000,-673000000,-28000000,-361000000,-2235000000,-40552000000,-488000000,-405000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1108000000,68000000,3144000000,1607000000,589000000,358000000,85000000,- -,99000000,29381000000,14149000000,- -
88,Other Investing Activites,2743000000,2538000000,3330000000,3796000000,3519000000,-3725000000,-1546156800,-2742857040,-2830000000,-3342000000,-2864000000,-3921000000,-5254000000,-4008000000,-4580000000,13518000000,-1866000000,-14920000000,-15658000000,-15466000000,1798000000,1133000000,746000000,2837000000,3972000000,4709000000,- -
89,Cash Used for Investing Activites,3135000000,2685000000,4241000000,4171000000,3519000000,-3725000000,-4429284480,-5828571210,-36501000000,-21478000000,-6485000000,-15401000000,-12437000000,-18060000000,-15834000000,6174000000,-18090000000,-14643000000,-55231000000,-15608000000,-28359000000,-38645000000,31417000000,-57662000000,-14132000000,-31367000000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,-856000000,- -,- -,- -,-17463000000,-13504000000,-4536000000,-10851000000,-20693000000,-21198000000,-12536000000,-3732000000,-5872000000,-39962000000,-5721000000,-15520000000,-5458000000,-18130000000,-17182000000,-30651000000,-68520000000,- -
91,Common Stock Issued,- -,1157000000,- -,1138000000,- -,- -,- -,- -,- -,- -,7837000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-232000000,-63665280,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-110000000,-102000000,-169000000,-461000000,-917000000,-652000000,-591177600,-1142857100,-1070000000,-843000000,-1022000000,-1406000000,-1909000000,-2065000000,-2255000000,-3813000000,-6625000000,-9186000000,-16493000000,-3152000000,-10701000000,-12045000000,-12450000000,-12933000000,-13629000000,-15868000000,- -
94,Other Financing Activites,1969000000,-3140000000,458000000,-640000000,-2502000000,-137000000,-1009549440,4727272550,21298000000,23096000000,475000000,4530000000,8859000000,16598000000,15742000000,4841000000,3435000000,11640000000,77039000000,-415000000,12480000000,18800000000,9041000000,7104000000,5847000000,103963000000,- -
