,https://roic.ai/company/DXF,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
45,Total Non-Current Assets,3294000,2776000,6660000,27190000,37061000,26723000,75309000,21305000,- -,983000,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,641770000,663748000,708248000
47,Total Assets,220398000,286490000,1101525000,1491332000,1648345000,1673447000,1612898000,934739000,545707000,869129000,641770000,663748000,708248000
48,Accounts Payable,43760000,28017000,46358000,83630000,90563000,25594000,45288000,6913000,- -,4560000,5139000,17723000,36122000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,226370000,200417000,172891000,171569000
50,Tax Payable,7247000,11898000,13957000,37508000,32930000,31993000,2413000,2413000,- -,14851000,32477000,32477000,32477000
51,Deferred Revenue,- -,- -,- -,- -,102600000,100900000,64400000,58300000,- -,142000,- -,- -,- -
52,Other Current Liabilities,29236000,30066000,52335000,173707000,52175000,46767000,172106000,137767000,518000,34004000,- -,- -,- -
53,Total Current Liabilities,72996000,58083000,98693000,257337000,245338000,173261000,281794000,202980000,518000,265076000,205556000,190614000,207691000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,157230000,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,157230000,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69148000,46972000,54253000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,72996000,58083000,98693000,257337000,245338000,173261000,281794000,202980000,157748000,265076000,274704000,237586000,261944000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,9843000,9843000,77000,77000,77000,77000,77000,77000,77000,325000,326000,326000,326000
64,Retained Earnings,113339000,174667000,403754000,631569000,790837000,878567000,708804000,108465000,-236824000,80958000,-113257000,-70288000,-54316000
65,Other Comprehensive Income/Loss,-1609000,-2127000,-2018000,- -,93016000,102465000,103146000,104140000,105629000,13642000,23409000,27717000,27859000
66,Other Total Stockholders Equity,25829000,46024000,601019000,602349000,519077000,519077000,519077000,519077000,519077000,388317000,383174000,383174000,383174000
67,Total Stockholders Equity,147402000,228407000,1002832000,1233995000,1403007000,1500186000,1331104000,731759000,387959000,483242000,293652000,340929000,357043000
68,Total Liabilities And Stockholders Equity,220398000,286490000,1101525000,1491332000,1648345000,1673447000,1612898000,934739000,545707000,748318000,568356000,578515000,618987000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,120811000,73414000,85233000,89261000
70,Total Liabilities & Equity,220398000,286490000,1101525000,1491332000,1648345000,1673447000,1612898000,934739000,545707000,869129000,641770000,663748000,708248000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1499494/000119312512147131/d328959d20f.htm,https://www.sec.gov/Archives/edgar/data/1499494/000129281413000672/xnyform20f_2012.htm,https://www.sec.gov/Archives/edgar/data/1499494/000147793214001634/xny_20f.htm,https://www.sec.gov/Archives/edgar/data/1499494/000147793215002774/xny_20f.htm,https://www.sec.gov/Archives/edgar/data/1499494/000147793216009975/xny_20f.htm,https://www.sec.gov/Archives/edgar/data/1499494/000147793217001932/xny_20f.htm,https://www.sec.gov/Archives/edgar/data/1499494/000147793218002101/dxf_20f.htm,https://www.sec.gov/Archives/edgar/data/1499494/000147793219002772/dxf_20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,126017000,194344000,252346000,251708000,175451000,97167000,-170676000,-600339000,-345289000,26853000,6524000,46893000,15883000
74,Depreciation and Amortization,517000,518000,389000,1646000,4858000,7192000,5919000,5951000,4323000,441000,818000,2946000,2978000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,2195000,823000,1888000,1040000,913000,- -,- -,- -,689000,75000,111000
77,Change in Working Capital,-15817000,-99744000,-65764000,-46041000,-20787000,-312637000,188853000,-322778000,178919000,3540000,-66657000,-71080000,-78833000
78,Accounts Receivable,-50657000,-77162000,-93537000,-190622000,-16837000,-228348000,301891000,-291076000,287888000,-22309000,4933000,7057000,- -
79,Inventory,-2805000,-7524000,5360000,1750000,-6249000,-21885000,-91505000,83436000,-48541000,- -,- -,- -,- -
80,Accounts Payable,32778000,-15743000,18341000,37272000,6933000,-64969000,19694000,-38375000,15071000,1333000,1310000,12584000,18399000
81,Other Working Capital,- -,- -,- -,- -,3400000,-1700000,-36500000,-57000000,-17181000,- -,- -,- -,- -
82,Other Non-Cash Items,7247000,4651000,2410000,137000,-35255000,-16569000,87959000,194100000,127699000,13358000,85892000,36243000,59235000
83,Cash Provided by Operating Activities,117964000,99769000,191576000,208273000,126155000,-223807000,112968000,-723066000,-34348000,44192000,27266000,15077000,-626000
84,CAPEX,- -,- -,-2000,-26520000,-16772000,-108000,-90000,-167851000,-150974000,-14928000,-18385000,-271000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-50000000,-80000000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,70000000,- -,276150000,- -,- -,- -
88,Other Investing Activites,- -,- -,396000,-1337000,-180000,14263000,65813000,-125228000,-134116000,-397190000,-9000,195000,- -
89,Cash Used for Investing Activites,- -,- -,394000,-19003000,-54042000,-65845000,65723000,-58625000,-134116000,-135968000,-18385000,-76000,- -
90,Debt Repayment,917000,-767000,- -,-172738000,-82500000,- -,- -,- -,- -,-390400000,-428424000,-97038000,- -
91,Common Stock Issued,- -,- -,519884000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-2832000,-7741000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-62298000,-113339000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,8641000,165000000,82500000,- -,- -,- -,- -,407102000,401629000,78576000,414000
95,Cash Used/Provided by Financing Activities,-61381000,-114106000,528525000,-10570000,-7741000,- -,- -,- -,- -,16702000,-26795000,-18462000,414000
96,Effect of Forex Changes on Cash,- -,- -,- -,-9567000,-199000,16000,-61000,-35000,261000,- -,-615000,405000,177000
97,Net Change In Cash,56583000,-14337000,720495000,169133000,64173000,-289636000,178630000,-781726000,-168203000,-75074000,-18529000,-3056000,-35000
98,Cash at the End of Period,156639000,142302000,862797000,1031930000,1096103000,806467000,985097000,203371000,35168000,21717000,3188000,132000,97000
99,Cash at the Beginning of Period,100056000,156639000,142302000,862797000,1031930000,1096103000,806467000,985097000,203371000,96791000,21717000,3188000,132000
100,Free Cash Flow,117964000,99769000,191574000,181753000,109383000,-223915000,112878000,-890917000,-185322000,29264000,8881000,14806000,-626000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1499494/000119312512147131/d328959d20f.htm,https://www.sec.gov/Archives/edgar/data/1499494/000129281413000672/xnyform20f_2012.htm,https://www.sec.gov/Archives/edgar/data/1499494/000147793214001634/xny_20f.htm,https://www.sec.gov/Archives/edgar/data/1499494/000147793215002774/xny_20f.htm,https://www.sec.gov/Archives/edgar/data/1499494/000147793216009975/xny_20f.htm,https://www.sec.gov/Archives/edgar/data/1499494/000147793217001932/xny_20f.htm,https://www.sec.gov/Archives/edgar/data/1499494/000147793218002101/dxf_20f.htm,https://www.sec.gov/Archives/edgar/data/1499494/000147793219002772/dxf_20f.htm,- -,- -
102,Forex Rate,0.1466,0.1465,0.1517,0.1589,0.1605,0.1652,0.1611,0.154,0.1439,0.1537,0.1453,0.1436,0.1532
