,https://roic.ai/company/TNRG,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
63,Common Stock,- -,3000,16000,20000,16690,17140,44910,104150,11550,76
64,Retained Earnings,- -,-5915,- -,-1240000,-1902270,-2362940,-2991580,-3781940,-5171110,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,-239659,578156,797615,877910,2236440,3061857,4989397,-1450962
67,Total Stockholders Equity,- -,-2915,-173659,-591844,-1037965,-1417890,-660230,-565933,-120163,-1400871
68,Total Liabilities And Stockholders Equity,- -,392,5522,8156,24075,1360,26550,7917,3107,-1400316
69,Minority Interest,- -,- -,- -,1844,5,- -,- -,3,3,1401576
70,Total Liabilities & Equity,- -,392,5522,10000,24080,1360,26550,7920,3110,1260
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1524872/000147793214003113/0001477932-14-003113-index.htm,https://www.sec.gov/Archives/edgar/data/1524872/000147793215001914/0001477932-15-001914-index.htm,https://www.sec.gov/Archives/edgar/data/1524872/000147793216009787/0001477932-16-009787-index.htm,https://www.sec.gov/Archives/edgar/data/1524872/000147793217001739/0001477932-17-001739-index.htm,https://www.sec.gov/Archives/edgar/data/1524872/000147793218001567/0001477932-18-001567-index.html,https://www.sec.gov/Archives/edgar/data/1524872/000147793219000979/0001477932-19-000979-index.html,https://www.sec.gov/Archives/edgar/data/1524872/000168316820001642/0001683168-20-001642-index.htm,https://www.sec.gov/Archives/edgar/data/1524872/000168316821003209/0001683168-21-003209-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,- -,-2248,-674659,-570000,-660490,-460660,-628640,-790360,-1389180,-550602
74,Depreciation and Amortization,- -,- -,- -,200,200,200,200,200,- -,17549
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,500000,120000,214365,80736,1357141,- -,- -,- -
77,Change in Working Capital,- -,390,-170757,-425341,-449220,-369070,757860,94500,445770,118591
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-24469,24469,- -,42608
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-111106
80,Accounts Payable,- -,- -,8990,3876,-10428,-2437,- -,- -,- -,-80936
81,Other Working Capital,- -,390,-174659,-600000,-1049220,-1418290,-660430,-565930,-120160,-1569
82,Other Non-Cash Items,- -,- -,288937,687501,697905,643598,-1619139,513770,788641,643894
83,Cash Provided by Operating Activities,- -,-1858,-56479,-187640,-197240,-105196,-132578,-181890,-154769,229432
84,CAPEX,- -,- -,- -,- -,-10655,-3665,- -,- -,- -,-240225
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-10655,-3665,- -,- -,- -,-77550
89,Cash Used for Investing Activites,- -,- -,- -,- -,-10655,-3665,- -,- -,- -,-240225
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-60200,-85500,-12000,-611720
91,Common Stock Issued,- -,- -,- -,28944,- -,- -,80000,20547,59160,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,60000,159000,216500,97000,113700,252880,102800,683956
95,Cash Used/Provided by Financing Activities,- -,- -,60000,187944,216500,97000,133500,187927,149960,72236
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-1858,3521,304,8605,-11861,922,6037,-4809,61443
98,Cash at the End of Period,- -,392,3913,4217,12822,961,1883,7920,3111,97503
99,Cash at the Beginning of Period,- -,2250,392,3913,4217,12822,961,1883,7920,36060
100,Free Cash Flow,- -,-1858,-56479,-187640,-207895,-108861,-132578,-181890,-154769,-10793
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1524872/000147793214003113/0001477932-14-003113-index.htm,https://www.sec.gov/Archives/edgar/data/1524872/000147793215001914/0001477932-15-001914-index.htm,https://www.sec.gov/Archives/edgar/data/1524872/000147793216009787/0001477932-16-009787-index.htm,https://www.sec.gov/Archives/edgar/data/1524872/000147793217001739/0001477932-17-001739-index.htm,https://www.sec.gov/Archives/edgar/data/1524872/000147793218001567/0001477932-18-001567-index.html,https://www.sec.gov/Archives/edgar/data/1524872/000147793219000979/0001477932-19-000979-index.html,https://www.sec.gov/Archives/edgar/data/1524872/000168316820001642/0001683168-20-001642-index.htm,https://www.sec.gov/Archives/edgar/data/1524872/000168316821003209/0001683168-21-003209-index.htm
102,false,,,,,,,,,,
