,https://roic.ai/company/ENSV,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,0.3641,0.7202,-0.2726,0.0776,0.2005,0.5356,0.6778,0.3488,0.1693,-Infinity,-0.1487,-0.1257,0.0263,0.1614,0.1128,-0.0433,-0.5075,-0.1829,-0.1062,-0.1229,-0.1524
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,23000,339424,-114904,42100,164970,719168,1037000,615990,109779,-287324,-926188,-1134127,426779,3126937,2371872,-418253,-3937404,-561000,32000,32000,12000
23,Net Income,- -,-322325,-352315,110538,330250,495569,2498504,-122085,57777,200675,1487056,2969967,925269,802803,-2092888,-1845665,-1967256,-85070,4301237,4005741,-1261022,-8551212,-6893000,-5865000,-7652000,-2509000
24,Net Income ratio,- -,-0.7186,-0.9176,0.1214,0.2508,0.3479,0.6340,-0.1404,0.0436,0.1100,0.3610,0.5024,0.2094,0.1489,-Infinity,-0.0990,-0.0797,-0.0027,0.0926,0.0708,-0.0325,-0.3475,-0.1691,-0.1250,-0.1778,-0.1600
25,EPS,- -,-1.20,-1.20,0.30,0.90,1.35,6.90,-0.30,0.15,0.45,3.45,6.60,1.95,1.65,-4.35,-1.50,-1.35,-0.05,1.95,1.65,-0.45,-3.30,-1.95,-1.65,-2.10,-0.60
26,EPS Diluted,- -,-1.20,-1.20,0.30,0.90,1.35,6.75,-0.30,0.15,0.45,3.30,6.00,1.95,1.65,-4.35,-1.50,-1.35,-0.05,1.80,1.50,-0.45,-3.30,-1.95,-1.65,-2.10,-0.60
27,Weighted Average Shares Outstanding,- -,284967,299336,312491,345286,347152,363631,389320,390923,391740,432535,455091,480935,483977,483977,1176130,1451931,1559284,2163675,2435339,2522388,2598572,3404683,3524350,3671418,4174000
28,Weighted Average Shares Outstanding Diluted,- -,284967,299336,312491,372533,362901,370069,389320,405570,445797,452435,497102,492053,491540,483977,1176130,1451931,1621132,2474213,2599946,2522388,2598572,3404683,3524350,3671418,4174000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/319458/000105050205000499/0001050502-05-000499-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/319458/000100009608000301/0001000096-08-000301-index.htm,https://www.sec.gov/Archives/edgar/data/319458/000100009609000228/0001000096-09-000228-index.htm,- -,https://www.sec.gov/Archives/edgar/data/319458/000114420412018598/0001144204-12-018598-index.htm,https://www.sec.gov/Archives/edgar/data/319458/000114420413018070/0001144204-13-018070-index.htm,https://www.sec.gov/Archives/edgar/data/319458/000114420414016790/0001144204-14-016790-index.htm,https://www.sec.gov/Archives/edgar/data/319458/000143774915005476/0001437749-15-005476-index.htm,https://www.sec.gov/Archives/edgar/data/319458/000143774916028671/0001437749-16-028671-index.htm,https://www.sec.gov/Archives/edgar/data/319458/000143774917005773/0001437749-17-005773-index.htm,https://www.sec.gov/Archives/edgar/data/319458/000143774918005217/0001437749-18-005217-index.htm,https://www.sec.gov/Archives/edgar/data/319458/000143774919005913/0001437749-19-005913-index.htm,https://www.sec.gov/Archives/edgar/data/319458/000143774920005775/0001437749-20-005775-index.htm,https://www.sec.gov/Archives/edgar/data/319458/000143774921006893/0001437749-21-006893-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,102223,238465,425306,335603,507382,2695583,916001,776566,1329376,3430146,6466010,4057279,1595150,10478774,1637807,417005,533627,1868190,954058,804737,620764,391000,257000,663000,1467000
32,Short-Term Investments,- -,- -,- -,- -,- -,18823,- -,- -,- -,- -,- -,1002527,1120485,930818,228319,- -,150793,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,102223,238465,425306,335603,526205,2695583,916001,776566,1329376,3430146,7468537,5177764,2525968,10707093,1637807,567798,533627,1868190,954058,804737,620764,391000,257000,663000,1467000
34,Net Receivables,- -,61245,46870,115144,108913,340177,574159,378577,275561,569300,627720,2121031,2136609,2287519,602270,4736272,4505254,7791342,11685866,16455893,7259866,5038123,11818000,10814000,6467000,1733000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300527,549432,273103,315004,390081,308297,407379,576000,514000,398000,295000
36,Other Current Assets,- -,226789,22555,27585,28593,9259,33721,38643,41004,35560,34245,356823,33609,39474,289429,701348,780461,955486,1260319,1675722,1450460,970802,868000,1945000,1203000,1385000
37,Total Current Assets,- -,390257,307890,568035,473109,875641,3303463,1333221,1093131,1934236,4092111,9946391,7347982,4852961,11598792,7375954,6402945,9553558,15129379,19475754,9823360,7037068,13653000,13530000,8731000,4880000
38,PP&E,- -,526819,451225,726197,1071427,72965,2452128,3231844,4097494,5011569,5164068,8223629,11854670,13310693,66627,14452298,15171870,15020890,17425828,37789004,36494661,34617961,29417000,33057000,30982000,23364000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,301087,301087,301087,301087,301087,301087,- -,- -,- -,546000,546000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,420000,180000,30000,- -,- -,- -,- -,- -,- -,828000,617000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,721087,481087,301087,301087,301087,301087,- -,- -,1580000,1374000,1163000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18616,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,771000,1673000,1573500,29000,- -,- -,- -,- -,- -,- -,- -,57000,- -,- -,- -
44,Other Non-Current Assets,- -,279773,351825,290540,239095,1661218,239095,239095,- -,- -,- -,250000,263650,263650,- -,71537,64770,981491,547338,716836,573030,714967,1123000,854000,1889000,776000
45,Total Non-Current Assets,- -,806592,803050,1016737,1310522,1734183,2691223,3470939,4097494,5011569,5164068,9244629,13791320,15147843,95627,15244922,15717727,16303468,18292869,38806927,37368778,35332928,30597000,35491000,34245000,25303000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1196849,1110940,1584772,1783631,2609824,5994686,4804160,5190625,6945805,9256179,19191020,21139302,20000804,11694419,22620876,22120672,25857026,33422248,58282681,47192138,42369996,44250000,49021000,42976000,30183000
48,Accounts Payable,- -,85929,190611,- -,- -,363955,1036715,257847,599580,1003588,758423,3823298,2961100,2260611,1398863,- -,- -,3585785,3102912,5462268,3039859,3682599,5465000,3391000,4470000,1931000
49,Short-Term Debt,- -,- -,- -,52205,126570,236746,- -,- -,- -,410719,- -,- -,275000,475000,- -,4157122,6130885,4387395,2562141,340520,314263,318499,182000,4017000,35196000,2612000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,924985,- -,- -,- -,1278599,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,259300,230624,566564,313165,192713,444232,230775,150821,621015,724303,2249947,2072109,799275,924985,2066353,2954687,24048,1290565,9895,- -,- -,- -,44000,72000,31000
53,Total Current Liabilities,- -,345229,421235,618769,439735,793414,1480947,488622,750401,2035322,1482726,6073245,5308209,3534886,2323848,6223475,9085572,7997228,6955618,5812683,3354122,4001098,5647000,7452000,39738000,4574000
54,Long-Term Debt,- -,- -,185000,280360,81003,- -,- -,- -,- -,- -,- -,- -,591667,116667,- -,8657675,8020435,10570928,11200048,29436005,21296746,23484887,29547000,36026000,2579000,20717000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,179200,89250,131350,296320,1015488,2685000,3786000,3971500,- -,1434282,387487,451662,2421466,4992681,4654454,468565,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,17841,79582,82384,331823,447253,675955,- -,1700000,1499804,20860,- -,- -,- -,- -,831000,941000,3335000,2337000
58,Total Non-Current Liabilities,- -,- -,185000,280360,81003,- -,179200,89250,149191,375902,1097872,3016823,4824920,4764122,- -,11791957,9907726,11043450,13621514,34428686,25951200,23953452,30378000,36967000,5914000,23054000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4323000,3159000
61,Total Liabilities,- -,345229,606235,899129,520738,793414,1660147,577872,899592,2411224,2580598,9090068,10133129,8299008,2323848,18015432,18993298,19040678,20577132,40241369,29305322,27954550,36025000,44419000,45652000,27628000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,22124,22799,24581,25956,26729,29060,29320,29320,29796,33666,35473,36298,36298,36298,108894,108894,159127,174113,185282,190634,255337,255000,271000,278000,32000
64,Retained Earnings,- -,-4775138,-5127453,-5016915,-4686665,-4191096,-1692592,-1814677,-1756900,-1556225,-69169,2900798,3468086,4270889,2178001,-1150011,-3117267,-3202337,1098900,5104641,3843619,-4707593,-11601000,-17466000,-25020000,-27529000
65,Other Comprehensive Income/Loss,- -,-968315,-1007792,-1127446,-1416542,-128689,-1949546,-2308459,-7184,-3592,-17237,-119233,-8132687,-281849,-520186,156738,23073,-4805,4070,- -,-26011268,-32226787,-37979000,-35991000,-38033000,- -
66,Other Total Stockholders Equity,- -,6572949,6617151,6805423,7340144,6109466,7947617,8320104,6025797,6064602,6728321,7283914,15634476,7676458,7676458,- -,6112674,9864363,11568033,12751389,39863831,51094489,57550000,57788000,60099000,30052000
67,Total Stockholders Equity,- -,851620,504705,685643,1262893,1816410,4334539,4226288,4291033,4534581,6675581,10100952,11006173,11701796,9370571,4605444,3127374,6816348,12845116,18041312,17886816,14415446,8225000,4602000,-2676000,2555000
68,Total Liabilities And Stockholders Equity,- -,1196849,1110940,1584772,1783631,2609824,5994686,4804160,5190625,6945805,9256179,19191020,21139302,20000804,11694419,22620876,22120672,25857026,33422248,58282681,47192138,42369996,44250000,49021000,42976000,30183000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1196849,1110940,1584772,1783631,2609824,5994686,4804160,5190625,6945805,9256179,19191020,21139302,20000804,11694419,22620876,22120672,25857026,33422248,58282681,47192138,42369996,44250000,49021000,42976000,30183000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/319458/000105050205000499/0001050502-05-000499-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/319458/000100009608000301/0001000096-08-000301-index.htm,https://www.sec.gov/Archives/edgar/data/319458/000100009609000228/0001000096-09-000228-index.htm,- -,https://www.sec.gov/Archives/edgar/data/319458/000114420412018598/0001144204-12-018598-index.htm,https://www.sec.gov/Archives/edgar/data/319458/000114420413018070/0001144204-13-018070-index.htm,https://www.sec.gov/Archives/edgar/data/319458/000114420414016790/0001144204-14-016790-index.htm,https://www.sec.gov/Archives/edgar/data/319458/000143774915005476/0001437749-15-005476-index.htm,https://www.sec.gov/Archives/edgar/data/319458/000143774916028671/0001437749-16-028671-index.htm,https://www.sec.gov/Archives/edgar/data/319458/000143774917005773/0001437749-17-005773-index.htm,https://www.sec.gov/Archives/edgar/data/319458/000143774918005217/0001437749-18-005217-index.htm,https://www.sec.gov/Archives/edgar/data/319458/000143774919005913/0001437749-19-005913-index.htm,https://www.sec.gov/Archives/edgar/data/319458/000143774920005775/0001437749-20-005775-index.htm,https://www.sec.gov/Archives/edgar/data/319458/000143774921006893/0001437749-21-006893-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-322325,-352315,110538,330250,495569,2498504,-122085,57777,200675,1487056,2969967,925269,802803,-2092888,-1845665,-1967256,-85070,4301237,4005741,-1261022,-8551212,-6893000,-5865000,-7652000,-2509000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,265094,432313,372746,438781,584994,1434990,1600980,2137783,- -,- -,3992367,4699640,3089088,2088767,3402330,5792366,6864670,6488000,5989000,5692000,5282000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,179200,-89250,42100,164970,719168,898512,615990,252888,-2394953,-861004,-1132597,73116,1781057,2785196,-440583,-3937404,-331000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,342277,576498,279362,472356,562903,617530,661924,704000,393000,275000,392000
77,Change in Working Capital,- -,133962,-158373,62611,84108,48853,1740289,-977917,-501869,-443816,2710471,1263761,-1833373,-721698,7956869,-1627605,-3835106,4238957,6617431,5489310,-7193833,-3433268,4970030,-1928000,-37085000,31313000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2060537,-319232,-3344045,-4144333,-3090584,7507005,2066168,-7069000,1691000,3257000,4551000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9400,-248905,276329,-41901,-75077,81784,-99082,-168000,38000,116000,103000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-503733,2359356,-2432304,- -,- -,- -,- -,- -
81,Other Working Capital,- -,45028,-113345,-50734,33374,82227,1822516,844599,342730,-101086,2609385,3873146,2039773,1318075,9274944,-116037,-2682627,1556330,8173761,13663071,6469238,3035970,8006000,6078000,-31007000,306000
82,Other Non-Cash Items,- -,633442,551690,175404,-13999,22308,-1054832,175552,864303,1029723,-3490191,209368,696975,1420686,-3321554,-223087,4621970,-7362566,-9935948,-10020142,14629304,6398462,-8927030,2747000,43237000,-38921000
83,Cash Provided by Operating Activities,- -,445079,41002,348553,400359,831824,3795474,-640954,901092,1536546,2861494,6942588,2542644,1754679,147474,-222717,2963149,232887,5324900,6225338,12143762,-1996828,-3989000,1336000,4467000,-4443000
84,CAPEX,- -,-513978,-230912,-556397,-602457,-793812,-1392038,-1203729,-1378356,-1448114,-1511040,-4318224,-5557561,-3662878,-234479,-2192610,-5273646,-3814431,-5837126,-23955603,-4533352,-5165015,-1766000,-1781000,-1191000,-361000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2898225,- -,- -,- -,- -,- -,- -,- -,-6164000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000,- -,-1425,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19930,322165,336505,- -,180208,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,54231,141152,278229,501951,114224,21511,65101,98734,14378,570316,- -,12000,1140,9017721,276074,257557,1154180,2053568,370000,27169,419289,462000,671000,733000,1388000
89,Cash Used for Investing Activites,- -,-459747,-89760,-278168,-100506,-679588,-1370527,-1138628,-1279622,-1433736,-940724,-4318224,-5545561,-3941808,9105407,1316769,-5016089,-2480043,-3783558,-23585603,-4506183,-4745726,-1304000,-7274000,-458000,1027000
90,Debt Repayment,- -,- -,- -,-34544,-392127,- -,- -,- -,- -,- -,- -,- -,- -,- -,-369257,-10957853,-2118589,-11487729,-5122657,-12619701,-237720,-14174672,-189000,-893000,-4141000,-293000
91,Common Stock Issued,- -,- -,- -,- -,- -,20800,- -,- -,- -,- -,330000,411500,85500,- -,- -,- -,- -,1994800,- -,- -,- -,5175000,- -,- -,- -,3597000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,185000,151000,2571,-1257,-236746,- -,239095,450000,-150000,- -,508686,-275000,- -,11353122,2950727,11856707,4915878,29065834,-7549180,15558253,5252000,6697000,538000,916000
95,Cash Used/Provided by Financing Activities,- -,- -,185000,116456,-389556,19543,-236746,- -,239095,450000,180000,411500,594186,-275000,-369257,395269,832138,2363778,-206779,16446133,-7786900,6558581,5063000,5804000,-3603000,4220000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-14668,136242,186841,-89703,171779,2188201,-1779582,-139435,552810,2100770,3035864,-2408731,-2462129,8883624,1489321,-1220802,116622,1334563,-914132,-149321,-183973,-230000,-134000,406000,804000
98,Cash at the End of Period,- -,102223,238465,425306,335603,507382,2695583,916001,776566,1329376,3430146,6466010,4057279,1595150,10478774,1637807,417005,533627,1868190,954058,804737,620764,391000,257000,663000,1467000
99,Cash at the Beginning of Period,- -,116891,102223,238465,425306,335603,507382,2695583,916001,776566,1329376,3430146,6466010,4057279,1595150,148486,1637807,417005,533627,1868190,954058,804737,621000,391000,257000,663000
100,Free Cash Flow,- -,-68899,-189910,-207844,-202098,38012,2403436,-1844683,-477264,88432,1350454,2624364,-3014917,-1908199,-87005,-2415327,-2310497,-3581544,-512226,-17730265,7610410,-7161843,-5755000,-445000,3276000,-4804000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/319458/000105050205000499/0001050502-05-000499-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/319458/000100009608000301/0001000096-08-000301-index.htm,https://www.sec.gov/Archives/edgar/data/319458/000100009609000228/0001000096-09-000228-index.htm,- -,https://www.sec.gov/Archives/edgar/data/319458/000114420412018598/0001144204-12-018598-index.htm,https://www.sec.gov/Archives/edgar/data/319458/000114420413018070/0001144204-13-018070-index.htm,https://www.sec.gov/Archives/edgar/data/319458/000114420414016790/0001144204-14-016790-index.htm,https://www.sec.gov/Archives/edgar/data/319458/000143774915005476/0001437749-15-005476-index.htm,https://www.sec.gov/Archives/edgar/data/319458/000143774916028671/0001437749-16-028671-index.htm,https://www.sec.gov/Archives/edgar/data/319458/000143774917005773/0001437749-17-005773-index.htm,https://www.sec.gov/Archives/edgar/data/319458/000143774918005217/0001437749-18-005217-index.htm,https://www.sec.gov/Archives/edgar/data/319458/000143774919005913/0001437749-19-005913-index.htm,https://www.sec.gov/Archives/edgar/data/319458/000143774920005775/0001437749-20-005775-index.htm,https://www.sec.gov/Archives/edgar/data/319458/000143774921006893/0001437749-21-006893-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
