,https://roic.ai/company/PMTS,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,9702000,12941000,13606000,36955000,23205000,20291000,18682000,57603000,20683000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,9702000,12941000,13606000,36955000,23205000,20291000,18682000,57603000,20683000
34,Net Receivables,- -,34496000,43548000,57513000,31492000,45972000,49358000,46996000,65103000,60953000
35,Inventory,- -,17551000,21605000,25640000,19369000,16237000,9827000,20192000,24796000,58009000
36,Other Current Assets,- -,4209000,10625000,4260000,4601000,3960000,4997000,6345000,5032000,6056000
37,Total Current Assets,- -,65958000,88719000,101019000,92417000,89374000,84473000,92215000,152534000,145701000
38,PP&E,- -,36650000,44772000,52113000,53419000,49300000,39110000,42088000,39403000,47251000
39,Goodwill,- -,40818000,73801000,73123000,71996000,53611000,47150000,47150000,47150000,47150000
40,Intangible Assets,- -,26266000,58703000,53988000,46348000,41472000,35437000,30802000,26207000,21854000
41,Intangible Assets,- -,67084000,132504000,127111000,118344000,95083000,82587000,77952000,73357000,69004000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,1009000,- -,- -,- -,- -,- -,- -,- -,5253000
44,Other Non-Current Assets,- -,1166000,629000,110000,240000,248000,1034000,1232000,857000,931000
45,Total Non-Current Assets,- -,105909000,177905000,179334000,172003000,144631000,122731000,121272000,113617000,122439000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,171867000,266624000,280353000,264420000,234005000,207204000,213487000,266151000,268140000
48,Accounts Payable,- -,16077000,16276000,17832000,10996000,16545000,16511000,16482000,18883000,26443000
49,Short-Term Debt,- -,- -,- -,9000000,- -,- -,- -,- -,8027000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,534000
51,Deferred Revenue,- -,4431000,3382000,3874000,6729000,4177000,912000,468000,1868000,1182000
52,Other Current Liabilities,- -,14454000,16930000,11315000,17551000,13820000,23853000,22820000,28149000,37150000
53,Total Current Liabilities,- -,34962000,36588000,42021000,35276000,34542000,41276000,39770000,56927000,64775000
54,Long-Term Debt,- -,115465000,173098000,300000000,301922000,303869000,305818000,307778000,328681000,303626000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,5253000
56,Deferred Tax Liabilities,- -,- -,13810000,24073000,21261000,12286000,5749000,6896000,7409000,5253000
57,Other Non-Current Liabilities,- -,58336000,64822000,869000,1234000,2882000,3937000,11478000,11171000,10253000
58,Total Non-Current Liabilities,- -,173801000,251730000,324942000,324417000,319037000,315504000,326152000,347261000,324385000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,4494000,4407000,- -
61,Total Liabilities,- -,208763000,288318000,366963000,359693000,353579000,356780000,365922000,404188000,389160000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,2000,2000,56000,55000,11000,11000,11000,11000,11000
64,Retained Earnings,- -,-7504000,5798000,36661000,25968000,-1366000,-36004000,-40458000,-26190000,- -
65,Other Comprehensive Income/Loss,- -,-49107000,-25750000,-4000000,-6000000,-5000000,-1000000,-44801000,- -,- -
66,Other Total Stockholders Equity,- -,19713000,-1744000,-119327000,-115296000,-113219000,-112583000,-67187000,-111858000,- -
67,Total Stockholders Equity,- -,-36896000,-21694000,-86610000,-95273000,-119574000,-149576000,-152435000,-138037000,-121020000
68,Total Liabilities And Stockholders Equity,- -,171867000,266624000,280353000,264420000,234005000,207204000,213487000,266151000,268140000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,171867000,266624000,280353000,264420000,234005000,207204000,213487000,266151000,268140000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1641614/000155837016004343/0001558370-16-004343-index.html,https://www.sec.gov/Archives/edgar/data/1641614/000155837017001271/0001558370-17-001271-index.html,https://www.sec.gov/Archives/edgar/data/1641614/000155837018001943/0001558370-18-001943-index.html,https://www.sec.gov/Archives/edgar/data/1641614/000155837019001550/0001558370-19-001550-index.html,https://www.sec.gov/Archives/edgar/data/1641614/000155837020002144/0001558370-20-002144-index.html,https://www.sec.gov/Archives/edgar/data/1641614/000155837021001721/0001558370-21-001721-index.htm,https://www.sec.gov/Archives/edgar/data/1641614/000155837022003016/0001558370-22-003016-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,4930000,8587000,13302000,30863000,5399000,-22010000,-37462000,-4454000,16129000,15941000
74,Depreciation and Amortization,12666000,14295000,14789000,15995000,16927000,18014000,18405000,17002000,16827000,- -
75,Deferred Income Tax,1001000,1960000,-1433000,10914000,-1829000,-9095000,-6897000,1147000,1043000,- -
76,Stock Based Compensation,- -,610000,- -,9633000,3579000,1989000,961000,250000,136000,- -
77,Change in Working Capital,2746000,32084000,21135000,6867000,-1857000,-2309000,-11635000,9248000,43162000,-14681000
78,Accounts Receivable,-1426000,4368000,-7003000,-9556000,19847000,-5486000,-5523000,-688000,-11662000,- -
79,Inventory,-270000,5705000,-5763000,-4416000,5793000,3573000,-1998000,-10410000,-6105000,- -
80,Accounts Payable,8559000,-9006000,1466000,1663000,-6394000,5319000,2411000,1127000,1657000,- -
81,Other Working Capital,-1088000,30996000,52131000,58998000,57141000,54832000,43197000,52445000,95607000,80926000
82,Other Non-Cash Items,-18000,-33914000,-21166000,-30350000,37739000,15838000,40148000,-20352000,-55283000,-1260000
83,Cash Provided by Operating Activities,21325000,23622000,26627000,43922000,59958000,2427000,3520000,2841000,22014000,- -
84,CAPEX,-11047000,-9240000,-16956000,-18670000,-14294000,-8790000,-5634000,-4175000,-7093000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1156000,- -,-54859000,5000000,- -,- -,- -,601000,- -,- -
89,Cash Used for Investing Activites,-12203000,-9240000,-71815000,-13670000,-14294000,-8790000,-5634000,-2574000,-7093000,- -
90,Debt Repayment,-5565000,-21872000,-30345000,-293429000,-9000000,- -,-519000,-13426000,-2616000,- -
91,Common Stock Issued,181000,50000,- -,135304000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-16632000,-48000,- -,-58296000,-6008000,- -,- -,- -,- -,- -
93,Dividends Paid,-28367000,- -,- -,-230315000,-7519000,-7540000,- -,- -,- -,- -
94,Other Financing Activites,29639000,9760000,78879000,417335000,611000,-341000,- -,11500000,26593000,- -
95,Cash Used/Provided by Financing Activities,-20744000,-12110000,48534000,-29401000,-21916000,-7881000,-519000,-1926000,23977000,- -
96,Effect of Forex Changes on Cash,111000,37000,-107000,-186000,-399000,494000,-61000,50000,23000,- -
97,Net Change In Cash,-11511000,2309000,3239000,665000,23349000,-13750000,-2914000,-1609000,38921000,- -
98,Cash at the End of Period,7393000,9702000,12941000,13606000,36955000,23205000,20291000,18682000,57603000,- -
99,Cash at the Beginning of Period,18904000,7393000,9702000,12941000,13606000,36955000,23205000,20291000,18682000,57603000
100,Free Cash Flow,10278000,14382000,9671000,25252000,45664000,-6363000,-2114000,-1334000,14921000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1641614/000155837016004343/0001558370-16-004343-index.html,https://www.sec.gov/Archives/edgar/data/1641614/000155837017001271/0001558370-17-001271-index.html,https://www.sec.gov/Archives/edgar/data/1641614/000155837018001943/0001558370-18-001943-index.html,https://www.sec.gov/Archives/edgar/data/1641614/000155837019001550/0001558370-19-001550-index.html,https://www.sec.gov/Archives/edgar/data/1641614/000155837020002144/0001558370-20-002144-index.html,https://www.sec.gov/Archives/edgar/data/1641614/000155837021001721/0001558370-21-001721-index.htm,https://www.sec.gov/Archives/edgar/data/1641614/000155837022003016/0001558370-22-003016-index.htm
102,false,,,,,,,,,,
