,https://roic.ai/company/MBUU,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
34,Net Receivables,- -,7481000,7642000,6475000,9482000,15655000,10957000,24725000,28019000,13767000,49844000
35,Inventory,- -,9123000,11639000,12890000,20393000,20431000,23835000,44268000,67768000,72946000,116685000
36,Other Current Assets,- -,12000,223000,2772000,1999000,2707000,2470000,3298000,4472000,3954000,4775000
37,Total Current Assets,- -,31413000,35461000,34310000,40261000,64714000,70084000,133914000,127651000,124454000,212783000
38,PP&E,- -,4860000,6648000,10963000,14946000,17813000,24123000,40845000,65756000,94310000,132913000
39,Goodwill,- -,5718000,5718000,5718000,12665000,12470000,12692000,32230000,51404000,51273000,101033000
40,Intangible Assets,- -,22713000,17535000,12358000,13995000,11703000,9597000,94221000,146061000,139892000,235363000
41,Intangible Assets,- -,28431000,23253000,18076000,26660000,24173000,22289000,126451000,197465000,191165000,336396000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,21452000,106001000,113798000,107088000,64105000,60407000,52935000,48022000
44,Other Non-Current Assets,- -,21000,565000,- -,1260000,32000,79000,453000,35000,14482000,12670000
45,Total Non-Current Assets,- -,33312000,30466000,50491000,148867000,155816000,153579000,231854000,323663000,352892000,530001000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,64725000,65927000,84801000,189128000,220530000,223663000,365768000,451314000,477346000,742784000
48,Accounts Payable,- -,9853000,11655000,7161000,9151000,16158000,12722000,24349000,21174000,15846000,45992000
49,Short-Term Debt,- -,- -,- -,- -,6500000,8000000,- -,- -,- -,2006000,6277000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,243000,3209000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3449000
52,Other Current Liabilities,- -,13188000,13850000,35800000,17888000,23671000,26463000,41037000,54158000,52311000,78685000
53,Total Current Liabilities,- -,23041000,25505000,42961000,33539000,47829000,39185000,65386000,75332000,70163000,134403000
54,Long-Term Debt,- -,16083000,20263000,- -,72000000,63086000,53403000,108487000,113633000,82839000,139025000
55,Deferred Revenue,- -,156000,145000,134000,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,1084000,685000,552000,341000,145000,14000,27869000
57,Other Non-Current Liabilities,- -,- -,- -,13636000,93776000,90697000,78287000,51683000,51851000,62803000,60333000
58,Total Non-Current Liabilities,- -,16239000,20408000,13770000,166860000,154468000,132242000,160511000,165629000,145656000,227227000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,2006000,2027000
61,Total Liabilities,- -,39280000,45913000,56731000,200399000,202297000,171427000,225897000,240961000,215819000,361630000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,110000,178000,176000,179000,204000,207000,204000,207000
64,Retained Earnings,- -,-12071000,5913000,-4676000,-46239000,-28302000,151000,27789000,93852000,153711000,263552000
65,Other Comprehensive Income/Loss,- -,-4502000,-5592000,-7118000,-2000000,-2000000,-1000000,-2000000,-3000000,-3132000,-1639000
66,Other Total Stockholders Equity,- -,42018000,19693000,30953000,21205000,43680000,49834000,108376000,113176000,103797000,111308000
67,Total Stockholders Equity,- -,25445000,20014000,19269000,-26856000,13554000,49164000,134369000,204235000,254580000,373428000
68,Total Liabilities And Stockholders Equity,- -,64725000,65927000,76000000,173543000,215851000,220591000,360266000,445196000,470399000,735058000
69,Minority Interest,- -,- -,- -,8801000,15585000,4679000,3072000,5502000,6118000,6947000,7726000
70,Total Liabilities & Equity,- -,64725000,65927000,84801000,189128000,220530000,223663000,365768000,451314000,477346000,742784000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1590976/000159097614000043/0001590976-14-000043-index.html,https://www.sec.gov/Archives/edgar/data/1590976/000159097615000075/0001590976-15-000075-index.html,https://www.sec.gov/Archives/edgar/data/1590976/000159097616000247/0001590976-16-000247-index.html,https://www.sec.gov/Archives/edgar/data/1590976/000159097617000118/0001590976-17-000118-index.html,https://www.sec.gov/Archives/edgar/data/1590976/000159097618000071/0001590976-18-000071-index.html,https://www.sec.gov/Archives/edgar/data/1590976/000159097619000073/mbuu-6302019x10k.htm,https://www.sec.gov/Archives/edgar/data/1590976/000159097620000069/0001590976-20-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1590976/000159097621000065/0001590976-21-000065-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-543000,- -,5347000,-4676000,14661000,18042000,28358000,27613000,66066000,61562000,109841000
74,Depreciation and Amortization,5999000,6073000,6268000,6777000,4890000,5524000,6748000,12854000,15960000,18380000,22891000
75,Deferred Income Tax,- -,- -,- -,-2654000,7933000,5176000,9577000,45793000,6794000,7043000,6904000
76,Stock Based Compensation,118000,132000,127000,2577000,1467000,1947000,2084000,2807000,3398000,3871000,6415000
77,Change in Working Capital,859000,8372000,1584000,-18607000,15373000,10163000,14014000,37629000,-16209000,1972000,24089000
78,Accounts Receivable,-2000,-3675000,-161000,1167000,-2170000,-5211000,4870000,-12181000,-3041000,14193000,-32860000
79,Inventory,-3063000,944000,-2516000,-1251000,-2884000,-52000,-3300000,-6336000,-15410000,-5263000,-35555000
80,Accounts Payable,3123000,-1189000,1802000,-4133000,-366000,7003000,-5018000,4612000,-2791000,-5812000,24459000
81,Other Working Capital,- -,8372000,9956000,-8651000,6722000,16885000,30899000,68528000,52319000,54291000,78380000
82,Other Non-Cash Items,180000,918000,12573000,40348000,-31772000,-5250000,-24925000,-68241000,5491000,1313000,-38826000
83,Cash Provided by Operating Activities,6613000,15495000,25899000,23765000,12552000,35602000,35856000,58455000,81500000,94141000,131314000
84,CAPEX,-1306000,-2651000,-2878000,-5915000,-5466000,-6176000,-9262000,-10449000,-17938000,-41291000,-30677000
85,Acquisitions Net,- -,- -,- -,- -,-12000000,- -,- -,-126000000,-100000000,- -,-150427000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,4000,- -,- -,9000,237000,186000,16000,593000,-73000,897000,9000
89,Cash Used for Investing Activites,-1302000,-2651000,-2878000,-5906000,-17129000,-5990000,-9246000,-135856000,-118011000,-40394000,-181095000
90,Debt Repayment,-6154000,-6872000,-26155000,-88589000,-21500000,-6500000,-72000000,-50000000,-85000000,-135000000,-29425000
91,Common Stock Issued,- -,- -,- -,99512000,133362000,- -,- -,55317000,- -,- -,- -
92,Common Stock Repurchased,- -,-260000,- -,- -,-71406000,-3981000,- -,- -,- -,-13833000,- -
93,Dividends Paid,- -,- -,-23542000,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,27836000,-32566000,-39714000,-1541000,52281000,100885000,87375000,101510000,86771000
95,Cash Used/Provided by Financing Activities,-6154000,-7132000,-21861000,-21643000,742000,-12022000,-19719000,106202000,2375000,-47323000,57346000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,49000,-56000,10000,- -,-95000,-29000,127000
97,Net Change In Cash,-843000,5712000,1160000,-3784000,-3786000,17534000,6901000,28801000,-34231000,6395000,7692000
98,Cash at the End of Period,9085000,14797000,15957000,12173000,8387000,25921000,32822000,61623000,27392000,33787000,41479000
99,Cash at the Beginning of Period,9928000,9085000,14797000,15957000,12173000,8387000,25921000,32822000,61623000,27392000,33787000
100,Free Cash Flow,5307000,12844000,23021000,17850000,7086000,29426000,26594000,48006000,63562000,52850000,100637000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1590976/000159097614000043/0001590976-14-000043-index.html,https://www.sec.gov/Archives/edgar/data/1590976/000159097615000075/0001590976-15-000075-index.html,https://www.sec.gov/Archives/edgar/data/1590976/000159097616000247/0001590976-16-000247-index.html,https://www.sec.gov/Archives/edgar/data/1590976/000159097617000118/0001590976-17-000118-index.html,https://www.sec.gov/Archives/edgar/data/1590976/000159097618000071/0001590976-18-000071-index.html,https://www.sec.gov/Archives/edgar/data/1590976/000159097619000073/mbuu-6302019x10k.htm,https://www.sec.gov/Archives/edgar/data/1590976/000159097620000069/0001590976-20-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1590976/000159097621000065/0001590976-21-000065-index.htm
102,false,,,,,,,,,,,
