,https://roic.ai/company/NYXH,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -
82,Other Non-Cash Items,2427000,616000,753000,642000,495000
83,Cash Provided by Operating Activities,-8287000,-8139000,-5965000,-7015000,-25336000
84,CAPEX,-91000,-77000,-5785000,-10680000,-11817000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-13000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,2000,-5744000,-10118000,-10348000
89,Cash Used for Investing Activites,-91000,-75000,-5795000,-10693000,-11817000
90,Debt Repayment,-100000,-226000,-122000,-118000,-863000
91,Common Stock Issued,- -,15002000,- -,103583000,77728000
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,1213000,226000,855000,711000,-393000
95,Cash Used/Provided by Financing Activities,1113000,15002000,733000,104176000,76472000
96,Effect of Forex Changes on Cash,-76000,-88000,77000,-23000,3890000
97,Net Change In Cash,-7341000,6700000,-10950000,86445000,43209000
98,Cash at the End of Period,10105000,16805000,5855000,92300000,135509000
99,Cash at the Beginning of Period,17446000,10105000,16805000,5855000,92300000
100,Free Cash Flow,-8378000,-8216000,-11750000,-17695000,-37153000
101,SEC Link,- -,- -,- -,- -,- -
102,Forex Rate,1.1996,1.1469,1.121,1.2213,1.1368
