,https://roic.ai/company/AAOI,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,8380216,8949838,8380216,9965000,14307000,15627000,17202000,19097000,19647000,19982000,21866630,26912000
28,Weighted Average Shares Outstanding Diluted,8380216,8949838,8380216,9965000,15187000,16533000,17713000,20139000,19647000,19982000,21866630,26912000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1158114/000101968714000736/0001019687-14-000736-index.htm,https://www.sec.gov/Archives/edgar/data/1158114/000101968715000833/0001019687-15-000833-index.htm,https://www.sec.gov/Archives/edgar/data/1158114/000101968716005442/0001019687-16-005442-index.htm,https://www.sec.gov/Archives/edgar/data/1158114/000155837017001556/0001558370-17-001556-index.htm,https://www.sec.gov/Archives/edgar/data/1158114/000155837018001271/0001558370-18-001271-index.htm,https://www.sec.gov/Archives/edgar/data/1158114/000155837019001078/0001558370-19-001078-index.htm,https://www.sec.gov/Archives/edgar/data/1158114/000143774920003909/0001437749-20-003909-index.htm,https://www.sec.gov/Archives/edgar/data/1158114/000143774921004108/0001437749-21-004108-index.htm,https://www.sec.gov/Archives/edgar/data/1158114/000143774922004349/0001437749-22-004349-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1768000,10723000,22006000,32175000,28074000,50224000,82936000,55646000,59977000,43425000,34656000
32,Short-Term Investments,- -,- -,- -,7970000,8189000,7886000,44000,36000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,1768000,10723000,29976000,40364000,35960000,50268000,82972000,55646000,59977000,43425000,34656000
34,Net Receivables,- -,12335000,14559000,22089000,32569000,38775000,49766000,59850000,30534000,34655000,43443000,56092000
35,Inventory,- -,12671000,12493000,19608000,33780000,66238000,51817000,75768000,93256000,85028000,110397000,92516000
36,Other Current Assets,- -,1001000,1471000,6263000,6526000,12955000,5701000,11107000,14839000,13144000,11904000,10815000
37,Total Current Assets,- -,27775000,39246000,77936000,113239000,153928000,157552000,229697000,194275000,192804000,209169000,194079000
38,PP&E,- -,24532000,24838000,31134000,64808000,109699000,144098000,197943000,234211000,256331000,260801000,250170000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,1339000,1469000,1810000,4763000,4754000,4771000,4811000,9791000,9679000,9853000,9692000
41,Intangible Assets,- -,1339000,1469000,1810000,4763000,4754000,4771000,4811000,9791000,9679000,9853000,9692000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,11421000,12801000,21714000,7287000,- -,- -
44,Other Non-Current Assets,- -,77000,195000,177000,860000,5094000,4476000,7732000,6849000,724000,982000,518000
45,Total Non-Current Assets,- -,25948000,26502000,33121000,70431000,119547000,164766000,223287000,272565000,274021000,271636000,260380000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,53723000,65748000,111057000,183670000,273475000,322318000,452984000,466840000,466825000,480805000,454459000
48,Accounts Payable,- -,7792000,6913000,15010000,30799000,28668000,36375000,43624000,29910000,32828000,29482000,34402000
49,Short-Term Debt,- -,19236000,15421000,19532000,10862000,33906000,8172000,559000,28217000,40663000,55155000,58968000
50,Tax Payable,- -,173000,167000,270000,382000,372000,1581000,8373000,1088000,1215000,251000,1897000
51,Deferred Revenue,- -,25000,189000,128000,528000,1258000,252000,441000,426000,312000,303000,195000
52,Other Current Liabilities,- -,2633000,3054000,4387000,6412000,10248000,15174000,26084000,18865000,17552000,18208000,15392000
53,Total Current Liabilities,- -,29686000,25577000,39057000,48601000,74080000,59973000,70708000,77418000,91355000,103148000,108957000
54,Long-Term Debt,- -,3361000,9163000,8923000,19057000,33997000,34961000,49000000,60328000,93593000,91758000,90932000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,1000000,- -,- -,- -,- -,8083000,8008000,- -
58,Total Non-Current Liabilities,- -,3361000,9163000,8923000,20057000,33997000,34961000,49000000,60328000,101676000,99766000,90932000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,9065000,9038000,8333000
61,Total Liabilities,- -,33047000,34740000,47980000,68658000,108077000,94934000,119708000,137746000,193031000,202914000,199889000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1069000,1074000,13000,15000,17000,18000,19000,20000,20000,25000,27000
64,Retained Earnings,- -,-80972000,-81917000,-83323000,-79040000,-68247000,-37013000,38138000,35992000,-30057000,-88509000,-142671000
65,Other Comprehensive Income/Loss,- -,1972000,2016000,2364000,1925000,292000,-885000,9743000,602000,430000,11690000,16071000
66,Other Total Stockholders Equity,- -,98607000,109835000,144023000,192112000,233336000,265264000,285376000,292480000,303401000,354685000,- -
67,Total Stockholders Equity,- -,20676000,31008000,63077000,115012000,165398000,227384000,333276000,329094000,273794000,277891000,254570000
68,Total Liabilities And Stockholders Equity,- -,53723000,65748000,111057000,183670000,273475000,322318000,452984000,466840000,466825000,480805000,454459000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,53723000,65748000,111057000,183670000,273475000,322318000,452984000,466840000,466825000,480805000,454459000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1158114/000101968714000736/0001019687-14-000736-index.htm,https://www.sec.gov/Archives/edgar/data/1158114/000101968715000833/0001019687-15-000833-index.htm,https://www.sec.gov/Archives/edgar/data/1158114/000101968716005442/0001019687-16-005442-index.htm,https://www.sec.gov/Archives/edgar/data/1158114/000155837017001556/0001558370-17-001556-index.htm,https://www.sec.gov/Archives/edgar/data/1158114/000155837018001271/0001558370-18-001271-index.htm,https://www.sec.gov/Archives/edgar/data/1158114/000155837019001078/0001558370-19-001078-index.htm,https://www.sec.gov/Archives/edgar/data/1158114/000143774920003909/0001437749-20-003909-index.htm,https://www.sec.gov/Archives/edgar/data/1158114/000143774921004108/0001437749-21-004108-index.htm,https://www.sec.gov/Archives/edgar/data/1158114/000143774922004349/0001437749-22-004349-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-3380000,-5328000,-945000,-1406000,4283000,10793000,31234000,73951000,-2146000,-66049000,-58452000,-54162000
74,Depreciation and Amortization,3340000,3112000,2942000,3407000,6169000,9424000,14188000,20381000,29698000,24014000,24733000,25371000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-11426000,-114000,-8964000,14570000,7348000,- -
76,Stock Based Compensation,780000,563000,161000,1069000,2061000,2120000,3833000,7795000,11120000,11804000,13046000,12121000
77,Change in Working Capital,-5078000,-1911000,15580000,25210000,25759000,15210000,17731000,61410000,-42132000,-15408000,4572000,5957000
78,Accounts Receivable,-2103000,-4498000,-1158000,-8457000,-9703000,-7531000,-11147000,-10080000,29316000,-4355000,-8421000,-7020000
79,Inventory,-3674000,-1578000,-538000,-7520000,-16105000,-37502000,10207000,-21876000,-28403000,1560000,-23674000,15786000
80,Accounts Payable,-251000,1534000,-961000,8079000,18758000,-1258000,9105000,7249000,-13714000,3150000,-3347000,7069000
81,Other Working Capital,- -,-1911000,13669000,38879000,64638000,79848000,97579000,158989000,116857000,101449000,106021000,- -
82,Other Non-Cash Items,1129000,-561000,-18096000,-34832000,-31030000,-52759000,1544000,-79139000,26453000,29315000,-35256000,-931000
83,Cash Provided by Operating Activities,-3209000,-4125000,-358000,-6552000,7242000,-15212000,57104000,84284000,14029000,-1754000,-44009000,-11644000
84,CAPEX,-3064000,-1957000,-3387000,-9723000,-44469000,-57558000,-49989000,-70338000,-77247000,-32117000,-19563000,-10660000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-7970000,-246000,-175000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,7752000,8000,36000,- -,- -,- -
88,Other Investing Activites,103000,219000,-112000,-166000,-4013000,-4365000,147000,-328000,-5370000,-639000,-273000,-343000
89,Cash Used for Investing Activites,-2914000,-1571000,-3290000,-17736000,-45388000,-61620000,-41543000,-70159000,-76514000,-32116000,-19347000,-10546000
90,Debt Repayment,-7460000,-16645000,-17442000,-29319000,-66795000,-131160000,-178321000,-82070000,-168702000,-143616000,-132612000,-147914000
91,Common Stock Issued,3000,1000,- -,31448000,45681000,38648000,27237000,21572000,- -,- -,39203000,15397000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,16432000,19480000,30196000,33239000,68364000,165626000,155726000,78742000,203505000,186212000,140850000,146605000
95,Cash Used/Provided by Financing Activities,8975000,2836000,12754000,35368000,47250000,73114000,4642000,18244000,34803000,42596000,47441000,14088000
96,Effect of Forex Changes on Cash,-621000,136000,-150000,203000,1065000,-383000,1947000,-385000,1738000,298000,-999000,-876000
97,Net Change In Cash,2232000,-2724000,8956000,11283000,10169000,-4101000,22150000,31984000,-25944000,9024000,-16914000,-8978000
98,Cash at the End of Period,4492000,1768000,10723000,22006000,32175000,28074000,50224000,83948000,58004000,67028000,50114000,41137000
99,Cash at the Beginning of Period,2260000,4492000,1767000,10723000,22006000,32175000,28074000,51964000,83948000,58004000,67028000,50115000
100,Free Cash Flow,-6273000,-6082000,-3745000,-16275000,-37227000,-72770000,7115000,13946000,-63218000,-33871000,-63572000,-22304000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1158114/000101968714000736/0001019687-14-000736-index.htm,https://www.sec.gov/Archives/edgar/data/1158114/000101968715000833/0001019687-15-000833-index.htm,https://www.sec.gov/Archives/edgar/data/1158114/000101968716005442/0001019687-16-005442-index.htm,https://www.sec.gov/Archives/edgar/data/1158114/000155837017001556/0001558370-17-001556-index.htm,https://www.sec.gov/Archives/edgar/data/1158114/000155837018001271/0001558370-18-001271-index.htm,https://www.sec.gov/Archives/edgar/data/1158114/000155837019001078/0001558370-19-001078-index.htm,https://www.sec.gov/Archives/edgar/data/1158114/000143774920003909/0001437749-20-003909-index.htm,https://www.sec.gov/Archives/edgar/data/1158114/000143774921004108/0001437749-21-004108-index.htm,https://www.sec.gov/Archives/edgar/data/1158114/000143774922004349/0001437749-22-004349-index.htm
102,false,,,,,,,,,,,,
