,https://roic.ai/company/SLNH,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,6900000,6800000,-2200000,100000,-1200000,2000000,2900000,- -,-2352000,956000,580000,2000000,-1400000,-3927000,-5695000,-7049000,-8709000,-13592000,-15098000,-17737000,-13349000,-12436000,-3087000,-3392000,52000,-2244000,361000,565000,-1470000,-361000,588000,- -,259000,1450000,-6388000
18,Operating Income ratio,0.1004,0.0771,-0.0301,0.0014,-0.0185,0.0286,0.0426,- -,-0.0791,0.0300,0.0181,0.0952,-0.1085,-0.7080,-0.7804,-1.0164,-1.1083,-1.5860,-1.9255,-2.1747,-1.2612,-1.6856,-0.3717,-0.4032,0.0051,-0.3803,0.0432,0.0643,-0.2322,-0.0512,0.0833,- -,0.0394,0.1511,-0.4453
19,Total Other Income Expenses (Gains),-500000,-1500000,-3500000,-2400000,-8200000,-1500000,-1300000,- -,5360000,-383000,1547000,-3900000,-9200000,-16839000,26431000,5480000,6978000,4471000,149000,4757000,5740000,1676000,-485000,- -,48000,161000,3253000,135000,-2000,-7000,- -,- -,36000,104000,44000
20,Income Before Tax,6400000,5300000,-5700000,-2300000,-9400000,500000,1600000,- -,3008000,573000,2127000,- -,- -,-20766000,20736000,-1569000,-1731000,-9121000,-14949000,-12980000,-7609000,-10760000,-3572000,-3392000,100000,-2083000,3614000,700000,-1472000,-368000,588000,- -,295000,1554000,-6344000
21,Income Before Tax Ratio,0.0932,0.0601,-0.0779,-0.0320,-0.1453,0.0071,0.0235,- -,0.1011,0.0180,0.0665,- -,- -,-3.7436,2.8413,-0.2262,-0.2203,-1.0643,-1.9065,-1.5915,-0.7189,-1.4584,-0.4301,-0.4032,0.0097,-0.3531,0.4327,0.0797,-0.2325,-0.0522,0.0833,- -,0.0449,0.1619,-0.4422
22,Income Tax expense (Gain),3300000,2100000,-2000000,-600000,-800000,400000,500000,- -,86000,64000,114000,- -,- -,-1927000,7524000,-636000,-669000,-3564000,1587000,1895000,2548000,2004000,-208000,4000,-1548000,6000,35000,-40000,1360000,-9000,6000,- -,-28000,-392000,-44000
23,Net Income,3100000,3200000,-3000000,-1400000,-8600000,100000,1100000,- -,2922000,3748000,4520000,-4300000,-10700000,-18596000,3841000,-6961000,-559000,-4191000,-15094000,-13667000,-9575000,-12504000,-3099000,-1758000,2386000,-2086000,3654000,740000,-2832000,-359000,582000,- -,323000,1946000,-5261000
24,Net Income ratio,0.0451,0.0363,-0.0410,-0.0195,-0.1329,0.0014,0.0162,- -,0.0982,0.1175,0.1413,-0.2048,-0.8295,-3.3524,0.5263,-1.0037,-0.0711,-0.4890,-1.9250,-1.6757,-0.9047,-1.6948,-0.3731,-0.2090,0.2318,-0.3536,0.4375,0.0843,-0.4474,-0.0509,0.0824,- -,0.0492,0.2027,-0.3667
25,EPS,0.86,0.88,-0.86,-0.38,-2.42,0.02,0.30,- -,2.19,2.56,2.13,-1.95,-2.51,-4.24,0.88,-1.60,-0.16,-1.12,-3.92,-3.44,-2.00,-2.62,-0.65,-0.37,0.48,-0.40,0.70,0.14,-0.54,-0.06,0.06,- -,0.03,0.20,-0.55
26,EPS Diluted,0.86,0.88,-0.86,-0.38,-2.42,0.02,0.30,- -,2.19,2.56,2.13,-1.95,-2.51,-4.24,0.88,-1.60,-0.16,-1.12,-3.92,-3.44,-2.00,-2.62,-0.65,-0.37,0.48,-0.40,0.69,0.14,-0.54,-0.06,0.06,- -,0.03,0.20,-0.55
27,Weighted Average Shares Outstanding,3604651,3636364,3488372,3684211,3553719,3333333,3666667,- -,2007488,2755856,3321934,4038620,4268617,4385849,4364773,4350625,3493750,3741964,3850510,3972965,4787500,4772359,4771658,4771658,5001934,5256227,5256883,5257360,5258883,5988545,9129178,- -,9548460,9581886,9581886
28,Weighted Average Shares Outstanding Diluted,3604651,3636364,3488372,3684211,3553719,3333333,3666667,- -,2007488,2755856,3321934,4038620,4268617,4385849,4614474,4469477,3493750,3741964,3850510,3972965,4835714,4772359,4771658,4771658,5001934,5256227,5308498,5464003,5258883,5988545,9332676,- -,9602548,9634503,9634503
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/64463/000100329721000043/0001003297-21-000043-index.htm,https://www.sec.gov/Archives/edgar/data/64463/000175392622000384/0001753926-22-000384-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7320000,12380000,22545000,11230000,14545000,7650000,1662000,785000,1118000,1669000,289000,1211000,1923000,462000,3381000,3828000,- -,2510000,2630000,10258000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37332000,44031000,17678000,18947000,10075000,4492000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44652000,56411000,40223000,30177000,24620000,12142000,1662000,785000,1118000,1669000,289000,1211000,1923000,462000,3381000,3828000,- -,2510000,2630000,10258000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1445000,962000,1775000,1001000,1613000,1369000,540000,1142000,1086000,1881000,1674000,824000,1216000,931000,881000,1406000,- -,745000,975000,531000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1378000,1300000,1136000,1058000,1216000,1373000,1509000,789000,844000,957000,1118000,742000,773000,1006000,676000,694000,- -,924000,828000,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,668000,514000,504000,451000,442000,329000,272000,166000,128000,122000,116000,136000,112000,72000,82000,90000,- -,56000,346000,14193000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48143000,59187000,43638000,32687000,27891000,15213000,3983000,2882000,3176000,4629000,3197000,2913000,4024000,2471000,5020000,6018000,- -,4235000,4779000,24982000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1558000,1999000,2884000,2495000,2926000,2159000,1528000,859000,425000,258000,129000,146000,140000,115000,160000,184000,- -,1121000,2050000,45002000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45839000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45839000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,750000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2677000,4652000,3811000,6085000,2994000,1344000,- -,- -,- -,1515000,1519000,1475000,1315000,- -,- -,- -,- -,395000,759000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000,- -,16497000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,309000,1871000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4241000,6651000,23192000,8580000,5920000,3503000,1528000,859000,425000,1773000,1648000,1621000,1455000,115000,160000,184000,- -,1516000,3868000,92712000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52384000,65838000,66830000,41267000,33811000,18716000,5511000,3741000,3601000,6402000,4845000,4534000,5479000,2586000,5180000,6202000,- -,5751000,8647000,117694000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,761000,692000,13000,375000,651000,273000,508000,323000,255000,191000,208000,149000,216000,152000,124000,325000,- -,210000,300000,2958000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,171000,316000,7305000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23000,20000,20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000,2000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,866000,117000,8000,16000,21000,58000,591000,- -,- -,- -,- -,- -,- -,- -,- -,316000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10701000,16069000,8813000,7847000,5554000,3476000,1715000,1310000,1366000,1238000,1048000,993000,1045000,907000,906000,913000,- -,761000,1021000,5104000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11462000,16761000,8826000,8222000,7071000,3866000,3731000,1649000,1642000,1487000,1847000,1142000,1261000,1059000,1030000,1238000,- -,1142000,1637000,15683000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,776000,891000,1237000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24000,24000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10277000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1149000,- -,3664000,904000,254000,70000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,203000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24000,24000,1149000,- -,3664000,904000,254000,70000,- -,- -,- -,- -,- -,- -,- -,- -,- -,776000,1094000,11514000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,947000,1207000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11486000,16785000,9975000,8222000,10735000,4770000,3985000,1719000,1642000,1487000,1847000,1142000,1261000,1059000,1030000,1238000,- -,1918000,2731000,26706000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35648000,35776000,38651000,390000,461000,462000,58000,58000,58000,63000,63000,63000,63000,63000,100000,104000,- -,106000,108000,15000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-61874000,-62433000,-66624000,-81718000,-95385000,-105066000,-117570000,-120725000,-122483000,-120097000,-122183000,-118529000,-117789000,-120621000,-120980000,-120398000,- -,-119739000,-117793000,-123684000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13130000,19944000,14542000,5903000,984000,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54979000,69015000,108341000,116811000,117907000,119027000,119532000,120979000,121635000,121807000,121858000,121944000,122085000,125030000,125258000,- -,123466000,123601000,214657000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40748000,48266000,55584000,32916000,22871000,13803000,1515000,-1135000,-1446000,1601000,-313000,3392000,4218000,1527000,4150000,4964000,- -,3833000,5916000,90988000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52234000,65051000,65559000,41138000,33606000,18573000,5500000,584000,196000,3088000,1534000,4534000,5479000,2586000,5180000,6202000,- -,5751000,8647000,117694000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150000,787000,1271000,129000,205000,143000,11000,3157000,3405000,3314000,3311000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52384000,65838000,66830000,41267000,33811000,18716000,5511000,3741000,3601000,6402000,4845000,4534000,5479000,2586000,5180000,6202000,- -,5751000,8647000,117694000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/64463/000100329721000043/0001003297-21-000043-index.htm,https://www.sec.gov/Archives/edgar/data/64463/000175392622000384/0001753926-22-000384-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-8600000,100000,1100000,- -,2922000,3748000,4520000,-4300000,-10700000,-18596000,3841000,-6961000,-559000,-4191000,-15094000,-13667000,-9575000,-12504000,-3099000,-1758000,2386000,-2086000,3654000,740000,-2832000,-359000,582000,- -,323000,1946000,-6388000
74,Depreciation and Amortization,- -,- -,- -,- -,-2700000,-2500000,-2400000,- -,837000,686000,587000,300000,600000,264000,1761000,592000,599000,911000,1253000,1101000,1129000,819000,660000,481000,307000,129000,91000,83000,80000,85000,81000,- -,87000,159000,3703000
75,Deferred Income Tax,- -,- -,- -,- -,-300000,- -,-400000,- -,- -,- -,- -,- -,- -,-11995000,2197000,-4974000,-671000,-3563000,1617000,1890000,2518000,1971000,- -,- -,-1535000,- -,35000,165000,1335000,- -,- -,- -,- -,-364000,41000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,844000,505000,1447000,661000,172000,51000,85000,141000,449000,41000,- -,31000,54000,1941000
77,Change in Working Capital,- -,- -,- -,- -,1300000,- -,- -,- -,- -,- -,- -,- -,- -,-309000,309000,36681000,5745000,-7614000,-10347000,-3645000,-9473000,-11095000,981000,301000,1608000,-1792000,421000,992000,-1351000,2578000,790000,- -,-1687000,49000,6157000
78,Accounts Receivable,- -,- -,- -,- -,-600000,-1100000,-5400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,829000,-694000,56000,-795000,205000,850000,-372000,209000,71000,-527000,- -,125000,-230000,-471000
79,Inventory,- -,- -,- -,- -,700000,2100000,700000,- -,- -,-627000,209000,-400000,- -,-343000,-481000,132000,78000,164000,78000,-158000,-157000,-136000,781000,15000,-113000,-264000,535000,-47000,-316000,-35000,13000,- -,-94000,99000,- -
80,Accounts Payable,- -,- -,- -,- -,200000,-300000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,235000,-186000,-68000,-64000,17000,-56000,67000,-64000,-28000,201000,- -,9000,90000,2765000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-309000,- -,36681000,42426000,34812000,24465000,20820000,11347000,252000,1233000,1534000,3142000,1350000,1771000,2763000,1412000,3990000,4780000,- -,3093000,3142000,9299000
82,Other Non-Cash Items,- -,- -,- -,- -,11700000,5600000,2300000,- -,-3759000,-2551000,-4109000,4500000,8300000,26794000,-15103000,-31587000,-12766000,2475000,9999000,1615000,3718000,9619000,-1217000,-1977000,-3360000,2071000,-3235000,-1379000,1201000,-2231000,-1131000,- -,1535000,-222000,98000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,1400000,3200000,600000,- -,- -,1883000,998000,500000,-1800000,-3842000,-6995000,-6249000,-7652000,-11982000,-12572000,-12706000,-11683000,-10346000,-2170000,-1506000,67000,-1506000,1017000,686000,-1426000,522000,363000,- -,289000,1622000,5552000
84,CAPEX,- -,- -,- -,- -,-1400000,-800000,-700000,- -,- -,-549000,-829000,-3200000,-2700000,-286000,-1318000,-527000,-1070000,-1834000,-1004000,-1574000,-414000,-181000,-7000,-47000,-175000,-17000,-108000,-77000,-55000,-136000,-107000,- -,-83000,-835000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7900000,-2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-750000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9881000,- -,- -,11654000,4479000,1969000,6249000,5130000,3039000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-200000,- -,- -,- -,- -,750000,- -,-400000,-5900000,-35327000,39097000,10873000,- -,- -,10000,2000,12000,- -,- -,- -,12000,143000,-12000,102000,20000,- -,- -,- -,- -,- -,-57268000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1600000,-800000,-700000,- -,- -,201000,1771000,-3600000,-16500000,-27732000,37779000,10346000,10584000,2645000,975000,4677000,4728000,2858000,-7000,-47000,-163000,126000,-120000,25000,-35000,-136000,-107000,- -,-83000,-1585000,-57268000
90,Debt Repayment,- -,- -,- -,- -,-2200000,-2300000,-1800000,- -,- -,-688000,-1310000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13000000,489000,938000,111000,2222000,20603000,327000,12088000,60000,- -,- -,- -,- -,- -,25000,- -,- -,- -,- -,- -,- -,- -,4586000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000,- -,- -,-15000,-94000,-25000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2526000,-25000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3541000,- -,-630000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,1400000,- -,- -,-1408000,-100000,7200000,5800000,26767000,-23467000,-1000000,- -,-1076000,-45000,-744000,- -,1500000,1300000,1886000,647000,- -,- -,1000,- -,7000,216000,- -,74000,83000,55425000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-2300000,-400000,- -,- -,-2096000,-1410000,7200000,18600000,27256000,-22529000,-904000,2128000,19502000,282000,11344000,60000,1500000,1300000,1886000,647000,- -,25000,1000,- -,2533000,191000,- -,-3467000,83000,59381000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,11000,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,-2300000,-400000,- -,-1742000,-12000,1359000,7200000,300000,-4318000,8255000,3193000,5060000,10165000,-11315000,3315000,-6895000,-5988000,-877000,333000,551000,-1380000,922000,712000,-1461000,2919000,447000,- -,-3261000,120000,7628000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,78000,66000,1425000,- -,5900000,1552000,9807000,7320000,12380000,22545000,11230000,14545000,7650000,1662000,785000,1118000,1669000,289000,1211000,1923000,462000,3381000,3828000,- -,2510000,2630000,10258000
99,Cash at the Beginning of Period,- -,- -,- -,- -,900000,700000,700000,- -,1820000,78000,66000,1400000,5600000,5870000,1552000,4127000,7320000,12380000,22545000,11230000,14545000,7650000,1662000,785000,1118000,1669000,289000,1211000,1923000,462000,3381000,- -,5771000,2510000,2630000
100,Free Cash Flow,- -,- -,- -,- -,- -,2400000,-100000,- -,- -,1334000,169000,-2700000,-4500000,-4128000,-8313000,-6776000,-8722000,-13816000,-13576000,-14280000,-12097000,-10527000,-2177000,-1553000,-108000,-1523000,909000,609000,-1481000,386000,256000,- -,206000,787000,5552000
