,https://roic.ai/company/AOSL,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,-0.1514,-0.1016,-0.0039,0.1302,0.1119,0.0482,-0.0047,-0.0011,-0.0118,0.0029,0.0337,0.0134,-0.0297,-0.0385,0.0917
22,Income Tax expense (Gain),1057000,1567000,-174000,1694000,2609000,3581000,4001000,2973000,4069000,4021000,3652000,708000,1256000,348000,3935000
23,Net Income,-31060000,-26756000,-542000,37591000,37827000,12917000,-5575000,-3308000,-7935000,-2928000,13829000,14263000,1861000,-6596000,58116000
24,Net Income ratio,-0.1567,-0.1079,-0.0029,0.1245,0.1047,0.0377,-0.0165,-0.0104,-0.0242,-0.0087,0.0361,0.0338,0.0041,-0.0142,0.0885
25,EPS,-1.67,-1.44,-0.03,3.55,1.61,0.52,-0.22,-0.13,-0.30,-0.13,0.59,0.60,0.08,-0.27,2.25
26,EPS Diluted,-1.67,-1.44,-0.03,1.78,1.51,0.50,-0.22,-0.13,-0.30,-0.13,0.56,0.57,0.08,-0.27,2.13
27,Weighted Average Shares Outstanding,18626000,18626000,18626000,10594000,23495000,24656000,25348000,25952000,26429000,22452000,23526000,23901000,24063000,24840000,25786000
28,Weighted Average Shares Outstanding Diluted,18626000,18626000,18626000,21170000,24989000,25606000,25348000,25952000,26429000,22452000,24826000,24844000,24698000,24840000,27272000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1387467/000138746712000031/0001387467-12-000031-index.html,https://www.sec.gov/Archives/edgar/data/1387467/000138746713000080/0001387467-13-000080-index.html,https://www.sec.gov/Archives/edgar/data/1387467/000138746714000104/0001387467-14-000104-index.html,https://www.sec.gov/Archives/edgar/data/1387467/000138746715000074/0001387467-15-000074-index.html,https://www.sec.gov/Archives/edgar/data/1387467/000138746716000204/aosl630201610k.htm,https://www.sec.gov/Archives/edgar/data/1387467/000138746717000057/0001387467-17-000057-index.html,https://www.sec.gov/Archives/edgar/data/1387467/000138746718000046/0001387467-18-000046-index.html,https://www.sec.gov/Archives/edgar/data/1387467/000138746719000040/0001387467-19-000040-index.html,https://www.sec.gov/Archives/edgar/data/1387467/000138746720000047/0001387467-20-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1387467/000138746721000063/0001387467-21-000063-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,44095000,60416000,119001000,86708000,82166000,92406000,117788000,106085000,87774000,115708000,131535000,121893000,158536000,202412000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,44095000,60416000,119001000,86708000,82166000,92406000,117788000,106085000,87774000,115708000,131535000,121893000,158536000,202412000
34,Net Receivables,- -,29487000,20912000,30639000,42503000,38850000,38298000,36535000,38781000,26594000,28410000,52026000,55444000,14980000,39603000
35,Inventory,- -,32546000,22803000,28315000,65251000,65778000,68339000,66560000,64175000,68848000,76254000,90182000,111643000,135528000,154293000
36,Other Current Assets,- -,1721000,1945000,3782000,6883000,6987000,6812000,6896000,6852000,4714000,5104000,11469000,6318000,9289000,11014000
37,Total Current Assets,- -,107849000,106076000,181737000,201345000,193781000,205855000,227779000,215893000,187930000,225476000,285212000,295298000,318333000,407322000
38,PP&E,- -,25735000,28254000,44163000,127839000,158543000,138111000,123254000,119579000,116084000,148191000,322567000,400977000,436786000,478300000
39,Goodwill,- -,- -,- -,- -,- -,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000
40,Intangible Assets,- -,6581000,5120000,3820000,1599000,1028000,496000,229000,17000,15000,13000,25411000,25373000,25003000,22460000
41,Intangible Assets,- -,6581000,5120000,3820000,1599000,1297000,765000,498000,286000,284000,282000,25680000,25642000,25272000,22729000
42,Investments,- -,19394000,19399000,25693000,- -,100000,100000,100000,100000,100000,700000,700000,700000,100000,100000
43,Tax Assets,- -,688000,1218000,2296000,9048000,10061000,10823000,10854000,10848000,12132000,4594000,4892000,4822000,4766000,5167000
44,Other Non-Current Assets,- -,299000,298000,458000,7607000,2375000,667000,1863000,1911000,1975000,19165000,27998000,11955000,7682000,4955000
45,Total Non-Current Assets,- -,52697000,54289000,76430000,146093000,172376000,150466000,136569000,132724000,130575000,172932000,381837000,444096000,474606000,511251000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,160546000,160365000,258167000,347438000,366157000,356321000,364348000,348617000,318505000,398408000,667049000,739394000,792939000,918573000
48,Accounts Payable,- -,42294000,41734000,57684000,64678000,35646000,31738000,38760000,44083000,42718000,63134000,92661000,94384000,86181000,80699000
49,Short-Term Debt,- -,1824000,5632000,4251000,306000,4532000,5088000,14882000,941000,819000,828000,8302000,37964000,49531000,80433000
50,Tax Payable,- -,3275000,2545000,- -,2377000,2349000,1472000,1933000,1372000,2356000,1748000,2211000,1541000,1360000,2604000
51,Deferred Revenue,- -,- -,- -,- -,- -,545000,745000,769000,865000,997000,814000,1665000,- -,2813000,7139000
52,Other Current Liabilities,- -,14375000,8476000,5705000,17995000,23196000,15920000,19205000,20448000,24946000,30134000,52052000,45616000,53533000,64959000
53,Total Current Liabilities,- -,58493000,55842000,67640000,82979000,63919000,53491000,73616000,66337000,69480000,94910000,154680000,177964000,192058000,233230000
54,Long-Term Debt,- -,8405000,8610000,- -,- -,16429000,13571000,- -,- -,- -,- -,26786000,59380000,99775000,121128000
55,Deferred Revenue,- -,- -,- -,670000,- -,- -,- -,- -,- -,- -,- -,- -,10000000,8000000,42000000
56,Deferred Tax Liabilities,- -,9000,95000,25000,25000,587000,2613000,3234000,3548000,2973000,2659000,713000,466000,496000,3667000
57,Other Non-Current Liabilities,- -,1415000,1019000,436000,4184000,5829000,5195000,4463000,2618000,4013000,2290000,58708000,48295000,60722000,2223000
58,Total Non-Current Liabilities,- -,9829000,9724000,1131000,4209000,22845000,21379000,7697000,6166000,6986000,4949000,86207000,118141000,168993000,169018000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,1644000,1405000,1007000,436000,2046000,1462000,2066000,1005000,819000,1694000,61282000,54736000,76513000,65541000
61,Total Liabilities,- -,68322000,65566000,68771000,87188000,86764000,74870000,81313000,72503000,76466000,99859000,240887000,296105000,361051000,402248000
62,Preferred Stock,- -,21000,21000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,16000,16000,103847000,49000,50000,51000,53000,55000,57000,59000,61000,62000,64000,66000
64,Retained Earnings,- -,30554000,30012000,67603000,106956000,119873000,114145000,110754000,102707000,100071000,113909000,122639000,125485000,118833000,176895000
65,Other Comprehensive Income/Loss,- -,11125000,14491000,1000000,934000,972000,957000,1033000,905000,769000,306000,440000,-2693000,-5127000,2315000
66,Other Total Stockholders Equity,- -,50508000,50259000,16946000,152311000,158498000,166298000,171195000,172447000,141245000,156496000,155454000,168170000,179919000,193929000
67,Total Stockholders Equity,- -,92224000,94799000,189396000,260250000,279393000,281451000,283035000,276114000,242142000,270770000,278594000,291024000,293689000,373205000
68,Total Liabilities And Stockholders Equity,- -,160546000,160365000,258167000,347438000,366157000,356321000,364348000,348617000,318608000,370629000,519481000,587129000,654740000,775453000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,-103000,27779000,147568000,152265000,138199000,143120000
70,Total Liabilities & Equity,- -,160546000,160365000,258167000,347438000,366157000,356321000,364348000,348617000,318505000,398408000,667049000,739394000,792939000,918573000
71,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1387467/000138746712000031/0001387467-12-000031-index.html,https://www.sec.gov/Archives/edgar/data/1387467/000138746713000080/0001387467-13-000080-index.html,https://www.sec.gov/Archives/edgar/data/1387467/000138746714000104/0001387467-14-000104-index.html,https://www.sec.gov/Archives/edgar/data/1387467/000138746715000074/0001387467-15-000074-index.html,https://www.sec.gov/Archives/edgar/data/1387467/000138746716000204/aosl630201610k.htm,https://www.sec.gov/Archives/edgar/data/1387467/000138746717000057/0001387467-17-000057-index.html,https://www.sec.gov/Archives/edgar/data/1387467/000138746718000046/0001387467-18-000046-index.html,https://www.sec.gov/Archives/edgar/data/1387467/000138746719000040/0001387467-19-000040-index.html,https://www.sec.gov/Archives/edgar/data/1387467/000138746720000047/0001387467-20-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1387467/000138746721000063/0001387467-21-000063-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-31060000,-26756000,-542000,37591000,37827000,12917000,-5575000,-3308000,-7935000,-2928000,13829000,14263000,1861000,-6596000,58116000
74,Depreciation and Amortization,1860000,3049000,7528000,9011000,16678000,25263000,29360000,27876000,27547000,27303000,27188000,29419000,32038000,45090000,52685000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-1468000,1023000,778000,957000,871000,7224000,-2244000,-452000,85000,1551000
76,Stock Based Compensation,2145000,4923000,3541000,3444000,6174000,5422000,4819000,3375000,4490000,4313000,6634000,11412000,13177000,10454000,15324000
77,Change in Working Capital,6404000,48223000,878000,63863000,4269000,11496000,22502000,1799000,-4607000,-31106000,12116000,-34000,-13198000,8941000,47817000
78,Accounts Receivable,-8518000,-3836000,8575000,-9728000,-5195000,3094000,552000,2126000,-2247000,12187000,-1816000,-5345000,9237000,11024000,-22517000
79,Inventory,11088000,-15870000,9743000,-5517000,-26941000,1632000,-2561000,1779000,2386000,-4674000,-7406000,-13928000,-21461000,-22793000,-18765000
80,Accounts Payable,3680000,9810000,-3319000,2084000,15000,-20768000,1765000,5517000,3335000,-1162000,4515000,4872000,6410000,-1777000,-528000
81,Other Working Capital,1133000,49356000,50234000,114097000,118366000,129862000,152364000,154163000,149556000,118450000,130566000,130532000,117334000,126275000,174092000
82,Other Non-Cash Items,39062000,-27940000,11311000,-84122000,-34860000,-20749000,-24122000,7124000,6678000,41729000,-24343000,-49336000,-2005000,4341000,-46749000
83,Cash Provided by Operating Activities,18411000,1499000,22716000,29787000,30088000,32881000,28007000,37644000,27130000,40182000,42648000,3480000,31421000,62315000,128744000
84,CAPEX,-2793000,-23930000,-10072000,-13980000,-42073000,-36318000,-17573000,-9395000,-21492000,-21901000,-55588000,-194133000,-112456000,-62398000,-72700000
85,Acquisitions Net,- -,- -,-40000,- -,-6569000,-21430000,- -,- -,- -,- -,-600000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-1831000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,3274000,-915000,363000,-851000,653000,-183000,295000,204000,147000,180000,570000,-16346000,-384000,1549000,161000
89,Cash Used for Investing Activites,1829000,-23752000,-9744000,-14685000,-49820000,-57931000,-17278000,-9191000,-21345000,-21721000,-55618000,-194095000,-112435000,-60849000,-72539000
90,Debt Repayment,-10000000,-144000,-2383000,-14254000,-39059000,-29104000,-3819000,-4838000,-14632000,-940000,-819000,-902000,-26339000,-60422000,-83035000
91,Common Stock Issued,- -,- -,- -,53872000,1612000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-581000,-28000,-300000,- -,-1303000,-1574000,-5000,-918000,-5816000,-42081000,- -,-15098000,-1501000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,29972000,10351000,6051000,3852000,26083000,51140000,3339000,2675000,3007000,6335000,41628000,222953000,102939000,98073000,64044000
95,Cash Used/Provided by Financing Activities,19391000,10179000,3368000,43470000,-12667000,20462000,-485000,-3081000,-17441000,-36686000,40809000,206953000,75099000,37651000,-18991000
96,Effect of Forex Changes on Cash,54000,196000,-19000,13000,106000,46000,-4000,10000,-47000,-86000,95000,-511000,-1514000,-708000,4895000
97,Net Change In Cash,39685000,-11878000,16321000,58585000,-32293000,-4542000,10240000,25382000,-11703000,-18311000,27934000,15827000,-7429000,38409000,42109000
98,Cash at the End of Period,55973000,44095000,60416000,119001000,86708000,82166000,92406000,117788000,106085000,87774000,115708000,131535000,124295000,162704000,204813000
99,Cash at the Beginning of Period,16288000,55973000,44095000,60416000,119001000,86708000,82166000,92406000,117788000,106085000,87774000,115708000,131724000,124295000,162704000
100,Free Cash Flow,15618000,-22431000,12644000,15807000,-11985000,-3437000,10434000,28249000,5638000,18281000,-12940000,-190653000,-81035000,-83000,56044000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1387467/000138746712000031/0001387467-12-000031-index.html,https://www.sec.gov/Archives/edgar/data/1387467/000138746713000080/0001387467-13-000080-index.html,https://www.sec.gov/Archives/edgar/data/1387467/000138746714000104/0001387467-14-000104-index.html,https://www.sec.gov/Archives/edgar/data/1387467/000138746715000074/0001387467-15-000074-index.html,https://www.sec.gov/Archives/edgar/data/1387467/000138746716000204/aosl630201610k.htm,https://www.sec.gov/Archives/edgar/data/1387467/000138746717000057/0001387467-17-000057-index.html,https://www.sec.gov/Archives/edgar/data/1387467/000138746718000046/0001387467-18-000046-index.html,https://www.sec.gov/Archives/edgar/data/1387467/000138746719000040/0001387467-19-000040-index.html,https://www.sec.gov/Archives/edgar/data/1387467/000138746720000047/0001387467-20-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1387467/000138746721000063/0001387467-21-000063-index.htm
102,false,,,,,,,,,,,,,,,
