,https://roic.ai/company/CHMI,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1571776/000119312514116862/0001193125-14-116862-index.htm,https://www.sec.gov/Archives/edgar/data/1571776/000119312515092416/0001193125-15-092416-index.htm,https://www.sec.gov/Archives/edgar/data/1571776/000156761916002020/0001567619-16-002020-index.htm,https://www.sec.gov/Archives/edgar/data/1571776/000156761917000445/0001567619-17-000445-index.htm,https://www.sec.gov/Archives/edgar/data/1571776/000114036118013724/0001140361-18-013724-index.htm,https://www.sec.gov/Archives/edgar/data/1571776/000114036119005137/0001140361-19-005137-index.htm,https://www.sec.gov/Archives/edgar/data/1571776/000114036120004262/0001140361-20-004262-index.htm,https://www.sec.gov/Archives/edgar/data/1571776/000114036121008318/0001140361-21-008318-index.htm,https://www.sec.gov/Archives/edgar/data/1571776/000114036122009584/0001140361-22-009584-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,1000,10375000,12447000,10603000,15824000,27327000,31834000,24671000,83892000,63916000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,218727000
33,Cash and Short-Term Investments,1000,10375000,12447000,10603000,15824000,27327000,31834000,24671000,83892000,282643000
34,Net Receivables,- -,11381000,4865000,9328000,12297000,16642000,23983000,47084000,44390000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,8357000,7289000,10364000,31590000,42998000,8185000,-47084000,-44390000,- -
37,Total Current Assets,1000,30113000,24601000,30295000,59711000,86967000,64002000,24671000,83892000,282643000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,397285000,507325000,606045000,733167000,1963718000,2065017000,2799471000,1402665000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,24258000,-2384172000,- -,- -
45,Total Non-Current Assets,- -,397285000,507325000,606045000,733167000,1963718000,2089275000,415299000,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,1509596000,1020219000
47,Total Assets,1000,427398000,531926000,636340000,792878000,2050685000,2153277000,439970000,1593488000,1302862000
48,Accounts Payable,- -,3375000,3830000,3684000,11018000,7273000,11847000,10779000,1008000,- -
49,Short-Term Debt,- -,- -,- -,24313000,22886000,39025000,- -,- -,- -,145268000
50,Tax Payable,- -,- -,- -,- -,- -,- -,152000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,25000,1599000,5652000,8196000,8350000,15393000,17548000,2370106000,110371000,- -
53,Total Current Liabilities,25000,4974000,9482000,36193000,42254000,61691000,29395000,2380885000,111379000,145268000
54,Long-Term Debt,- -,- -,- -,86563000,22886000,39025000,157543000,166989000,111379000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,261302000,362126000,-62250000,- -,- -,- -,- -,- -,878778000
58,Total Non-Current Liabilities,- -,- -,- -,24313000,22886000,39025000,157543000,166989000,111379000,878778000
59,Other Liabilities,- -,261302000,362126000,472123000,617501000,1705562000,1917494000,- -,1280922000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,25000,266276000,371608000,484003000,636869000,1728228000,1789346000,2544909000,1280922000,1024046000
62,Preferred Stock,- -,- -,- -,- -,- -,57917000,65639000,115281000,115379000,- -
63,Common Stock,10,75000,75000,75000,75000,127000,167000,170000,175000,187000
64,Retained Earnings,-25000,17695000,4799000,3133000,12093000,35238000,34653000,-47367000,-141980000,-158483000
65,Other Comprehensive Income/Loss,- -,-5033000,6641000,-197000,-6393000,-2942000,-38400000,41414000,35594000,7527000
66,Other Total Stockholders Equity,990,148078000,148258000,148332000,148457000,229642000,298614000,299180000,300997000,429585000
67,Total Stockholders Equity,-24000,160815000,159773000,151343000,154232000,319982000,360673000,408678000,310165000,278816000
68,Total Liabilities And Stockholders Equity,1000,427091000,531381000,635346000,791101000,2048210000,2150019000,2953587000,1591087000,1302862000
69,Minority Interest,- -,307000,545000,994000,1777000,2475000,3258000,-2513617000,2401000,- -
70,Total Liabilities & Equity,1000,427398000,531926000,636340000,792878000,2050685000,2153277000,439970000,1593488000,1302862000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1571776/000119312514116862/0001193125-14-116862-index.htm,https://www.sec.gov/Archives/edgar/data/1571776/000119312515092416/0001193125-15-092416-index.htm,https://www.sec.gov/Archives/edgar/data/1571776/000156761916002020/0001567619-16-002020-index.htm,https://www.sec.gov/Archives/edgar/data/1571776/000156761917000445/0001567619-17-000445-index.htm,https://www.sec.gov/Archives/edgar/data/1571776/000114036118013724/0001140361-18-013724-index.htm,https://www.sec.gov/Archives/edgar/data/1571776/000114036119005137/0001140361-19-005137-index.htm,https://www.sec.gov/Archives/edgar/data/1571776/000114036120004262/0001140361-20-004262-index.htm,https://www.sec.gov/Archives/edgar/data/1571776/000114036121008318/0001140361-21-008318-index.htm,https://www.sec.gov/Archives/edgar/data/1571776/000114036122009584/0001140361-22-009584-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,- -,21095000,2353000,13214000,24832000,47359000,37285000,-42793000,-52239000,13
74,Depreciation and Amortization,- -,217000,2058000,3811000,4115000,- -,- -,- -,15855000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,-9773000,-10020000,-21017000,23355000,7819000,9331000,-2390821000,2328727000,164862000
78,Accounts Receivable,- -,-7239000,6930000,309000,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,6202000,-6202000,- -,- -,- -,- -
81,Other Working Capital,- -,25139000,15119000,-5898000,17457000,25276000,34607000,-2356214000,-27487000,137375000
82,Other Non-Cash Items,- -,-17619000,30580000,27367000,-17845000,-14938000,17022000,2503298000,-2231148000,-164862013
83,Cash Provided by Operating Activities,- -,-6080000,24971000,23375000,34457000,40240000,63638000,69684000,61195000,- -
84,CAPEX,- -,- -,- -,-13861000,-15395000,-81611000,-175674000,-102976000,-52957000,- -
85,Acquisitions Net,- -,-98968000,-2181000,-3839000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-98968000,-3766000,-4046000,-8616000,-4196000,-5219000,-913000,-1535000,- -
87,Sales/Maturities of Investments,- -,128249000,100638000,215138000,190012000,209466000,425895000,435532000,2297096000,- -
88,Other Investing Activites,- -,-317727000,-200498000,-320400000,-327490000,-1429745000,-586560000,-1191734000,-1035858000,- -
89,Cash Used for Investing Activites,- -,-387414000,-105807000,-113147000,-146094000,-1224475000,-165884000,-757115000,1259703000,- -
90,Debt Repayment,- -,-379838000,-1410035000,-1700939000,-2138723000,-3548939000,-6791328000,-7343234000,-8492453000,- -
91,Common Stock Issued,- -,148152000,180000,74000,125000,81237000,69012000,4112000,3570000,558734000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-238000,- -,-3543000,-1748000,-142531000
93,Dividends Paid,- -,- -,-14789000,-15028000,-15872000,-24214000,-37870000,-39227000,-30290000,- -
94,Other Financing Activites,- -,635554000,1507552000,1803821000,2271328000,4687892000,6845956000,8121012000,7238533000,- -
95,Cash Used/Provided by Financing Activities,- -,403868000,82908000,87928000,116858000,1195738000,85770000,739120000,-1282388000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,10374000,2072000,-1844000,5221000,11503000,-16476000,51689000,38510000,- -
98,Cash at the End of Period,- -,10375000,12447000,10603000,15824000,27327000,40019000,91708000,130218000,- -
99,Cash at the Beginning of Period,- -,1000,10375000,12447000,10603000,15824000,56495000,40019000,91708000,130218000
100,Free Cash Flow,- -,-6080000,24971000,9514000,19062000,-41371000,-112036000,-33292000,8238000,- -
101,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1571776/000119312514116862/0001193125-14-116862-index.htm,https://www.sec.gov/Archives/edgar/data/1571776/000119312515092416/0001193125-15-092416-index.htm,https://www.sec.gov/Archives/edgar/data/1571776/000156761916002020/0001567619-16-002020-index.htm,https://www.sec.gov/Archives/edgar/data/1571776/000156761917000445/0001567619-17-000445-index.htm,https://www.sec.gov/Archives/edgar/data/1571776/000114036118013724/0001140361-18-013724-index.htm,https://www.sec.gov/Archives/edgar/data/1571776/000114036119005137/0001140361-19-005137-index.htm,https://www.sec.gov/Archives/edgar/data/1571776/000114036120004262/0001140361-20-004262-index.htm,https://www.sec.gov/Archives/edgar/data/1571776/000114036121008318/0001140361-21-008318-index.htm,https://www.sec.gov/Archives/edgar/data/1571776/000114036122009584/0001140361-22-009584-index.htm
102,false,,,,,,,,,,
