,https://roic.ai/company/PPHI,2016,2017,2018,2019,2020,2021
73,Net Income,825157,-20641,-62590,-238951,-1211535,-2520277
74,Depreciation and Amortization,100000,100000,50000,1124363,1482495,1172682
75,Deferred Income Tax,108516,206755,-173067,21664,37250,-702299
76,Stock Based Compensation,- -,- -,- -,- -,118536,101213
77,Change in Working Capital,68440,3233269,-2973889,-13191760,-3478204,3937511
78,Accounts Receivable,-2622551,1449386,-40950,-655070,-3548500,-1881180
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,3726188,-1391455,117530,1962618,-1731760,197727
81,Other Working Capital,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,118904,221236,1037261,-1067668,1794678,391542
83,Cash Provided by Operating Activities,1221017,3740619,-2122285,-13352352,-1256780,2380372
84,CAPEX,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,-5129079
86,Purchases of Investments,-17086824,-8823908,-5067259,-21747426,-29403402,-22737071
87,Sales/Maturities of Investments,15542979,2742245,6603916,18672307,28614705,21239104
88,Other Investing Activites,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-1543845,-6081663,1536657,-3075119,-788697,-6627046
90,Debt Repayment,-55233,-594545,-59895,-62469,-64858,- -
91,Common Stock Issued,- -,- -,- -,33574401,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,500000,- -,- -,2703949
95,Cash Used/Provided by Financing Activities,-55233,-594545,440105,33511932,-64858,2703949
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-378061,-2935589,-145523,17084461,-2110335,-1542725
98,Cash at the End of Period,5045589,2110000,1964477,20988081,18877746,17335021
99,Cash at the Beginning of Period,5423650,5045589,2110000,3903620,20988081,18877746
100,Free Cash Flow,1221017,3740619,-2122285,-13352352,-1256780,2380372
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1752039/000156459020025440/pphi-10k_20191231.htm,- -,- -
102,false,,,,,,
