,https://roic.ai/company/ATEN,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.0800,-0.7508,-0.1912,-0.1934,-0.2012,-0.0910,-0.0457,-0.1189,-0.0838,0.0790,0.3795
25,EPS,0.02,-2.06,-0.62,-0.74,-0.64,-0.32,-0.15,-0.38,-0.23,0.23,1.22
26,EPS Diluted,0.02,-2.06,-0.62,-0.74,-0.64,-0.32,-0.15,-0.38,-0.23,0.22,1.19
27,Weighted Average Shares Outstanding,43723000,43723000,43723000,48682000,62428000,65701000,70053000,72882000,76080000,77776000,77776000
28,Weighted Average Shares Outstanding Diluted,43723000,43723000,43723000,48682000,62428000,65701000,70053000,72882000,76080000,80019000,80019000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1580808/000158080815000010/aten-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1580808/000158080816000073/0001580808-16-000073-index.html,https://www.sec.gov/Archives/edgar/data/1580808/000158080817000013/0001580808-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/1580808/000162828018011503/a10-k12312017.htm,https://www.sec.gov/Archives/edgar/data/1580808/000162828019003017/0001628280-19-003017-index.html,https://www.sec.gov/Archives/edgar/data/1580808/000158080820000014/0001580808-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1580808/000158080821000043/0001580808-21-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1580808/000158080822000053/0001580808-22-000053-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,23867000,20793000,91905000,98117000,28975000,46567000,40621000,45742000,83281000,78925000
32,Short-Term Investments,- -,- -,- -,- -,- -,85372000,84567000,87754000,84180000,74851000,106117000
33,Cash and Short-Term Investments,- -,23867000,20793000,91905000,98117000,114347000,131134000,128375000,129922000,158132000,185042000
34,Net Receivables,- -,26026000,38122000,54003000,57778000,66755000,48266000,53972000,53566000,51051000,61795000
35,Inventory,- -,14315000,17166000,20701000,18291000,15070000,17577000,17930000,22384000,20730000,22462000
36,Other Current Assets,- -,2788000,2638000,4732000,5064000,5137000,6825000,14662000,15067000,12390000,14720000
37,Total Current Assets,- -,66996000,78719000,171341000,179250000,201309000,203802000,214939000,220939000,242303000,284019000
38,PP&E,- -,7769000,9801000,10780000,8903000,8219000,9913000,7262000,40670000,36128000,10692000
39,Goodwill,- -,- -,- -,- -,- -,1307000,1307000,1307000,1307000,1307000,1307000
40,Intangible Assets,- -,1197000,1061000,- -,- -,6633000,5190000,3748000,2305000,862000,- -
41,Intangible Assets,- -,1197000,1061000,- -,- -,7940000,6497000,5055000,3612000,2169000,1307000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,944000,- -
44,Other Non-Current Assets,- -,832000,4213000,4859000,4398000,3870000,4646000,8620000,8832000,9267000,97067000
45,Total Non-Current Assets,- -,9798000,15075000,15639000,13301000,20029000,21056000,20937000,53114000,48508000,109066000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,76794000,93794000,186980000,192551000,221338000,224858000,235876000,274053000,290811000,393085000
48,Accounts Payable,- -,5641000,9228000,8994000,10508000,9851000,9033000,8202000,7592000,4851000,6852000
49,Short-Term Debt,- -,5631000,- -,- -,- -,- -,- -,- -,5109000,5260000,- -
50,Tax Payable,- -,2035000,2156000,2554000,4520000,3340000,2985000,4455000,4354000,3748000,- -
51,Deferred Revenue,- -,19374000,28448000,39256000,49572000,61334000,61858000,63874000,62233000,65999000,73132000
52,Other Current Liabilities,- -,97810000,26221000,22435000,27757000,31525000,21835000,25291000,22647000,31670000,36101000
53,Total Current Liabilities,- -,128456000,63897000,70685000,87837000,102710000,92726000,97367000,97581000,107780000,116085000
54,Long-Term Debt,- -,- -,20000000,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,8333000,12784000,17964000,23232000,31574000,32779000,34092000,38931000,42700000,48499000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,10160000,6118000,1766000,1414000,988000,967000,534000,28754000,24357000,19613000
58,Total Non-Current Liabilities,- -,18493000,38902000,19730000,24646000,32562000,33746000,34626000,67685000,67057000,68112000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,5109000,5260000,- -
61,Total Liabilities,- -,146949000,102799000,90415000,112483000,135272000,126472000,131993000,165266000,174837000,184197000
62,Preferred Stock,- -,41737000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1000,1000,1000,1000,1000,1000,1000,1000,1000
64,Retained Earnings,- -,-119969000,-147365000,-181785000,-221819000,-242759000,-257025000,-272246000,-290065000,-272249000,-177362000
65,Other Comprehensive Income/Loss,- -,-9310000,-16091000,-25744000,-33920000,-45000,-123000,-144000,251000,98000,-4109000
66,Other Total Stockholders Equity,- -,59124000,154450000,304093000,335806000,328869000,355533000,376272000,398600000,388124000,- -
67,Total Stockholders Equity,- -,-70155000,-9005000,96565000,80068000,86066000,98386000,103883000,108787000,115974000,208888000
68,Total Liabilities And Stockholders Equity,- -,76794000,93794000,186980000,192551000,221338000,224858000,235876000,274053000,290811000,393085000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,76794000,93794000,186980000,192551000,221338000,224858000,235876000,274053000,290811000,393085000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1580808/000158080815000010/aten-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1580808/000158080816000073/0001580808-16-000073-index.html,https://www.sec.gov/Archives/edgar/data/1580808/000158080817000013/0001580808-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/1580808/000162828018011503/a10-k12312017.htm,https://www.sec.gov/Archives/edgar/data/1580808/000162828019003017/0001628280-19-003017-index.html,https://www.sec.gov/Archives/edgar/data/1580808/000158080820000014/0001580808-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1580808/000158080821000043/0001580808-21-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1580808/000158080822000053/0001580808-22-000053-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,7304000,-90150000,-27096000,-34720000,-40034000,-20940000,-10751000,-27617000,-17819000,17816000,94887000
74,Depreciation and Amortization,3417000,5294000,7080000,10121000,8716000,8267000,8511000,7880000,10028000,11303000,8907000
75,Deferred Income Tax,-142000,- -,7000,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,1464000,2540000,4282000,12359000,16861000,16922000,17203000,17038000,16529000,12310000,14422000
77,Change in Working Capital,4862000,- -,76282000,85834000,-9243000,7186000,12477000,6496000,5786000,11165000,-4400000
78,Accounts Receivable,-344000,-7340000,-15549000,-17281000,-5977000,-11319000,12362000,-6119000,599000,2346000,-11025000
79,Inventory,-5863000,-9147000,-8489000,-8914000,-430000,892000,-4669000,-1529000,-5648000,543000,-1826000
80,Accounts Payable,980000,2382000,2495000,903000,1109000,-334000,-942000,-603000,-621000,-2683000,1995000
81,Other Working Capital,-61460000,-61460000,14822000,100656000,91413000,98599000,111076000,117572000,123358000,134523000,12932000
82,Other Non-Cash Items,1601000,85529000,-85688000,-104132000,27091000,7343000,-13126000,-6491000,-14950000,2692000,-63719000
83,Cash Provided by Operating Activities,18506000,3213000,-25133000,-30538000,3391000,18778000,14314000,-2694000,-426000,55286000,50097000
84,CAPEX,-4731000,-4241000,-2993000,-6100000,-3477000,-6372000,-5734000,-2797000,-4340000,-3564000,-5171000
85,Acquisitions Net,- -,- -,- -,- -,- -,-4380000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-126231000,-87447000,-87823000,-71636000,-57992000,-128554000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,40628000,88039000,83744000,75725000,66758000,95655000
88,Other Investing Activites,-1436000,- -,- -,- -,- -,-1500000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-4731000,-4241000,-2993000,-6100000,-3477000,-96355000,-5142000,-6876000,-251000,5202000,-38070000
90,Debt Repayment,-3005000,-11023000,-90929000,-20000000,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,121017000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-1799000,-3071000,- -,- -,-32540000,-18267000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3880000
94,Other Financing Activites,1401000,16870000,115981000,6733000,6298000,10234000,11491000,3624000,5798000,9591000,5764000
95,Cash Used/Provided by Financing Activities,-1604000,5847000,25052000,107750000,6298000,8435000,8420000,3624000,5798000,-22949000,-16383000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,12171000,4819000,-3074000,71112000,6212000,-69142000,17592000,-5946000,5121000,37539000,-4356000
98,Cash at the End of Period,19048000,23867000,20793000,91905000,98117000,28975000,46567000,40621000,45742000,83281000,78925000
99,Cash at the Beginning of Period,6877000,19048000,23867000,20793000,91905000,98117000,28975000,46567000,40621000,45742000,83281000
100,Free Cash Flow,13775000,-1028000,-28126000,-36638000,-86000,12406000,8580000,-5491000,-4766000,51722000,44926000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1580808/000158080815000010/aten-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1580808/000158080816000073/0001580808-16-000073-index.html,https://www.sec.gov/Archives/edgar/data/1580808/000158080817000013/0001580808-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/1580808/000162828018011503/a10-k12312017.htm,https://www.sec.gov/Archives/edgar/data/1580808/000162828019003017/0001628280-19-003017-index.html,https://www.sec.gov/Archives/edgar/data/1580808/000158080820000014/0001580808-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1580808/000158080821000043/0001580808-21-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1580808/000158080822000053/0001580808-22-000053-index.htm
102,false,,,,,,,,,,,
