,https://roic.ai/company/KAYS,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
35,Inventory,- -,- -,- -,- -,- -,5270,80660,84000,118300,131540,108010,47618
36,Other Current Assets,- -,- -,- -,- -,- -,1670,10490,4500,9090,20550,7770,12135
37,Total Current Assets,- -,70000,30000,- -,- -,42130,215060,395380,445850,263600,202750,102915
38,PP&E,- -,10000,20000,10000,- -,57380,225660,192960,897570,2348780,2424370,1824946
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31688
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,20000,150000,160000,- -,16200,24210,122030,98490,31520,27530,-31688
45,Total Non-Current Assets,- -,30000,170000,170000,- -,73580,249870,314990,996060,2380300,2451900,1824946
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,100000,200000,170000,- -,115710,464930,710370,1441910,2643900,2654650,1927861
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,988247
49,Short-Term Debt,650000,650000,300000,670000,801900,414993,40738,740251,1169782,2903606,480551,795740
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1010000,900000,840000,360000,518100,2685237,386202,9072809,31119338,21011954,9566329,18791344
53,Total Current Liabilities,1660000,1550000,1140000,1030000,1320000,3100230,426940,9813060,32289120,23915560,10046880,20575331
54,Long-Term Debt,- -,- -,100000,60000,- -,- -,439810,964380,1555210,2033560,5977870,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,-167720,4284500,10298080,-833720,-1043520,-1204410,-13925757
58,Total Non-Current Liabilities,- -,- -,100000,60000,- -,-167720,4724310,11262460,721490,990040,4773460,-13925757
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,288899,423185
61,Total Liabilities,1660000,1550000,1240000,1090000,1320000,2932510,5151250,21075520,33010610,24905600,14820340,6649574
62,Preferred Stock,- -,- -,- -,- -,55,55,55,50,50,50,100,100
63,Common Stock,- -,10000,60000,70000,70000,76290,88860,117080,138990,165810,187500,- -
64,Retained Earnings,-1670000,-2040000,-3400000,-3920000,-4340000,-6715760,-9941150,-29790420,-44672210,-39924910,-32120790,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,-10000,-4339272,-5519468,-9941151,-29790416,- -,- -,-564360,- -
66,Other Total Stockholders Equity,10000,580000,2300000,2940000,7295397,11267476,15107074,39098556,12964471,17497346,20331851,2298816
67,Total Stockholders Equity,-1660000,-1450000,-1040000,-920000,-1313820,-891407,-4686312,-20365150,-31568699,-22261704,-12165699,-23401907
68,Total Liabilities And Stockholders Equity,- -,100000,200000,170000,6180,2041103,464938,710370,1441911,2643896,2654641,-16752333
69,Minority Interest,- -,- -,- -,- -,-6180,-1925393,-8,- -,-1,4,9,18680194
70,Total Liabilities & Equity,- -,100000,200000,170000,- -,115710,464930,710370,1441910,2643900,2654650,1927861
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1530746/000114420413023449/0001144204-13-023449-index.htm,https://www.sec.gov/Archives/edgar/data/1530746/000072174814000369/0000721748-14-000369-index.htm,https://www.sec.gov/Archives/edgar/data/1530746/000072174815000562/0000721748-15-000562-index.htm,https://www.sec.gov/Archives/edgar/data/1530746/000072174816001298/0000721748-16-001298-index.htm,https://www.sec.gov/Archives/edgar/data/1530746/000072174817000257/0000721748-17-000257-index.htm,https://www.sec.gov/Archives/edgar/data/1530746/000172186818000294/0001721868-18-000294-index.htm,https://www.sec.gov/Archives/edgar/data/1530746/000172186819000207/0001721868-19-000207-index.htm,https://www.sec.gov/Archives/edgar/data/1530746/000172186820000213/0001721868-20-000213-index.htm,https://www.sec.gov/Archives/edgar/data/1530746/000172186821000184/0001721868-21-000184-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-310000,-370000,-1360000,-520000,-420000,-2376490,-3225390,-19849260,-14881790,4747300,7804130,-12297
74,Depreciation and Amortization,- -,- -,- -,- -,5035,10172,33603,87585,68166,161223,228117,141727
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,119000,- -,- -,784510,- -,- -,- -,- -,- -
77,Change in Working Capital,310000,180000,370000,80000,-290000,-1738100,2846220,-9205800,-22425590,8191310,13807830,-10628286
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,-30767,-75390,-3340,-34299,-13246,23534,60390
80,Accounts Payable,- -,- -,- -,251417,- -,- -,- -,- -,-20951,162796,546431,718173
81,Other Working Capital,-1660000,-1480000,-1110000,-1030000,-1320000,-3058100,-211880,-9417680,-31843270,-23651960,-9844130,-20472416
82,Other Non-Cash Items,- -,-300000,-90000,-59000,581671,3333957,-1172465,27878105,35024969,-14431407,-22614954,10209239
83,Cash Provided by Operating Activities,- -,-490000,-1080000,-380000,-123294,-770461,-733522,-1089370,-2214245,-1331574,-774877,-289617
84,CAPEX,- -,-10000,-10000,-7710,-1121,-64730,-189208,-54885,-749812,-195238,-19668,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31688
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-10000,-10000,- -,-1121,-64730,-189208,-54885,-749812,-195238,-19668,-31688
90,Debt Repayment,- -,- -,- -,-11317,- -,-29800,-24155,-73210,-254366,-55471,- -,- -
91,Common Stock Issued,- -,- -,- -,643965,28000,335000,235000,110000,- -,300000,- -,12500
92,Common Stock Repurchased,- -,570000,640000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,400000,-282648,96600,565000,800598,1075000,3230000,1075333,770000,265000
95,Cash Used/Provided by Financing Activities,- -,570000,1040000,350000,124600,870200,1011443,1111790,2975634,1319862,770000,277500
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,70000,-50000,-30000,124600,35009,88713,-32466,11578,-206950,-24545,-43805
98,Cash at the End of Period,- -,70000,20000,- -,185,35194,123907,91441,318462,111512,86967,43162
99,Cash at the Beginning of Period,- -,- -,70000,30000,- -,185,35194,123907,306884,318462,111512,86967
100,Free Cash Flow,- -,-500000,-1090000,-380000,-124415,-835191,-922730,-1144255,-2964057,-1526812,-794545,-289617
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1530746/000114420413023449/0001144204-13-023449-index.htm,https://www.sec.gov/Archives/edgar/data/1530746/000072174814000369/0000721748-14-000369-index.htm,https://www.sec.gov/Archives/edgar/data/1530746/000072174815000562/0000721748-15-000562-index.htm,https://www.sec.gov/Archives/edgar/data/1530746/000072174816001298/0000721748-16-001298-index.htm,https://www.sec.gov/Archives/edgar/data/1530746/000072174817000257/0000721748-17-000257-index.htm,https://www.sec.gov/Archives/edgar/data/1530746/000172186818000294/0001721868-18-000294-index.htm,https://www.sec.gov/Archives/edgar/data/1530746/000172186819000207/0001721868-19-000207-index.htm,https://www.sec.gov/Archives/edgar/data/1530746/000172186820000213/0001721868-20-000213-index.htm,https://www.sec.gov/Archives/edgar/data/1530746/000172186821000184/0001721868-21-000184-index.htm
102,false,,,,,,,,,,,,
