,https://roic.ai/company/CONE,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-398400000,- -,-100000000,-475400000,195200000,137600000,39200000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-100000000,-12600000,-3800000,-6500000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,199000000,144100000,- -
88,Other Investing Activites,-20200000,-40500000,-105800000,-252600000,6100000,-284200000,-227200000,-729600000,-1306800000,-853100000,-1070300000,-1047600000,-914800000
89,Cash Used for Investing Activites,-20200000,-40500000,-105800000,-252600000,-222500000,-284200000,-625600000,-729600000,-1506800000,-1341100000,-679900000,-772400000,-875600000
90,Debt Repayment,-5500000,-10200000,-23200000,-409000000,-700000,-184100000,-15900000,-470600000,-1759600000,-1556900000,-1585400000,-2369600000,-614900000
91,Common Stock Issued,- -,- -,- -,- -,360500000,356000000,799500000,448700000,706000000,699600000,357200000,325700000,597700000
92,Common Stock Repurchased,- -,- -,- -,- -,360500000,-355900000,-596400000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-1000000,-3700000,-7800000,5400000,-31000000,-50900000,-80800000,-114300000,-145700000,-181100000,-210400000,-236200000,-253900000
94,Other Financing Activites,2100000,15800000,66500000,627600000,-413900000,295700000,356800000,685500000,2553900000,1983100000,1763400000,2787300000,759000000
95,Cash Used/Provided by Financing Activities,-4400000,1900000,35500000,224000000,275400000,60800000,463200000,549300000,1354600000,944700000,324800000,507200000,487900000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-400000,2700000,4100000,-15200000
97,Net Change In Cash,-4400000,1900000,-4300000,15900000,132300000,-112300000,-22200000,300000,137300000,-87500000,13300000,195200000,74700000
98,Cash at the End of Period,- -,4900000,600000,16500000,148800000,36500000,14300000,14600000,151900000,64400000,77700000,272900000,347600000
99,Cash at the Beginning of Period,- -,- -,4900000,600000,16500000,148800000,36500000,14300000,14600000,151900000,64400000,77700000,272900000
100,Free Cash Flow,3900000,14200000,-51500000,-183800000,-149200000,-173100000,-94300000,-550500000,-1117300000,309300000,365700000,456300000,477600000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1553023/000155302321000015/0001553023-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1553023/000155302322000009/0001553023-22-000009-index.htm
102,false,,,,,,,,,,,,,
