,https://roic.ai/company/APAM,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,0.73,0.65,- -,0.51,-0.63,-0.37,1.86,1.57,0.75,2.84,2.65,3.40,6.05
26,EPS Diluted,0.73,0.65,- -,0.51,-0.63,-0.37,1.86,1.57,0.75,2.84,2.65,3.40,6.05
27,Weighted Average Shares Outstanding,65767919,65767919,65767919,65767919,19807436,34238131,43978495,46496815,50463126,53700000,51100000,55600000,55600000
28,Weighted Average Shares Outstanding Diluted,65767919,65767919,65767919,65767919,19807436,34238131,43978495,46496815,50463126,53700000,56200000,55600000,55600000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1517302/000151730214000009/apam-2013x12x31x10k.htm,https://www.sec.gov/Archives/edgar/data/1517302/000151730215000010/apam-2014x12x3110xk.htm,https://www.sec.gov/Archives/edgar/data/1517302/000151730216000074/0001517302-16-000074-index.html,https://www.sec.gov/Archives/edgar/data/1517302/000151730217000013/0001517302-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/1517302/000151730218000018/0001517302-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1517302/000151730219000012/0001517302-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1517302/000151730220000025/0001517302-20-000025-index.html,https://www.sec.gov/Archives/edgar/data/1517302/000151730221000019/0001517302-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1517302/000151730222000012/0001517302-22-000012-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,101843822,158987456,132098000,151339000,230995000,182284000,166193000,156777000,159167000,174906000,143626000,198821000,200142000
32,Short-Term Investments,2153090,1177299,- -,- -,- -,- -,- -,- -,- -,18100000,- -,- -,- -
33,Cash and Short-Term Investments,103996912,160164755,132098000,151339000,230995000,182284000,166193000,156777000,159167000,193006000,143626000,198821000,200142000
34,Net Receivables,31650873,36731890,39454000,56617000,71538000,69361000,60058000,59739000,93461000,73257000,83515000,103475000,122258000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,3031050,2870059,4320000,5075000,5970000,6817000,8363000,9283000,9598000,-7590000,10218000,11449000,13172000
37,Total Current Assets,138678835,199766704,175872000,213031000,308503000,258462000,234614000,225799000,262226000,258673000,237359000,313745000,335572000
38,PP&E,6054989,5223097,5572000,8807000,8760000,16594000,17995000,20018000,21025000,29138000,126650000,115178000,123955000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,41527000,61478000,71168000,6712000,10290000,6297000,120297000,84282000,130614000,234036000,242879000
43,Tax Assets,- -,- -,- -,- -,187907000,562396000,678537000,678518000,429212000,429128000,435897000,482061000,497902000
44,Other Non-Current Assets,993974,4888570,1880000,4244000,5060000,5288000,5096000,5534000,4395000,3793000,3099000,6942000,7739000
45,Total Non-Current Assets,7048963,10111667,48979000,74529000,272895000,590990000,711918000,710367000,574929000,546341000,696260000,838217000,872475000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,145727798,209878371,224851000,287560000,581398000,849452000,946532000,936166000,837155000,805014000,933619000,1151962000,1208047000
48,Accounts Payable,8382617,9550283,9274000,17373000,26313000,21934000,18052000,15609000,24836000,21484000,54082000,134089000,49177000
49,Short-Term Debt,400000000,380000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,160663000,489154000,589101000,586246000,385413000,369355000,375324000,412468000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,29362156,13471072,- -,- -,160663000,489154000,589101000,586246000,385413000,369355000,375324000,412468000,425427000
53,Total Current Liabilities,437744773,403021355,9274000,17373000,186976000,511088000,607153000,601855000,410249000,390839000,429406000,546557000,474604000
54,Long-Term Debt,- -,- -,324789000,290000000,200000000,200000000,200000000,199477000,199129000,199296000,199103000,291955000,299747000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,465139581,543435391,531880000,652902000,62111000,30865000,22828000,17120000,119712000,74392000,166609000,122408000,137735000
58,Total Non-Current Liabilities,465139581,543435391,856669000,942902000,262111000,230865000,222828000,216597000,318841000,273688000,365712000,414363000,437482000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101154000,92671000,100303000
61,Total Liabilities,902884354,946456746,865943000,960275000,449087000,741953000,829981000,818452000,729090000,664527000,795118000,960920000,912086000
62,Preferred Stock,- -,- -,- -,- -,34909000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,703000,729000,734000,743000,756000,769000,778000,786000,790000
64,Retained Earnings,- -,- -,-664259000,-709414000,1401000,16417000,13238000,13395000,-37870000,38617000,44455000,72944000,134889000
65,Other Comprehensive Income/Loss,-21000000,-11783793,-13963000,-15352000,378000,206000,-375000,-1648000,-873000,-1895000,-1425000,-991000,-1310000
66,Other Total Stockholders Equity,- -,- -,37130000,52051000,6388000,93524000,116448000,119221000,147910000,97553000,89149000,107738000,- -
67,Total Stockholders Equity,- -,- -,-664259000,-709414000,43779000,110876000,130045000,131711000,109923000,135044000,132957000,180477000,276204000
68,Total Liabilities And Stockholders Equity,145727798,209878371,201684000,250861000,492866000,852829000,960026000,950163000,839013000,799571000,928075000,1141397000,1188290000
69,Minority Interest,- -,- -,23167000,36699000,88532000,-3377000,-13494000,-13997000,-1858000,5443000,5544000,10565000,19757000
70,Total Liabilities & Equity,145727798,209878371,224851000,287560000,581398000,849452000,946532000,936166000,837155000,805014000,933619000,1151962000,1208047000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1517302/000151730214000009/apam-2013x12x31x10k.htm,https://www.sec.gov/Archives/edgar/data/1517302/000151730215000010/apam-2014x12x3110xk.htm,https://www.sec.gov/Archives/edgar/data/1517302/000151730216000074/0001517302-16-000074-index.html,https://www.sec.gov/Archives/edgar/data/1517302/000151730217000013/0001517302-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/1517302/000151730218000018/0001517302-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1517302/000151730219000012/0001517302-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1517302/000151730220000025/0001517302-20-000025-index.html,https://www.sec.gov/Archives/edgar/data/1517302/000151730221000019/0001517302-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1517302/000151730222000012/0001517302-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,48228154,42526865,- -,33760000,24807000,69629000,81801000,73030000,49599000,158309000,156536000,212617000,336516000
74,Depreciation and Amortization,2388362,2287131,2360000,2401000,3225000,3250000,4519000,5272000,5297000,5668000,6233000,6625000,6933000
75,Deferred Income Tax,- -,- -,- -,- -,9384000,21756000,28768000,33310000,104497000,24612000,26913000,32664000,38024000
76,Stock Based Compensation,- -,- -,- -,- -,655417000,88256000,79520000,71996000,62892000,53554000,43095000,37027000,39649000
77,Change in Working Capital,-5475384,95811287,369852651,29060000,-74131000,-374153000,-119913000,-3517000,228033000,15857000,-59881000,-40765000,-51231000
78,Accounts Receivable,-9502884,-5081016,-2685000,-6605000,-17739000,-5599000,9303000,318000,-16955000,9002000,-14178000,-18020000,-15962000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-299065938,-203254651,166598000,195658000,121527000,-252626000,-372539000,-376056000,-148023000,-132166000,-192047000,-232812000,-30804000
82,Other Non-Cash Items,44812378,-6215259,-268975651,64835000,-506536000,589338000,246544000,90269000,-246245000,75322000,119897000,70509000,28660000
83,Cash Provided by Operating Activities,89953510,134410024,103237000,130056000,112166000,398076000,321239000,270360000,204073000,333322000,292793000,318677000,398551000
84,CAPEX,-1184154,-1460551,-2736000,-5465000,-3191000,-9619000,-7335000,-7276000,-5835000,-13841000,-17784000,-3099000,-5967000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-13961,-1024791,-20000000,- -,-5000000,-10031000,-6750000,-4014000,-5250000,-500000,-10000,-2150000,-33820000
87,Sales/Maturities of Investments,- -,2204195,4101000,4598000,16932000,11610000,2724000,8961000,6382000,- -,288000,24001000,12813000
88,Other Investing Activites,2105,- -,-1013000,-145000,- -,264000,36000,260000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-1196010,-281147,-19648000,-1012000,8741000,-7776000,-11325000,-2069000,-4703000,-14341000,-17506000,18752000,-26974000
90,Debt Repayment,-288489,-20218365,-55211000,-324789000,-90000000,- -,- -,- -,-60000000,- -,-50000000,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,653335000,554129000,176558000,- -,162494000,21478000,- -,63027000,46928000
92,Common Stock Repurchased,- -,- -,- -,- -,-373074000,-554129000,-176558000,- -,-162494000,-21478000,- -,-63027000,-46928000
93,Dividends Paid,- -,- -,-67108000,-80886000,-239407000,-366642000,-306123000,-249260000,-246825000,-271214000,-283020000,-288811000,-367929000
94,Other Financing Activites,-22551657,-56766878,6699000,290834000,-1081000,-53213000,-19882000,-28447000,87964000,7731000,26453000,6577000,32496000
95,Cash Used/Provided by Financing Activities,-22840146,-76985243,-115620000,-114841000,-50227000,-419855000,-326005000,-277707000,-218861000,-263483000,-306567000,-282234000,-335433000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,65917354,57143634,-32031000,14203000,70680000,-29555000,-16091000,-9416000,-19491000,15739000,-31280000,55195000,1321000
98,Cash at the End of Period,101843822,158987456,126956000,141159000,211839000,182284000,166193000,156777000,137286000,175535000,144255000,199450000,200771000
99,Cash at the Beginning of Period,35926468,101843822,158987000,126956000,141159000,211839000,182284000,166193000,156777000,159796000,175535000,144255000,199450000
100,Free Cash Flow,88769356,132949473,100501000,124591000,108975000,388457000,313904000,263084000,198238000,319481000,275009000,315578000,392584000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1517302/000151730214000009/apam-2013x12x31x10k.htm,https://www.sec.gov/Archives/edgar/data/1517302/000151730215000010/apam-2014x12x3110xk.htm,https://www.sec.gov/Archives/edgar/data/1517302/000151730216000074/0001517302-16-000074-index.html,https://www.sec.gov/Archives/edgar/data/1517302/000151730217000013/0001517302-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/1517302/000151730218000018/0001517302-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1517302/000151730219000012/0001517302-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1517302/000151730220000025/0001517302-20-000025-index.html,https://www.sec.gov/Archives/edgar/data/1517302/000151730221000019/0001517302-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1517302/000151730222000012/0001517302-22-000012-index.htm
102,false,,,,,,,,,,,,,
