,https://roic.ai/company/TIPT,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-8810000,-71158000,68553000,-102268000,-71737000,15709000,13696000,-4813000,258000
86,Purchases of Investments,-69503000,-122170000,-2452000,-224258,-21417000,- -,-216215000,-424991000,-377871000,-269894000,-219955000,-327617000,-389206000,-1494688000,-1430879000
87,Sales/Maturities of Investments,- -,54245000,40379000,- -,50956000,86000,82524000,591288000,83044000,205141000,296855000,190942000,394331000,1400229000,- -
88,Other Investing Activites,46459000,- -,98039000,- -,- -,299000,-546668000,-586130000,10555000,-151484000,202261000,15608000,-18629000,-17525000,1159626000
89,Cash Used for Investing Activites,-227316000,-67925000,135966000,-513799,29279000,356000,-689182000,-491236000,-219216000,-319985000,205677000,-109107000,-8327000,-123491000,-273759000
90,Debt Repayment,- -,-830000,-38125000,-59408,-953000,-16378000,-10473000,-150347000,-1185739000,-1957183000,-1816537000,-1617346000,-2181704000,-3321779000,-3993364000
91,Common Stock Issued,225000000,- -,- -,- -,- -,- -,3743000,524000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-8330000,-4000,-1363950,- -,-72000,-2000,- -,-3982000,-43754000,-7300000,-14111000,-9085000,-13889000,-8145000
93,Dividends Paid,-3573000,-14279000,-13779000,- -,-4116000,-5565000,-366000,-370000,-3313000,-3191000,-3499000,-4781000,-5502000,-5566000,-5409000
94,Other Financing Activites,9337000,94816000,- -,2097,15234000,15155000,746660000,514101000,1430847000,2281080000,1632930000,1634235000,2233219000,3372983000,4080653000
95,Cash Used/Provided by Financing Activities,230764000,71377000,-51908000,-1421261,10165000,-6860000,739562000,363908000,237813000,276952000,-194406000,-2003000,36928000,31749000,73735000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,16481000,90712000,-494507,47274000,-5878000,31994000,-67570000,16413000,-6390000,47657000,-56246000,45206000,43548000,-5068000
98,Cash at the End of Period,15319000,31800000,122512000,209858,52306000,46428000,120557000,52987000,69400000,63010000,110667000,96524000,144590000,195275000,195086000
99,Cash at the Beginning of Period,- -,15319000,31800000,704365,5032000,52306000,88563000,120557000,52987000,69400000,63010000,152770000,99384000,151727000,200154000
100,Free Cash Flow,-192401000,13029000,6654000,1151012,7570000,597000,-18399000,90803000,-11947000,29484000,44031000,53975000,15223000,133475000,201552000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1393726/000095013608001664/file1.htm,https://www.sec.gov/Archives/edgar/data/1393726/000095012309004764/0000950123-09-004764-index.html,https://www.sec.gov/Archives/edgar/data/1393726/000095012310025300/0000950123-10-025300-index.html,https://www.sec.gov/Archives/edgar/data/1393726/000095012311031635/y04654e10vk.htm,https://www.sec.gov/Archives/edgar/data/1393726/000119312512152199/d304834d10k.htm,https://www.sec.gov/Archives/edgar/data/1393726/000119312513122652/0001193125-13-122652-index.html,https://www.sec.gov/Archives/edgar/data/1393726/000139372614000009/tiptreeform10-k2013.htm,https://www.sec.gov/Archives/edgar/data/1393726/000139372615000019/tfi201410-k.htm,https://www.sec.gov/Archives/edgar/data/1393726/000139372616000082/0001393726-16-000082-index.html,https://www.sec.gov/Archives/edgar/data/1393726/000139372617000009/0001393726-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1393726/000139372618000013/0001393726-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1393726/000139372619000036/0001393726-19-000036-index.html,https://www.sec.gov/Archives/edgar/data/1393726/000139372620000041/0001393726-20-000041-index.html,https://www.sec.gov/Archives/edgar/data/1393726/000139372621000014/0001393726-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1393726/000139372622000020/0001393726-22-000020-index.htm
102,false,,,,,,,,,,,,,,,
