,https://roic.ai/company/AEY,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1682868,2275402,3056396,2664872,4813011,6144174,7498175,8059052,8771838,6899076,8624656,8766136,8156536,7159604,6901946,6625907,7231097,6841273,10508357,12722679,12097022,14664987,14325268,13068636,20969000,25447000
11,COGS and Expenses,3791287,7106799,5571735,10715180,15868063,18029384,21868951,27131094,37586970,40300243,44424487,53102641,47996203,36475249,39752470,33154589,32086057,30625545,34791593,41157410,38319403,48568140,50516279,59094411,59471000,71480000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90686,- -,- -,96411,321000,135000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,936339,801211,696634,1113854,25980,217910,305310,236024,389722,231888,79902,254000,238000
14,Depreciation and Amortization,403856,912707,717403,89000,202886,312441,325665,257821,277352,256435,247504,307752,388702,411052,398778,370965,356091,330467,842001,1234508,1247754,1714016,1631440,1452892,1780000,940000
15,EBITDA,3168176,5332627,40023,4420201,6079532,4830871,3620899,6237409,9604105,9671827,7834222,12296091,7857496,6179395,7952438,5295906,3486437,3062514,1273054,3810718,1956941,1859622,-3820528,-3782649,-16548000,-5377000
16,EBITDA ratio,0.4498,0.4594,0.0080,0.2884,0.2763,0.2111,0.1425,0.1872,0.2040,0.1924,0.1491,0.1873,0.1392,0.1463,0.1681,0.1391,0.0990,0.0918,0.0355,0.0871,0.0506,0.0382,-0.0806,-0.0686,-0.3298,-0.0865
17,Operating Income,3252728,4500864,-545857,4610268,6134480,4855182,3539980,6196651,9484359,9972952,8116722,12543444,8452358,5768343,7553660,4924941,3130346,2732047,1097099,2576210,343861,145606,-5193410,-3976114,-18530000,-9297000
18,Operating Income ratio,0.4618,0.3877,-0.1086,0.3008,0.2788,0.2122,0.1393,0.1859,0.2015,0.1984,0.1545,0.1911,0.1497,0.1365,0.1597,0.1293,0.0889,0.0819,0.0306,0.0589,0.0089,0.0030,-0.1095,-0.0721,-0.3693,-0.1496
19,Total Other Income Expenses (Gains),-488408,-80944,-131523,4482,-257834,-336752,-244746,-217063,-157606,-557560,-530004,-555105,-983564,-936339,-801211,-696634,-1113854,-25980,-217910,-305310,129302,-389722,-490446,-71985,-52000,2742000
20,Income Before Tax,2764320,4419920,-677380,- -,5876646,4518430,3295234,5979588,9326753,9415392,7586718,11988339,7468794,4832004,6752449,4228307,2016492,2706067,879189,2270900,473163,-244116,-5683856,-4048099,-18582000,-6555000
21,Income Before Tax Ratio,0.3924,0.3808,-0.1348,- -,0.2671,0.1974,0.1297,0.1794,0.1981,0.1873,0.1444,0.1826,0.1323,0.1144,0.1427,0.1110,0.0573,0.0811,0.0245,0.0519,0.0122,-0.0050,-0.1199,-0.0734,-0.3703,-0.1055
22,Income Tax expense (Gain),940000,1697817,1486614,- -,2169000,1667000,1104000,1487000,3513000,3601000,2744000,4558000,2801000,1813000,2566000,1692000,766000,1036351,220000,773000,179000,-146000,1636000,-13000,-1249000,-53000
23,Net Income,1824320,2722103,-2163994,4331201,3707646,2851430,2191234,4492588,5813753,5814392,4842718,7430339,4667794,3019004,4186449,2536307,1250492,1669716,-6857,1497900,294163,-98116,-7319856,-5302443,-17333000,-6502000
24,Net Income ratio,0.2590,0.2345,-0.4306,0.2826,0.1685,0.1246,0.0862,0.1348,0.1235,0.1157,0.0922,0.1132,0.0827,0.0715,0.0885,0.0666,0.0355,0.0501,-0.0002,0.0343,0.0076,-0.0020,-0.1544,-0.0962,-0.3454,-0.1046
25,EPS,1.20,1.80,-1.49,2.93,0.25,0.16,0.10,0.33,0.46,0.49,0.39,0.64,0.44,0.30,0.41,0.25,0.12,0.17,-0.00,0.15,0.03,-0.01,-0.71,-0.51,-1.55,-0.52
26,EPS Diluted,1.20,1.68,-1.49,2.93,0.24,0.16,0.10,0.30,0.41,0.49,0.39,0.64,0.44,0.30,0.41,0.25,0.12,0.17,-0.00,0.15,0.03,-0.01,-0.71,-0.51,-1.55,-0.52
27,Weighted Average Shares Outstanding,1436062,1461668,1478071,9740846,9870584,10071438,9512340,9856327,10041197,10067277,10152472,10237331,10263365,10162122,10132658,10175213,10196241,10052359,10021431,10055552,10107483,10201825,10272749,10361292,11163660,12401043
28,Weighted Average Shares Outstanding Diluted,1436062,1566073,1478071,9740846,10281858,10071438,9512340,10841960,12104541,10109854,10201474,10250835,10281136,10164216,10136610,10178763,10197496,10052359,10049440,10055552,10111545,10201825,10272749,10361292,11163660,12401043
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/874292/000135585606000049/0001355856-06-000049-index.htm,- -,https://www.sec.gov/Archives/edgar/data/874292/000135585608000044/0001355856-08-000044-index.htm,https://www.sec.gov/Archives/edgar/data/874292/000144526009000018/0001445260-09-000018-index.htm,- -,https://www.sec.gov/Archives/edgar/data/874292/000144526011000032/0001445260-11-000032-index.htm,https://www.sec.gov/Archives/edgar/data/874292/000144526012000048/0001445260-12-000048-index.htm,https://www.sec.gov/Archives/edgar/data/874292/000144526013000058/0001445260-13-000058-index.htm,https://www.sec.gov/Archives/edgar/data/874292/000144526014000042/0001445260-14-000042-index.htm,https://www.sec.gov/Archives/edgar/data/874292/000144526015000049/0001445260-15-000049-index.htm,https://www.sec.gov/Archives/edgar/data/874292/000144526016000094/0001445260-16-000094-index.htm,- -,https://www.sec.gov/Archives/edgar/data/874292/000144526018000055/0001445260-18-000055-index.htm,https://www.sec.gov/Archives/edgar/data/874292/000144526019000064/0001445260-19-000064-index.htm,https://www.sec.gov/Archives/edgar/data/874292/000162828020017632/0001628280-20-017632-index.htm,https://www.sec.gov/Archives/edgar/data/874292/000162828021025600/0001628280-21-025600-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,739140,2003165,421722,16843,22495,230558,775740,496283,1316239,449219,98898,60993,15211,700004,8739151,10943654,5191514,8366657,5286097,6110986,4508126,3972723,3129280,1242143,8265000,2608000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,739140,2003165,421722,16843,22495,230558,775740,496283,1316239,449219,98898,60993,15211,700004,8739151,10943654,5191514,8366657,5286097,6110986,4508126,3972723,3129280,1242143,8265000,2608000
34,Net Receivables,991544,1548961,124777,2883679,3471538,2995486,3349108,3783680,4787749,7671549,5625426,6863131,6787897,4287547,5109138,4593794,3460182,3293233,6613684,4286377,4759692,5814191,4579634,8939298,7241000,9501000
35,Inventory,- -,- -,- -,12089769,14580490,17729121,17584237,22131096,20978714,25321149,28990696,31464527,33678418,33166624,27410722,25777747,22666385,20730453,22780523,23600996,21524919,22333820,18888042,7625573,5756000,5922000
36,Other Current Assets,3309166,1468086,13434,124223,43000,36000,258190,367000,651000,968000,1074000,678000,1069000,1389423,1515567,1236486,1049357,1188283,1590873,1929454,323289,298152,3931510,1158133,992000,1765000
37,Total Current Assets,5039850,5020212,559933,15114514,18117523,20991165,21967275,26778059,27733702,34409917,35789020,39066651,41550526,39543598,42774578,42551681,32367438,33578626,36271177,35927813,31116026,32418886,30528466,18965147,22254000,19796000
38,PP&E,2233425,2594129,1174681,355432,647787,1759209,2212571,2626162,2401599,2702756,2538105,7498024,7926175,7556667,7224256,8353762,8091527,7965883,6467709,6201003,6210763,6020572,2018128,1831105,6392000,6223000
39,Goodwill,- -,- -,- -,199490,- -,- -,- -,- -,- -,- -,1560183,1560183,1560183,1560183,1560183,1560183,1560183,1560183,3910089,3910089,3910089,5970244,4820185,4877739,58000,58000
40,Intangible Assets,- -,- -,- -,- -,1360500,1488024,1319626,1150060,1150060,1150060,- -,- -,- -,- -,- -,- -,- -,- -,6625278,5799473,4973669,8547487,6844398,6002998,1425000,1107000
41,Intangible Assets,371771,280960,190150,199490,1360500,1488024,1319626,1150060,1150060,1150060,1560183,1560183,1560183,1560183,1560183,1560183,1560183,1560183,10535367,9709562,8883758,14517731,11664583,10880737,1483000,1165000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2588624,98704,49000,- -,- -,- -
43,Tax Assets,41000,41000,- -,1255000,- -,990000,1005000,1154000,1042000,786000,702000,679000,625000,744000,678000,403000,- -,- -,- -,- -,1333000,1653000,- -,- -,- -,- -
44,Other Non-Current Assets,37489,186184,1163822,663597,1825650,106493,26858,39628,31222,220275,335566,204843,137672,28098,23236,19245,13778,11428,131428,134678,135988,138712,134443,5151355,2554000,128000
45,Total Non-Current Assets,2683685,3102273,2528653,2473519,3833937,4343726,4564055,4969850,4624881,4859091,5135854,9942050,10249030,9888948,9485675,10336190,9665488,9537494,17134504,16045243,19152133,22428719,13866154,17863197,10429000,7516000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7723535,8122485,3088586,17588033,21951460,25334891,26531330,31747909,32358583,39269008,40924874,49008701,51799556,49432546,52260253,52887871,42032926,43116120,53405681,51973056,50268159,54847605,44394620,36828344,32683000,27312000
48,Accounts Payable,573029,834115,45604,1295642,766067,852424,1471672,2631221,1758695,4958834,2618490,4301672,3267005,2523143,2751498,2675907,1437492,1308869,2880761,1784482,1857953,3392725,4657188,4730537,3472000,7044000
49,Short-Term Debt,1156656,- -,- -,4407508,3454633,5723108,4640348,6142768,4462230,3473751,4717970,3163098,4649415,1863767,1814008,1814008,184008,184008,845845,873752,899603,4189605,2594185,- -,6069000,3830000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,219662,176296,154616,191316,238934,120455,163016,260390,69080,91000,-13000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97478,113000,168000
52,Other Current Liabilities,2489746,1282271,18786,- -,2386227,1293984,2032300,1234573,1342659,2197214,1391139,1541890,1146673,1095822,1340414,1240224,1030174,934856,2793147,2463267,2287779,2071047,1814384,2375778,1540000,2273000
53,Total Current Liabilities,4219431,2116386,64390,5703150,6606927,7869516,8144320,10008562,7563584,10629799,8727599,9006660,9063093,5482732,5905920,5730139,2651674,2427733,6519753,5121501,5045335,9653377,9065757,7203793,11194000,13315000
54,Long-Term Debt,108600,228072,359495,- -,33969,529865,500267,769582,7147334,5908199,4666738,5845689,15860245,13992873,12058128,10244120,1502612,1318604,5240066,4366130,3466358,2094246,- -,- -,6541000,3570000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,359000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62000,193000,267000,286000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,299944,1049685,1252683,957258,- -,- -,1942889,1064717,131410,1401799,801612,177951,15000,- -
58,Total Non-Current Liabilities,467600,228072,359495,- -,33969,529865,500267,769582,7147334,5908199,4666738,5845689,16160189,15042558,13310811,11201378,1564612,1511604,7449955,5716847,3597768,3496045,801612,177951,6556000,3570000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5661000,5350000
61,Total Liabilities,4687031,2344458,423885,5703150,6640896,8399381,8644587,10778144,14710918,16537998,13394337,14852349,25223282,20525290,19216731,16931517,4216286,3939337,13969708,10838348,8643103,13149422,9867369,7381744,17750000,16885000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,20000000,12000000,12000000,12000000,12000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,57311,59066,14766,97124,99930,100117,100117,100304,100818,100931,102528,102708,102941,103408,103679,104314,104653,104991,105419,105642,106349,107267,108068,108620,118000,126000
64,Retained Earnings,-6534936,-3903933,-6106259,- -,-4735202,-3110443,-2159210,8312822,12886575,17860967,21863685,28454024,32988338,36007342,40193791,42730098,43980590,45650306,45643449,47141349,47435512,47337396,40017540,34715097,17382000,10879000
65,Other Comprehensive Income/Loss,-482179,-981186,-489152,-595321,-686166,-857105,-1040989,-1284347,-1561698,89206,92506,37358,-187944,-645685,-776683,-587258,- -,-3963444,-4191516,-4584796,-4993102,- -,-4276024,-835424,- -,- -
66,Other Total Stockholders Equity,9996308,10604080,9245346,12383080,20632002,20802941,20986825,-6159014,-5778030,-7320094,-6528182,-6437738,-6327061,-6557809,- -,-6290800,-6268603,-2615070,-2121379,-1527487,-923703,- -,-1322333,-4541693,- -,- -
67,Total Stockholders Equity,3036504,5778027,2664701,11884883,15310564,16935510,17886743,20969765,17647665,22731010,27530537,34156352,26576274,28907256,33043522,35956354,37816640,39176783,39435973,41134708,41625056,41698183,34527251,29446600,14933000,10427000
68,Total Liabilities And Stockholders Equity,7723535,8122485,3088586,17588033,21951460,25334891,26531330,31747909,32358583,39269008,40924874,49008701,51799556,49432546,52260253,52887871,42032926,43116120,53405681,51973056,50268159,54847605,44394620,36828344,32683000,27312000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,7723535,8122485,3088586,17588033,21951460,25334891,26531330,31747909,32358583,39269008,40924874,49008701,51799556,49432546,52260253,52887871,42032926,43116120,53405681,51973056,50268159,54847605,44394620,36828344,32683000,27312000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/874292/000135585606000049/0001355856-06-000049-index.htm,- -,https://www.sec.gov/Archives/edgar/data/874292/000135585608000044/0001355856-08-000044-index.htm,https://www.sec.gov/Archives/edgar/data/874292/000144526009000018/0001445260-09-000018-index.htm,- -,https://www.sec.gov/Archives/edgar/data/874292/000144526011000032/0001445260-11-000032-index.htm,https://www.sec.gov/Archives/edgar/data/874292/000144526012000048/0001445260-12-000048-index.htm,https://www.sec.gov/Archives/edgar/data/874292/000144526013000058/0001445260-13-000058-index.htm,https://www.sec.gov/Archives/edgar/data/874292/000144526014000042/0001445260-14-000042-index.htm,https://www.sec.gov/Archives/edgar/data/874292/000144526015000049/0001445260-15-000049-index.htm,https://www.sec.gov/Archives/edgar/data/874292/000144526016000094/0001445260-16-000094-index.htm,- -,https://www.sec.gov/Archives/edgar/data/874292/000144526018000055/0001445260-18-000055-index.htm,https://www.sec.gov/Archives/edgar/data/874292/000144526019000064/0001445260-19-000064-index.htm,https://www.sec.gov/Archives/edgar/data/874292/000162828020017632/0001628280-20-017632-index.htm,https://www.sec.gov/Archives/edgar/data/874292/000162828021025600/0001628280-21-025600-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1824320,2722103,-2163994,4331201,3707646,2851430,2191234,4492588,5813753,5814392,4842718,7430339,4667794,3019004,4186449,2536307,1250492,1669716,-6857,1497900,294163,-98116,-7319856,-5302443,-17333000,-6502000
74,Depreciation and Amortization,403856,912707,717403,89000,202886,312441,325665,257821,277352,256435,247504,307752,388702,411052,398778,370965,356091,330467,842001,1234508,1247754,1714016,1631440,1452892,1780000,940000
75,Deferred Income Tax,940000,1497000,1473000,- -,- -,117000,-81000,-414000,-172000,-116000,-22000,419000,-225000,-40000,-3000,533000,234000,-15000,-276000,-341000,157000,-320000,1653000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121834,84984,109516,201404,167041,212436,239613,192213,175465,155174,199292,574000,1009000
77,Change in Working Capital,-442602,-1202850,-699172,-2122184,-2805307,-1412157,-63431,-3340487,-507721,196833,-5787285,-2587194,-5008222,1119555,4590961,2060926,2202851,843451,-3755922,-468106,515083,489027,3534096,-4557059,113000,-506000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2375719,-732759,892459,1193253,29943,-2351459,2057203,115479,-71254,1359983,-1419580,859000,-3045000
79,Inventory,- -,- -,- -,-1447753,-2239810,-2327183,144883,-4546859,1152382,-1445190,-4109172,-3219831,-3884316,-458926,4950218,1896005,2530775,891019,-2188205,-1420473,1140895,-688729,988285,-1590972,27000,-875000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-743863,228355,-403790,-1238415,-128623,-78670,-1096279,15514,951099,1264463,180256,-1259000,3572000
81,Other Working Capital,697462,-810834,-926339,38403,- -,- -,- -,- -,- -,102000,-132276,75575,58982,1014,693,74825,5467,2350,- -,339346,-604639,230927,72689,254894,-1248000,1390000
82,Other Non-Cash Items,161285,119472,1534597,- -,155000,- -,- -,- -,24412,- -,961995,1092285,1770155,1091433,839550,405953,694658,1038963,1547859,680652,1134278,1028421,4171580,3398749,11042000,-2451000
83,Cash Provided by Operating Activities,2886859,4048432,861834,2298017,1260225,1868714,2372468,995922,5435796,6151660,242932,6662182,1593429,5722878,10097722,6016667,4939496,4034638,-1436483,2843567,3540491,2988813,3825434,-4808569,-3824000,-7510000
84,CAPEX,-1722761,-1182600,-753765,-84200,-275000,-1673805,-610630,-671412,-77201,-446534,-99520,-5201691,-820353,-69544,-96821,-1498132,-207927,-211223,-43977,-172649,-317810,-190303,-127257,-601612,-608000,-300000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-166951,- -,- -,- -,-549785,- -,- -,- -,- -,-3040839,- -,- -,753199,- -,- -
86,Purchases of Investments,- -,- -,-1002520,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,262340,16842,90047,657569,- -,- -,- -,-3510935,- -,-145834,3500,36594,22750,43011,- -,12350,-6217646,-1000000,-910781,-5251803,-851954,6447692,3002000,3819000
89,Cash Used for Investing Activites,-1722761,-1182600,-1493945,-67358,-184953,-1016236,-610630,-671412,-77201,-3957469,-99520,-5514476,-816853,-32950,-74071,-2004906,-207927,-198873,-6261623,-1172649,-4269430,-5442106,-979211,6599279,2394000,3519000
90,Debt Repayment,- -,- -,-383580,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4653020,-1984504,-1814008,-10371508,-184008,-492522,-846029,-873921,-2065810,-4189666,-2061032,-3278000,-2428000
91,Common Stock Issued,2501374,78799,- -,- -,7437,- -,- -,- -,104147,19747,343509,30310,20249,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,899000
92,Common Stock Repurchased,- -,- -,-911000,- -,-54164,- -,- -,- -,-8000000,- -,- -,- -,-12000000,-352115,- -,- -,-113821,-479914,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-523950,-38332,- -,-930000,-1240000,-1240000,-1240000,-1340000,-840000,-840000,-840000,-343480,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-2946776,-1156656,383580,-2213816,-92893,595585,23344,636033,4697214,-2240958,2758,-375921,11500873,- -,- -,6750,1620,3300,5000000,- -,- -,3983700,500000,-1264906,11487000,89000
95,Cash Used/Provided by Financing Activities,-445402,-1601807,-949332,-2213816,-1069620,-644415,-1216656,-603967,-4538639,-3061211,-493733,-1185611,-822358,-5005135,-1984504,-1807258,-10483709,-660622,4507478,-846029,-873921,1917890,-3689666,-3325938,8209000,-1440000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,718696,1264025,-1581443,-2213816,5652,208063,545182,-279457,819956,-867020,-350321,-37905,-45782,684793,8039147,2204503,-5752140,3175143,-3190628,824889,-1602860,-535403,-843443,-1535228,6779000,-5431000
98,Cash at the End of Period,739140,2003165,421722,16843,22495,230558,775740,496283,1316239,449219,98898,60993,15211,700004,8739151,10943654,5191514,8366657,5286097,6110986,4508126,3972723,3129280,1594052,8374000,2942000
99,Cash at the Beginning of Period,20444,739140,2003165,- -,16843,22495,230558,775740,496283,1316239,449219,98898,60993,15211,700004,8739151,10943654,5191514,8476725,5286097,6110986,4508126,3972723,3129280,1595000,8373000
100,Free Cash Flow,1164098,2865832,108069,2213817,985225,194909,1761838,324510,5358595,5705126,143412,1460491,773076,5653334,10000901,4518535,4731569,3823415,-1480460,2670918,3222681,2798510,3698177,-5410181,-4432000,-7810000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/874292/000135585606000049/0001355856-06-000049-index.htm,- -,https://www.sec.gov/Archives/edgar/data/874292/000135585608000044/0001355856-08-000044-index.htm,https://www.sec.gov/Archives/edgar/data/874292/000144526009000018/0001445260-09-000018-index.htm,- -,https://www.sec.gov/Archives/edgar/data/874292/000144526011000032/0001445260-11-000032-index.htm,https://www.sec.gov/Archives/edgar/data/874292/000144526012000048/0001445260-12-000048-index.htm,https://www.sec.gov/Archives/edgar/data/874292/000144526013000058/0001445260-13-000058-index.htm,https://www.sec.gov/Archives/edgar/data/874292/000144526014000042/0001445260-14-000042-index.htm,https://www.sec.gov/Archives/edgar/data/874292/000144526015000049/0001445260-15-000049-index.htm,https://www.sec.gov/Archives/edgar/data/874292/000144526016000094/0001445260-16-000094-index.htm,- -,https://www.sec.gov/Archives/edgar/data/874292/000144526018000055/0001445260-18-000055-index.htm,https://www.sec.gov/Archives/edgar/data/874292/000144526019000064/0001445260-19-000064-index.htm,https://www.sec.gov/Archives/edgar/data/874292/000162828020017632/0001628280-20-017632-index.htm,https://www.sec.gov/Archives/edgar/data/874292/000162828021025600/0001628280-21-025600-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
