,https://roic.ai/company/HRNNF,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,16000000,- -,33000000,- -,- -,565000000,100000000,94000000,50000000,25000000,483000000,30000000,757000000,540000000
32,Short-Term Investments,- -,- -,- -,- -,- -,139000000,228000000,195000000,251000000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,16000000,- -,172000000,228000000,195000000,816000000,100000000,94000000,50000000,25000000,483000000,30000000,757000000,540000000
34,Net Receivables,628000000,777000000,759000000,756000000,864000000,946000000,980000000,999000000,1120000000,1240000000,967000000,996000000,889000000,883000000,1116000000,1048000000,983000000
35,Inventory,56000000,56000000,67000000,19000000,21000000,21000000,25000000,23000000,23000000,23000000,21000000,19000000,18000000,20000000,21000000,23000000,22000000
36,Other Current Assets,12000000,13000000,120000000,82000000,88000000,50000000,44000000,69000000,99000000,87000000,84000000,83000000,87000000,105000000,101000000,161000000,281000000
37,Total Current Assets,696000000,846000000,946000000,873000000,973000000,1189000000,1277000000,1286000000,2058000000,1450000000,1166000000,1148000000,1019000000,1491000000,1268000000,1989000000,1826000000
38,PP&E,10110000000,10526000000,11214000000,11960000000,12998000000,14061000000,14903000000,15707000000,16431000000,17401000000,17968000000,19140000000,19947000000,20687000000,21501000000,22631000000,23842000000
39,Goodwill,133000000,133000000,133000000,133000000,133000000,133000000,133000000,133000000,133000000,173000000,163000000,327000000,325000000,325000000,325000000,373000000,373000000
40,Intangible Assets,- -,- -,- -,162000000,218000000,189000000,224000000,267000000,313000000,276000000,336000000,349000000,369000000,410000000,456000000,514000000,570000000
41,Intangible Assets,133000000,133000000,133000000,295000000,351000000,322000000,357000000,400000000,446000000,449000000,499000000,676000000,694000000,735000000,781000000,887000000,943000000
42,Investments,- -,- -,- -,- -,- -,249000000,250000000,251000000,- -,- -,- -,- -,- -,- -,- -,7000000,22000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,14000000,11000000,7000000,1636000000,1235000000,987000000,1018000000,748000000,124000000,118000000
44,Other Non-Current Assets,882000000,729000000,497000000,750000000,1488000000,1501000000,1581000000,3153000000,2679000000,3243000000,3059000000,3152000000,3054000000,1726000000,2763000000,4656000000,3632000000
45,Total Non-Current Assets,11125000000,11388000000,11844000000,13005000000,14837000000,16133000000,17091000000,19525000000,19567000000,21100000000,23162000000,24203000000,24682000000,24166000000,25793000000,28305000000,28557000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,11821000000,12234000000,12790000000,13878000000,15810000000,17322000000,18368000000,20811000000,21625000000,22550000000,24328000000,25351000000,25701000000,25657000000,27061000000,30294000000,30383000000
48,Accounts Payable,700000000,661000000,731000000,793000000,800000000,884000000,1071000000,140000000,62000000,173000000,155000000,181000000,177000000,179000000,189000000,238000000,255000000
49,Short-Term Debt,598000000,484000000,552000000,400000000,681000000,500000000,639000000,642000000,787000000,554000000,1991000000,1071000000,1678000000,1983000000,1805000000,1618000000,1662000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,43000000,49000000,169000000,107000000,174000000,156000000,110000000,974000000,1148000000,988000000,851000000,911000000,885000000,866000000,1093000000,1123000000,1061000000
53,Total Current Liabilities,1341000000,1194000000,1452000000,1300000000,1655000000,1540000000,1820000000,1756000000,1997000000,1715000000,2997000000,2163000000,2740000000,3028000000,3087000000,2979000000,2978000000
54,Long-Term Debt,4466000000,4872000000,5063000000,5733000000,6281000000,7278000000,7399000000,7879000000,8301000000,8373000000,8224000000,10078000000,9802000000,10467000000,10891000000,12796000000,13063000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,944000000,1129000000,1313000000,207000000,60000000,71000000,58000000,61000000,56000000,367000000
57,Other Non-Current Liabilities,1298000000,1347000000,1389000000,1721000000,2456000000,2523000000,2695000000,3402000000,2783000000,3223000000,2999000000,2983000000,2857000000,2482000000,3173000000,3857000000,3019000000
58,Total Non-Current Liabilities,5764000000,6219000000,6452000000,7454000000,8737000000,9801000000,10094000000,12225000000,12213000000,12909000000,11430000000,13121000000,12730000000,13007000000,14125000000,16709000000,16449000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78000000,82000000,60000000
61,Total Liabilities,7105000000,7413000000,7904000000,8754000000,10392000000,11341000000,11914000000,13981000000,14210000000,14624000000,14427000000,15284000000,15470000000,16035000000,17212000000,19688000000,19427000000
62,Preferred Stock,323000000,323000000,323000000,323000000,323000000,323000000,323000000,323000000,323000000,323000000,418000000,418000000,418000000,418000000,418000000,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,3314000000,3314000000,3314000000,5623000000,5623000000,5631000000,5643000000,5661000000,5678000000,5688000000
64,Retained Earnings,1079000000,1184000000,1258000000,1497000000,1791000000,2354000000,2827000000,3202000000,3787000000,4249000000,3806000000,3950000000,4090000000,3459000000,3667000000,4838000000,5174000000
65,Other Comprehensive Income/Loss,- -,- -,-9000000,-10000000,-10000000,-10000000,-10000000,-9000000,-9000000,-9000000,-8000000,-8000000,-7000000,-3000000,-5000000,-29000000,-12000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,34000000,49000000,56000000,49000000,47000000,38000000
67,Total Stockholders Equity,4716000000,4821000000,4886000000,5124000000,5418000000,5981000000,6454000000,6830000000,7415000000,7877000000,9849000000,10017000000,10181000000,9573000000,9790000000,10534000000,10888000000
68,Total Liabilities And Stockholders Equity,11821000000,12234000000,12790000000,13878000000,15810000000,17322000000,18368000000,20811000000,21625000000,22501000000,24276000000,25301000000,25651000000,25608000000,27002000000,30222000000,30315000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,49000000,52000000,50000000,50000000,49000000,59000000,72000000,68000000
70,Total Liabilities & Equity,11821000000,12234000000,12790000000,13878000000,15810000000,17322000000,18368000000,20811000000,21625000000,22550000000,24328000000,25351000000,25701000000,25657000000,27061000000,30294000000,30383000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,483000000,455000000,399000000,498000000,470000000,591000000,641000000,745000000,803000000,749000000,703000000,740000000,676000000,-71000000,802000000,1796000000,973000000
74,Depreciation and Amortization,446000000,474000000,482000000,502000000,487000000,526000000,550000000,589000000,597000000,641000000,668000000,688000000,727000000,747000000,777000000,783000000,815000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-9000000,-2000000,10000000,-2844000000,114000000,85000000,890000000,-30000000,-823000000,154000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,194000000,-92000000,135000000,125000000,-38000000,77000000,196000000,-40000000,11000000,-55000000,208000000,134000000,113000000,-23000000,55000000,180000000,100000000
78,Accounts Receivable,87000000,-149000000,18000000,5000000,-89000000,-68000000,-38000000,-30000000,-78000000,-93000000,240000000,-60000000,195000000,11000000,-73000000,12000000,18000000
79,Inventory,-9000000,- -,-11000000,4000000,-2000000,- -,-4000000,2000000,- -,- -,2000000,2000000,1000000,- -,- -,- -,1000000
80,Accounts Payable,- -,- -,- -,-1000000,4000000,-3000000,- -,-14000000,-60000000,39000000,-23000000,19000000,7000000,2000000,7000000,37000000,-3000000
81,Other Working Capital,52000000,97000000,55000000,50000000,39000000,51000000,49000000,56000000,84000000,80000000,60000000,78000000,85000000,25000000,33000000,72000000,50000000
82,Other Non-Cash Items,46000000,59000000,125000000,-73000000,-27000000,-30000000,20000000,- -,-5000000,-89000000,12000000,-20000000,115000000,32000000,10000000,94000000,107000000
83,Cash Provided by Operating Activities,1169000000,896000000,1141000000,1052000000,892000000,1164000000,1407000000,1285000000,1404000000,1256000000,-1253000000,1656000000,1716000000,1575000000,1614000000,2030000000,2149000000
84,CAPEX,-691000000,-823000000,-1091000000,-1284000000,-1566000000,-1570000000,-1447000000,-1454000000,-1412000000,-1504000000,-1632000000,-1661000000,-1547000000,-1538000000,-1628000000,-1844000000,-2071000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-66000000,-90000000,-224000000,- -,- -,- -,-126000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-250000000,- -,- -,- -,- -,-53000000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,250000000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-682000000,-808000000,-1083000000,-1278000000,-1553000000,-1533000000,-1418000000,-1435000000,-1385000000,-1510000000,-1564000000,-1637000000,-1540000000,-1516000000,-1628000000,-1851000000,-2063000000
89,Cash Used for Investing Activites,-682000000,-808000000,-1083000000,-1278000000,-1553000000,-1783000000,-1418000000,-1435000000,-1385000000,-1326000000,-1707000000,-1861000000,-1540000000,-1516000000,-1628000000,-1977000000,-2063000000
90,Debt Repayment,-648000000,-589000000,-355000000,-540000000,-400000000,-600000000,-500000000,-600000000,-611000000,-805000000,-587000000,-4555000000,-3940000000,-4669000000,-5569000000,-5086000000,-4709000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2600000000,- -,- -,- -,6000000,7000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-418000000,- -
93,Dividends Paid,-291000000,-350000000,-325000000,-259000000,-188000000,-28000000,-168000000,-370000000,-218000000,-287000000,-888000000,-596000000,-536000000,-560000000,-588000000,-617000000,-629000000
94,Other Financing Activites,452000000,831000000,639000000,1053000000,1207000000,1445000000,696000000,1087000000,1180000000,697000000,1829000000,5312000000,4275000000,5628000000,5712000000,6788000000,5035000000
95,Cash Used/Provided by Financing Activities,-487000000,-108000000,-41000000,254000000,619000000,817000000,28000000,117000000,351000000,-395000000,2954000000,161000000,-201000000,399000000,-439000000,674000000,-303000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-20000000,17000000,28000000,-42000000,198000000,17000000,-33000000,370000000,-465000000,-6000000,-44000000,-25000000,458000000,-453000000,727000000,-217000000
98,Cash at the End of Period,-9000000,-29000000,-12000000,16000000,-26000000,172000000,189000000,195000000,565000000,100000000,94000000,50000000,25000000,483000000,30000000,757000000,540000000
99,Cash at the Beginning of Period,-9000000,-9000000,-29000000,-12000000,16000000,-26000000,172000000,228000000,195000000,565000000,100000000,94000000,50000000,25000000,483000000,30000000,757000000
100,Free Cash Flow,478000000,73000000,50000000,-232000000,-674000000,-406000000,-40000000,-169000000,-8000000,-248000000,-2885000000,-5000000,169000000,37000000,-14000000,186000000,78000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.8601,0.8579,1.0035,0.8218,0.9507,1.0027,0.9807,1.0067,0.9413,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851,0.7913
