,https://roic.ai/company/GRWG,2015,2016,2017,2018,2019,2020,2021
36,Other Current Assets,19986,35256,711852,606037,2549559,11124752,24412000
37,Total Current Assets,2068596,3607573,7166026,24977884,42643569,250228660,216889000
38,PP&E,271236,549854,1259483,1820821,10969207,18563520,67846000
39,Goodwill,243000,243000,592500,8752909,17798932,62951461,125401000
40,Intangible Assets,- -,- -,53286,114155,233280,21489544,48402000
41,Intangible Assets,243000,243000,645786,8867064,18032212,84441005,173803000
42,Investments,- -,- -,- -,- -,- -,- -,39793000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,27230,42526,183113,227205,377364,1500510,-38993000
45,Total Non-Current Assets,541466,835380,2088382,10915090,29378783,104505035,242449000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2610062,4442953,9254408,35892974,72022352,354733695,459338000
48,Accounts Payable,292078,535913,1067857,1819411,6024750,14623107,17033000
49,Short-Term Debt,62050,131323,41707,436813,1946931,3083561,13716000
50,Tax Payable,22093,46942,73220,191958,533656,1160752,5856000
51,Deferred Revenue,18410,51672,92350,516038,2503785,5154524,- -
52,Other Current Liabilities,66018,124010,391136,642454,1605798,4488282,16327000
53,Total Current Liabilities,438556,842918,1593050,3414716,12081264,27349474,47076000
54,Long-Term Debt,18133,41726,82537,2419739,242079,157987,38612000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,750430,2359000
57,Other Non-Current Liabilities,- -,- -,- -,- -,5807266,9478553,- -
58,Total Non-Current Liabilities,18133,41726,82537,2419739,6049345,10386970,40971000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,7643966,12479237,- -
61,Total Liabilities,456689,884644,1675587,5834455,18130609,37736444,88047000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,8968,11743,16846,27949,36876,57152,60000
64,Retained Earnings,-718411,-1149655,-3692237,-8765992,-6887188,-2641558,10144000
65,Other Comprehensive Income/Loss,-20005,-72967,-223407,-573822,-1551839,- -,- -
66,Other Total Stockholders Equity,2882821,4769188,11477619,39370384,62293894,319581657,361087000
67,Total Stockholders Equity,2153373,3558309,7578821,30058519,53891743,316997251,371291000
68,Total Liabilities And Stockholders Equity,2610062,4442953,9254408,35892974,72022352,354733695,459338000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2610062,4442953,9254408,35892974,72022352,354733695,459338000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1604868/000121390017003102/0001213900-17-003102-index.html,https://www.sec.gov/Archives/edgar/data/1604868/000121390018003536/0001213900-18-003536-index.html,https://www.sec.gov/Archives/edgar/data/1604868/000121390019005471/0001213900-19-005471-index.html,https://www.sec.gov/Archives/edgar/data/1604868/000121390020007584/0001213900-20-007584-index.html,https://www.sec.gov/Archives/edgar/data/1604868/000121390021018097/0001213900-21-018097-index.htm,https://www.sec.gov/Archives/edgar/data/1604868/000162828022005596/0001628280-22-005596-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-528756,-431244,-2542582,-5073755,1878804,5328378,17672000
74,Depreciation and Amortization,16436,52962,151561,351069,1044553,2435965,12600000
75,Deferred Income Tax,- -,- -,- -,- -,- -,750430,1609000
76,Stock Based Compensation,229950,184333,1077932,1895219,2490535,7856163,6585000
77,Change in Working Capital,-901560,1134615,2808321,15990192,8999137,192316881,-53066186
78,Accounts Receivable,-38647,-395208,-312333,-244288,-3764947,-3470690,619000
79,Inventory,-1003855,-1256799,-2084551,-792575,-10482014,-19192401,-34690000
80,Accounts Payable,124313,243835,494093,514154,4165188,9987990,3285000
81,Other Working Capital,1630040,2764655,5572976,21563168,30562305,222879186,169813000
82,Other Non-Cash Items,48291,-2411573,-4901407,-14703756,-17752289,-208901607,19759186
83,Cash Provided by Operating Activities,-1135639,-1470907,-3406175,-1541031,-3339260,-213790,5159000
84,CAPEX,-253717,-331580,-1179008,-686902,-2351937,-4429303,-18740000
85,Acquisitions Net,- -,- -,- -,-5680409,-9458743,-41400900,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-75000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,35207000
88,Other Investing Activites,- -,- -,-403907,-61523,-119125,-1027548,-80784000
89,Cash Used for Investing Activites,-253717,-331580,-1179008,-6367311,-11810680,-45830203,-139317000
90,Debt Repayment,- -,- -,-56259,-454979,-460129,-111445,-83000
91,Common Stock Issued,1905501,1616847,5250063,12875272,13949532,211206290,2092000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,72713,92867,- -,8912765,- -,-118785,-4391000
95,Cash Used/Provided by Financing Activities,1978214,1709714,5193804,21333058,13489403,210976060,-2382000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,588858,-92773,608621,13424716,-1660537,164932067,-136540000
98,Cash at the End of Period,699417,606644,1215265,14639981,12979444,177911511,41372000
99,Cash at the Beginning of Period,110559,699417,606644,1215265,14639981,12979444,177912000
100,Free Cash Flow,-1389356,-1802487,-4585183,-2227933,-5691197,-4643093,-13581000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1604868/000121390017003102/0001213900-17-003102-index.html,https://www.sec.gov/Archives/edgar/data/1604868/000121390018003536/0001213900-18-003536-index.html,https://www.sec.gov/Archives/edgar/data/1604868/000121390019005471/0001213900-19-005471-index.html,https://www.sec.gov/Archives/edgar/data/1604868/000121390020007584/0001213900-20-007584-index.html,https://www.sec.gov/Archives/edgar/data/1604868/000121390021018097/0001213900-21-018097-index.htm,https://www.sec.gov/Archives/edgar/data/1604868/000162828022005596/0001628280-22-005596-index.htm
102,false,,,,,,,
