,https://roic.ai/company/LTBR,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1084554/000108503705001749/0001085037-05-001749-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1084554/000114420408017883/0001144204-08-017883-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000114420409016202/0001144204-09-016202-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000114420410013655/0001144204-10-013655-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000120445911000484/0001204459-11-000484-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000120445912000368/0001204459-12-000368-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000106299313000986/0001062993-13-000986-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000106299314001645/0001062993-14-001645-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000106299315001480/0001062993-15-001480-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000106299316008358/0001062993-16-008358-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000147793217001273/0001477932-17-001273-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000147793218001292/0001477932-18-001292-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000147793219001284/0001477932-19-001284-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000147793220001403/0001477932-20-001403-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000147793221001671/0001477932-21-001671-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000147793222001855/0001477932-22-001855-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,902,894,- -,802,10927775,9907691,5580244,3028791,2373421,3569098,2197555,3672877,4220225,623184,3584877,4515398,24637295,17958989,21531665,24747613
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10461357,5146823,1598209,15731,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,902,894,- -,802,10927775,9907691,5580244,3028791,12834778,8715921,3795764,3688608,4220225,623184,3584877,4515398,24637295,17958989,21531665,24747613
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5357804,2421088,990563,277211,601803,425916,469086,139797,388434,10400,93253,400000,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,94140,394443,575666,1044315,1226269,915544,821580,1128272,843947,530365,493861,686113,561235,36745,47371,172460,113452
37,Total Current Assets,- -,- -,- -,- -,902,894,- -,94942,11322218,10483357,11982363,6676148,14740885,9814712,5525839,4958471,5219676,1256842,4659424,5087033,24767293,18406360,21704125,24861065
38,PP&E,- -,- -,- -,- -,1812,967,774,- -,21290,30676,108121,97559,72179,46514,17221,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,217875,217875,217875,241845,377262,537075,600596,699168,833560,950594,1160465,1367692,1577421,1798484,85562,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,217875,217875,217875,241845,377262,537075,600596,699168,833560,950594,1160465,1367692,1577421,1798484,85562,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138418,120486,120486,120486,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,2049,2049,- -,- -,- -,- -,- -,- -,- -,- -,982486,491268,- -,- -,- -,101583
45,Total Non-Current Assets,- -,- -,- -,- -,1812,967,774,- -,241214,250600,464414,459890,569927,704075,617817,699168,833560,950594,2142951,1858960,1577421,1798484,85562,101583
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,2714,1861,774,94942,11563432,10733957,12446777,7136038,15310812,10518787,6143656,5657639,6053236,2207436,6802375,6945993,26344714,20204844,21789687,24962648
48,Accounts Payable,- -,- -,- -,- -,307860,316398,323663,224980,1121083,2122649,2474564,296120,361344,148194,- -,- -,- -,- -,- -,300000,- -,- -,382130,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,4739,4651,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98110,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,94140,1480130,5000000,2664415,1866101,1727018,1532239,385223,476628,653668,1182371,1216321,851210,476319,350299,4200000,171521
53,Total Current Liabilities,- -,- -,- -,- -,307860,316398,323663,319120,2605952,7127300,5138979,2162221,2186472,1680433,385223,476628,653668,1182371,1216321,1151210,476319,350299,4582130,171521
54,Long-Term Debt,- -,- -,- -,- -,322803,388029,449306,- -,10433,5782,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,196938,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,12041373,- -,- -,- -,- -,- -,- -,- -,- -,2327195,28464,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,322803,388029,449306,- -,12051806,5782,- -,- -,- -,- -,- -,- -,- -,2524133,28464,- -,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,630663,704427,772969,319120,14657758,7133082,5138979,2162221,2186472,1680433,385223,476628,653668,3706504,1244785,1151210,476319,350299,4582130,171521
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1020,1020,3480,3424,3366,- -
63,Common Stock,- -,- -,- -,- -,15231,19731,38373,86073,257292,299014,416280,44918,40846,12427,12526,15057,18083,18629,7112,12738,32863,3252,6567,9759
64,Retained Earnings,- -,- -,- -,- -,-1209186,-1351419,-1446849,-4138365,-27177989,-38630572,-41489974,-48723286,-56286767,-62155774,-66212849,-71077810,-75894854,-74371441,-80716617,-87821514,-103497622,-114084746,-129155608,-136991273
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-3376,-22500,-4221,-4133,933661,140698,- -,-37442,-64442,-91404,-10000,-100000,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,569382,651622,640502,3832247,- -,41791735,48381492,53689627,69434703,71073105,71968756,76343764,81276339,72853744,86266075,93602539,129329674,133932615,146353232,161772641
67,Total Stockholders Equity,- -,- -,- -,- -,-627949,-702566,-772195,-224178,-3094326,3600875,7307798,4973817,13124340,8838354,5758433,5181011,5399568,-1499068,5557590,5794783,25868395,19854545,17207557,24791127
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,2714,1861,774,94942,11563432,10733957,12446777,7136038,15310812,10518787,6143656,5657639,6053236,2207436,6802375,6945993,26344714,20204844,21789687,24962648
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,2714,1861,774,94942,11563432,10733957,12446777,7136038,15310812,10518787,6143656,5657639,6053236,2207436,6802375,6945993,26344714,20204844,21789687,24962648
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1084554/000108503705001749/0001085037-05-001749-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1084554/000114420408017883/0001144204-08-017883-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000114420409016202/0001144204-09-016202-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000114420410013655/0001144204-10-013655-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000120445911000484/0001204459-11-000484-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000120445912000368/0001204459-12-000368-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000106299313000986/0001062993-13-000986-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000106299314001645/0001062993-14-001645-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000106299315001480/0001062993-15-001480-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000106299316008358/0001062993-16-008358-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000147793217001273/0001477932-17-001273-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000147793218001292/0001477932-18-001292-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000147793219001284/0001477932-19-001284-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000147793220001403/0001477932-20-001403-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000147793221001671/0001477932-21-001671-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000147793222001855/0001477932-22-001855-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-39312,-47147,-723239,-326038,-142233,-95430,-2691516,-11708328,-11452583,-2859402,-7233312,-7563481,-5869007,-4057075,-4864961,-4817044,-4318150,-6345176,-7104897,-15676108,-10587124,-14417266,-7835665
74,Depreciation and Amortization,- -,433,348,603,36798,46037,55371,443587,10886,8582,24668,25482,27000,26962,28357,17221,- -,- -,- -,- -,- -,- -,100117,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6546493,4848987,2691509,1513021,975421,329499,282275,1881326,1984011,1193306,2379905,822820,70341,826493
77,Change in Working Capital,- -,- -,- -,- -,-306958,-8546,-8159,99485,-1249978,-5360209,3487327,-2329457,8040486,-4420134,-2993663,-658773,84165,-4491537,3368632,492720,20355151,-6234913,-934066,7567549
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5357804,2936716,1430525,713352,-324592,175887,-43170,329289,-248637,378034,10400,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31831,-140919
81,Other Working Capital,- -,- -,- -,- -,-306958,-315504,-323663,-224178,8716266,3356057,6843384,4513927,12554413,8134279,5140616,4481843,4566008,74471,3443103,3935823,24290974,18056061,17121995,24689544
82,Other Non-Cash Items,- -,-10325,46860,18693,483014,39584,37924,2235505,9201232,15806833,-10813962,2127567,-5556652,4699060,993562,1260832,134757,3277505,-4983527,415543,-14480137,9331520,6610453,-11594466
83,Cash Provided by Operating Activities,- -,-49204,61,-703943,-113184,-65158,-10294,87061,-3746188,-997377,-3614876,-2560733,-2361138,-4050098,-5053398,-3916182,-4315847,-3650856,-5976060,-5003328,-7421189,-6667697,-8570421,-11036089
84,CAPEX,- -,- -,- -,-1808,- -,- -,- -,- -,-17625,-17968,-102113,-38890,-137037,-161110,-63521,-98572,-134392,-117034,-209871,-207227,-209729,-221063,-210436,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5617000,-3540000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000300,-234963,-38880,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10408785,3979469,1572242,14434,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-385,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23970,-10713261,-161110,-62585,-98572,-134392,-117034,-209871,-207227,-209729,-221063,-210436,-16021
89,Cash Used for Investing Activites,- -,-385,- -,-1808,- -,- -,- -,- -,-17625,-17968,-102113,-38890,-10714881,5247375,3681921,1434790,-119958,-117034,-209871,-207227,-5826729,-3761063,-210436,-16021
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10433,- -,- -,- -,- -,- -,- -,- -,-135000,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,47083,- -,- -,- -,- -,- -,- -,2202678,- -,49975,50344,12562310,- -,1733,3958040,- -,- -,- -,6027064,29469814,3750454,12353533,254994
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-255850,- -,- -,- -,-243552,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-691711
94,Other Financing Activites,- -,5509,- -,710491,107856,65150,9400,7881,12744477,-4739,-650000,-2174,101891,-1600,-1799,-1326,4983153,170849,9282624,114012,3900001,- -,- -,14704775
95,Cash Used/Provided by Financing Activities,- -,52592,- -,710491,107856,65150,9400,7881,14691305,-4739,-610458,48170,12420649,-1600,-66,3956714,4983153,170849,9147624,6141076,33369815,3750454,12353533,14268058
96,Effect of Forex Changes on Cash,- -,-2738,-48,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,265,13,4740,-5328,-8,9400,7881,10927492,-1020084,-4327447,-2551453,-655370,1195677,-1371543,1475322,547348,-3597041,2961693,930521,20121897,-6678306,3572676,3215948
98,Cash at the End of Period,- -,1286,1299,6230,902,894,- -,94942,10927775,9907691,5580244,3028791,2373421,3569098,2197555,3672877,4220225,623184,3584877,4515398,24637295,17958989,21531665,24747613
99,Cash at the Beginning of Period,- -,1021,1286,1490,6230,902,894,- -,283,10927775,9907691,5580244,3028791,2373421,3569098,2197555,3672877,4220225,623184,3584877,4515398,24637295,17958989,21531665
100,Free Cash Flow,- -,-49204,61,-705751,-113184,-65158,-10294,87061,-3763813,-1015345,-3716989,-2599623,-2498175,-4211208,-5116919,-4014754,-4450239,-3767890,-6185931,-5210555,-7630918,-6888760,-8780857,-11036089
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1084554/000108503705001749/0001085037-05-001749-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1084554/000114420408017883/0001144204-08-017883-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000114420409016202/0001144204-09-016202-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000114420410013655/0001144204-10-013655-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000120445911000484/0001204459-11-000484-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000120445912000368/0001204459-12-000368-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000106299313000986/0001062993-13-000986-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000106299314001645/0001062993-14-001645-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000106299315001480/0001062993-15-001480-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000106299316008358/0001062993-16-008358-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000147793217001273/0001477932-17-001273-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000147793218001292/0001477932-18-001292-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000147793219001284/0001477932-19-001284-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000147793220001403/0001477932-20-001403-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000147793221001671/0001477932-21-001671-index.htm,https://www.sec.gov/Archives/edgar/data/1084554/000147793222001855/0001477932-22-001855-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
