,https://roic.ai/company/VRTC,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,-451222,-443068,-733366,-182646,-1176941,-34817,-9399313,10112971,-261203,-768879,-1658625,-1721393,-990197,-846461,-821572,302053,-907475,-1298088,-1369807,-18210,-849403,-576000,-1091000
24,Net Income ratio,-3.8782,-0.3985,-4.0858,-0.3234,-0.5003,-0.0117,-5.8110,4.2807,-0.1184,-0.5769,-1.8344,-1.8282,-1.1184,-1.4425,-1.1408,0.1847,-0.9595,-1.9059,-4.2079,-0.0365,-2.7710,-1.3151,-2.8046
25,EPS,-0.13,-0.08,-0.11,-0.03,-0.17,-0.00,-0.85,0.67,-0.02,-0.05,-0.11,-0.11,-0.06,-0.05,-0.05,0.02,-0.06,-0.04,-0.03,-0.00,-0.02,-0.01,-0.03
26,EPS Diluted,-0.13,-0.08,-0.11,-0.03,-0.17,-0.00,-0.85,0.67,-0.02,-0.05,-0.11,-0.11,-0.06,-0.05,-0.05,0.02,-0.06,-0.04,-0.03,-0.00,-0.02,-0.01,-0.03
27,Weighted Average Shares Outstanding,3525695,5713883,6605037,6767202,7031846,7074767,11042212,15078598,15078598,15109246,15151047,15875869,15920088,15920088,15920088,15920088,16351956,33738751,39538007,39538007,39538007,39638829,39803760
28,Weighted Average Shares Outstanding Diluted,3525695,5713883,6605037,12536490,7031846,7074767,11042212,15107348,15107348,15109246,15151047,15875869,15920088,15920088,15920088,18976588,16351956,33738751,39538007,39538007,39538007,39638829,39803760
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/773318/000160706215000289/0001607062-15-000289-index.htm,https://www.sec.gov/Archives/edgar/data/773318/000160706214000146/0001607062-14-000146-index.htm,https://www.sec.gov/Archives/edgar/data/773318/000160706216000600/0001607062-16-000600-index.htm,https://www.sec.gov/Archives/edgar/data/773318/000160706216000997/0001607062-16-000997-index.htm,- -,https://www.sec.gov/Archives/edgar/data/773318/000160706218000326/0001607062-18-000326-index.htm,https://www.sec.gov/Archives/edgar/data/773318/000160706219000377/0001607062-19-000377-index.html,https://www.sec.gov/Archives/edgar/data/773318/000160706220000278/0001607062-20-000278-index.htm,https://www.sec.gov/Archives/edgar/data/773318/000160706221000393/0001607062-21-000393-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,325193,394067,432518,898424,790089,334702,50019,31915,14996,- -,75918,24665,52762,60953,46693,139086,91112,228000,238000
32,Short-Term Investments,- -,- -,- -,- -,- -,120257,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,325193,514324,432518,898424,790089,334702,50019,31915,14996,- -,75918,24665,52762,60953,46693,139086,91112,228000,238000
34,Net Receivables,- -,- -,- -,- -,185174,949802,2958,59173,90443,35125,28376,76363,29135,- -,- -,- -,- -,- -,8139,- -,- -,10000,8000
35,Inventory,- -,- -,- -,- -,11585,20730,6693,7495,26213,30632,6217,3394,6132,- -,4815,7829,14461,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,32791,110291,6708,4650,27325,3150,31781,34818,26118,- -,321210,87643,56983,11206,1985,12399,14508,6000,5000
37,Total Current Assets,- -,- -,- -,- -,554743,1595147,448877,969742,934070,403609,116393,146490,76381,- -,401943,120137,124206,72159,56817,151485,105620,244000,251000
38,PP&E,- -,- -,- -,- -,14669,12851,22603,21088,88005,81901,93292,45079,16468,- -,- -,994,583,171,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,66540,- -,- -,- -,102089,43756,43756,- -,- -,- -,- -,- -,144375,80208,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,66540,- -,- -,- -,102089,43756,43756,- -,- -,- -,- -,- -,144375,80208,16042,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,61161,88753,- -,- -,- -,- -,- -,- -,- -,- -,499277,51957,63029,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,142370,101604,22603,21088,190094,125657,137048,45079,16468,- -,499277,52951,207987,80379,16042,- -,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,697113,1696751,471480,990830,1124164,529266,253441,191569,92849,- -,901220,173088,332193,152538,72859,151485,105620,244000,251000
48,Accounts Payable,- -,- -,- -,- -,777414,1485851,1581943,37400,56072,128498,187368,518215,787799,- -,497518,540794,630490,624153,647946,671197,716704,689000,787000
49,Short-Term Debt,- -,- -,- -,- -,947252,1252055,- -,- -,- -,- -,20039,1943060,2240661,835602,3313101,3142219,3562707,2032595,575323,3596860,4301319,4992000,5953000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,103002,340628,521568,680461,539218,453277,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,2912,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,258764,492603,138760,72492,30000,- -,- -,97000
52,Other Current Liabilities,- -,- -,- -,- -,260605,372525,8334450,285372,405074,214018,353161,308452,631198,- -,2003862,813399,597826,435202,3190077,159617,231974,257000,71000
53,Total Current Liabilities,- -,- -,- -,- -,1988183,3110431,9916393,322772,461146,342516,560568,2769727,3659658,835602,5814481,4755176,5283626,3230710,4485838,4457674,5249997,5938000,6908000
54,Long-Term Debt,- -,- -,- -,- -,256720,169298,- -,- -,- -,- -,885673,- -,- -,- -,787153,3142219,521610,548384,- -,- -,- -,- -,118000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,242033,19811,314230,92008,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,155000,- -,- -,- -,155000
58,Total Non-Current Liabilities,- -,- -,- -,- -,498753,189109,314230,92008,- -,- -,885673,- -,- -,- -,787153,3142219,521610,548384,155000,- -,- -,- -,273000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,155000,155000,155000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,2486936,3299540,10230623,414780,461146,342516,1446241,2769727,3659658,- -,5814481,-4409000,5438626,3385710,4640838,4612674,5404997,6093000,7181000
62,Preferred Stock,- -,- -,- -,- -,366007,366007,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
63,Common Stock,- -,- -,- -,- -,71268,70718,150786,150786,150961,151151,161651,159201,159201,- -,159201,159201,165301,395380,407880,395380,395380,397000,400000
64,Retained Earnings,- -,- -,- -,- -,-13288631,-13323448,-22722761,-12609790,-12870993,-13639872,-15298497,-17019890,-18010087,- -,-19678120,4635039,-20283540,-21581628,-22951435,-22969645,-23819048,-24395000,-25486000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-860907,-707020,- -,-76372,-87634,-109410,-139984,-190305,-218916,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,11922440,11990954,12811832,13110426,13469684,13783881,14083030,14471836,14501993,- -,14604658,-9377328,15010806,17952076,17974576,18112076,18123291,18148000,18155000
67,Total Stockholders Equity,- -,- -,- -,- -,-1789823,-1602789,-9759143,576050,663018,186750,-1192800,-2578158,-3566809,-4283337,-4913261,-4582088,-5106433,-3233172,-4567979,-4461189,-5299377,-5849000,-6930000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,697113,1696751,471480,990830,1124164,529266,253441,191569,92849,- -,901220,-8991088,332193,152538,72859,151485,105620,244000,251000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9164176,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,697113,1696751,471480,990830,1124164,529266,253441,191569,92849,- -,901220,173088,332193,152538,72859,151485,105620,244000,251000
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/773318/000160706215000289/0001607062-15-000289-index.htm,https://www.sec.gov/Archives/edgar/data/773318/000160706214000146/0001607062-14-000146-index.htm,https://www.sec.gov/Archives/edgar/data/773318/000160706216000600/0001607062-16-000600-index.htm,https://www.sec.gov/Archives/edgar/data/773318/000160706216000997/0001607062-16-000997-index.htm,- -,https://www.sec.gov/Archives/edgar/data/773318/000160706218000326/0001607062-18-000326-index.htm,https://www.sec.gov/Archives/edgar/data/773318/000160706219000377/0001607062-19-000377-index.html,https://www.sec.gov/Archives/edgar/data/773318/000160706220000278/0001607062-20-000278-index.htm,https://www.sec.gov/Archives/edgar/data/773318/000160706221000393/0001607062-21-000393-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-451222,-443068,-733366,-182646,-1176941,-34817,-9399313,10112971,-261203,-768879,-1658625,-1721393,-990197,-846461,-821572,302053,-907475,-1298088,-1369807,-18210,-849403,-576000,-1091000
74,Depreciation and Amortization,6350,35253,44696,48609,70216,75727,21756,7517,27929,117109,43151,50321,28611,15824,644,239,411,64579,64337,16042,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,66300,- -,117198,61457,295595,228535,- -,- -,10477,3869,19600,- -,- -,- -,11215,16000,- -
77,Change in Working Capital,261044,- -,- -,- -,-1433440,-81844,-7952232,10114486,-174046,-411831,-505268,-2179062,-960040,3583277,-5412538,777499,-524381,2000869,-1270470,122832,-838188,-549623,-963000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,914162,-56215,47246,-23198,6749,-47987,47228,14048,-277737,217579,31751,-11623,1170,1068,-2046,-1000,2000
79,Inventory,18255,-35096,44559,- -,106953,-8956,14037,-802,-18718,-4419,24415,2823,-2738,2529,-1212,-3014,-6632,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1207,23251,49757,-32000,2000
81,Other Working Capital,- -,- -,- -,- -,-1433440,-1515284,-9467516,646970,472924,61093,-444175,-2623237,-3583277,- -,-5412538,-4635039,-5159420,-3158551,-4429021,-4306189,-5144377,-5694000,-6657000
82,Other Non-Cash Items,1145,226037,266212,-264588,2422155,68262,17597989,-19763066,640528,320690,799304,2659143,1830007,-3224186,6322754,-791900,1218942,-1579454,1545360,-627583,1226275,729623,1382000
83,Cash Provided by Operating Activities,-182683,-181778,-422458,-398625,-118010,27328,334500,471908,350406,-681454,-1025843,-962456,-91619,-471546,99765,291760,-192903,-812094,-1030580,-506919,-450101,-380000,-672000
84,CAPEX,- -,-8738,-3239,-1849,-11520,-10534,-23693,-6002,-148935,-52672,-52955,-2108,- -,- -,- -,-1234,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-110885,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-50000,- -,-60300,- -,-117469,30114,- -,-539673,50035,- -,-10000,-60000,-11668,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-58738,-3239,-62149,-11520,-128003,6421,-6002,-569852,22363,-163840,-12108,-60000,-11668,- -,-1234,- -,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-65000,- -,- -,-265962,-410279,-144000,-2500,- -,- -,- -,- -,- -
91,Common Stock Issued,218182,240816,281000,384500,82300,3450,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-56051,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,20000,- -,151000,67267,213663,187977,-172740,- -,111111,203704,905000,1021460,134700,530333,180000,68500,365000,822785,1016320,599312,402127,517000,682000
95,Cash Used/Provided by Financing Activities,182131,240816,432000,451767,295963,191427,-172740,- -,111111,203704,905000,956460,134700,530333,-85962,-341779,221000,820285,1016320,599312,402127,517000,682000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-21878,-10697,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-552,300,6303,-9007,166433,68874,157484,465906,-108335,-455387,-284683,-18104,-16919,47119,13803,-51253,28097,8191,-14260,92393,-47974,137000,10000
98,Cash at the End of Period,3664,3964,10267,1260,325193,394067,432518,898424,790089,334702,50019,31915,14996,62115,75918,24665,52762,60953,46693,139086,91112,228000,238000
99,Cash at the Beginning of Period,4216,3664,3964,10267,158760,325193,275034,432518,898424,790089,334702,50019,31915,14996,62115,75918,24665,52762,60953,46693,139086,91000,228000
100,Free Cash Flow,-182683,-190516,-425697,-400474,-129530,16794,310807,465906,201471,-734126,-1078798,-964564,-91619,-471546,99765,290526,-192903,-812094,-1030580,-506919,-450101,-380000,-672000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/773318/000160706215000289/0001607062-15-000289-index.htm,https://www.sec.gov/Archives/edgar/data/773318/000160706214000146/0001607062-14-000146-index.htm,https://www.sec.gov/Archives/edgar/data/773318/000160706216000600/0001607062-16-000600-index.htm,https://www.sec.gov/Archives/edgar/data/773318/000160706216000997/0001607062-16-000997-index.htm,- -,https://www.sec.gov/Archives/edgar/data/773318/000160706218000326/0001607062-18-000326-index.htm,https://www.sec.gov/Archives/edgar/data/773318/000160706219000377/0001607062-19-000377-index.html,https://www.sec.gov/Archives/edgar/data/773318/000160706220000278/0001607062-20-000278-index.htm,https://www.sec.gov/Archives/edgar/data/773318/000160706221000393/0001607062-21-000393-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
